Tower No,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
48,SA,S,26,47-48,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),6.75,15.536572,,11.418858336760668,79.6728134423777,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6728134423777 11.418858336760668, 79.6729524422217 11.416873334117234)"
49,SA,S,26,48-49,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),7.35,15.345242,,11.416873334117234,79.6729524422217,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6729524422217 11.416873334117234, 79.67305344226867 11.414899334383925)"
50,SA,S,26,49-50,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),4.45,14.569781,,11.414899334383925,79.67305344226867,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67305344226867 11.414899334383925, 79.67320344301714 11.412738333298325)"
51,SA,S,26,50-51,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),5,16.008923,,11.412738333298325,79.67320344301714,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67320344301714 11.412738333298325, 79.67330944261538 11.41078733872497)"
52,SA,S,26,51-52,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),4.8,16.551086,,11.41078733872497,79.67330944261538,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67330944261538 11.41078733872497, 79.67342344264868 11.40874433729891)"
53,SA,S,26,52-53,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),5.1,15.189361,,11.40874433729891,79.67342344264868,GOOD,GOOD,,RIVER,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67342344264868 11.40874433729891, 79.67354344284176 11.406826334266249)"
54,SA,S,26,53-54,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),8.18,15.604031,,11.406826334266249,79.67354344284176,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67354344284176 11.406826334266249, 79.67369244209495 11.404909338789231)"
55,SA,S,26,54-55,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),8.5,15.38226,,11.404909338789231,79.67369244209495,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67369244209495 11.404909338789231, 79.67382244193848 11.402789338276383)"
56,SC,T,26,55-56,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),7.65,15.701419,"29d48'44""LT",11.402789338276383,79.67382244193848,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67382244193848 11.402789338276383, 79.67486344212978 11.401253335322469)"
57,SA,S,26,56-57,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),5.4,16.92491,,11.401253335322469,79.67486344212978,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67486344212978 11.401253335322469, 79.67581044155773 11.399788340685182)"
58,SA,S,26,57-58,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),6.35,15.173524,,11.399788340685182,79.67581044155773,GOOD,GOOD,"LT-3,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67581044155773 11.399788340685182, 79.6767824414128 11.398364340202853)"
59,SD,T,28,58-59,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),7.3,16.052382," 61d55'18""LT",11.398364340202853,79.6767824414128,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6767824414128 11.398364340202853, 79.6786024401813 11.398532340805206)"
60,SC,T,26,59-60,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),8.9,15.655234," 22d32'42""RT",11.398532340805206,79.6786024401813,GOOD,GOOD,LT-3 ,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6786024401813 11.398532340805206, 79.67998743976237 11.398109338034995)"
61,SB,T,24,60-61,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),8.43,16.273853," 12d46'12""LT",11.398109338034995,79.67998743976237,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67998743976237 11.398109338034995, 79.68158043932735 11.397960334427713)"
62,SA,S,26,61-62,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),5.25,16.959154,,11.397960334427713,79.68158043932735,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68158043932735 11.397960334427713, 79.68324443865689 11.397860337992016)"
63,SD,T,28,61-62,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),1.79,17.974873,"48d4'0""LT",11.397860337992016,79.68324443865689,GOOD,GOOD,"LT-2,HT-4",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68324443865689 11.397860337992016, 79.6833794387066 11.397987334820545)"
GANTRY CHIDAMBARAM,GANTRY,T,20,62-GANTRY,,=SQRT((#REF!-#REF!)^2+(#REF!-#REF!)^2),,18.017834,,11.397987334820545,79.6833794387066,GOOD,GOOD,,,PLAIN,GANTRY CHIDAMBARAM,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G7:G61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
