S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,40,S,,SA,22,39-40,266.7302311,2.61,150.779953,,10.86802778,78.12041667,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12041666666666 10.868027777777778, 78.1213611111111 10.865972222222222)"
32,41,S,,SA,22,40-41,249.9881491,2.93,150.401932,,10.86597222,78.12136111,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1213611111111 10.865972222222222, 78.12225 10.863999999999999)"
33,42,S,,SA,22,41-42,240.0428827,1.97,150.077957,,10.864,78.12225,,,,,GOOD,Available,LT -2No,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12225 10.863999999999999, 78.12322222222221 10.861638888888889)"
34,43,S,,SA+3,25,42-43,280.2380956,3.17,152.226288,,10.86163889,78.12322222,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12322222222221 10.861638888888889, 78.12424999999999 10.859277777777777)"
35,44,T,,SC,22,43-44,286.9738739,3.54,153.374557,"26°12'23"" R",10.85927778,78.12425,,,,,GOOD,Available,LT,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12424999999999 10.859277777777777, 78.1241111111111 10.856583333333333)"
36,45,S,,SA,22,44-45,297.1876686,4.06,153.839737,,10.85658333,78.12411111,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1241111111111 10.856583333333333, 78.12402777777777 10.854694444444444)"
37,46,S,,SA,22,45-46,208.8719206,3.94,154.99205,,10.85469444,78.12402778,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12402777777777 10.854694444444444, 78.12391666666666 10.852027777777778)"
38,47,S,,SA+3,25,46-47,296.1801174,2.86,156.375244,,10.85202778,78.12391667,,,,,GOOD,Available,LT -2No,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12391666666666 10.852027777777778, 78.12377777777778 10.849222222222222)"
39,48,S,,SA+3,25,47-48,309.4580129,3.77,156.597107,,10.84922222,78.12377778,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12377777777778 10.849222222222222, 78.12363888888888 10.846388888888889)"
40,49,T,,SC,22,48-49,315.458663,2.81,155.749451,"14°12'31"" R",10.84638889,78.12363889,,,,,GOOD,Available,LT -2No,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12363888888888 10.846388888888889, 78.12280555555554 10.843694444444445)"
41,50,T,,SC,22,49-50,311.9795039,3.16,158.187561,"8°31'22"" R",10.84369444,78.12280556,,,,,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12280555555554 10.843694444444445, 78.12172222222222 10.841444444444445)"
42,51,T,2W,SC,22,50-51,274.3510911,3.05,159.817505,"47°20'57"" R",10.84144444,78.12172222,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12172222222222 10.841444444444445, 78.11991666666665 10.840916666666667)"
43,52,T,2W,SC,22,51-52,204.5614893,5.26,163.416351,"4°1'39"" R",10.84091667,78.11991667,,,,,GOOD,Available,"LT -2No, 110 KV",Road,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11991666666665 10.840916666666667, 78.11958333333332 10.840833333333334)"
44,Gantry (Velliyanai SS),Gantry,,H-POLE,12,52-Gantry,39.30850366,,163.735641,,10.84083333,78.11958333,,,,,GOOD,NO E/W,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
