,Tower No,Tower Type & Supspension/Tenion,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,T.NO.32,DA,S,,26,32-32,YES,,424.348913,4.54,110,,78.82480556,10.52786111,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82480555555556 10.527861111111111, 78.82441666666666 10.526416666666668)"
35,T.NO.33,DD,T,2W,28,32-33,YES,,164.9757558,3.99,112,"33°14'5.89""",78.82441667,10.52641667,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82441666666666 10.526416666666668, 78.82527777777777 10.523833333333334)"
36,T.NO.34,DA,S,,26,33-34,YES,,298.2230709,2.8,112,,78.82527778,10.52383333,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82527777777777 10.523833333333334, 78.82702777777777 10.521555555555556)"
37,T.NO.35,DA,S,,26,34-35,NO,,318.804015,1.98,105,,78.82702778,10.52155556,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82702777777777 10.521555555555556, 78.82872222222223 10.519250000000001)"
38,T.NO.36,DA,S,,26,35-36,NO,,314.4534942,2.37,105,,78.82872222,10.51925,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82872222222223 10.519250000000001, 78.83027777777778 10.516944444444444)"
39,T.NO.37,DA,S,,26,36-37,NO,,308.1379561,1.77,103,,78.83027778,10.51694444,GOOD,GOOD,11KV LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83027777777778 10.516944444444444, 78.83202777777777 10.514611111111112)"
40,T.NO.38,DA+3,S,,29,37-38,NO,,321.4358412,1.27,102,,78.83202778,10.51461111,GOOD,GOOD,,"TAR ROAD,MUD ROAD,CANAL CROSSING",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83202777777777 10.514611111111112, 78.83347222222221 10.512583333333334)"
41,T.NO.39,DD,T,,28,38-39,NO,,273.3002012,1.79,100,"20°14'25.70""",78.83347222,10.51258333,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83347222222221 10.512583333333334, 78.83402777777778 10.51061111111111)"
42,T.NO.40,DA,S,,26,39-40,NO,,226.8082891,1.52,93,,78.83402778,10.51061111,GOOD,GOOD,LT LINE-2 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83402777777778 10.51061111111111, 78.8346111111111 10.50836111111111)"
43,T.NO.41,DA,S,,26,40-41,NO,,257.3344128,1.6,94,,78.83461111,10.50836111,GOOD,GOOD,,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8346111111111 10.50836111111111, 78.83497222222222 10.506638888888888)"
44,T.NO.42,DD,T,,28,41-42,YES,,194.7434209,1.8,102,"20°55'49.44""",78.83497222,10.50663889,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83497222222222 10.506638888888888, 78.83630555555555 10.504555555555555)"
45,T.NO.43,DB,T,,24,42-43,NO,,274.1167634,2.24,99,"7°35'55.48""",78.83630556,10.50455556,GOOD,GOOD,LT LINE-1 CROSSING,TAR ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83630555555555 10.504555555555555, 78.8381111111111 10.502472222222222)"
46,T.NO.44,DA,S,,26,43-44,NO,,303.1913587,1.91,104,,78.83811111,10.50247222,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8381111111111 10.502472222222222, 78.83966666666666 10.500361111111111)"
47,T.NO.45,DA,S,,26,44-45,NO,,288.2099929,3.68,102,,78.83966667,10.50036111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83966666666666 10.500361111111111, 78.84113888888888 10.49847222222222)"
48,T.NO.46,DA,S,,26,45-46,NO,,263.8048521,1.84,103,,78.84113889,10.49847222,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84113888888888 10.49847222222222, 78.84266666666666 10.496444444444444)"
49,T.NO.47,DD,T,2W,28,46-47,NO,,280,1.64,98,"52°55'8.05""",78.84266667,10.49644444,GOOD,GOOD,LT LINE-1 CROSSING,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84266666666666 10.496444444444444, 78.84211111111111 10.494472222222221)"
50,T.NO.48,DA,S,,26,47-48,NO,,227.8815482,1.01,93,,78.84211111,10.49447222,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84211111111111 10.494472222222221, 78.8416111111111 10.492944444444444)"
51,T.NO.49,DC,T,,26,48-49,NO,,178.0365131,1.36,95,"26°40'0.55""",78.84161111,10.49294444,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8416111111111 10.492944444444444, 78.83991666666667 10.491249999999999)"
52,T.NO.50,DA,S,,26,49-50,NO,,264.4579362,1.03,95,,78.83991667,10.49125,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83991666666667 10.491249999999999, 78.838 10.489583333333332)"
53,T.NO.51,DA,S,,26,50-51,NO,,278.6485241,1.69,93,,78.838,10.48958333,GOOD,GOOD,LT LINE-2 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.838 10.489583333333332, 78.83633333333333 10.488055555555555)"
54,T.NO.52,DA,S,,26,51-52,NO,,247.8144467,1.91,94,,78.83633333,10.48805556,GOOD,GOOD,"LT LINE-1 CROSSING,11KV LINE CROSSING",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83633333333333 10.488055555555555, 78.83466666666666 10.486555555555555)"
55,T.NO.53,DD,T,,28,52-53,NO,,248.485412,2.71,94,"37°50'28.28""",78.83466667,10.48655556,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83466666666666 10.486555555555555, 78.83427777777777 10.484222222222222)"
56,T.NO.54,DA,S,,26,53-54,NO,,260.9099462,3.71,90,,78.83427778,10.48422222,GOOD,GOOD,"LT LINE-1 CROSSING,11KV LINE CROSSING",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83427777777777 10.484222222222222, 78.83388888888888 10.48161111111111)"
57,T.NO.55,DB,T,,,54-55,NO,,292.3302926,3.99,91,"1°13'2.30""",78.83388889,10.48161111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83388888888888 10.48161111111111, 78.83344444444444 10.478944444444444)"
58,T.NO.56,DA,S,,26,55-56,NO,,297.4054472,1.91,92,,78.83344444,10.47894444,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83344444444444 10.478944444444444, 78.833 10.476222222222223)"
59,T.NO.57,DA,S,,26,56-57,NO,,305.9493422,2.67,92,,78.833,10.47622222,GOOD,GOOD,LT LINE-1 CROSSING,MUD ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.833 10.476222222222223, 78.83263888888888 10.473583333333334)"
60,T.NO.58,DA,S,,26,57-58,NO,,295.1491149,1.06,91,,78.83263889,10.47358333,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83263888888888 10.473583333333334, 78.83213888888889 10.47086111111111)"
61,T.NO.59,DA,S,,26,58-59,NO,,307.1481727,2.99,94,,78.83213889,10.47086111,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83213888888889 10.47086111111111, 78.83175 10.468305555555556)"
62,T.NO.60,DA,S,,26,59-60,YES,,285.7271426,2.96,91,,78.83175,10.46830556,GOOD,GOOD,LT LINE-1 CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83175 10.468305555555556, 78.83133333333333 10.465666666666666)"
63,T.NO.61,DA,S,,26,60-61,NO,,295.7583473,3.71,95,,78.83133333,10.46566667,GOOD,GOOD,,MUD ROAD - 2 CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83133333333333 10.465666666666666, 78.83097222222221 10.463305555555555)"
64,T.NO.62,DC,T,2W,26,61-62,NO,,262.2250941,5.71,99,"20°47'19.59""",78.83097222,10.46330556,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83097222222221 10.463305555555555, 78.83113888888889 10.462499999999999)"
65,T.NO.63,DD,T,,28,62-63,YES,,92.96235797,1.07,97,"49°19'3.69""",78.83113889,10.4625,GOOD,GOOD,"LT LINE-1 CROSSING,11KV LINE CROSSING",TAR ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83113888888889 10.462499999999999, 78.82941666666666 10.460222222222221)"
66,T.NO.64,DA,S,,26,63-64,NO,,315.2205577,1.14,90,,78.82941667,10.46022222,GOOD,GOOD,"LT LINE-2 CROSSING,11KV LINE CROSSING",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82941666666666 10.460222222222221, 78.82769444444445 10.45811111111111)"
67,T.NO.65,DA,S,,26,64-65,NO,,298.4660785,3.61,96,,78.82769444,10.45811111,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82769444444445 10.45811111111111, 78.82591666666666 10.455944444444444)"
68,T.NO.66,DA,S,,26,65-66,NO,,309.8644865,"3,98",95,,78.82591667,10.45594444,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82591666666666 10.455944444444444, 78.82413888888888 10.453722222222222)"
69,T.NO.67,DA,S,,26,66-67,NO,,312.9728423,1.23,99,,78.82413889,10.45372222,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82413888888888 10.453722222222222, 78.82244444444444 10.451555555555554)"
70,T.NO.68,DD+3,T,,31,67-68,NO,,304.6998523,2.01,100,"34°5'0.16""",78.82244444,10.45155556,GOOD,GOOD,LT LINE-1 CROSSING,CANAL CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82244444444444 10.451555555555554, 78.81966666666666 10.450666666666667)"
71,T.NO.69,DA,S,,26,68-69,NO,,317.8443015,2.67,102,,78.81966667,10.45066667,GOOD,GOOD,LT LINE-1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81966666666666 10.450666666666667, 78.81694444444445 10.449777777777777)"
72,T.NO.70,DA,S,,26,69-70,YES,,314.985714,3.12,106,,78.81694444,10.44977778,GOOD,GOOD,LT LINE-1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81694444444445 10.449777777777777, 78.81447222222222 10.448944444444445)"
73,T.NO.71,DC,T,2W,26,70-71,YES,,284.2903445,1.39,109,"27°9'31.64""",78.81447222,10.44894444,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81447222222222 10.448944444444445, 78.81255555555555 10.447000000000001)"
74,T.NO.72,DA,S,,26,71-72,NO,,301.9420474,3.91,112,,78.81255556,10.447,GOOD,GOOD,LT LINE-1 CROSSING,TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81255555555555 10.447000000000001, 78.81063888888889 10.445083333333333)"
75,T.NO.73,DA,S,,26,72-73,YES,,299.8166106,1.07,106,,78.81063889,10.44508333,GOOD,GOOD,,,WATER LOGGED ,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81063888888889 10.445083333333333, 78.80883333333333 10.443194444444444)"
76,T.NO.74,DA,S,,26,73-74,NO,,285.0350856,5.61,110,,78.80883333,10.44319444,GOOD,NO EARTH WIRE,,,PLAIN LAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80883333333333 10.443194444444444, 78.807 10.441444444444445)"
77,T.NO.75,DA,S,,26,74-75,NO,,282.2428033,2.76,110,,78.807,10.44144444,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.807 10.441444444444445, 78.80536111111111 10.439722222222223)"
78,T.NO.76,DA,S,,26,75-76,NO,,261.0383114,3.17,114,,78.80536111,10.43972222,GOOD,GOOD,,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80536111111111 10.439722222222223, 78.80363888888888 10.437944444444444)"
79,T.NO.77,DA,S,,26,76-77,YES,,270.8449741,2.8,115,,78.80363889,10.43794444,GOOD,GOOD,"LT LINE-1 CROSSING,11KV LINE CROSSING",TAR ROAD CROSSING,PLAIN LAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80363888888888 10.437944444444444, 78.80213888888889 10.436527777777778)"
80,T.NO.78,DD,T,3W,28,77-78,NO,,228.5804016,1.96,116,"90°15'32.37""",78.80213889,10.43652778,GOOD,GOOD,"LT LINE-1 CROSSING,11KV LINE CROSSING",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80213888888889 10.436527777777778, 78.80152777777778 10.437166666666666)"
81,T.NO.79,DD,T,,28,78-79,NO,,94.84724561,3.72,117,"52°59'37.76""",78.80152778,10.43716667,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80152777777778 10.437166666666666, 78.79913888888889 10.436916666666667)"
82,T.NO.80,DA,S,,26,79-80,NO,,264.1855409,3.12,115,,78.79913889,10.43691667,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79913888888889 10.436916666666667, 78.79655555555556 10.43661111111111)"
83,T.NO.81,DA,S,,26,80-81,YES,,284.9175319,1.71,115,,78.79655556,10.43661111,GOOD,GOOD,,MUD ROAD CROSSING,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79655555555556 10.43661111111111, 78.79397222222222 10.436361111111111)"
