,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,T.NO-10,S,,DA,26,09-Oct,YES,,240.7093683,3.02,33,,79.11625,10.146,GOOD,GOOD,NO,LT,MUD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11625 10.145999999999999, 79.11691666666665 10.144027777777778)"
11,T.NO-11,S,,DA,26,10-Nov,YES,,231.1730953,2.19,31,,79.11691667,10.14402778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11691666666665 10.144027777777778, 79.11755555555555 10.142055555555554)"
12,T.NO-12,S,,DA,26,11-Dec,NO,,228.659135,2.67,30,,79.11755556,10.14205556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11755555555555 10.142055555555554, 79.11816666666665 10.140138888888888)"
13,T.NO-13,T,,DB,24,Dec-13,NO,,220.7849633,2.76,31,"4°18'12.55""",79.11816667,10.14013889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11816666666665 10.140138888888888, 79.11902777777777 10.138)"
14,T.NO-14,S,,DA,26,13-14,NO,,254.5937941,2.15,29,,79.11902778,10.138,GOOD,GOOD,NO,,,WATER LOGGED AREA,"BUSHES, POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11902777777777 10.138, 79.11983333333333 10.135722222222222)"
15,T.NO-15,T,2W,DB,24,14-15,NO,,268.1641288,2.97,28,"2°27'58.93""",79.11983333,10.13572222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.11983333333333 10.135722222222222, 79.12038888888888 10.133861111111111)"
16,T.NO-16,S,,DA,26,15-16,NO,,214.5600149,2.93,29,,79.12038889,10.13386111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12038888888888 10.133861111111111, 79.12091666666666 10.131944444444445)"
17,T.NO-17,S,,DA,26,16-17,NO,,219.5290414,2.65,29,,79.12091667,10.13194444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12091666666666 10.131944444444445, 79.12141666666666 10.130166666666668)"
18,T.NO-18,T,,DB,24,17-18,YES,,203.5706266,2.79,27,"8°32'4.22""",79.12141667,10.13016667,GOOD,GOOD,NO,LT,MUD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12141666666666 10.130166666666668, 79.12249999999999 10.12786111111111)"
19,T.NO-19,S,,DA,26,18-19,DIFFICULT,,282.8780656,2.99,29,,79.1225,10.12786111,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12249999999999 10.12786111111111, 79.12349999999999 10.12563888888889)"
20,T.NO-20,S,,DA,26,19-20,YES,,268.6633581,2.1,28,,79.1235,10.12563889,GOOD,GOOD,NO,,,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12349999999999 10.12563888888889, 79.12455555555555 10.123361111111112)"
21,T.NO-21,S,,DA,26,20-21,NO,,277.4977477,1.9,29,,79.12455556,10.12336111,GOOD,GOOD,NO,,,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12455555555555 10.123361111111112, 79.12566666666666 10.120944444444445)"
22,T.NO-22,T,,DB,24,21-22,YES,,291.8150099,2.97,30,"5°8'21.09""",79.12566667,10.12094444,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,BUSHES POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12566666666666 10.120944444444445, 79.12644444444443 10.118777777777778)"
23,T.NO-23,S,,DA,26,22-23,YES,,256.16401,2.9,28,,79.12644444,10.11877778,GOOD,GOOD,NO,,MUD,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12644444444443 10.118777777777778, 79.12730555555555 10.116444444444443)"
24,T.NO-24,S,,DA,26,23-24,DIFFICULT,,274.2498861,,28,,79.12730556,10.11644444,GOOD,GOOD,NO,,,INSIDE WATER,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12730555555555 10.116444444444443, 79.12830555555554 10.11375)"
25,T.NO-25,S,,DA,26,24-25,YES,,316.3700365,2.29,24,,79.12830556,10.11375,GOOD,GOOD,NO,,TAAR ROAD,RIVER CROSSING,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12830555555554 10.11375, 79.12916666666666 10.1115)"
26,T.NO-26,S,,DA,26,25-26,YES,,266.7376989,3.94,26,,79.12916667,10.1115,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12916666666666 10.1115, 79.13016666666665 10.10886111111111)"
27,T.NO-27,T,2W,DC,26,26-27,NO,,312.2707159,2.99,27,"15°44'29.54""",79.13016667,10.10886111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13016666666665 10.10886111111111, 79.13147222222221 10.107083333333334)"
28,T.NO-28,S,,DA,26,27-28,YES,,243.4296613,3.92,31,,79.13147222,10.10708333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13147222222221 10.107083333333334, 79.133 10.105027777777778)"
29,T.NO-29,S,,DA,26,28-29,YES,,281.6682446,2.65,29,,79.133,10.10502778,GOOD,GOOD,NO,LT,MUD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.133 10.105027777777778, 79.13458333333334 10.102916666666665)"
30,T.NO-30,S,,DA,26,29-30,YES,,291.0068728,3,25,,79.13458333,10.10291667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13458333333334 10.102916666666665, 79.13605555555556 10.100888888888889)"
31,T.NO-31,S,,DA,26,30-31,NO,,277.4833328,2.22,25,,79.13605556,10.10088889,GOOD,GOOD,NO,LT,MUD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13605555555556 10.100888888888889, 79.13680555555557 10.1)"
32,T.NO-32,T,,DC,26,31-32,NO,,127.2831489,3.99,25,"16°42'16.74""",79.13680556,10.1,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13680555555557 10.1, 79.13897222222222 10.098555555555556)"
33,T.NO-33,S,,DA,26,32-33,NO,,287.0766448,2.25,25,,79.13897222,10.09855556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13897222222222 10.098555555555556, 79.14072222222222 10.097444444444445)"
34,T.NO-34,S,,DA,26,33-34,NO,,229.4013949,1.23,25,,79.14072222,10.09744444,GOOD,GOOD,NO,,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14072222222222 10.097444444444445, 79.14261111111112 10.096222222222222)"
35,T.NO-35,S,,DA,26,34-35,NO,,244.6242016,-,25,,79.14261111,10.09622222,GOOD,GOOD,NO,LT,TAAR ROAD,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14261111111112 10.096222222222222, 79.14500000000001 10.094722222222222)"
36,T.NO-36,T,,DB,24,35-36,YES,,311.777164,-,25,"00°00'00.00""",79.145,10.09472222,GOOD,GOOD,NO,LT,,WATER LOGGED AREA,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14500000000001 10.094722222222222, 79.14616666666667 10.093972222222224)"
37,T.NO-37,T,2W,DD,28,36-37,YES,,150.8807476,2.99,24,"37°55'47.72""",79.14616667,10.09397222,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14616666666667 10.093972222222224, 79.14697222222223 10.091583333333334)"
38,T.NO-38,S,,DA,26,37-38,NO,,277.6508599,-,24,,79.14697222,10.09158333,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14697222222223 10.091583333333334, 79.14786111111111 10.089194444444445)"
39,T.NO-39,S,,DA,26,38-39,NO,,283.0635971,-,25,,79.14786111,10.08919444,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14786111111111 10.089194444444445, 79.1486388888889 10.086944444444445)"
40,T.NO-40,S,,DA,26,39-40,YES,,263.4331035,2.23,22,,79.14863889,10.08694444,GOOD,GOOD,NO,,TAAR ROAD,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1486388888889 10.086944444444445, 79.14927777777778 10.085194444444445)"
41,T.NO-41,S,,DA,26,40-41,YES,,203.3543705,2.22,21,,79.14927778,10.08519444,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14927777777778 10.085194444444445, 79.14991666666667 10.083416666666666)"
42,T.NO-42,S,,DA,26,41-42,YES,,210.6228857,2.54,21,,79.14991667,10.08341667,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14991666666667 10.083416666666666, 79.15066666666667 10.081305555555556)"
43,T.NO-43,T,,DC,26,42-43,NO,,245.7335956,3,24,"17°11'5.37""",79.15066667,10.08130556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15066666666667 10.081305555555556, 79.15208333333334 10.079416666666667)"
44,T.NO-44,S,,DA+3,29,43-44,YES,,261.0076627,2.99,23,,79.15208333,10.07941667,GOOD,GOOD,NO,,"TAAR ROAD,CANNEL CROSSING",CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15208333333334 10.079416666666667, 79.15336111111111 10.077777777777778)"
45,T.NO-45,S,,DA,26,44-45,YES,,230.6013877,2.72,22,,79.15336111,10.07777778,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15336111111111 10.077777777777778, 79.1546388888889 10.076083333333333)"
46,T.NO-46,S,,DA,26,45-46,NO,,232.2003445,2.22,24,,79.15463889,10.07608333,GOOD,GOOD,NO,,,CULTIVATION LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1546388888889 10.076083333333333, 79.156 10.074361111111111)"
47,T.NO-47,S,,DA,26,46-47,NO,,242.6066776,-,23,,79.156,10.07436111,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.156 10.074361111111111, 79.15747222222222 10.072416666666667)"
48,T.NO-48,T,,DC,26,47-48,YES,,268.0018657,2.25,22,"21°59'3.69""",79.15747222,10.07241667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15747222222222 10.072416666666667, 79.1581388888889 10.069944444444443)"
49,T.NO-49,S,,DA,26,48-49,NO,,284.2692386,2.54,22,,79.15813889,10.06994444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1581388888889 10.069944444444443, 79.15861111111111 10.068277777777778)"
50,T.NO-50,T,2W,DC,26,49-50,NO,,191.9010162,2.09,20,"25°21'4.93""",79.15861111,10.06827778,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15861111111111 10.068277777777778, 79.15952777777778 10.067222222222222)"
51,T.NO-51,T,,DC,26,50-51, NO,,153.1535178,-,21,"24°49'5.55""",79.15952778,10.06722222,GOOD,GOOD,NO,2 NOS LT,,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15952777777778 10.067222222222222, 79.16033333333334 10.064444444444446)"
52,T.NO-52,T,,DC,26,51-52,YES,,320.3248351,-,21,"27°48'47.14""",79.16033333,10.06444444,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16033333333334 10.064444444444446, 79.16180555555556 10.062972222222223)"
53,T.NO-53,S,,DA,26,52-53,NO,,228.4491191,-,21,,79.16180556,10.06297222,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16180555555556 10.062972222222223, 79.1635 10.061166666666667)"
54,T.NO-54,S,,DA,26,53-54,NO,,272.3912627,-,22,,79.1635,10.06116667,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1635 10.061166666666667, 79.16522222222223 10.059361111111112)"
55,T.NO-55,T,,DB,24,54-55,NO,,274.5359721,-,23,"00°00'00.00""",79.16522222,10.05936111,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16522222222223 10.059361111111112, 79.1671388888889 10.057555555555556)"
56,T.NO-56,S,,DA,26,55-56,NO,,291.3829096,-,19,,79.16713889,10.05755556,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1671388888889 10.057555555555556, 79.16886111111111 10.055888888888889)"
57,T.NO-57,S,,DA,26,56-57,NO,,263.7517772,-,19,,79.16886111,10.05588889,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16886111111111 10.055888888888889, 79.17055555555557 10.054222222222222)"
58,T.NO-58,S,,DA,26,57-58,NO,,260.9233604,2.32,20,,79.17055556,10.05422222,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17055555555557 10.054222222222222, 79.17236111111112 10.052472222222223)"
59,T.NO-59,S,,DA,26,58-59,YES,,276.5013562,2.4,19,,79.17236111,10.05247222,GOOD,GOOD,NO,11 KV,TAAR ROAD CROSSING,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17236111111112 10.052472222222223, 79.17411111111112 10.050805555555556)"
60,T.NO-60,T,,DB,24,59-60,YES,,268.0018657,2.1,19,"14°21'9.30""",79.17411111,10.05080556,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17411111111112 10.050805555555556, 79.1751388888889 10.049138888888889)"
61,T.NO-61,S,,DA,26,60-61,YES,,214.8883431,2.3,19,,79.17513889,10.04913889,GOOD,GOOD,NO,"11KV,LT",TAAR ROAD CROSSING,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1751388888889 10.049138888888889, 79.17633333333333 10.047277777777778)"
62,T.NO-62,S,,DA,26,61-62,YES,,242.2106521,2.4,19,,79.17633333,10.04727778,GOOD,GOOD,NO,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17633333333333 10.047277777777778, 79.1773888888889 10.045555555555556)"
63,T.NO-63,S,,DA,26,62-63,NO,,224.8399431,2.88,20,,79.17738889,10.04555556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1773888888889 10.045555555555556, 79.17852777777779 10.043805555555556)"
64,T.NO-64,T,2W,DB,24,63-64,NO,,229.7063343,2.65,20,"00°00'00.00""",79.17852778,10.04380556,GOOD,GOOD,NO,WELL BELOW,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17852777777779 10.043805555555556, 79.18019444444445 10.041194444444445)"
65,T.NO-65,S,,DA,26,64-65,NO,,341.3209633,3.1,14,,79.18019444,10.04119444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18019444444445 10.041194444444445, 79.18075 10.040138888888889)"
66,T.NO-66,S,,DA,26,65-66,YES,,133.7235955,2.23,21,,79.18075,10.04013889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18075 10.040138888888889, 79.18172222222222 10.038527777777778)"
67,T.NO-67,S,,DA,26,66-67,YES,,206.8284313,2.19,20,,79.18172222,10.03852778,GOOD,GOOD,NO,11KV LT,THAAR ROAD CROSSING,CULTIVATION LAND,CANNEL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18172222222222 10.038527777777778, 79.18272222222222 10.036888888888889)"
68,T.NO-68,T,,DC,26,67-68,YES,,210.7723891,2.22,18,"15°59'28.29""",79.18272222,10.03688889,GOOD,GOOD,NO,,THAAR ROAD CROSSING,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18272222222222 10.036888888888889, 79.18336111111111 10.034611111111111)"
69,T.NO-69,S,,DA,26,68-69,YES,,261.7212257,-,17,,79.18336111,10.03461111,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18336111111111 10.034611111111111, 79.18402777777779 10.032166666666667)"
70,T.NO-70,S,,DA,26,69-70,YES,,280.9216973,2.2,20,,79.18402778,10.03216667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18402777777779 10.032166666666667, 79.18472222222222 10.029694444444445)"
71,T.NO-71,S,,DA,26,70-71,NO,,282.8515512,2.07,15,,79.18472222,10.02969444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18472222222222 10.029694444444445, 79.1853888888889 10.027222222222223)"
72,T.NO-72,T,,DB,24,71-72,NO,,284.2692386,-,16,"8°12'6.95""",79.18538889,10.02722222,GOOD,GOOD,NO,,TAAR ROAD CROSSING,,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1853888888889 10.027222222222223, 79.18572222222222 10.024583333333334)"
73,T.NO-73,T,,DB,24,72-73,YES,,292.8651567,-,19,"00°00'00.00""",79.18572222,10.02458333,GOOD,GOOD,NO,"11KV,LT",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18572222222222 10.024583333333334, 79.186 10.022111111111112)"
74,T.NO-74,S,,DA,26,73-74,NO,,276.7417569,2.25,21,,79.186,10.02211111,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.186 10.022111111111112, 79.18630555555556 10.019666666666668)"
75,T.NO-75,S,,DA,26,74-75,NO,,271.8896835,2.3,20,,79.18630556,10.01966667,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18630555555556 10.019666666666668, 79.18641666666667 10.017194444444446)"
76,T.NO-76,T,2W,DB,24,75-76,YES,,273.1830888,2.92,13,"12°37'18.66""",79.18641667,10.01719444,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18641666666667 10.017194444444446, 79.187 10.015083333333333)"
77,T.NO-77,S,,DA,26,76-77,DIFFICULT,,244.0081966,2.19,13,,79.187,10.01508333,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.187 10.015083333333333, 79.18736111111112 10.012944444444445)"
78,T.NO-78,S,,DA,26,77-78,NO,,238.2141893,3.01,18,,79.18736111,10.01294444,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18736111111112 10.012944444444445, 79.18775000000001 10.010777777777777)"
79,T.NO-79,S,,DA,26,78-79,NO,,243.3105012,2.99,15,,79.18775,10.01077778,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,"BUSHES,TOWER INSIDE POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18775000000001 10.010777777777777, 79.18813888888889 10.008666666666667)"
80,T.NO-80,S,,DA,26,79-80,YES,,238.5497852,2.22,17,,79.18813889,10.00866667,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18813888888889 10.008666666666667, 79.1885 10.006527777777778)"
81,T.NO-81,T,,DB,24,80-81,YES,,239.0397456,2.81,18,"13°28'33.44""",79.1885,10.00652778,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1885 10.006527777777778, 79.18833333333333 10.00425)"
82,T.NO-82,S,,DA,26,81-82,YES,,251.7180963,2.76,17,,79.18833333,10.00425,GOOD,GOOD,NO,,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18833333333333 10.00425, 79.18813888888889 10.002083333333333)"
83,T.NO-83,S,,DA,26,82-83,YES,,243.0905181,3.62,16,,79.18813889,10.00208333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18813888888889 10.002083333333333, 79.18794444444445 9.999749999999999)"
84,T.NO-84,S,,DA,26,83-84,NO,,257.9399155,2.29,17,,79.18794444,9.99975,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18794444444445 9.999749999999999, 79.18777777777778 9.997583333333333)"
85,T.NO-85,T,,DB,24,84-85,NO,,239.6768658,-,17,"5°50'4.41""",79.18777778,9.997583333,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18777777777778 9.997583333333333, 79.18786111111112 9.995555555555555)"
