S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
48,47,S,DA,26,46-47,188.5013543747118,1.69,10.054205,,11.095111111111112,79.77374999999999,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77374999999999 11.095111111111112, 79.77486111111111 11.093527777777778)"
49,48,T,DC,26,47-48,212.62109417119527,2.13,8.907068,"3°53'3"" R",11.093527777777778,79.77486111111111,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77486111111111 11.093527777777778, 79.7761388888889 11.09138888888889)"
50,49,S,DA,26,48-49,274.1699464609231,0.87,9.89583599999999,,11.09138888888889,79.7761388888889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7761388888889 11.09138888888889, 79.77741666666667 11.08925)"
51,50,T,DC,26,49-50,272.874272668681,0.32,11.7410099999999,"24°22'46"" L",11.08925,79.77741666666667,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77741666666667 11.08925, 79.77897222222222 11.088166666666668)"
52,51,S,DA+3,29,50-51,209.66669015436904,0.63,13.214649,,11.088166666666668,79.77897222222222,GOOD,Available,,"Village Road,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.77897222222222 11.088166666666668, 79.78066666666666 11.086916666666667)"
53,52,S,DA+3,29,51-52,231.73062298892333,1.78,11.640121,,11.086916666666667,79.78066666666666,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78066666666666 11.086916666666667, 79.78252777777777 11.085583333333334)"
54,53,S,DA,26,52-53,249.99671401417712,1.69,11.555277,,11.085583333333334,79.78252777777777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78252777777777 11.085583333333334, 79.78422222222223 11.08438888888889)"
55,54,T,DC+3,29,53-54,227.359088985144,2.07,12.696346,"36°5'29"" R",11.08438888888889,79.78422222222223,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78422222222223 11.08438888888889, 79.7851111111111 11.081833333333334)"
56,55,T,DC+3,29,54-55,298.57665143129515,2.63,14.01931,"6°19'11"" R",11.081833333333334,79.7851111111111,GOOD,Available,,"Village Road,CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7851111111111 11.081833333333334, 79.78561111111111 11.079694444444444)"
57,56,S,DA,26,55-56,243.98795853512922,1.06,12.8763559999999,,11.079694444444444,79.78561111111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78561111111111 11.079694444444444, 79.78611111111111 11.077166666666667)"
58,57,S,DA,26,56-57,285.77573638333405,1.62,11.912836,,11.077166666666667,79.78611111111111,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78611111111111 11.077166666666667, 79.78663888888889 11.07475)"
59,58,T,DC+3,29,57-58,271.96488068481153,2.11,11.805433,"0°50'34"" L",11.07475,79.78663888888889,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78663888888889 11.07475, 79.78711111111112 11.072666666666667)"
60,59,S,DA,26,58-59,236.68226367014984,1.45,11.099575,,11.072666666666667,79.78711111111112,GOOD,Available,"LT,HT",Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78711111111112 11.072666666666667, 79.78752777777778 11.070694444444444)"
61,60,S,DA,26,59-60,223.2632997688734,0.99,10.9396039999999,,11.070694444444444,79.78752777777778,GOOD,Available,,"Village Road,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78752777777778 11.070694444444444, 79.78802777777777 11.06861111111111)"
62,61,T,DC,26,60-61,236.92570523509457,1.41,11.1454299999999,"18°44'50"" L",11.06861111111111,79.78802777777777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78802777777777 11.06861111111111, 79.78822222222222 11.068333333333333)"
63,62,T,H-POLE,12,61-62,36.52782715830397,1.36,9.392944,"28°22'38"" R",11.068333333333333,79.78822222222222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78822222222222 11.068333333333333, 79.78822222222222 11.068055555555555)"
64,63,T,H-POLE,12,62-63,31.26945061312684,0.63,10.241528,"2°50'24"" R",11.068055555555555,79.78822222222222,GOOD,NO E/W,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78822222222222 11.068055555555555, 79.78825 11.06761111111111)"
65,66,T,DC,26,63-66,49.001721209326476,0.92,8.61647,"29°11'26"" L",11.06761111111111,79.78825,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78825 11.06761111111111, 79.78947222222222 11.065527777777778)"
66,67,S,DA,26,66-67,266.8148453697028,2.03,9.142998,,11.065527777777778,79.78947222222222,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78947222222222 11.065527777777778, 79.79080555555555 11.063333333333334)"
67,68,S,DA,26,67-68,281.759158696399,1.87,9.324183,,11.063333333333334,79.79080555555555,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79080555555555 11.063333333333334, 79.79197222222221 11.0615)"
68,69,S,DA,26,68-69,239.06379160707817,2.13,11.013235,,11.0615,79.79197222222221,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79197222222221 11.0615, 79.79336111111111 11.059194444444445)"
69,70,S,DA,26,69-70,297.4586194759378,1.27,10.4190159999999,,11.059194444444445,79.79336111111111,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79336111111111 11.059194444444445, 79.79455555555555 11.057250000000002)"
70,71,T,DC+3,29,70-71,252.36773157197098,1.14,9.058916,"17°11'39"" L",11.057250000000002,79.79455555555555,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79455555555555 11.057250000000002, 79.79636111111111 11.055722222222222)"
71,72,S,DA,26,71-72,258.7552294200177,2.03,6.083541,,11.055722222222222,79.79636111111111,GOOD,Available,LT -3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79636111111111 11.055722222222222, 79.79802777777778 11.05413888888889)"
72,73,T,DC,26,72-73,251.3230773247412,1.67,7.511904,"2°21'57"" R",11.05413888888889,79.79802777777778,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79802777777778 11.05413888888889, 79.79841666666667 11.05375)"
73,74,T,H-POLE,12,73-74,62.11029764810723,1.07,7.725531,"13°24'28"" R",11.05375,79.79841666666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79841666666667 11.05375, 79.79858333333333 11.053472222222222)"
74,76,T,H-POLE,12,74-76,36.55000493019169,1.56,8.878315,"1°52'54"" R",11.053472222222222,79.79858333333333,GOOD,NO E/W,230 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79858333333333 11.053472222222222, 79.79883333333333 11.053027777777778)"
