S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36, TN - 35,T,,SC on DC,25, TN - 38 :  TN - 39,235.4280147,4.1,42,49°59'23''LT,11.75789949,79.67988649,GOOD,AVAILABLE,,,PLAIN,,PA,BT – Panjappatti – Lallapettai Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6798864938318 11.7578994948416, 79.6788551006466 11.7569359950721)"
37, TN - 36,T,,SC on DC,25, TN - 39 :  TN - 40,156.8916763,5.3,43,2°23'8''LT,11.756936,79.6788551,GOOD,AVAILABLE,LT,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6788551006466 11.7569359950721, 79.6772865951061 11.7555885203182)"
38, TN - 37,T,,SC on DC,25, TN - 40 :  TN - 41,228.788638,3.6,45,38°54'49''LT,11.75558852,79.6772866,GOOD,AVAILABLE,"HT -2, LT -2",ROAD,AGRI,BUSHES,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6772865951061 11.7555885203182, 79.6751189511269 11.7555222194641)"
39, TN - 38,S,,SC on DC,26, TN - 41 :  TN - 42,238.3528433,4.5,46,,11.75552222,79.67511895,GOOD,AVAILABLE,,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6751189511269 11.7555222194641, 79.6723080798983 11.755434544757)"
40, TN - 39,S,,SC on DC,26, TN - 42 :  TN - 43,308.4945214,2.9,48,,11.75543454,79.67230808,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA+3,"LT-Line, Carttrack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6723080798983 11.755434544757, 79.6701653301715 11.7553601134568)"
41, TN - 40,S,,SC on DC,26, TN - 43 :  TN - 44,235.6716222,1.6,45,,11.75536011,79.67016533,GOOD,AVAILABLE,,,AGRI,,PA+3,"Carttrack, Metal unit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6701653301715 11.7553601134568, 79.6682146098464 11.7552824970334)"
42, TN - 41,T,,SC on DC,25, TN - 44 :  TN - 45,214.7718104,3.4,46,10°27'21''RT,11.7552825,79.66821461,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6682146098464 11.7552824970334, 79.6654086839407 11.7556402366608)"
43, TN - 42,S,,SC on DC,26, TN - 45 :  TN - 46,310.3521672,2.7,45,,11.75564024,79.66540868,GOOD,AVAILABLE,,,AGRI,,GCR,PUDUPATTI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6654086839407 11.7556402366608, 79.6630997210741 11.7559719923883)"
44, TN - 43,T,2W,SC on DC,25, TN - 46 :  TN - 47,256.3027786,4.6,46,17°57'25''LT,11.75597199,79.66309972,GOOD,AVAILABLE,,ROAD,AGRI,,PB,"1  No HT, LT –Line, Carttrack",,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6630997210741 11.7559719923883, 79.6611800976097 11.7569137830287)"
45, TN - 44,T,,SC on DC,25, TN - 47 :  TN - 48,235.7076118,3.2,43,3°24'24''RT,11.75691378,79.6611801,GOOD,AVAILABLE,LT -2,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6611800976097 11.7569137830287, 79.6590170636773 11.7578197829425)"
46, TN - 45,S,,SC on DC,26, TN - 48 :  TN - 49,258.1512417,2.4,43,,11.75781978,79.65901706,GOOD,AVAILABLE,110KV DC ON MC UP XING,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6590170636773 11.7578197829425, 79.6566339209675 11.758899372071)"
47, TN - 46,T,,SC on DC,25, TN - 49 :  TN - 50,287.8584647,2.85,45,12°26'40''RT,11.75889937,79.65663392,GOOD,AVAILABLE,LT,,AGRI,,PA,PUDUPPATTI – II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6566339209675 11.758899372071, 79.65470851399 11.7593060620129)"
48, TN - 47,S,,SC on DC,26, TN - 50 :  TN - 51,216.6052101,3.03,46,,11.75930606,79.65470851,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65470851399 11.7593060620129, 79.6522603277117 11.7598215490579)"
49, TN - 48,S,,SC on DC,26, TN - 51 :  TN - 52,274.8361803,2.36,41,,11.75982155,79.65226033,GOOD,AVAILABLE,HT,,AGRI,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6522603277117 11.7598215490579, 79.6499221120029 11.7602629400789)"
50, TN - 49,T,,SC on DC,25, TN - 52 :  TN - 53,261.4614908,2.97,42,4°46'16''LT,11.76026294,79.64992211,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6499221120029 11.7602629400789, 79.6477850619703 11.7608540318906)"
51, TN - 50,S,,SC on DC,26, TN - 53 :  TN - 54,243.9052699,3.9,45,,11.76085403,79.64778506,GOOD,AVAILABLE,LT,ROAD,AGRI,,PA+6,"BT-Panjappatti – Lakshmanpatti, LT line ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6477850619703 11.7608540318906, 79.6455242112278 11.7614695150405)"
52, TN - 51,S,,SC on DC,26, TN - 54 :  TN - 55,257.6263865,4.6,48,,11.76146952,79.64552421,GOOD,AVAILABLE,"HT, LT",ROAD,AGRI,,PA+6,"Channel, LT Line, BT Lakshmanpatti - Palaiyajayakondam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6455242112278 11.7614695150405, 79.6431715786457 11.7620965652167)"
53, TN - 52,T,,SC on DC,25, TN - 55 :  TN - 56,267.6121054,2.6,47,31°44'12''LT,11.76209657,79.64317158,GOOD,AVAILABLE,LT,,AGRI,,PA,BT-Panjappatti – Palaiyajayakondam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6431715786457 11.7620965652167, 79.6420080866664 11.7633295431733)"
54, TN - 53,S,,SC on DC,26, TN - 56 :  TN - 57,188.2163692,2.36,46,,11.76332954,79.64200809,GOOD,AVAILABLE,,,AGRI,,PB+3M,Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6420080866664 11.7633295431733, 79.6404441911727 11.7649651039391)"
55, TN - 54,T,,SC on DC,25, TN - 57 : CHITRASUR GANTRY ,250.5452413,2.97,43,23°49'15''RT,11.7649651,79.64044419,GOOD,AVAILABLE,LT,,AGRI,,PA,"HT Line, BT Alagapuri – Palaiyajankondam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6404441911727 11.7649651039391, 79.6384517289698 11.7657888773828)"
56, TN - 55,T,,SC on DC,25,CHITRASUR GANTRY  : ,237.4839633,3.9,45,4°2'16''RT,11.76578888,79.63845173,GOOD,AVAILABLE,"HT, LT",,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6384517289698 11.7657888773828, 79.636594383046 11.7664076294749)"
57, TN - 56,T,,SC on DC,25, : ,215.6734071,4.6,46,49°43'37''LT,11.76640763,79.63659438,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.636594383046 11.7664076294749, 79.635550417006 11.7658085748553)"
58, TN - 57,T,,SC on DC,25, : ,133.661171,2.6,47,62°4'2''RT,11.76580857,79.63555042,GOOD,AVAILABLE,"HT -2, LT ",,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.635550417006 11.7658085748553, 79.6355629898607 11.765432646498)"
59,CHITRASUR GANTRY ,GANTRY,2W,GANTRY,15, : ,43.6026759,3.2,42,,11.76543265,79.63556299,GOOD,NO E/W,,,PLAIN,110KV CHITTRASUR SS,PB+3M,BT Udaiyakulattuppatti – Palaiyajayankondam,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
