S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,JB Location,Earthing Location,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33,62,S,,DA,26,63-62,298.2820628,3.09,49.470886,,10.47769444,79.16930556,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.16930555555557 10.477694444444445, 79.17094444444444 10.479888888888889)"
34,61,T,,DC,26,62-61,300.4537746,4.42,50.465584,"26°34'20"" L",10.47988889,79.17094444,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17094444444444 10.479888888888889, 79.1713888888889 10.4825)"
35,60,S,,DA,26,61-60,293.366413,3.18,53.40654,,10.4825,79.17138889,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1713888888889 10.4825, 79.17183333333334 10.485166666666666)"
36,59,S,,DA,26,60-59,298.5875692,2.74,54.692051,,10.48516667,79.17183333,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17183333333334 10.485166666666666, 79.17227777777778 10.487583333333333)"
37,58,T,,DC,26,59-58,273.8536579,2.91,52.39785,"19°55'44"" R",10.48758333,79.17227778,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17227777777778 10.487583333333333, 79.17372222222222 10.490027777777778)"
38,57,S,,DA,26,58-57,313.4297096,4.22,53.648922,,10.49002778,79.17372222,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17372222222222 10.490027777777778, 79.17516666666667 10.4925)"
39,56,T,2W,DC,26,57-56,313.6937886,4.07,54.300499,"60°27'59"" R",10.4925,79.17516667,Yes,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17516666666667 10.4925, 79.17797222222222 10.492472222222222)"
40,55,S,,DA,26,56-55,306.4438211,3.98,53.828037,,10.49247222,79.17797222,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17797222222222 10.492472222222222, 79.18105555555556 10.492416666666665)"
41,54,S,,DA,26,55-54,337.0374003,2.94,51.90485,,10.49241667,79.18105556,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18105555555556 10.492416666666665, 79.18358333333333 10.49236111111111)"
42,53,T,,DC,26,54-53,277.4751308,1.97,49.814907,"51°17'40"" L",10.49236111,79.18358333,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18358333333333 10.49236111111111, 79.18486111111112 10.493888888888888)"
43,52,S,,DA,26,53-52,220.2927398,3.06,48.765667,,10.49388889,79.18486111,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18486111111112 10.493888888888888, 79.1863888888889 10.495722222222222)"
44,51,T,,DB,26,52-51,262.9733894,3.19,47.597183,"0°4'16"" R",10.49572222,79.18638889,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1863888888889 10.495722222222222, 79.18777777777778 10.497444444444444)"
45,50,T,,DB,26,51-50,244.3941694,2.08,45.840038,"15°6'4"" R",10.49744444,79.18777778,,,GOOD,Available,"LT,HT","ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18777777777778 10.497444444444444, 79.18961111111112 10.498722222222222)"
46,49,S,,DA,26,50-49,243.992422,1.6,44.710083,,10.49872222,79.18961111,,,GOOD,Available,HT -4NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18961111111112 10.498722222222222, 79.19163888888889 10.500194444444444)"
47,48,S,,DA,26,49-48,273.6361983,4.08,44.179295,,10.50019444,79.19163889,,,GOOD,Available,"LT-2NO,230 KV",CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19163888888889 10.500194444444444, 79.19383333333333 10.50175)"
48,47,S,,DA,26,48-47,298.7676398,3.54,41.807533,,10.50175,79.19383333,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19383333333333 10.50175, 79.19580555555557 10.503111111111112)"
49,46,T,,DB,26,47-46,261.8382037,3.19,41.796711,"0°39'28"" L",10.50311111,79.19580556,,,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19580555555557 10.503111111111112, 79.19777777777779 10.504555555555555)"
50,45,S,,DA,26,46-45,268.0462153,2.97,42.061687,,10.50455556,79.19777778,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19777777777779 10.504555555555555, 79.1996388888889 10.50586111111111)"
51,44,S,,DA,26,45-44,250.7032076,1.85,43.18758,,10.50586111,79.19963889,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1996388888889 10.50586111111111, 79.20161111111112 10.50725)"
52,43,T,,DB,26,44-43,262.8711161,4.74,44.607746,"9°37'0"" L",10.50725,79.20161111,,,GOOD,Available,"LT-2NO,HT-2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20161111111112 10.50725, 79.20236111111112 10.508)"
53,LILO : 42A,T,3W,DC,26,43- 42 ,116.3300269,3.88,45.421967,,10.508,79.20236111,Yes,,GOOD,Available,LT,,AGRI,Common tower for Karambayam (N.T.KUDI) - Uranipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. From Gantry at Uranipuram S/S to TN - 42A section is common for 110kV Karambayam ( N.T.Kudi ) - Uranipuram & Uranipuram - Karambakudi Link . So It is recommended to prepare 96F OPGW at this section and Its shown in Karambakudi ( N.T. Kudi SS ) - Uranipuram link. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
