Tower No,Tower Type,Tower Type(S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,,,,,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
NATHAPATTU GANTRY,GANTRY,GANTRY,2W,20,,,,,20.332472,,11.76541625,79.72180143,2W,,,,GOOD,GOOD,,,PLAIN,GT NATHAPATTU,G,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72180142525654 11.765416247945549, 79.72225042525542 11.765441252817336)"
1,SD,T,,28,GANTRY-1,,0.002355261,1.9,19.686443,"60d17'37""LT",11.76544125,79.72225043,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72225042525542 11.765441252817336, 79.72328242438547 11.767483251932006)"
2,SB,T,,24,2-Jan,,0.002100463,3.35,19.492498," 7d33'6""RT",11.76748325,79.72328242,,,,,GOOD,GOOD,LT-3,ROAD,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72328242438547 11.767483251932006, 79.72448542472027 11.76925024909491)"
3,SA,S,,26,3-Feb,,0.002435437,5.65,19.004499,,11.76925025,79.72448542,,,,,GOOD,GOOD,"LT-4,HT-1",ROAD,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72448542472027 11.76925024909491, 79.72576042354859 11.771052247479396)"
4,SA,S,,26,4-Mar,,0.001976552,7.15,18.213301,,11.77105225,79.72576042,,,,,GOOD,GOOD,LT-1,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72576042354859 11.771052247479396, 79.72706942318972 11.773010250366816)"
5,SB,T,,24,5-Apr,,0.002268317,8.15,17.397537,"14d18'28""RT",11.77301025,79.72706942,,,,,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72706942318972 11.773010250366816, 79.72865642248293 11.774386250930938)"
6,SA,S,,26,6-May,,0.004196221,6.2,17.580252,,11.77438625,79.72865642,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72865642248293 11.774386250930938, 79.73049342236766 11.775985245198715)"
7,SA,S,,26,7-Jun,,0.000406488,6.7,16.977142,,11.77598525,79.73049342,,,,,GOOD,GOOD,HT-1,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73049342236766 11.775985245198715, 79.7319814215148 11.777286251097825)"
8,SA,S,,26,8-Jul,,0.001320123,6.1,16.427397,,11.77728625,79.73198142,,,,,GOOD,GOOD,LT-3,ROAD,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7319814215148 11.777286251097825, 79.73367142121587 11.778799249334241)"
9,SC,T,,26,9-Aug,,0.003609663,5.85,15.715402,"22d16'56""LT",11.77879925,79.73367142,,,,,GOOD,GOOD,,,PLAIN,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73367142121587 11.778799249334241, 79.73553642081623 11.782558245329183)"
10,SB,T,,24,10-Sep,,0.002633342,4.9,14.257702," 4d23'10""LT",11.78255825,79.73553642,,,,,GOOD,GOOD,,RIVER,RIVER,S/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73553642081623 11.782558245329183, 79.73568842024373 11.782935245342363)"
11/1 LILO,SD,T,2W,28,10/11/2001,,0.002287581,4.1,14.913015," 103d59'33""RT",11.78293525,79.73568842,3W,,,,GOOD,GOOD,LT-1,ROAD,PLAIN,LILO,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73568842024373 11.782935245342363, 79.73676641992836 11.78217324768814)"
2,DA,S,2W,26,11/1/2002,,0.002880707,3.85,14.16317,,11.78217325,79.73676642,,,,,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73676641992836 11.78217324768814, 79.73926332453735 11.779566499148896)"
3,DB,T,,24,3-Feb,,396,,12,,11.7795665,79.73926332,,,,,GOOD,GOOD,,CANAL ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73926332453735 11.779566499148896, 79.74177841790731 11.778786244556535)"
4,DA,S,,26,4-Mar,,0.001458608,,12.021016,,11.77878624,79.74177842,,,,,GOOD,GOOD,,RIVER,RIVER,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74177841790731 11.778786244556535, 79.74368241715082 11.777518248288823)"
5,DB,T,,24,5-Apr,,0.002354928,,11.913469,"4d1'6""LT",11.77751825,79.74368242,,,,,GOOD,GOOD,,RIVER,RIVER,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74368241715082 11.777518248288823, 79.74618541655016 11.776092251551882)"
6,DD,T,,28,6-May,,0.002120642,,11.857436,"71d16'55""RT",11.77609225,79.74618542,,,,,GOOD,GOOD,,RIVER,RIVER,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74618541655016 11.776092251551882, 79.74600641668941 11.77521124350819)"
7,DD,T,,28,7-Jun,,0.003272418,6.55,12.686939,"86d40'24""LT",11.77521124,79.74600642,,,,,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74600641668941 11.77521124350819, 79.74742141569784 11.77485724407098)"
8,DA,S,,26,8-Jul,,0.002789447,6,11.4291,,11.77485724,79.74742142,,,,,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74742141569784 11.77485724407098, 79.74969941503939 11.774260245620754)"
9,DB,T,,24,9-Aug,,0.001341294,7.3,12.168084,"9d6'3""LT",11.77426025,79.74969942,,,,,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74969941503939 11.774260245620754, 79.75181041402112 11.774058245160681)"
10,DA,S,,26,10-Sep,,0.001482427,7.1,12.515299,,11.77405825,79.75181041,,,,,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75181041402112 11.774058245160681, 79.75506241357424 11.77369325108546)"
11,DB,T,,24,11-Oct,,0.000324136,,12.307447," 5d27'24""LT",11.77369325,79.75506241,,,,,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75506241357424 11.77369325108546, 79.7578514126444 11.773643243792293)"
12,DD,T,,28,12-Nov,,80.62235406,5.6,10.697628,"40d15'58""RT",11.77364324,79.75785141,,,,,GOOD,GOOD,"LT-1,HT-2",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7578514126444 11.773643243792293, 79.75886541227011 11.772765249865383)"
13,DD,T,,28,13-Dec,,0,3.8,11.457613,"61d24'33""RT",11.77276525,79.75886541,,,,,GOOD,GOOD,HT-2,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.75886541227011 11.772765249865383, 79.7585344120106 11.771320248543542)"
14,DB,T,,24,13-14,,0,2.75,13.557291,"5d44'23""RT",11.77132025,79.75853441,,,,,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7585344120106 11.771320248543542, 79.75843041180221 11.771013249991045)"
SEMMANDALAM GANTRY,GANTRY,T,2W,20,14-GANTRY,,36,,13.235897,,11.77101325,79.75843041,2W,,,,GOOD,GOOD,,,,SEMMANDALAM,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
