S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,T.NO 35,S,,DA,26,34-35,277.4706133,2.21,24,,79.51033333,11.19175,GOOD,GOOD,HT,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51033333333334 11.19175, 79.51283333333333 11.193055555555556)"
36,T.NO 36,S,,DA,26,35-36,307.8354608,2.87,25,,79.51283333,11.19305556,GOOD,GOOD,LT,TAAR ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51283333333333 11.193055555555556, 79.51538888888889 11.194416666666667)"
37,T.NO 37,S,,DA,26,36-37,319.1210461,1.66,25,,79.51538889,11.19441667,GOOD,GOOD,,"DRAIN,TAAR ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51538888888889 11.194416666666667, 79.51788888888889 11.19575)"
38,T.NO 38,S,,DA,26,37-38,310.1181004,-,26,,79.51788889,11.19575,GOOD,GOOD,230kv,,CULITIVATION LAND,NEYVELI TO KADALANKUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51788888888889 11.19575, 79.52047222222222 11.197166666666666)"
39,T.NO 39,S,,DA,26,38-39,323.667011,1.32,27,,79.52047222,11.19716667,GOOD,GOOD,"2nos LT,HT",TAAR ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52047222222222 11.197166666666666, 79.52308333333333 11.198583333333334)"
40,T.NO 40,T,2W,DD,28,39-40,328.1360573,-,26,"41°55'39""",79.52308333,11.19858333,GOOD,GOOD,"HT,LT",MUD ROAD,CULITIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52308333333333 11.198583333333334, 79.52388888888889 11.200861111111111)"
41,T.NO 41,S,,DA,26,40-41,266.0358466,-,26,,79.52388889,11.20086111,GOOD,GOOD,"HT,LT",DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52388888888889 11.200861111111111, 79.52463888888889 11.203166666666666)"
42,T.NO 42,S,,DA,26,41-42,270.1115011,1.17,26,,79.52463889,11.20316667,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52463888888889 11.203166666666666, 79.52555555555556 11.205805555555555)"
43,T.NO 43,S,,DA,26,42-43,308.7027787,-,27,,79.52555556,11.20580556,GOOD,GOOD,LT,"DRAIN,MUD ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52555555555556 11.205805555555555, 79.52647222222222 11.208388888888889)"
44,T.NO 44,S,,DA,26,43-44,304.3100724,2.18,25,,79.52647222,11.20838889,GOOD,GOOD,LT,"DRAIN,MUD ROAD",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52647222222222 11.208388888888889, 79.5273888888889 11.210999999999999)"
45,T.NO 45,S,,DA,26,44-45,306.864349,1.94,24,,79.52738889,11.211,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5273888888889 11.210999999999999, 79.52833333333334 11.213666666666667)"
46,T.NO 46,S,,DA,26,45-46,312.5204648,-,25,,79.52833333,11.21366667,GOOD,GOOD,"LT,HT","TAAR ROAD,DRAIN",CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52833333333334 11.213666666666667, 79.52908333333333 11.21586111111111)"
47,T.NO 47,T,,DB,24,46-47,257.16401,-,27,"6°35'42""",79.52908333,11.21586111,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52908333333333 11.21586111111111, 79.53016666666666 11.21813888888889)"
