S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,38,SA,S,,26,39-38,,0.00282266,9.05,73.2,,11.63533828,79.5301315,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53013149770729 11.635338282120053, 79.52756049901978 11.635135278507898)"
35,37,SA,S,,26,38-37,,0.002539981,7.43,73.49,,11.63513528,79.5275605,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52756049901978 11.635135278507898, 79.52494349978798 11.634887282757045)"
36,36,SA,S,,26,37-36,,0.000832348,5.68,72.21,,11.63488728,79.5249435,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52494349978798 11.634887282757045, 79.52232550117367 11.634668279710668)"
37,35,SA,S,,26,36-35,,0.002079595,4.9,74.96,,11.63466828,79.5223255,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52232550117367 11.634668279710668, 79.51975850151605 11.634425285903168)"
38,34,SB,T,,24,35-34,,0.002725953,6.7,70.45,"14d52'22""RT",11.63442529,79.5197585,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51975850151605 11.634425285903168, 79.51697050324424 11.634866281686914)"
39,33,SA,S,,26,34-33,,0.002557299,9.75,74.17,,11.63486628,79.5169705,GOOD,GOOD,,ROAD1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51697050324424 11.634866281686914, 79.5144635044377 11.635274280022935)"
40,32,SA,S,,26,33-32,,0.00277163,8.45,73.53,,11.63527428,79.5144635,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5144635044377 11.635274280022935, 79.5136524373327 11.635461293822093)"
41,1 LILO  TO KILAKUPPAM,LILO,T,3W,24,,,,7.15,43.15,,11.63546129,79.51365244,GOOD,GOOD,,,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5136524373327 11.635461293822093, 79.51159150546378 11.635739280100346)"
42,31,SA,S,,26,31-Jan,,0.002537929,8.63,84.41,,11.63573928,79.51159151,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51159150546378 11.635739280100346, 79.50889550659305 11.636142282685807)"
43,30,SA,S,,26,31-30,,0.002631774,7.82,78.28,,11.63614228,79.50889551,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50889550659305 11.636142282685807, 79.50636750725805 11.636528283654092)"
