Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
45,SA,S,26,44-45,287.88,7.45,98.22493,,11.200168388442354,78.9654547672317,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9654547672317 11.200168388442354, 78.96646776622009 11.197285389957624)"
46,SD,T,28,45-46,337.622,8.75,93.044518,"40°7'25""LT",11.197285389957624,78.96646776622009,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.96646776622009 11.197285389957624, 78.9685647650306 11.196015390966291)"
47,SA,S,26,46-47,268.732,9.15,92.251022,,11.196015390966291,78.9685647650306,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9685647650306 11.196015390966291, 78.97123676361444 11.194522382685602)"
48,SD,T,28,47-48,335.383,10.25,91.816315,"37°46'49""LT",11.194522382685602,78.97123676361444,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97123676361444 11.194522382685602, 78.97316176284511 11.194768390774156)"
49,SA,S,26,48-49,212.036,6.45,89.593811,,11.194768390774156,78.97316176284511,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97316176284511 11.194768390774156, 78.97553176169346 11.195085391226826)"
50,SC,T,26,49-50,261.257,7.35,90.711121,"17°14'20""RT",11.195085391226826,78.97553176169346,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.97553176169346 11.195085391226826, 78.9783327596068 11.19462138650403)"
51,SA,S,26,50-51,310.25,1.8,97.344978,,11.19462138650403,78.9783327596068,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9783327596068 11.19462138650403, 78.98052275833246 11.194267383284847)"
52,SC,T,26,51-52,242.414,3.45,96.138054,"12°12'49""LT",11.194267383284847,78.98052275833246,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98052275833246 11.194267383284847, 78.98277875743437 11.194369384902624)"
53,SA,S,26,52-53,246.697,4.85,96.084976,,11.194369384902624,78.98277875743437,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98277875743437 11.194369384902624, 78.98481575582164 11.194466385721956)"
54,SA,S,26,53-54,222.774,5.55,94.399376,,11.194466385721956,78.98481575582164,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98481575582164 11.194466385721956, 78.9870177543152 11.194580383606699)"
55,SB,T,24,54-55,240.87,8.35,90.678391,"6°24'38""LT",11.194580383606699,78.9870177543152,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9870177543152 11.194580383606699, 78.98953475292234 11.194974389384132)"
56,SA,S,26,55-56,278.382,3.75,91.589249,,11.194974389384132,78.98953475292234,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.98953475292234 11.194974389384132, 78.99235275179502 11.195439390422472)"
57,SA,S,26,56-57,312.097,1.75,90.744179,,11.195439390422472,78.99235275179502,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99235275179502 11.195439390422472, 78.99475375054206 11.195846386186874)"
58,SD,T,28,57-58,266.112,3.45,89.554184,"50°36'5""RT",11.195846386186874,78.99475375054206,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99475375054206 11.195846386186874, 78.99619574937627 11.19460039046559)"
59,SD,T,28,58-59,209.322,6.15,91.297882,"52°28'47""RT",11.19460039046559,78.99619574937627,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99619574937627 11.19460039046559, 78.99608874902903 11.192870389796983)"
59/1,SA,S,26,59-59/1,191.759,3.75,1.3,,11.192870389796983,78.99608874902903,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99608874902903 11.192870389796983, 78.99598974945954 11.191457386282318)"
2,SA,S,26,59/1-2,156.704,1.34,90.856247,,11.191457386282318,78.99598974945954,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99598974945954 11.191457386282318, 78.9958857494709 11.189693383903519)"
3,SA,S,26,2-3,195.495,5.6,91.299545,,11.189693383903519,78.9958857494709,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9958857494709 11.189693383903519, 78.99575774975061 11.187860390587218)"
4,SB,T,24,3-4,203.279,3.85,90.510422,"1°37'58""RT",11.187860390587218,78.99575774975061,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99575774975061 11.187860390587218, 78.99558374960087 11.185771391904911)"
5,SA,S,26,4-5,231.901,4.5,91.282829,,11.185771391904911,78.99558374960087,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99558374960087 11.185771391904911, 78.99538474998205 11.18389338883317)"
6,SC,T,26,5-6,208.911,4.25,91.758545,"24°57'3""LT",11.18389338883317,78.99538474998205,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99538474998205 11.18389338883317, 78.99590974981143 11.182441389136663)"
7,SC,T,26,6-7,170.575,1.2,91.324371,"50°25'0""LT",11.182441389136663,78.99590974981143,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99590974981143 11.182441389136663, 78.99826674845056 11.181575387890364)"
60,SA,S,26,7-60,274.729,8.4,91.380035,,11.181575387890364,78.99826674845056,GOOD,GOOD,"HT-2,LT-3",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.99826674845056 11.181575387890364, 79.00060574703757 11.180745391411682)"
61,SD,T,28,60-61,271.514,3.1,102.092804,"44°34'0""LT",11.180745391411682,79.00060574703757,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00060574703757 11.180745391411682, 79.00298774565861 11.179906387620251)"
62,SB,T,26,61-62,276.273,5.2,102.613129,,11.179906387620251,79.00298774565861,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00298774565861 11.179906387620251, 79.0054037437412 11.181020394132707)"
63,SA,S,26,62-63,291.286,16.6,100.790245,,11.181020394132707,79.0054037437412,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0054037437412 11.181020394132707, 79.0075687426777 11.18198738623474)"
64,SA,S,26,63-64,259.577,,103.508476,,11.18198738623474,79.0075687426777,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0075687426777 11.18198738623474, 79.00964774123963 11.18295739008597)"
65,SA,S,26,64-65,251.189,6.35,103.0121,,11.18295739008597,79.00964774123963,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.00964774123963 11.18295739008597, 79.01170774023439 11.18385339006656)"
66,SD,T,28,65-66,245.9,4.6,102.881676,"48°7'31""RT",11.18385339006656,79.01170774023439,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01170774023439 11.18385339006656, 79.01394573911409 11.182916389975016)"
67,SA,S,26,66-67,265.548,7.2,100.789444,,11.182916389975016,79.01394573911409,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01394573911409 11.182916389975016, 79.01613373833314 11.181979391579631)"
68,SA,S,26,67-68,260.529,4.8,98.159584,,11.181979391579631,79.01613373833314,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01613373833314 11.181979391579631, 79.01869573699385 11.180882387678706)"
69,SA,S,26,68-69,305.055,3.54,94.242928,,11.180882387678706,79.01869573699385,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01869573699385 11.180882387678706, 79.02092973480767 11.179935394533334)"
70,SA,S,26,69-70,265.581,14.2,95.399216,,11.179935394533334,79.02092973480767,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02092973480767 11.179935394533334, 79.02393073393958 11.178667389231471)"
71,SA,S,26,70-71,356.585,,99.84150700000001,,11.178667389231471,79.02393073393958,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02393073393958 11.178667389231471, 79.0263147324192 11.177632388850613)"
72,SA,S,26,71-72,284.491,,100.51162,,11.177632388850613,79.0263147324192,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0263147324192 11.177632388850613, 79.02863373073174 11.176606393118547)"
73,SA,S,26,72-73,277.597,5.35,97.348267,,11.176606393118547,79.02863373073174,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02863373073174 11.176606393118547, 79.03103072917922 11.17555738863132)"
74,SD,T,28,73-74,286.417,4.75,98.788269,"48°7'31""RT",11.17555738863132,79.03103072917922,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03103072917922 11.17555738863132, 79.03340172856333 11.17426239525313)"
75,SA,S,26,74-75,295.995,1.75,98.811111,,11.17426239525313,79.03340172856333,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03340172856333 11.17426239525313, 79.03569872734475 11.173030392592153)"
76,SA,S,26,75-76,285.557,3.15,98.774773,,11.173030392592153,79.03569872734475,GOOD,GOOD,LT-1,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03569872734475 11.173030392592153, 79.03800472595346 11.17175938871411)"
77,SA,S,26,76-77,288.5,2.8,97.29776,,11.17175938871411,79.03800472595346,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03800472595346 11.17175938871411, 79.04026772428722 11.17053539224062)"
78,SA,S,26,77-78,281.873,6.15,95.08606,,11.17053539224062,79.04026772428722,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04026772428722 11.17053539224062, 79.04253472312796 11.169321389698714)"
79,SD,T,28,78-79,281.729,4.55,93.711472,"44°12'52""RT",11.169321389698714,79.04253472312796,GOOD,GOOD,HT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04253472312796 11.169321389698714, 79.04294172318707 11.168008397532764)"
80,SD,T,28,79-80,151.914,1.65,90.204033,"37°0'43""LT",11.168008397532764,79.04294172318707,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04294172318707 11.168008397532764, 79.04324872247211 11.167788396915784)"
81,SD,T,28,80-81,41.439,2.3,87.958885,"60°48'21""RT",11.167788396915784,79.04324872247211,GOOD,GOOD,"230KV,HT-1",,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04324872247211 11.167788396915784, 79.04317472300842 11.167173397324035)"
82,SC,T,26,81-82,68.518,1.35,90.23587,"14°18'39""LT",11.167173397324035,79.04317472300842,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04317472300842 11.167173397324035, 79.04350872280499 11.164998392349366)"
83,SA,S,26,82-83,243.38,4.15,91.816902,,11.164998392349366,79.04350872280499,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04350872280499 11.164998392349366, 79.04384072281847 11.162836398059534)"
84,SA,S,26,83-84,241.924,2.45,90.688637,,11.162836398059534,79.04384072281847,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04384072281847 11.162836398059534, 79.04388872201461 11.16184339753738)"
84/1,DD,T,28,84-84/1,109.984,6.5,89.983047,"73°25'30""RT",11.16184339753738,79.04388872201461,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04388872201461 11.16184339753738, 79.04221872308602 11.161105393507826)"
2,DC,T,26,84/1-2,199.877,1.85,91.605492,"27°24'2""LT",11.161105393507826,79.04221872308602,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04221872308602 11.161105393507826, 79.04101872372696 11.15965139388338)"
3,DB,T,26,2-3,207.515,2.35,92.459206,,11.15965139388338,79.04101872372696,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04101872372696 11.15965139388338, 79.03933972485336 11.157520393087395)"
4,DB,T,26,3-4,298.711,3.75,102.107155,,11.157520393087395,79.03933972485336,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03933972485336 11.157520393087395, 79.03778172631336 11.155610395131518)"
5,DA,S,26,4-5,271.336,1.85,102.175964,,11.155610395131518,79.03778172631336,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03778172631336 11.155610395131518, 79.0364647266146 11.153959400349061)"
6,DA,S,26,5-6,232.519,4.2,98.540955,"11°14'1""LT",11.153959400349061,79.0364647266146,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0364647266146 11.153959400349061, 79.03567172720835 11.152485401289319)"
7,DA,S,26,6-7,184.659,2.35,96.018723,,11.152485401289319,79.03567172720835,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03567172720835 11.152485401289319, 79.03492372720515 11.151005396010051)"
8,DD,T,28,7-8,182.999,5.5,95.823181,"34°34'48""RT",11.151005396010051,79.03492372720515,GOOD,GOOD,HT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03492372720515 11.151005396010051, 79.03346172783105 11.150232400628912)"
9,DD,T,28,8-9,181.177,1.3,93.82756,"108°26'57""LT",11.150232400628912,79.03346172783105,GOOD,GOOD,HT-2,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03346172783105 11.150232400628912, 79.03385172774642 11.149868400754308)"
10,DD,T,28,9-10,58.627,1.75,95.468483,"39°15'58""LT",11.149868400754308,79.03385172774642,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03385172774642 11.149868400754308, 79.03406272821579 11.149853396251482)"
Gantry Koothur ,T,T,20,10-GT,23.111,,97.463913,,11.149853396251482,79.03406272821579,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F7:F74),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
