,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)",ROAD APPROCH,,"Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,T.NO-78,S,,26,77 - 78,,309.8983704,2.65,133,,78.71627778,10.56508333,,,GOOD,YES,NO,GOOD,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71627777777778 10.565083333333334, 78.71902777777778 10.565555555555557)"
33,T.NO-79,T,2W,28,78 - 79,,306.2760193,2.54,131,"38°7'42.51""",78.71902778,10.56555556,Yes,,GOOD,YES,NO,GOOD,LT LINE,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71902777777778 10.565555555555557, 78.7196111111111 10.565361111111113)"
34,T.NO-80,T,,26,79 - 80,,68.00735254,2.84,122,"25°43'22.70""",78.71961111,10.56536111,,,GOOD,YES,NO,GOOD,,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7196111111111 10.565361111111113, 78.72041666666667 10.564333333333334)"
35,T.NO-81,S,,26,80 - 81,,143.4050208,2.87,122,,78.72041667,10.56433333,,,GOOD,NO,NO,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72041666666667 10.564333333333334, 78.72116666666666 10.563416666666667)"
36,T.NO-82,T,,24,81 - 82,,130.8739852,3.17,131,"12°32'46.72""",78.72116667,10.56341667,,,GOOD,D,NO,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72116666666666 10.563416666666667, 78.72216666666667 10.561444444444446)"
37,T.NO-83,S,,26,82 - 83,,244.1823089,3.28,136,,78.72216667,10.56144444,,,GOOD,YES,NO,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72216666666667 10.561444444444446, 78.72316666666667 10.559750000000001)"
38,T.NO-84,T,,26,83 - 84,,217.1865558,2.47,127,"28°56'57.76""",78.72316667,10.55975,,,GOOD,YES,NO,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72316666666667 10.559750000000001, 78.72519444444444 10.558555555555555)"
39,T.NO-85,S,,26,84 - 85,,258.11819,3.27,123,,78.72519444,10.55855556,,,GOOD,NO,NO,GOOD,11KV ,TAAR ROAD,PLAIN,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72519444444444 10.558555555555555, 78.72725 10.557333333333334)"
40,T.NO-86,T,,24,85 - 86,,263.765047,2.54,122,"00°00'00.00""",78.72725,10.55733333,,,GOOD,NO,NO,GOOD,LT LINE,,CULTIVATION LAND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72725 10.557333333333334, 78.72961111111111 10.556166666666668)"
41,T.NO-87,S,,26,86 - 87,,287.5708608,4.2,123,,78.72961111,10.55616667,,,GOOD,NO,NO,GOOD,LT LINE,,CULTIVATION LAND,WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72961111111111 10.556166666666668, 78.73186111111112 10.555166666666667)"
