S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 31,S,,DA,26,32-31,158.1782428,1.17,30,,79.62786111,11.77330556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6278611111111 11.773305555555556, 79.62663888888888 11.773888888888889)"
12,T.NO 30,S,,DA,26,31-30,148.1665723,2.27,30,,79.62663889,11.77388889,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62663888888888 11.773888888888889, 79.62541666666667 11.774444444444445)"
13,T.NO 29,S,,DA,26,30-29,146.7978052,,30,,79.62541667,11.77444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62541666666667 11.774444444444445, 79.62427777777778 11.775027777777778)"
14,T.NO 28,S,,DA,26,29-28,142.3223266,,30,,79.62427778,11.77502778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62427777777778 11.775027777777778, 79.62299999999999 11.77563888888889)"
15,T.NO 27,T,,DB,24,28-27,155.304893,,30,"10°16'5""",79.623,11.77563889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62299999999999 11.77563888888889, 79.6211111111111 11.77613888888889)"
16,T.NO 26,S,,DA,26,27-26,214.7404969,,31,,79.62111111,11.77613889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6211111111111 11.77613888888889, 79.61941666666667 11.776611111111112)"
17,T.NO 25,S,,DA,26,26-25,193.0442657,2.47,31,,79.61941667,11.77661111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61941666666667 11.776611111111112, 79.61730555555555 11.777166666666668)"
18,T.NO 24,S,,DA,26,25-24,237.7298038,3.71,31,,79.61730556,11.77716667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61730555555555 11.777166666666668, 79.61572222222222 11.777611111111112)"
19,T.NO 23,T,2W,DB,24,24-23,181.3607496,2.98,33,"14°20'19""",79.61572222,11.77761111,GOOD,GOOD,,ROAD-1,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61572222222222 11.777611111111112, 79.61344444444444 11.777666666666667)"
20,T.NO 22,S,,DA,26,23-22,248.1639132,1.88,33,,79.61344444,11.77766667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61344444444444 11.777666666666667, 79.61158333333333 11.777722222222224)"
21,T.NO 21,S,,DA,26,22-21,205.0882162,1.42,34,,79.61158333,11.77772222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61158333333333 11.777722222222224, 79.60955555555554 11.777805555555556)"
22,T.NO 20,S,,DA,26,21-20,221.2271555,2.39,34,,79.60955556,11.77780556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60955555555554 11.777805555555556, 79.60763888888889 11.777833333333334)"
23,T.NO 19,S,,DA,26,20-19,210.038274,,34,,79.60763889,11.77783333,GOOD,GOOD,"LT-1,",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60763888888889 11.777833333333334, 79.60563888888888 11.777916666666668)"
24,T.NO 18,S,,DA,26,19-18,219.3300254,,35,,79.60563889,11.77791667,GOOD,GOOD,"LT-1,HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60563888888888 11.777916666666668, 79.60369444444444 11.777944444444445)"
25,T.NO 17,S,,DA,26,18-17,214.0375554,1.72,35,,79.60369444,11.77794444,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60369444444444 11.777944444444445, 79.60172222222222 11.777972222222223)"
26,T.NO 16,S,,DA,26,17-16,214.0211257,3.86,36,,79.60172222,11.77797222,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60172222222222 11.777972222222223, 79.59969444444444 11.778)"
27,T.NO 15,S,,DA,26,16-15,224.0560468,,36,,79.59969444,11.778,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59969444444444 11.778, 79.59774999999999 11.778027777777778)"
28,T.NO 14,S,,DA,26,15-14,210.038274,1.76,36,,79.59775,11.77802778,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59774999999999 11.778027777777778, 79.5958611111111 11.778083333333335)"
29,T.NO 13,T,,DB,24,14-13,207.0873601,1.43,35,"11°22'38""",79.59586111,11.77808333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5958611111111 11.778083333333335, 79.59436111111111 11.778416666666667)"
30,T.NO 12 URBAN LILO,T,2W,DD,28,13-12,169.3448841,3.18,34,"61°12'11""",79.59436111,11.77841667,GOOD,GOOD,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59436111111111 11.778416666666667, 79.59405555555556 11.779472222222223)"
31,T.NO 11,T,,DB,24,11-Dec,122.5647975,2.14,35,"11°26'28""",79.59405556,11.77947222,GOOD,GOOD,,RAILWAY,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59405555555556 11.779472222222223, 79.59302777777778 11.781444444444446)"
32,T.NO 10,T,,DC,24,10-Nov,246.0877394,2.372,36,"15°8'16""",79.59302778,11.78144444,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59302777777778 11.781444444444446, 79.59216666666666 11.782333333333334)"
33,T.NO 9,T,,DC,24,19-9,137.6199107,3.31,36,"15°17'23""",79.59216667,11.78233333,GOOD,GOOD,"LT-1,HT-1",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59216666666666 11.782333333333334, 79.59125 11.784083333333333)"
34,T.NO 8,S,,DA,26,8-Sep,216.5643755,,36,,79.59125,11.78408333,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59125 11.784083333333333, 79.5906111111111 11.785333333333334)"
35,T.NO 7,T,,DC,26,7-Aug,157.5247584,,35,"20°3'9""",79.59061111,11.78533333,GOOD,GOOD,"LT-1,HT-1",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5906111111111 11.785333333333334, 79.59038888888888 11.787305555555555)"
36,T.NO 6,S,,DA,26,6-Jul,221.4223219,,35,,79.59038889,11.78730556,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59038888888888 11.787305555555555, 79.59016666666666 11.788833333333333)"
37,T.NO 5,S,,DA,26,5-Jun,169.3151805,4.43,35,,79.59016667,11.78883333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59016666666666 11.788833333333333, 79.58997222222222 11.790972222222223)"
38,T.NO 4,S,,DA,26,4-May,238.0232056,3.73,34,,79.58997222,11.79097222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58997222222222 11.790972222222223, 79.58972222222222 11.793138888888889)"
39,T.NO 3,S,,DA,26,3-Apr,243.2932108,2.35,35,,79.58972222,11.79313889,GOOD,GOOD,LT-3,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58972222222222 11.793138888888889, 79.58952777777777 11.795111111111112)"
40,T.NO 2,S,,DA,26,2-Mar,220.9113458,3.67,35,,79.58952778,11.79511111,GOOD,GOOD,LT-2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58952777777777 11.795111111111112, 79.58938888888889 11.79663888888889)"
41,T.NO 1,T,2W,DC,26,1-Feb,169.5022255,2.84,36,"23°30'28""",79.58938889,11.79663889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58938888888889 11.79663888888889, 79.58866666666667 11.797972222222223)"
42,T.NO 18 SOORNAVUR LILO,T,2W,DD,28,18-Jan,169.6475615,7.82,36,"79°20'13""",79.58866667,11.79797222,GOOD,GOOD,,,PLAIN,SOORNAVUR LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58866666666667 11.797972222222223, 79.59066666666666 11.799555555555555)"
43,T.NO 19,T,,DB,24,18-19,279.9265136,,27,"4°37'57""",79.59066667,11.79955556,GOOD,GOOD,LT-1,ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59066666666666 11.799555555555555, 79.59241666666667 11.80075)"
44,T.NO 20,S,,DA,26,19-20,233.6993769,3.71,30,,79.59241667,11.80075,GOOD,GOOD,"LT-1,HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59241666666667 11.80075, 79.59413888888888 11.802222222222223)"
45,T.NO 21,T,,DB,24,20-21,247.6576575,6.48,27,"9°24'13""",79.59413889,11.80222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59413888888888 11.802222222222223, 79.59613888888889 11.803444444444445)"
46,T.NO 22,S,,DA,26,21-22,258.2663989,,28,,79.59613889,11.80344444,GOOD,GOOD,LT-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59613888888889 11.803444444444445, 79.59808333333334 11.805000000000001)"
47,T.NO 23,S,,DA,26,22-23,272.9007172,5.73,28,,79.59808333,11.805,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59808333333334 11.805000000000001, 79.59980555555555 11.806194444444445)"
48,T.NO 24,S,,DA,26,23-24,232.9245567,,20,,79.59980556,11.80619444,GOOD,GOOD,"LT-1,HT-1",ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59980555555555 11.806194444444445, 79.60163888888889 11.807583333333334)"
49,T.NO 25,S,,DA,26,24-25,252.0179276,,21,,79.60163889,11.80758333,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60163888888889 11.807583333333334, 79.60330555555555 11.808805555555557)"
50,T.NO 26 K.K PATTULILO,T,2W,DB,24,25-26,226.4173906,,27,"10°43'28""",79.60330556,11.80880556,GOOD,GOOD,"LT-1,HT-3",,WATER LOGGED,K.K PATTU LILO  NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60330555555555 11.808805555555557, 79.60536111111111 11.809777777777779)"
51,T.NO 27,S,,DA,26,26-27,250.1465432,,25,,79.60536111,11.80977778,GOOD,GOOD,"LT-1,23OKV",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60536111111111 11.809777777777779, 79.60749999999999 11.81075)"
52,T.NO 28,S,,DA,26,27-28,258.3033229,,29,,79.6075,11.81075,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60749999999999 11.81075, 79.60963888888888 11.81163888888889)"
53,T.NO 29,T,,DB,24,28-29,253.3846271,,23,"3°6'56""",79.60963889,11.81163889,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60963888888888 11.81163888888889, 79.61163888888888 11.812611111111112)"
54,T.NO 30,S,,DA,26,29-30,242.9690063,,25,,79.61163889,11.81261111,GOOD,GOOD,LT-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61163888888888 11.812611111111112, 79.61352777777778 11.813416666666667)"
55,T.NO 31,S,,DA,26,30-31,225.8021352,6.38,23,,79.61352778,11.81341667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61352777777778 11.813416666666667, 79.61555555555555 11.814388888888889)"
56,T.NO 32,S,,DA,26,31-32,247.9109151,3.01,22,,79.61555556,11.81438889,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61555555555555 11.814388888888889, 79.61774999999999 11.815333333333333)"
57,T.NO 33,S,,DA,26,33-34,260.3318338,5.27,24,,79.61775,11.81533333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61774999999999 11.815333333333333, 79.61983333333333 11.816194444444445)"
58,T.NO 34,T,,DB,24,34-35,248.9233753,6.78,26,"0°49'32""",79.61983333,11.81619444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61983333333333 11.816194444444445, 79.62172222222222 11.816944444444443)"
59,T.NO 35,S,,DA,26,35-36,222.7205448,,22,,79.62172222,11.81694444,GOOD,GOOD,,ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62172222222222 11.816944444444443, 79.62372222222221 11.817722222222223)"
60,T.NO 36,T,,DB,24,36-37/1,235.2007686,5.81,27,"1°2'42""",79.62372222,11.81772222,GOOD,GOOD,LT-1,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62372222222221 11.817722222222223, 79.62555555555555 11.818444444444443)"
61,T.NO 37/1 LILO SOORNAVUR,T,2W,DD,28,37/1-2,216.4065923,5.13,21,"120°29'34""",79.62555556,11.81844444,GOOD,GOOD,LT-1,,PLAIN,SOORNAVUR LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62555555555555 11.818444444444443, 79.62424999999999 11.819416666666667)"
62,T.NO 2,S,,DA,26,3-Feb,179.2189664,,27,,79.62425,11.81941667,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62424999999999 11.819416666666667, 79.62277777777777 11.8205)"
63,T.NO 3,S,,DA,26,4-Mar,199.8064385,4.83,26,,79.62277778,11.8205,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62277777777777 11.8205, 79.62169444444444 11.821222222222222)"
64,T.NO 4,T,,DD,28,5-Apr,144.6941196,5.62,26,"47°36'34""",79.62169444,11.82122222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62169444444444 11.821222222222222, 79.62144444444444 11.82311111111111)"
65,T.NO 5,T,,DB,24,6-May,212.8584433,,26,"14°33'11""",79.62144444,11.82311111,GOOD,GOOD,LT-1,MAIN  ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62144444444444 11.82311111111111, 79.62169444444444 11.825416666666666)"
66,T.NO 6,T,,DB,24,7-Jun,256.8847397,,29,"8°27'50""",79.62169444,11.82541667,GOOD,GOOD,"LT-1,HT-1",ROAD-1,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62169444444444 11.825416666666666, 79.62213888888888 11.827)"
67,T.NO 7,T,,DD,28,8-Jul,181.4993075,,25,"68°43'19""",79.62213889,11.827,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62213888888888 11.827, 79.62249999999999 11.827027777777777)"
68,GT-SOORNAVUR 110KV SS,GT,2W,GT,15,8-GT,40.20459157,,32,,79.6225,11.82702778,GOOD,MISSING,,,PLAIN,110KV SOORNAVUR SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
