S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
69,66,S,,SA,22,65-66,280.0381461,1.13,43.512981,,10.6575,79.18927778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18927777777778 10.6575, 79.19133333333333 10.656416666666667)"
70,67,S,,SA,22,66-67,254.5984922,1.65,44.052109,,10.65641667,79.19133333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19133333333333 10.656416666666667, 79.19369444444445 10.65525)"
71,68,S,,SA,22,67-68,286.7431305,1.27,45.288063,,10.65525,79.19369444,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19369444444445 10.65525, 79.19572222222223 10.654250000000001)"
72,69,T,2W,SC,22,68-69,249.3712279,0.96,46.533665,"2°14'58"" R",10.65425,79.19572222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19572222222223 10.654250000000001, 79.19794444444445 10.653027777777778)"
73,70,S,,SA,22,69-70,277.853151,0.89,44.790886,,10.65302778,79.19794444,GOOD,Available,,"MAIN ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19794444444445 10.653027777777778, 79.20011111111111 10.652111111111111)"
74,71,S,,SA,22,70-71,257.7689375,1.24,43.464462,,10.65211111,79.20011111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20011111111111 10.652111111111111, 79.20227777777778 10.651055555555557)"
75,72,S,,SA,22,71-72,263.8931452,1.52,44.198147,,10.65105556,79.20227778,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20227777777778 10.651055555555557, 79.20444444444445 10.649972222222221)"
76,73,T,,SC,22,72-73,267.2279143,1.18,44.453251,"15°16'34"" R",10.64997222,79.20444444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20444444444445 10.649972222222221, 79.20619444444445 10.648416666666666)"
77,74,S,,SA,22,73-74,254.5081617,1.71,43.107544,,10.64841667,79.20619444,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20619444444445 10.648416666666666, 79.20786111111111 10.64686111111111)"
78,75,S,,SA,22,74-75,252.0056306,1.19,42.666252,,10.64686111,79.20786111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20786111111111 10.64686111111111, 79.20955555555555 10.64536111111111)"
79,76,S,,SA,22,75-76,248.380475,1.03,44.903561,,10.64536111,79.20955556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20955555555555 10.64536111111111, 79.21125 10.643805555555556)"
80,77,S,,SA,22,76-77,254.6497808,1.63,45.181938,,10.64380556,79.21125,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21125 10.643805555555556, 79.21300000000001 10.642222222222221)"
81,78,T,,SC,22,77-78,258.2551721,0.98,44.13512,"0°40'52"" R",10.64222222,79.213,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21300000000001 10.642222222222221, 79.21480555555556 10.640555555555554)"
82,79,S,,SA,22,78-79,268.7362814,0.76,44.967491,,10.64055556,79.21480556,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21480555555556 10.640555555555554, 79.21647222222222 10.639055555555554)"
83,80,S,,SA,22,79-80,247.8865792,1.06,44.204704,,10.63905556,79.21647222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21647222222222 10.639055555555554, 79.21825 10.637444444444444)"
84,81,S,,SA,22,80-81,263.8045301,1.09,43.958469,,10.63744444,79.21825,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21825 10.637444444444444, 79.21983333333334 10.635972222222222)"
85,82,S,,SA,22,81-82,236.7688489,0.65,42.249874,,10.63597222,79.21983333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21983333333334 10.635972222222222, 79.2215 10.634472222222222)"
86,83,S,,SA,22,82-83,247.7948883,0.31,43.86174,,10.63447222,79.2215,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2215 10.634472222222222, 79.22308333333334 10.633000000000001)"
87,84,S,,SA,22,83-84,238.2149278,0.17,44.368561,,10.633,79.22308333,GOOD,Available,,MAIN ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22308333333334 10.633000000000001, 79.22477777777777 10.631444444444444)"
88,85,S,,SA,22,84-85,253.0514883,2.06,43.380653,,10.63144444,79.22477778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22477777777777 10.631444444444444, 79.22636111111112 10.63)"
89,86,T,2W,SC,22,85-86,234.3955599,1.61,46.245987,"0°31'29"" R",10.63,79.22636111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22636111111112 10.63, 79.22802777777778 10.628444444444446)"
90,87,S,,SA,22,86-87,252.4561761,1.33,44.776756,,10.62844444,79.22802778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22802777777778 10.628444444444446, 79.22980555555556 10.626805555555556)"
91,88,S,,SA,22,87-88,265.2042028,0.79,43.267815,,10.62680556,79.22980556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22980555555556 10.626805555555556, 79.23158333333333 10.625166666666667)"
92,89,S,,SA,22,88-89,264.7161069,2.35,42.484886,,10.62516667,79.23158333,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23158333333333 10.625166666666667, 79.23325 10.623666666666667)"
93,90,S,,SA,22,89-90,249.6482228,1.17,42.7766,,10.62366667,79.23325,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23325 10.623666666666667, 79.23472222222222 10.622277777777779)"
94,91,S,,SA,22,90-91,219.2776105,0.19,42.940964,,10.62227778,79.23472222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23472222222222 10.622277777777779, 79.23597222222223 10.621111111111112)"
95,92,T,,SC,22,91-92,187.8527613,0.69,43.567959,"9°19'23"" L",10.62111111,79.23597222,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23597222222223 10.621111111111112, 79.23744444444445 10.620138888888889)"
96,93,S,,SA,22,92-93,195.87195,0.16,44.025185,,10.62013889,79.23744444,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23744444444445 10.620138888888889, 79.23905555555555 10.619055555555557)"
