S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 11,S,,DA,26,10-Nov,318.0770347,2.61,24,,11.44906391,79.49756265,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49756265305479 11.449063914655971, 79.49454781207818 11.448976089003278)"
12,T.NO 12,S,,DA,26,11-Dec,329.0972501,3.41,24,,11.44897609,79.49454781,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49454781207818 11.448976089003278, 79.49167961360979 11.448888988563903)"
13,T.NO 13,S,,DA,26,Dec-13,313.1022197,2.17,26,,11.44888899,79.49167961,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49167961360979 11.448888988563903, 79.48854597811624 11.44873720322327)"
14,T.NO 14,T,,DC,26,13-14,342.3287893,4.47,27,"29°31'14""",11.4487372,79.48854598,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48854597811624 11.44873720322327, 79.4862500924785 11.447884537568207)"
15,T.NO 15,S,,DA,26,14-15,267.6751763,3.91,24,,11.44788454,79.48625009,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4862500924785 11.447884537568207, 79.48382276965557 11.445901074513364)"
16,T.NO 16,T,,DD,28,15-16,343.918595,2.71,24,"31°1'44""",11.44590107,79.48382277,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48382276965557 11.445901074513364, 79.48130248982643 11.445888005175963)"
17,T.NO 17,T,,DB,24,16-17,275,3.51,24,"4°39'10""",11.44588801,79.48130249,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48130248982643 11.445888005175963, 79.47850587308541 11.446135660038145)"
18,T.NO 18,S,,DA,26,17-18,306.3755865,5.17,25,,11.44613566,79.47850587,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47850587308541 11.446135660038145, 79.47563627662717 11.446319621985115)"
19,T.NO 19,S,,DA,26,18-19,313.7722104,3.21,23,,11.44631962,79.47563628,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47563627662717 11.446319621985115, 79.47306023926316 11.446450842817887)"
20,T.NO 20,S,,DA,26,19-20,281.4551474,4.31,26,,11.44645084,79.47306024,GOOD,GOOD,LT-1 HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47306023926316 11.446450842817887, 79.47150128192928 11.446623518436205)"
21,T.NO 21,T,,DC,26,20-21,171.1724277,3.17,24,"17°4'43""",11.44662352,79.47150128,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47150128192928 11.446623518436205, 79.47096119995744 11.44650316691404)"
22,GT 110KV  M.T.KUPPAM SS,GT,2W,GT,15,21-GT,60.41522987,,24,,11.44650317,79.4709612,GOOD,MISSING,,,PLAIN,110KV M.T.KUPPAM SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,5878M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
