S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,36/12,T,,DC+3,29,36/11-36/12,260.6378255,Not taken,77,"39°47'51"" L",10.86813889,78.69444444,GOOD,Available,,Water Pipe,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69444444444444 10.86813888888889, 78.69736111111112 10.868083333333335)"
13,36/13,T,2W,DC+9,35,36/12-36/13,318.801907,Not taken,76,"18°0'33"" R",10.86808333,78.69736111,GOOD,Available,,Inside River,Water Logged,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69736111111112 10.868083333333335, 78.69916666666667 10.867444444444445)"
14,36/14,T,,DC+9,35,36/13-36/14,207.9438997,Not taken,76,"12°27'4"" R",10.86744444,78.69916667,GOOD,Available,,Railway,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.69916666666667 10.867444444444445, 78.70027777777779 10.866777777777779)"
15,36/15,T,,DC+3,29,36/14-36/15,142.6043077,Not taken,77,"4°32'0"" L",10.86677778,78.70027778,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70027777777779 10.866777777777779, 78.70138888888889 10.866222222222222)"
16,36/16,S,,DA,26,36/15-36/16,138.4874681,Not taken,75,,10.86622222,78.70138889,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70138888888889 10.866222222222222, 78.70266666666667 10.86561111111111)"
17,36/17,T,,DC+3,29,36/16-36/17,153.3098146,Not taken,75,"7°57'26"" L",10.86561111,78.70266667,GOOD,Available,,Water Pipe,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70266666666667 10.86561111111111, 78.70355555555555 10.865333333333332)"
18,36/18,T,,DC+9,35,36/17-36/18,103.595016,Not taken,76,"5°32'25"" R",10.86533333,78.70355556,GOOD,Available,,Inside River,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70355555555555 10.865333333333332, 78.70491666666668 10.864777777777778)"
19,36/19,T,2W,DC+9,35,36/18-36/19,161.114215,Not taken,76,"5°35'18"" L",10.86477778,78.70491667,GOOD,Available,,NH,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70491666666668 10.864777777777778, 78.70716666666667 10.86411111111111)"
20,36/20,T,,DC,26,36/19-36/20,256.859724,Not taken,76,"89°8'50"" R",10.86411111,78.70716667,GOOD,Available,,,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70716666666667 10.86411111111111, 78.70675 10.86286111111111)"
21,36/21,T,,DC,26,36/20-36/21,145.7504721,4.56,80,"82°2'11"" L",10.86286111,78.70675,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70675 10.86286111111111, 78.70738888888889 10.862555555555556)"
22,36/22,T,,DC,26,36/21-36/22,76.93020613,3.85,81,"74°22'37"" R",10.86255556,78.70738889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70738888888889 10.862555555555556, 78.70719444444445 10.861555555555555)"
23,36/23,T,,DC+3,29,36/22-36/23,110.7804785,1.85,80,"37°7'29"" L",10.86155556,78.70719444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70719444444445 10.861555555555555, 78.70775 10.860444444444443)"
24,36/24,T,,DC+3,29,36/23-36/24,137.1092606,2.96,85,"2°35'53"" R",10.86044444,78.70775,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70775 10.860444444444443, 78.70788888888889 10.860166666666666)"
25,36/25,T,,DC+6,32,36/24-36/25,35.86583143,5.74,85,"0°23'32"" R",10.86016667,78.70788889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70788888888889 10.860166666666666, 78.70816666666667 10.859555555555556)"
26,36/26,T,,DC+6,32,36/25-36/26,72.8109244,2.75,86,"28°21'51"" R",10.85955556,78.70816667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70816666666667 10.859555555555556, 78.7081388888889 10.859361111111111)"
27,"Gantry 
( T.V. Koil SS )",T,2W,H-Pole,26,36/26-36/27,21.77086964,,86,,10.85936111,78.70813889,GOOD,NO E/W,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note :  1. Shut down will be required in where earth wiers are missing 
             2. Footing Resistance of Tower ( Ohms) is not taken from T.No 36/1 to  36/20 due to water logged/ tower is located inside of river.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
