Tower No,Tower Type,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
181,SC,,26,180-181,291.9087879,2.65,106.146332,"27°19'14""LT",10.97892544,78.44423417,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44423417032729 10.978925435747609, 78.4414911724658 10.978922433361662)"
182,SA,,26,181-182,299.9668076,4.55,102.847939,,10.97892243,78.44149117,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4414911724658 10.978922433361662, 78.4386191760064 10.978925440329382)"
183,SA,,26,182-183,314.0743951,8.5,102.026314,,10.97892544,78.43861918,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4386191760064 10.978925440329382, 78.43573617875234 10.978888435367251)"
184,SC,,26,183-184,315.3045437,5.35,103.438377,"21°14'52""LT",10.97888844,78.43573618,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43573617875234 10.978888435367251, 78.43398918061527 10.97820843787778)"
185,SD,,28,184-185,205.3377905,1.88,103.32547,"87°10'18""LT",10.97820844,78.43398918,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43398918061527 10.97820843787778, 78.43478517946805 10.975834442449194)"
186,SA,,26,185-186,276.7933355,3.35,105.03447,,10.97583444,78.43478518,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43478517946805 10.975834442449194, 78.43557617885848 10.973568438010007)"
187,SB,,24,186-187,265.2954418,2.65,107.020454,"1°15'39""LT",10.97356844,78.43557618,GOOD,GOOD,LT-2,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43557617885848 10.973568438010007, 78.43640417791865 10.971312435323338)"
188,SB,,24,187-188,265.6013381,3.85,105.404694,"8°36'42""RT",10.97131244,78.43640418,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43640417791865 10.971312435323338, 78.43646617749008 10.971006443640247)"
GT MUSIRI SS,GANTRY,2W,20,188-GT,34.53852199,,107.489212,,10.97100644,78.43646618,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
