Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,DA,S,,26,15-16,278.3633277,7.85,71.213593,,11.03593243,79.06279571,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06279571201533 11.035932428646667, 79.06387571141731 11.033741424640723)"
17,DA,S,,26,16-17,269.6064067,6.15,71.410347,,11.03374142,79.06387571,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06387571141731 11.033741424640723, 79.0648947112754 11.031758422488908)"
18,DB,T,,24,17-18,246.0326087,2.85,69.627487,"14°20'5""",11.03175842,79.06489471,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0648947112754 11.031758422488908, 79.06602971031036 11.030383425107587)"
19,DA,S,,26,18-19,196.2848483,4.68,72.133591,,11.03038343,79.06602971,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06602971031036 11.030383425107587, 79.06693471009925 11.029412425422501)"
20,DB,T,,24,19-20,146.0240801,4.5,70.086754,"14°44'9""",11.02941243,79.06693471,GOOD,GOOD,HT-1,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06693471009925 11.029412425422501, 79.06799093213948 11.02726465158429)"
21,DA,S,,26,20-21,265,5.36,,,11.02726465,79.06799093,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06799093213948 11.02726465158429, 79.06904970873032 11.025155430715067)"
22,DA,S,,26,21-22,260,6.15,72.337349,,11.02515543,79.06904971,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06904970873032 11.025155430715067, 79.0700877085067 11.023190427298152)"
23,DA,S,,26,22-23,245.2131708,1.75,73.219826,,11.02319043,79.07008771,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0700877085067 11.023190427298152, 79.0710297073961 11.02116942396838)"
24,DA,S,,26,23-24,246.1523372,3.45,70.539001,,11.02116942,79.07102971,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0710297073961 11.02116942396838, 79.07207370738438 11.019005430586809)"
25,DA,S,,26,24-25,265.2076349,5.32,76.696281,,11.01900543,79.07207371,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07207370738438 11.019005430586809, 79.07310170631183 11.016880432903733)"
26,DD,T,,28,25-26,260.5610817,9.35,72.468307,"45°18'59""",11.01688043,79.07310171,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07310170631183 11.016880432903733, 79.07341170654122 11.01677642590553)"
