S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
61,116,T,,DB,22,113 - 112,182.1391127,3.85,70,"4°24'2"" L",10.90813889,78.83438889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83438888888888 10.908138888888889, 78.833 10.907361111111111)"
62,115,T,,DB,22,112 - LILO : 111 ,176.2053447,4.65,71.390808,"0°55'28"" R",10.90736111,78.833,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.833 10.907361111111111, 78.83163888888889 10.90638888888889)"
63,114,S,,SA,22,LILO : 111  - 110,183.5848007,1.9,71.803238,,10.90638889,78.83163889,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83163888888889 10.90638888888889, 78.82991666666666 10.905166666666666)"
64,113,S,,SA,22,110 - 109,231.861426,2.21,70.716049,,10.90516667,78.82991667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82991666666666 10.905166666666666, 78.82869444444444 10.904444444444445)"
65,112,S,,SA,22,109 - 108,156.9397177,2.2,71.374962,,10.90444444,78.82869444,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82869444444444 10.904444444444445, 78.82666666666667 10.903194444444445)"
66,LILO : 111 ,T,3W,DB,22,108 - 107,261.3340742,3.1,70.11879,"2°4'46"" R",10.90319444,78.82666667,GOOD,Available,LT,,PLAIN, LILO to Valady,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82666666666667 10.903194444444445, 78.82480555555556 10.90188888888889)"
67,110,T,,DB,22,107 - 106,249.1957568,3.9,71.650505,"1°10'36"" L",10.90188889,78.82480556,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82480555555556 10.90188888888889, 78.82272222222223 10.900555555555556)"
68,109,S,,SA,22,106 - 105,271.6491713,4.2,70.630714,,10.90055556,78.82272222,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82272222222223 10.900555555555556, 78.82102777777777 10.899416666666665)"
69,108,S,,SA,22,105 - 104,222.0434155,3.22,70.763329,,10.89941667,78.82102778,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82102777777777 10.899416666666665, 78.81916666666666 10.898166666666667)"
70,107,S,,SA,22,104 - 103,246.6477541,4.03,69.886795,,10.89816667,78.81916667,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81916666666666 10.898166666666667, 78.81705555555556 10.896805555555556)"
71,106,S,,SA,22,103 - 102,274.716718,1.26,70.099258,,10.89680556,78.81705556,GOOD,Available,"HT,LT -2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81705555555556 10.896805555555556, 78.81491666666666 10.895388888888888)"
72,105,S,,SA,22,102 - 101,284.6257851,1.09,66.925369,,10.89538889,78.81491667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81491666666666 10.895388888888888, 78.81280555555556 10.894)"
73,104,S,,SA,22,101 - 100,274.938551,2.1,66.912277,,10.894,78.81280556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81280555555556 10.894, 78.81141666666666 10.893083333333333)"
74,103,S,,SA,22,100 - 99,183.6146897,1.37,67.009697,,10.89308333,78.81141667,GOOD,Available,HT,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81141666666666 10.893083333333333, 78.80975 10.892027777777777)"
75,102,T,,SB,22,99 - 98,217.8055836,3.01,68.43354,"0°54'55"" R",10.89202778,78.80975,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80975 10.892027777777777, 78.80755555555555 10.891888888888888)"
76,101,S,,SA,22,98 - 97,240.4571028,1.46,67.465927,,10.89188889,78.80755556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80755555555555 10.891888888888888, 78.80525 10.891722222222223)"
77,100,S,,SA,22,97 - 96,252.4181264,4.06,65.924911,,10.89172222,78.80525,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80525 10.891722222222223, 78.80305555555556 10.891555555555556)"
78,99,S,,SA,22,96 - 95,239.077506,2.06,67.603127,,10.89155556,78.80305556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80305555555556 10.891555555555556, 78.8003611111111 10.891388888888889)"
79,98,T,2W,SB,22,95 - 94,297.3726687,1.46,68.582008,"2°42'27"" L",10.89138889,78.80036111,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8003611111111 10.891388888888889, 78.79813888888889 10.891305555555554)"
80,97,S,,SA,22,94 - 93,241.4616057,1.43,68.102104,,10.89130556,78.79813889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79813888888889 10.891305555555554, 78.79577777777777 10.89111111111111)"
81,96,S,,SA,22,93 - 92,259.857711,1.09,68.238152,,10.89111111,78.79577778,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79577777777777 10.89111111111111, 78.79347222222222 10.89111111111111)"
82,95,S,,SA,22,92 - 91,250.4461396,2.46,70.267761,,10.89111111,78.79347222,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79347222222222 10.89111111111111, 78.79127777777778 10.890805555555556)"
83,94,S,,SA,22,91 - 90,243.9245449,3.46,68.544785,,10.89080556,78.79127778,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79127777777778 10.890805555555556, 78.78902777777778 10.890666666666666)"
84,93,S,,SA,22,90 - 89,246.5816956,1.27,69.198936,,10.89066667,78.78902778,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78902777777778 10.890666666666666, 78.78622222222222 10.890472222222222)"
85,92,S,,SA,22,89 - 88,307.0359345,1.96,69.050873,,10.89047222,78.78622222,GOOD,Available,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78622222222222 10.890472222222222, 78.78483333333332 10.890472222222222)"
86,91,T,,SC,22,88 - 87,152.0127263,1.01,70.650131,"5°9'1"" R",10.89047222,78.78483333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78483333333332 10.890472222222222, 78.78322222222222 10.890083333333333)"
87,90,S,,SA,22,87 - 86,180.4839372,2.07,71.361763,,10.89008333,78.78322222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78322222222222 10.890083333333333, 78.78088888888888 10.890055555555556)"
88,89,S,,SA,22,86 - 85,256.5202738,4.21,72.215134,,10.89005556,78.78088889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78088888888888 10.890055555555556, 78.77888888888889 10.889999999999999)"
89,88,S,,SA,22,85 - 84,217.1638124,3.8,72.175751,,10.89,78.77888889,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77888888888889 10.889999999999999, 78.7765 10.889777777777777)"
90,87,S,,SA,22,84 - 83,262.6648161,4.21,72.608482,,10.88977778,78.7765,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7765 10.889777777777777, 78.774 10.889694444444444)"
91,86,S,,SA,22,83 - 82,273.4554273,2.17,69.256996,,10.88969444,78.774,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.774 10.889694444444444, 78.77166666666666 10.889555555555555)"
92,85,S,,SA,22,82 - 81,256.1522007,3.03,69.613953,,10.88955556,78.77166667,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77166666666666 10.889555555555555, 78.76941666666667 10.889388888888888)"
93,84,S,,SA,22,81 - 80,245.8168282,2.6,71,,10.88938889,78.76941667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76941666666667 10.889388888888888, 78.76702777777777 10.889249999999999)"
94,83,T,2W,SC,22,80 - 79,264.5329396,4.1,71.774612,"0°8'58"" R",10.88925,78.76702778,GOOD,Available,LT,ROAD,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76702777777777 10.889249999999999, 78.76491666666666 10.889305555555556)"
