S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
17,16,S,,SA,22,19-20,242,3.63,12,,10.53072222,79.62102778,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62102777777777 10.530722222222224, 79.62088888888889 10.528305555555557)"
18,17,S,,SA,22,20-21,268,3.56,12,,10.52830556,79.62088889,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62088888888889 10.528305555555557, 79.62080555555555 10.525666666666668)"
19,18,S,,SA,22,21-22,291.1414301,2.59,12,,10.52566667,79.62080556,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62080555555555 10.525666666666668, 79.62072222222221 10.52288888888889)"
20,19,S,,SA,22,22-23,312,3.12,12,,10.52288889,79.62072222,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62072222222221 10.52288888888889, 79.62066666666666 10.520361111111113)"
21,20,S,,SA,22,23-24,280,3.79,11,,10.52036111,79.62066667,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62066666666666 10.520361111111113, 79.6206111111111 10.517555555555557)"
22,21,S,,SA,22,24-25,313,2.65,12,,10.51755556,79.62061111,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6206111111111 10.517555555555557, 79.62058333333333 10.515083333333333)"
23,22,S,,SA,22,25-26,272.0589824,3.95,13,,10.51508333,79.62058333,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62058333333333 10.515083333333333, 79.62052777777777 10.513361111111111)"
24,23,T,,SC,22,26-27,194,3.12,12,"11°6'20"" L",10.51336111,79.62052778,,,,,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62052777777777 10.513361111111111, 79.62083333333332 10.511666666666667)"
25,24,S,,SA,22,27-28,194,4.01,12,,10.51166667,79.62083333,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62083333333332 10.511666666666667, 79.62122222222222 10.509444444444444)"
26,25,S,,SA,22,28-29,248.9137208,2.76,13,,10.50944444,79.62122222,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62122222222222 10.509444444444444, 79.62169444444444 10.506944444444445)"
27,26,S,,SA,22,29-30,280.5382201,1.87,29.276318,,10.50694444,79.62169444,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62169444444444 10.506944444444445, 79.62222222222222 10.504416666666666)"
28,27,S,,SA,22,30-31,290,3.09,34.735073,,10.50441667,79.62222222,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62222222222222 10.504416666666666, 79.62275 10.502)"
29,28,T,,SC,22,31-32,275,4.41,21.984785,"58°47'2"" L",10.502,79.62275,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62275 10.502, 79.62366666666667 10.501694444444444)"
30,29,T,2W,SC,22,32-33,104.9291198,2.17,18.373175,"34°16'58"" R",10.50169444,79.62366667,2W,,,,GOOD,Available,LT,RAILWAY ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62366666666667 10.501694444444444, 79.62497222222221 10.499916666666666)"
31,30,S,,SA,22,33-34,243.521331,2,17.370031,,10.49991667,79.62497222,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62497222222221 10.499916666666666, 79.62616666666666 10.498416666666666)"
32,31,S,,SA,22,34-35,210.1158768,3.66,14.085415,,10.49841667,79.62616667,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62616666666666 10.498416666666666, 79.62777777777777 10.496388888888887)"
33,32,S,,SA,22,35-36,290,4.27,13.713459,,10.49638889,79.62777778,,,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62777777777777 10.496388888888887, 79.62933333333332 10.49425)"
34,33,T,,SC,22,36-37,292,3.01,12.87545,"0°4'56"" L",10.49425,79.62933333,,,,,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62933333333332 10.49425, 79.6301111111111 10.493166666666665)"
35,34,S,,SA,22,37-38,146.970627,3.39,11.486584,,10.49316667,79.63011111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6301111111111 10.493166666666665, 79.63125 10.491527777777778)"
36,35,S,,SA,22,38-39,225,4.37,10.609203,,10.49152778,79.63125,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63125 10.491527777777778, 79.63236111111111 10.489888888888888)"
37,36,T,,SC,22,39-40,220,2.5,10.247944,"38°27'1"" R",10.48988889,79.63236111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63236111111111 10.489888888888888, 79.63225 10.488555555555555)"
38,37,S,,SA,22,40-41,150.1314037,2.91,9.164658,,10.48855556,79.63225,,,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63225 10.488555555555555, 79.63202777777776 10.486333333333333)"
39,38,S,,SA,22,41-42,245.1892454,3.81,9.164574,,10.48633333,79.63202778,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63202777777776 10.486333333333333, 79.63177777777777 10.48397222222222)"
40,39,S,,SA,22,42-43,264,2.09,8.993458,,10.48397222,79.63177778,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63177777777777 10.48397222222222, 79.63152777777778 10.48163888888889)"
41,40,S,,SA,22,43-44,261.6141173,1.01,6.350487,,10.48163889,79.63152778,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63152777777778 10.48163888888889, 79.6313611111111 10.479472222222222)"
42,41,S,,SA,22,44-45,248,2.43,4.811722,,10.47947222,79.63136111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6313611111111 10.479472222222222, 79.63111111111111 10.47725)"
43,42,T,2W,SC,22,45-46,245.3653651,1.67,4.626604,"2°41'49"" R",10.47725,79.63111111,2W,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63111111111111 10.47725, 79.63074999999999 10.474805555555555)"
44,43,S,,SA,22,46-47,275.116818,2.16,12.722527,,10.47480556,79.63075,,,,,GOOD,Available,,"ROAD , CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63074999999999 10.474805555555555, 79.63024999999999 10.471916666666667)"
45,44,S,,SA,22,47-48,326,2.18,12.958912,,10.47191667,79.63025,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63024999999999 10.471916666666667, 79.62980555555555 10.469277777777778)"
46,45,S,,SA,22,48-49,296.3669561,3.79,12.157938,,10.46927778,79.62980556,,,,,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62980555555555 10.469277777777778, 79.62930555555555 10.466472222222222)"
47,46,S,,SA,22,49-50,314,2.46,11.590946,,10.46647222,79.62930556,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62930555555555 10.466472222222222, 79.6288611111111 10.463999999999999)"
48,47,S,,SA,22,50-51,283,1.85,10.969334,,10.464,79.62886111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6288611111111 10.463999999999999, 79.62844444444444 10.461583333333333)"
49,48,S,,SA,22,51-52,270.9835268,2.92,12.382699,,10.46158333,79.62844444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62844444444444 10.461583333333333, 79.628 10.459083333333332)"
50,49,S,,SA,22,52-53,278.949536,2.78,10.83511,,10.45908333,79.628,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.628 10.459083333333332, 79.62763888888888 10.4575)"
51,50,T,,SC,22,53-54,179.1449826,3.13,11.94276,"8°31'30"" R",10.4575,79.62763889,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62763888888888 10.4575, 79.62672222222221 10.455083333333333)"
52,51,S,,SA,22,54-55,290,2.27,10.957391,,10.45508333,79.62672222,,,,,GOOD,Available,,RIVER,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62672222222221 10.455083333333333, 79.62583333333333 10.452694444444443)"
53,52,S,,SA,22,55-56,282.674593,2.63,12.325587,,10.45269444,79.62583333,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62583333333333 10.452694444444443, 79.62488888888888 10.450333333333333)"
54,53,S,,SA,22,56-57,281,3.76,10.977976,,10.45033333,79.62488889,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62488888888888 10.450333333333333, 79.62402777777777 10.448083333333333)"
55,54,S,,SA,22,57-58,266.3273346,1.99,10.191048,,10.44808333,79.62402778,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62402777777777 10.448083333333333, 79.62319444444444 10.445666666666668)"
56,55,S,,SA,22,58-59,282.4746385,2.67,11.235059,,10.44566667,79.62319444,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62319444444444 10.445666666666668, 79.62238888888888 10.443416666666668)"
57,56,S,,SA,22,59-60,266,2.36,9.625366,,10.44341667,79.62238889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62238888888888 10.443416666666668, 79.62158333333333 10.441055555555556)"
58,57,T,2W,SC,22,60-61,275,3.01,11.052322,"7°43'10"" L",10.44105556,79.62158333,2W,,,,GOOD,Available,,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62158333333333 10.441055555555556, 79.62108333333333 10.438527777777779)"
59,58,S,,SA,22,61-62,285.4331708,2.46,9.086405,,10.43852778,79.62108333,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62108333333333 10.438527777777779, 79.62058333333333 10.43613888888889)"
60,59,S,,SA,22,62-63,273,4.09,9.457773,,10.43613889,79.62058333,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62058333333333 10.43613888888889, 79.6201111111111 10.433861111111112)"
61,60,S,,SA,22,63-64,258.5531866,4.29,10.134575,,10.43386111,79.62011111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6201111111111 10.433861111111112, 79.61963888888889 10.431472222222222)"
62,61,S,,SA,22,64-65,272,1.49,10.025936,,10.43147222,79.61963889,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61963888888889 10.431472222222222, 79.61916666666666 10.428972222222221)"
63,62,T,,SC,22,65-66,284,1.93,8.179382,"0°28'16"" L",10.42897222,79.61916667,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61916666666666 10.428972222222221, 79.61863888888888 10.426222222222222)"
64,63,S,,SA,22,66-67,315,2.27,10.039865,,10.42622222,79.61863889,,,,,GOOD,Available,HT,ROAD & RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61863888888888 10.426222222222222, 79.61816666666665 10.423416666666666)"
65,64,T,,SC,22,67-68,317,3.04,12.296476,"46°42'30"" L",10.42341667,79.61816667,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61816666666665 10.423416666666666, 79.61902777777777 10.422277777777778)"
66,65,S,,SA,22,68-69,158.695527,1.67,9.874584,,10.42227778,79.61902778,,,,,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61902777777777 10.422277777777778, 79.61988888888888 10.421138888888889)"
67,66,T,,SC,22,69-70,158.1922032,2.29,7.832605,"5°0'11"" R",10.42113889,79.61988889,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61988888888888 10.421138888888889, 79.6206111111111 10.42)"
68,67,T,,SC,22,70-71,148.896076,3.36,12.482435,"28°56'33"" L",10.42,79.62061111,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6206111111111 10.42, 79.62191666666666 10.419277777777777)"
69,68,S,,SA,22,71-72,163.2305918,1.45,10.950325,,10.41927778,79.62191667,,,,,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62191666666666 10.419277777777777, 79.62330555555555 10.4185)"
70,69,T,,SC,22,72-73,174.1096633,2.1,10.476669,"36°8'23"" R",10.4185,79.62330556,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62330555555555 10.4185, 79.6241111111111 10.416694444444444)"
71,70,T,,SC,22,73-74,220,0.87,10.431114,"50°58'26"" L",10.41669444,79.62411111,,,,,GOOD,Available,LT,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6241111111111 10.416694444444444, 79.62636111111111 10.416083333333333)"
72,71,T,,SC,22,74-75,256.8953182,1.11,9.660301,"6°47'5"" R",10.41608333,79.62636111,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62636111111111 10.416083333333333, 79.62805555555555 10.41538888888889)"
73,72,S,,SA,22,75-76,197.7143386,1.12,8.410851,,10.41538889,79.62805556,,,,,GOOD,Available,"HT,LT",VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62805555555555 10.41538888888889, 79.63008333333333 10.41463888888889)"
74,73,T,,SC,22,76-77,238.1589853,1.6,7.268608,"17°28'15"" R",10.41463889,79.63008333,,,,,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63008333333333 10.41463888888889, 79.63149999999999 10.413555555555556)"
75,74,T,2W,SC,22,77-78,195.1886571,3.1,7.98512,"31°30'55"" R",10.41355556,79.6315,2W,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63149999999999 10.413555555555556, 79.63194444444444 10.412361111111112)"
76,75,S,,SA,22,78-79,143,2.47,5.737849,,10.41236111,79.63194444,,,,,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63194444444444 10.412361111111112, 79.63266666666667 10.4105)"
77,76,T,,SC,22,79-80,220.5498184,1.73,6.294205,"66°29'15"" L",10.4105,79.63266667,,,,,GOOD,Available,LT -2N,"VILLAGE ROAD , RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63266666666667 10.4105, 79.63525000000001 10.410416666666666)"
78,77,S,,SA,22,80-81,284.2371678,2.46,6.416915,,10.41041667,79.63525,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63525000000001 10.410416666666666, 79.63744444444445 10.410333333333334)"
79,78,T,,SC,22,81-82,237.9587842,2.97,6.387811,"29°14'52"" L",10.41033333,79.63744444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63744444444445 10.410333333333334, 79.63952777777779 10.411388888888888)"
80,79,T,,SC,22,82-83,256.7161714,1.71,4.913962,"1°53'16"" R",10.41138889,79.63952778,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63952777777779 10.411388888888888, 79.64225 10.412666666666667)"
81,80,T,,SC,22,83-84,330.6778621,1.23,4.432931,"12°3'11"" R",10.41266667,79.64225,,,,,GOOD,Available,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64225 10.412666666666667, 79.6443888888889 10.413166666666667)"
82,81,T,,SC,22,84-85,241.1344779,1.07,4.031382,"6°46'1"" R",10.41316667,79.64438889,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6443888888889 10.413166666666667, 79.64719444444445 10.413472222222223)"
83,82,S,,SA,22,85-86,308.623322,2.36,3.51561,,10.41347222,79.64719444,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64719444444445 10.413472222222223, 79.64975000000001 10.413638888888888)"
84,83,T,,SC,22,86-,280.0534576,1.79,3.378652,"16°49'21"" R",10.41363889,79.64975,,,,,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64975000000001 10.413638888888888, 79.65138888888889 10.413277777777779)"
85,84,T,,SC,22,-,183.8845045,2.61,5.08428,"16°14'24"" R",10.41327778,79.65138889,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65138888888889 10.413277777777779, 79.65230555555556 10.412777777777778)"
86,85,T,,DC,26,-,117.1076851,4.16,5.611353,"24°52'31"" L",10.41277778,79.65230556,,,,,GOOD,Available,,,PLAIN,Common Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65230555555556 10.412777777777778, 79.6526388888889 10.41275)"
87,86,Gantry,2W,H-POLE,12,-,33.93017939,,6.444827,,10.41275,79.65263889,2W,,,,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
