S. No ,Tower No,Supspension/Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
34,T.NO 28,S,,SA,26,27-28,204.9730374,6.14,14,,79.62044444,11.35963889,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62044444444444 11.359638888888888, 79.6188611111111 11.359083333333333)"
35,T.NO 29,T,2W,SB,24,28-29,186,3.7,14,"10°18'35""",79.61886111,11.35908333,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6188611111111 11.359083333333333, 79.61663888888889 11.357861111111111)"
36,T.NO 30,S,,SA,26,29-30,279.4690288,3.25,14,,79.61663889,11.35786111,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61663888888889 11.357861111111111, 79.61430555555555 11.3565)"
37,T.NO 31,S,,SA,26,30-31,294.6153947,4.51,16,,79.61430556,11.3565,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61430555555555 11.3565, 79.61191666666666 11.355083333333333)"
38,T.NO 32,S,,SA,26,31-32,307.1388574,6.59,14,,79.61191667,11.35508333,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61191666666666 11.355083333333333, 79.60963888888888 11.353805555555555)"
39,T.NO 33,S,,SA,26,32-33,287.1503102,5.61,15,,79.60963889,11.35380556,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60963888888888 11.353805555555555, 79.60741666666667 11.352527777777777)"
40,T.NO 34,T,,SB,24,33-34,280.5782538,7.39,13,"3°39'13""",79.60741667,11.35252778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60741666666667 11.352527777777777, 79.60494444444444 11.351277777777778)"
41,T.NO 35,S,,SA,26,34-35,304.6593486,6.12,13,,79.60494444,11.35127778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60494444444444 11.351277777777778, 79.60255555555555 11.350083333333332)"
42,T.NO 36,S,,SA,26,35-36,293.4807686,5.8,14,,79.60255556,11.35008333,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60255555555555 11.350083333333332, 79.60027777777778 11.348944444444445)"
43,T.NO 37,S,,SA,26,36-37,278.7210831,5.37,16,,79.60027778,11.34894444,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60027777777778 11.348944444444445, 79.59797222222221 11.347777777777779)"
44,T.NO 38,T,,SB,24,37-38,284.0865592,4.65,12,"1°5'18""",79.59797222,11.34777778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59797222222221 11.347777777777779, 79.59541666666667 11.346583333333333)"
45,T.NO 39,S,,SA,26,38-39,309.1768973,5.82,14,,79.59541667,11.34658333,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59541666666667 11.346583333333333, 79.59316666666666 11.345472222222222)"
46,T.NO 40,S,,SA,26,39-40,275.6069919,6.43,19,,79.59316667,11.34547222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59316666666666 11.345472222222222, 79.59088888888888 11.344361111111112)"
47,T.NO 41,S,,SA,26,40-41,278.2814455,,15,,79.59088889,11.34436111,GOOD,GOOD,,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59088888888888 11.344361111111112, 79.58863888888888 11.343277777777779)"
48,T.NO 42,T,2W,SB,24,41-42,274.7389267,1.97,10,"0°1'58""",79.58863889,11.34327778,GOOD,GOOD,HT,,COLTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58863888888888 11.343277777777779, 79.58605555555555 11.342055555555556)"
49,T.NO 43,S,,SA,26,42-43,314.5506339,2.9,16,,79.58605556,11.34205556,GOOD,GOOD,HT,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58605555555555 11.342055555555556, 79.58316666666666 11.34063888888889)"
50,T.NO 44,S,,SA,26,43-44,354.3058165,4.65,15,,79.58316667,11.34063889,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58316666666666 11.34063888888889, 79.58052777777777 11.339416666666667)"
51,T.NO 45,S,,SA,26,44-45,315.5743155,,14,,79.58052778,11.33941667,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58052777777777 11.339416666666667, 79.57838888888888 11.3385)"
52,T.NO 46,S,,SA,26,45-46,258.0992026,2.38,12,,79.57838889,11.3385,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57838888888888 11.3385, 79.57613888888889 11.337250000000001)"
53,T.NO 47,T,,SB,24,46-47,281.7026897,4.72,14,"4°53'45""",79.57613889,11.33725,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57613888888889 11.337250000000001, 79.57394444444444 11.33625)"
54,T.NO 48,S,,SA,26,47-48,263.2689459,5.46,17,,79.57394444,11.33625,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57394444444444 11.33625, 79.57180555555556 11.335277777777778)"
55,T.NO 49,S,,SA,26,48-49,259.1414341,3.92,11,,79.57180556,11.33527778,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57180555555556 11.335277777777778, 79.56983333333334 11.33436111111111)"
56,T.NO 50,S,,SA,26,49-50,240.0146439,4.75,17,,79.56983333,11.33436111,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56983333333334 11.33436111111111, 79.56830555555555 11.333694444444445)"
57,T.NO 51,T,,SD,28,50-51,181.8341782,3.19,17,"39°4'10""",79.56830556,11.33369444,GOOD,GOOD,,MUD ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56830555555555 11.333694444444445, 79.56733333333332 11.331722222222222)"
58,T.NO 45,T,,SD,28,51-45,245.1802613,1.78,18,"35°37'37""",79.56733333,11.33172222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56733333333332 11.331722222222222, 79.5675 11.33061111111111)"
59,T.NO 46 LILO SETHIYATHOPPU ,T,3W,DC,26,45-46,124.4706443,,19,"20°28'24""",79.5675,11.33061111,GOOD,GOOD,,,COLTIVACTION LAND,SETHIYATHOPPU LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5675 11.33061111111111, 79.56880555555556 11.32836111111111)"
60,T.NO 47,T,,DB,24,46-47,288.892341,3.73,19,"4°51'52""",79.56880556,11.32836111,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56880555555556 11.32836111111111, 79.56988888888888 11.326055555555556)"
61,T.NO 48,S,,DA,26,47-48,281.1446055,,20,,79.56988889,11.32605556,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56988888888888 11.326055555555556, 79.57097222222222 11.32375)"
62,T.NO 49,S,,DA,26,48-49,281.560154,2.07,20,,79.57097222,11.32375,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57097222222222 11.32375, 79.57205555555555 11.321472222222223)"
63,T.NO 50,S,,DA,26,49-50,281.4942067,,21,,79.57205556,11.32147222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57205555555555 11.321472222222223, 79.57316666666667 11.319166666666666)"
64,T.NO 51,S,,DA,26,50-51,280.1648259,,21,,79.57316667,11.31916667,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57316666666667 11.319166666666666, 79.57422222222222 11.316888888888888)"
65,T.NO 52,S,,DA,26,51-52,280.2346683,2.55,23,,79.57422222,11.31688889,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57422222222222 11.316888888888888, 79.57530555555554 11.314611111111113)"
66,T.NO 53,S,,DA,26,52-53,277.0905649,2.93,22,,79.57530556,11.31461111,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57530555555554 11.314611111111113, 79.57591666666666 11.31338888888889)"
67,T.NO 54,T,,DD,28,53-54,153.9705854,2.09,23,"34°42'32""",79.57591667,11.31338889,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57591666666666 11.31338888888889, 79.57552777777778 11.310972222222222)"
68,T.NO 55,S,,DA,26,54-55,271.4403816,1.56,23,,79.57552778,11.31097222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57552777777778 11.310972222222222, 79.57505555555555 11.308250000000001)"
69,T.NO 56,S,,DA,26,55-56,305.4733157,,22,,79.57505556,11.30825,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57505555555555 11.308250000000001, 79.57466666666666 11.305611111111112)"
70,T.NO 57,S,,DA,26,56-57,296.4471188,,23,,79.57466667,11.30561111,GOOD,GOOD,LT,TAAR ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57466666666666 11.305611111111112, 79.57419444444444 11.302972222222223)"
71,T.NO 58,S,,DA,26,57-58,297.7709555,5.97,23,,79.57419444,11.30297222,GOOD,GOOD,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57419444444444 11.302972222222223, 79.57372222222222 11.300194444444445)"
72,T.NO 59,S,,DA,26,58-59,310.5706704,4.67,22,,79.57372222,11.30019444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57372222222222 11.300194444444445, 79.57330555555555 11.297611111111111)"
73,T.NO 60,S,,DA,26,59-60,291.5064543,4.32,22,,79.57330556,11.29761111,GOOD,GOOD,HT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57330555555555 11.297611111111111, 79.57291666666666 11.295305555555556)"
74,T.NO 61,T,2W,DB,24,60-61,257.7975857,2.05,24,"9°6'17""",79.57291667,11.29530556,GOOD,GOOD,LT-2,"RIVER,ROAD",COLTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57291666666666 11.295305555555556, 79.57202777777778 11.292694444444445)"
75,T.NO 62,S,,DA,26,61-62,305.5406377,,23,,79.57202778,11.29269444,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57202777777778 11.292694444444445, 79.57113888888888 11.290222222222223)"
76,T.NO 63,S,,DA,26,62-63,292.3365751,,23,,79.57113889,11.29022222,GOOD,GOOD,,MUD ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57113888888888 11.290222222222223, 79.57027777777778 11.287722222222222)"
77,T.NO 64,S,2W,DA,26,63-64,293.5149569,3.03,23,,79.57027778,11.28772222,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57027777777778 11.287722222222222, 79.56941666666667 11.285305555555555)"
78,T.NO 65,S,,DA,26,64-65,283.4553062,,22,,79.56941667,11.28530556,GOOD,GOOD,LT,MUD ROAD,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56941666666667 11.285305555555555, 79.56855555555555 11.282805555555557)"
79,T.NO 66,S,,DA,26,65-66,293.2190959,4.07,21,,79.56855556,11.28280556,GOOD,GOOD,HT,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56855555555555 11.282805555555557, 79.56772222222222 11.280333333333335)"
80,T.NO 67,S,,DA,26,66-67,289.7299777,3..43,20,,79.56772222,11.28033333,GOOD,GOOD,HT,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56772222222222 11.280333333333335, 79.56688888888888 11.277916666666668)"
81,T.NO 68,S,,DA,26,67-68,281.8131051,,21,,79.56688889,11.27791667,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56688888888888 11.277916666666668, 79.56605555555555 11.275444444444446)"
82,T.NO 69,T,,DD,28,68-69,290.6756807,3.71,22,"34°55'21""",79.56605556,11.27544444,GOOD,GOOD,"LT,HT",,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56605555555555 11.275444444444446, 79.56441666666666 11.27425)"
83,T.NO 70,S,,DA,26,69-70,221.4177851,,23,,79.56441667,11.27425,GOOD,GOOD,"LT,HT",,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56441666666666 11.27425, 79.56291666666667 11.273194444444446)"
84,T.NO 71,S,3W,DA,26,70-71,203.8521629,5.58,24,,79.56291667,11.27319444,GOOD,GOOD,,,COLTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56291666666667 11.273194444444446, 79.5616111111111 11.272277777777779)"
85,T.NO 72 ABAN LILO,T,,DD,28,71-72,174.6778627,6.12,24,"52°32'12""",79.56161111,11.27227778,GOOD,GOOD,"HT,LT",TAAR ROAD,COLTIVACTION LAND,ABAN LILO NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5616111111111 11.272277777777779, 79.56058333333333 11.272611111111113)"
86,T.NO 73,T,,DC,26,72-73,121.503112,7.83,23,"23°29'52""",79.56058333,11.27261111,GOOD,GOOD,"HT-2,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56058333333333 11.272611111111113, 79.56030555555556 11.272583333333333)"
87,GT-K.M.KOVIL,GT,2W,GT,15,73-GT,29.16025568,,23,,79.56030556,11.27258333,GOOD,GOOD,,,PLAIN,110KV K.M KOVIL SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
