S. No ,Tower No, Supspension/Tenion,Tower Type ,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-10,T,SD,SC,28,9-10,NO,211.539594402561,1.3,7,"36°4'25.691""",79.7765,10.80838888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7765 10.80838888888889, 79.7785 10.807222222222222)"
12,T.NO-11,S,SA,SC,26,10-11,YES,253.475837112732,BUSHES,9,,79.7785,10.807222222222222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7785 10.807222222222222, 79.78047222222222 10.806111111111111)"
13,T.NO-12,S,SA,SC,26,11-12,NO,247.329739416836,2.34,6,,79.78047222222222,10.806111111111111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78047222222222 10.806111111111111, 79.78241666666666 10.804972222222222)"
14,T.NO-13,S,SA,SC,26,12-13,YES,248.338478693899,1.91,7,,79.78241666666666,10.804972222222222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78241666666666 10.804972222222222, 79.78436111111111 10.803861111111113)"
15,T.NO-14,S,SA,SC,26,13-14,NO,244.233494836396,2.21,8,,79.78436111111111,10.803861111111113,GOOD,GOOD,NO,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78436111111111 10.803861111111113, 79.78608333333334 10.802861111111111)"
16,T.NO-15,S,SA,SC,26,14-15,NO,219.184853491294,1.8,5,,79.78608333333334,10.802861111111111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78608333333334 10.802861111111111, 79.78797222222222 10.801805555555557)"
17,T.NO-16,S,SA,SC,26,15-16,YES,237.035862265607,2.1,7,,79.78797222222222,10.801805555555557,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78797222222222 10.801805555555557, 79.78963888888889 10.800861111111113)"
18,T.NO-17,T,SC,SC,26,16-17,NO,209.124364912365,2.3,7,"22°42'44.285""",79.78963888888889,10.800861111111113,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.78963888888889 10.800861111111113, 79.79177777777778 10.800638888888889)"
19,T.NO-18,S,SA,SC,26,17-18,NO,236.662206530743,5.3,10,,79.79177777777778,10.800638888888889,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79177777777778 10.800638888888889, 79.79394444444445 10.800361111111112)"
20,T.NO-19,S,SA,SC,26,18-19,YES,237.035862265607,3.1,7,,79.79394444444445,10.800361111111112,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79394444444445 10.800361111111112, 79.79588888888888 10.80013888888889)"
21,T.NO-20,T,SD,SC,28,19-20,YES,215.573653306706,3.41,8,"44°36'50.862""",79.79588888888888,10.80013888888889,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79588888888888 10.80013888888889, 79.79741666666666 10.79825)"
22,T.NO-21,S,SA,SC,26,20-21,YES,266.902603958822,4.6,8,,79.79741666666666,10.79825,GOOD,NO EARTH WIRE,NO,2nos LT,TAAR ROAD ,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79741666666666 10.79825, 79.79891666666667 10.796388888888888)"
23,T.NO-22,S,SA,SC,26,21-22,NO,261.283371074395,8.4,8,,79.79891666666667,10.796388888888888,GOOD,NO EARTH WIRE,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.79891666666667 10.796388888888888, 79.80022222222222 10.794722222222221)"
24,T.NO-23,S,SA,SC,26,22-23,NO,235.41028014936,AT PRESENT WATER FOR NEXT CROPING,8,,79.80022222222222,10.794722222222221,GOOD,NO EARTH WIRE,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80022222222222 10.794722222222221, 79.80149999999999 10.792972222222222)"
25,T.NO-24,S,SA,SC,29,23-24,YES,237.844487007793,AT PRESENT WATER FOR NEXT CROPING,11,,79.80149999999999,10.792972222222222,GOOD,NO EARTH WIRE,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80149999999999 10.792972222222222, 79.80272222222222 10.791361111111112)"
26,T.NO-25,S,SA,SC,26,24-25,NO,222.800359066138,2.31,7,,79.80272222222222,10.791361111111112,GOOD,NO EARTH WIRE,NO,11KV,TAAR ROAD,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80272222222222 10.791361111111112, 79.80372222222222 10.789777777777777)"
27,T.NO-26,T,SC,SC,26,25-26,YES,205.642894358157,1.91,10,"26°4'57.719""",79.80372222222222,10.789777777777777,GOOD,NO EARTH WIRE,NO,,,CULTIVATION,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80372222222222 10.789777777777777, 79.80575 10.788527777777778)"
28,T.NO-27,S,SA,SC,26,26-27,YES,262.457615625838,2.91,9,,79.80575,10.788527777777778,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80575 10.788527777777778, 79.80761111111111 10.787222222222223)"
29,T.NO-28,S,SA,SC,26,27-28,NO,249.23884127479,2.19,5,,79.80761111111111,10.787222222222223,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80761111111111 10.787222222222223, 79.80938888888889 10.785916666666667)"
30,T.NO-29,S,SA,SC,26,28-29,NO,242.200330305307,1.78,1,,79.80938888888889,10.785916666666667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.80938888888889 10.785916666666667, 79.81108333333333 10.784722222222221)"
31,T.NO-30,S,SA,SC,26,29-30,NO,225.86943130933,1.71,7,,79.81108333333333,10.784722222222221,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81108333333333 10.784722222222221, 79.81288888888889 10.783416666666666)"
32,T.NO-31,S,SA,SC,26,30-31,NO,245,2.12,9,,79.81288888888889,10.783416666666666,GOOD,GOOD,NO,,CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81288888888889 10.783416666666666, 79.81477777777778 10.782111111111112)"
33,T.NO-32,S,SA,SC,26,31-32,YES,252.491584018161,2.1,11,,79.81477777777778,10.782111111111112,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81477777777778 10.782111111111112, 79.81655555555555 10.780805555555556)"
34,T.NO-33,S,SA,SC,26,32-33,YES,241.813978090598,1.65,10,,79.81655555555555,10.780805555555556,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81655555555555 10.780805555555556, 79.81824999999999 10.77963888888889)"
35,T.NO-34,S,SA,SC,26,33-34,NO,227.264163475019,1.31,5,,79.81824999999999,10.77963888888889,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.81824999999999 10.77963888888889, 79.82016666666667 10.77838888888889)"
36,T.NO-35,S,SA,SC,26,34-35,NO,249.899979991996,1.91,8,,79.82016666666667,10.77838888888889,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82016666666667 10.77838888888889, 79.82213888888889 10.77713888888889)"
37,T.NO-36,T,SC,SC,26,35-36,NO,256.019530504999,2.61,5,"18°29'38.553""",79.82213888888889,10.77713888888889,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82213888888889 10.77713888888889, 79.82352777777777 10.775444444444446)"
38,T.NO-37,T,SB,SC,24,36-37,YES,241.913207576602,BUSHES,5,"9°24'49.178""",79.82352777777777,10.775444444444446,GOOD,GOOD,NO,LT,"CEMENT ROAD, NALA",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82352777777777 10.775444444444446, 79.82466666666666 10.773444444444445)"
39,T.NO-38,S,SA,SC,32,37-38,YES,252.049598293669,1.91,2,,79.82466666666666,10.773444444444445,GOOD,GOOD,NO,3nos LT,"CEMENT ROAD, TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82466666666666 10.773444444444445, 79.82594444444445 10.771333333333335)"
40,T.NO-39,S,SA,SC,32,38-39,YES,273.541587331799,BUSHES,4,,79.82594444444445,10.771333333333335,GOOD,GOOD,NO,,HIGHWAY CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82594444444445 10.771333333333335, 79.82724999999999 10.769416666666668)"
41,T.NO-40,S,SA,SC,26,39-40,DIFICULT,255.726416312433,BUSHES,4,,79.82724999999999,10.769416666666668,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82724999999999 10.769416666666668, 79.82822222222222 10.767472222222223)"
42,T.NO-41,S,SA,SC,26,40-41,NO,238.815828621136,1.69,3,,79.82822222222222,10.767472222222223,GOOD,GOOD,NO,11KV cum LT,TAAR ROAD,PLAIN,INSIDE FENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82822222222222 10.767472222222223, 79.82941666666666 10.7655)"
43,T.NO-42,T,SD,SC,28,41-42,NO,255.391855782443,1.96,2,"64°33'23.983""",79.82941666666666,10.7655,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.82941666666666 10.7655, 79.83008333333333 10.765555555555556)"
44,T.NO-43,T,SD,SC,28,42-43,YES,74.2428447730823,BUSHES,4,"83°8'55.948""",79.83008333333333,10.765555555555556,GOOD,GOOD,NO,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83008333333333 10.765555555555556, 79.83044444444444 10.763861111111112)"
45,T.NO-44,S,SA,SC,26,43-44,YES,190.821906499228,1.61,4,,79.83044444444444,10.763861111111112,GOOD,GOOD,NO,"2nos LT, 2nos 11KV",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83044444444444 10.763861111111112, 79.83080555555556 10.76225)"
46,T.NO-45,S,SA,SC,29,44-45,YES,181.463494951464,WATER,5,,79.83080555555556,10.76225,GOOD,GOOD,NO,,"CANAL,TAAR ROAD,NALA",WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83080555555556 10.76225, 79.83108333333332 10.760805555555555)"
47,T.NO-46,T,SB,SC,26,45-46,NO,164.754362612952,BUSHES,6,"3°33'25.661""",79.83108333333332,10.760805555555555,GOOD,GOOD,NO,,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83108333333332 10.760805555555555, 79.83125 10.759444444444444)"
48,T.NO-47,T,SB,SC,26,46-47,NO,149.090576496303,WATER,5,"7°33'9.094""",79.83125,10.759444444444444,GOOD,GOOD,NO,33KV,,WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83125 10.759444444444444, 79.83177777777777 10.757555555555555)"
49,T.NO-48 TAPING,T,DD,DC,28,47-48,YES,215.863382721572,WATER,6,,79.83177777777777,10.757555555555555,GOOD,GOOD,NO,,,WATER,"NEED JUCTION BOX TAPPING TO MRL CPCLFACTORY 2 EARTH WIRE 1E/W CONTINUE TO OUR T.NO-47, ANOTHER E/W CONNECT TO MRL 110KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83177777777777 10.757555555555555, 79.83194444444445 10.756583333333333)"
50,T.NO-49,T,DD,DC,28,48-49,YES,110.81967334368,WATER,5,"86°39'54.969""",79.83194444444445,10.756583333333333,GOOD,GOOD,NO,2nos 11KV,TAAR ROAD SH,WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83194444444445 10.756583333333333, 79.83297222222222 10.756722222222223)"
51,T.NO-50,T,DB,DC,24,49-50,YES,113.863953909918,WATER,3,"00°00'00.00""",79.83297222222222,10.756722222222223,GOOD,GOOD,NO,,,WATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83297222222222 10.756722222222223, 79.83472222222221 10.756944444444445)"
52,T.NO-51,T,DD,DC,28,50-51,YES,192.761510680945,HEAVY BUSHES STP BUILDING,5,"43°59'23.705""",79.83472222222221,10.756944444444445,GOOD,GOOD,NO,,CEMENT ROAD,PLAIN,INSIDE COMPOUND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83472222222221 10.756944444444445, 79.83597222222222 10.758555555555555)"
53,T.NO-52,T,DD,DC,28,51-52,YES,222.865430248839,HEAVY BUSHES,2,"139°47'34.524""",79.83597222222222,10.758555555555555,GOOD,GOOD,YES,"33KV, 2nos 11KV",,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.83597222222222 10.758555555555555, 79.83552777777777 10.758444444444445)"
54,GANTRY NAGAPATTINAM 110KV SS,T,,GANTRY,20,52-GANTRY,SS,50.0099990002,,5,,79.83552777777777,10.758444444444445,GOOD,NO EARTH WIRE,,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=SUM(I7:I59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
