S. No ,Tower No,Tower Type & S/T,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Availability Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,T.NO 11DC,T,,31,10-Nov,YES,145.2446212,-,77,"53°32'33.63""",10.93563889,78.74880556,GOOD,GOOD,NO,,,PLAIN LAND,INSIDE SCHOOL COMPOUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74880555555556 10.935638888888889, 78.74877777777778 10.9345)"
13,T.NO 12DC TAPPING,T,2W,32,11-Dec,YES,125.0639836,-,73,"22°46'20.22""",10.9345,78.74877778,GOOD,GOOD,NO,,,PLAIN LAND,"3 E/W , 1 EARTHWIRE CONTINUE OUR TOWER AND 2 E/W CONNECTING TO 230 KV TOWER",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74877777777778 10.9345, 78.74833333333333 10.933527777777778)"
14,T.NO 13DC,T,,34,Dec-13,YES,117.686023,-,73,"72°37'4.48""",10.93352778,78.74833333,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74833333333333 10.933527777777778, 78.74944444444445 10.932555555555554)"
15,T.NO 14DC,T,,29,13-14,YES,161.4434886,1.07,72,"17°6'5.94""",10.93255556,78.74944444,GOOD,GOOD,NO,"LT 2 NONS, 11 KV",TAAR ROAD NH(TRICHY - CHENNAI),CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74944444444445 10.932555555555554, 78.75186111111111 10.931472222222222)"
16,T.NO 15DC,S,,29,14-15,NO,289.9189542,1.44,72,,10.93147222,78.75186111,GOOD,GOOD,NO,"LT ,11 KV ",,CULTIVATION LAND,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75186111111111 10.931472222222222, 78.75380555555556 10.930638888888888)"
17,T.NO 16DC,S,,26,15-16,YES,231.4000864,1.17`,73,,10.93063889,78.75380556,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75380555555556 10.930638888888888, 78.756 10.929694444444443)"
18,T.NO 17DC,S,,26,16-17,YES,261.0478883,1.67,73,,10.92969444,78.756,GOOD,GOOD,NO,LT ,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.756 10.929694444444443, 78.75838888888889 10.92861111111111)"
19,T.NO 18DC,T,,31,17-18,YES,289.9189542,1.05,73,"31°24'19.32""",10.92861111,78.75838889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75838888888889 10.92861111111111, 78.76033333333334 10.928833333333333)"
20,T.NO 19DC,S,,29,18-19,NO,211.3669794,1.1,74,,10.92883333,78.76033333,GOOD,GOOD,NO,LT,RIVER CROSSING (THALAIYARU),CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76033333333334 10.928833333333333, 78.76311111111112 10.929194444444445)"
21,T.NO 20DC,S,,26,19-20,YES,308.1103698,1.33,73,,10.92919444,78.76311111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76311111111112 10.929194444444445, 78.76580555555556 10.929527777777777)"
22,T.NO 21DC,S,,29,20-21,YES,297.1884924,1.71,72,,10.92952778,78.76580556,GOOD,GOOD,NO,LT,MUD ROAD,WATER LOGGED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76580555555556 10.929527777777777, 78.76819444444445 10.929833333333333)"
23,T.NO 22DC,T,,24,21-22,YES,263.7119641,1.25,69,"0°00'0.00""",10.92983333,78.76819444,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.76819444444445 10.929833333333333, 78.77080555555555 10.930055555555555)"
24,T.NO 23DC,S,,26,22-23,YES,286.0087411,1.69,72,,10.93005556,78.77080556,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77080555555555 10.930055555555555, 78.77347222222222 10.930416666666666)"
25,T.NO 24DC,S,,26,23-24,YES,292.22594,1.41,75,,10.93041667,78.77347222,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77347222222222 10.930416666666666, 78.77625 10.930722222222222)"
26,T.NO 25DC,S,,29,24-25,YES,305.7858728,1.15,76,,10.93072222,78.77625,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,CANAL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77625 10.930722222222222, 78.77886111111111 10.931111111111111)"
27,T.NO 26DC,S,,26,25-26,NO,289.0674662,1.61,71,,10.93111111,78.77886111,GOOD,GOOD,NO,LT,"TAAR ROAD,MUD ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.77886111111111 10.931111111111111, 78.78055555555555 10.931305555555555)"
28,T.NO 27DC,T,2W,24,26-27,YES,186.868938,1.58,72,"0°00'0.00""",10.93130556,78.78055556,GOOD,GOOD,NO,,TAAR ROAD  ,PLAIN LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78055555555555 10.931305555555555, 78.78305555555555 10.931583333333332)"
29,T.NO 28DC,T,,24,27-28,YES,275.5303976,0.81,74,"0°00'0.00""",10.93158333,78.78305556,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78305555555555 10.931583333333332, 78.78444444444445 10.931777777777777)"
30,T.NO 29DC,T,,24,28-29,YES,152.4532715,0.78,78,"2°50'47.47""",10.93177778,78.78444444,GOOD,GOOD,NO,110KV S/C LINE CROSSING (NO EARTH WIRE),,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78444444444445 10.931777777777777, 78.78711111111112 10.932027777777778)"
31,T.NO 30DC,S,,26,29-30,NO,294.1513216,1.11,77,,10.93202778,78.78711111,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78711111111112 10.932027777777778, 78.78947222222222 10.93236111111111)"
32,T.NO 31DC,S,,26,30-31,NO,261.2221277,1.51,79,,10.93236111,78.78947222,GOOD,GOOD,NO,LT- 3 NOS,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.78947222222222 10.93236111111111, 78.79197222222221 10.932666666666666)"
33,T.NO 32DC,T,,24,31-32,YES,273.8758843,0.8,77,"0°00'0.00""",10.93266667,78.79197222,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79197222222221 10.932666666666666, 78.79480555555556 10.932944444444443)"
34,T.NO 33DC,S,,26,32-33,YES,311.2619476,1.5,79,,10.93294444,78.79480556,GOOD,GOOD,NO,,"TAAR RAD, MUD ROAD",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79480555555556 10.932944444444443, 78.79761111111111 10.933333333333334)"
35,T.NO 34DC,S,,26,33-34,NO,310.8504464,1.91,77,,10.93333333,78.79761111,GOOD,GOOD,NO,LT,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79761111111111 10.933333333333334, 78.80038888888889 10.933583333333333)"
36,T.NO 35DC,S,,26,34-35,NO,305.9428051,1.95,77,,10.93358333,78.80038889,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80038888888889 10.933583333333333, 78.80291666666666 10.933916666666667)"
37,T.NO 36DC,S,,26,35-36,NO,278.4690288,1.8,78,,10.93391667,78.80291667,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80291666666666 10.933916666666667, 78.80566666666667 10.934222222222223)"
38,T.NO 37DC,T,2W,29,36-37,YES,303.5868904,0.35,82,"18°0'21.52""",10.93422222,78.80566667,GOOD,GOOD,NO,,,PLAIN LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80566666666667 10.934222222222223, 78.80822222222221 10.935361111111112)"
39,T.NO 38DC,S,,26,37-38,NO,303.9950657,0.81,75,,10.93536111,78.80822222,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80822222222221 10.935361111111112, 78.81083333333333 10.936527777777778)"
40,T.NO 39DC,S,,29,38-39,YES,314.7586377,0.53,75,,10.93652778,78.81083333,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81083333333333 10.936527777777778, 78.81333333333333 10.937611111111112)"
41,T.NO 40DC,S,,26,39-40,NO,299.6431211,0.91,80,,10.93761111,78.81333333,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81333333333333 10.937611111111112, 78.81594444444444 10.938805555555556)"
42,T.NO 41DC,T,,24,40-41,NO,314.5743155,1.19,80,"0°00'0.00""",10.93880556,78.81594444,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81594444444444 10.938805555555556, 78.81877777777777 10.940027777777779)"
43,T.NO 42 DC,S,,26,41-42,YES,337.3262516,0.37,80,,10.94002778,78.81877778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81877777777777 10.940027777777779, 78.82138888888889 10.941222222222223)"
44,T.NO 43 DC,S,,26,42-43,NO,315.1634497,2.53,81,,10.94122222,78.82138889,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82138888888889 10.941222222222223, 78.82330555555555 10.942027777777778)"
45,T.NO 44 DC,S,,29,43-44,YES,225.8495074,1.51,82,,10.94202778,78.82330556,GOOD,GOOD,NO,11 KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82330555555555 10.942027777777778, 78.82530555555554 10.942833333333333)"
46,T.NO 45 DC,T,,28,44-45,NO,238.2477702,3.48,81,"67°1'56.54""",10.94283333,78.82530556,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82530555555554 10.942833333333333, 78.82533333333333 10.943833333333334)"
47,T.NO 46 DC,T,,28,45-46,NO,111.0180166,2.37,84,"68°11'54.93""",10.94383333,78.82533333,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82533333333333 10.943833333333334, 78.82513888888889 10.943916666666667)"
48,THACHANGURICHI GANTRY,GANTRY,2W,20,46-GANTRY,YES,20.61552813,,88,,10.94391667,78.82513889,GOOD,GOOD,NO,,,PLAIN LAND,NO EARTH WIRE ,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
