S. No ,Tower No,Supspension / Tenion,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,T.NO-101,T,,DB,24,100-101,NO,269.267525,1.8,35,"0°00'00.00""",10.79891667,79.30686111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3068611111111 10.798916666666667, 79.30908333333333 10.79936111111111)"
24,T.NO-102,S,,DA,26,101-102,NO,246.9109151,1.21,33,,10.79936111,79.30908333,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.30908333333333 10.79936111111111, 79.31172222222222 10.799944444444444)"
25,T.NO-103,S,,DA,26,102-103,YES,297.5315109,1.36,35,,10.79994444,79.31172222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31172222222222 10.799944444444444, 79.31408333333333 10.800444444444445)"
26,T.NO-104,S,,DA,26,103-104,NO,261.6333312,1.19,34,,10.80044444,79.31408333,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31408333333333 10.800444444444445, 79.31633333333333 10.800944444444445)"
27,T.NO-105,T,,DC,29,104-105,NO,254.7881473,INSIDE COMPOUND,33,"18°4'39.83""",10.80094444,79.31633333,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31633333333333 10.800944444444445, 79.31911111111111 10.800666666666668)"
28,T.NO-106,S,,DA,29,105-106,NO,304.5816803,0.39,32,,10.80066667,79.31911111,GOOD,GOOD,NO,11KV,"TAAR ROAD, MUD ROAD, CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.31911111111111 10.800666666666668, 79.32033333333332 10.800527777777779)"
29,T.NO-107,S,,DA,26,106-107,NO,133.9589489,1.65,32,,10.80052778,79.32033333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32033333333332 10.800527777777779, 79.32230555555554 10.80038888888889)"
30,T.NO-108,S,,DA,26,107-108,NO,214.7556751,2.96,31,,10.80038889,79.32230556,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32230555555554 10.80038888888889, 79.32513888888889 10.800111111111113)"
31,T.NO-109,S,,DA,32,108-109,NO,313.6367325,1.6,31,,10.80011111,79.32513889,GOOD,GOOD,NO,"LT, 11KV ",CANAL,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32513888888889 10.800111111111113, 79.32775 10.799861111111111)"
32,T.NO-110,T,,DB,30,109-110,YES,286.5745976,2.11,32,"0°00'00.00""",10.79986111,79.32775,GOOD,GOOD,NO,,"RIVER CROSSING, TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.32775 10.799861111111111, 79.33041666666666 10.799583333333333)"
33,T.NO-111,T,2W,DB,24,110-111,YES,293.5370505,1.81,32,"13°35'53.28""",10.79958333,79.33041667,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33041666666666 10.799583333333333, 79.33269444444444 10.798805555555555)"
34,T.NO-112,S,,DA,26,111-112,NO,264.0927867,1.81,31,,10.79880556,79.33269444,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33269444444444 10.798805555555555, 79.33486111111111 10.798027777777778)"
35,T.NO-113,S,,DA,26,112-113,NO,249.6497547,0.61,29,,10.79802778,79.33486111,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33486111111111 10.798027777777778, 79.33716666666666 10.797194444444445)"
36,T.NO-114,S,,DA,26,113-114,NO,270.8357436,BUSHES,31,,10.79719444,79.33716667,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33716666666666 10.797194444444445, 79.3395 10.796333333333333)"
37,T.NO-115,T,,DB,24,114-115,NO,269.6664607,BUSHES,31,"1°56'52.17""",10.79633333,79.3395,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3395 10.796333333333333, 79.34172222222222 10.795416666666666)"
38,T.NO-116,S,,DA,26,115-116,NO,265.7705778,WATER,29,,10.79541667,79.34172222,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34172222222222 10.795416666666666, 79.34416666666667 10.794555555555556)"
39,T.NO-117,S,,DA,26,116-117,NO,283.7340304,WATER,31,,10.79455556,79.34416667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34416666666667 10.794555555555556, 79.34641666666666 10.793722222222222)"
40,T.NO-118,S,,DA,26,117-118,NO,262.2060259,WATER,28,,10.79372222,79.34641667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34641666666666 10.793722222222222, 79.34858333333332 10.792916666666667)"
41,T.NO-119,T,,DB,24,118-119,YES,253.7479064,1.61,26,"0°00'00.00""",10.79291667,79.34858333,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34858333333332 10.792916666666667, 79.35069444444444 10.792194444444444)"
42,T.NO-120,S,,DA,26,119-120,YES,242.6375898,1.37,30,,10.79219444,79.35069444,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35069444444444 10.792194444444444, 79.35286111111111 10.791416666666667)"
43,T.NO-121,S,,DA,26,120-121,NO,254.0019685,1.96,28,,10.79141667,79.35286111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35286111111111 10.791416666666667, 79.3551111111111 10.790611111111112)"
44,T.NO-122,S,,DA,26,121-122,NO,259.1312409,1.66,27,,10.79061111,79.35511111,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3551111111111 10.790611111111112, 79.35758333333332 10.789694444444445)"
45,T.NO-123,T,,DB,27,122-123,YES,290.8487579,1.96,32,"0°00'00.00""",10.78969444,79.35758333,GOOD,GOOD,NO,"LT, 11KV ",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35758333333332 10.789694444444445, 79.35955555555554 10.789)"
46,LILO - 1,T,2W,LILO,29,123-LILO-1,YES,227.5280203,1.94,31,"110°0'56.79""",10.789,79.35955556,GOOD,GOOD,NO,11KV,,CULTIVATION,"OUR EARTH WIRE CONNECT TO TIRUVARUR 110KV T.NO-124, OUR T.NO-LILO-1 TO T.NO-2(TP) NO EARTH WIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35955555555554 10.789, 79.35944444444443 10.78886111111111)"
47,T.NO-2,T,,DD,20,LILO-1 - 2,YES,18.43908891,WATER,31,"54°30'56""",10.78886111,79.35944444,GOOD,NO EARTH WIRE,NO,,,WATER LAGGED,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35944444444443 10.78886111111111, 79.36005555555555 10.786777777777777)"
48,T.NO-3,T,,DD,29,02-Mar,YES,239.5600134,0.81,33,"52°58'40.36""",10.78677778,79.36005556,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36005555555555 10.786777777777777, 79.3591111111111 10.785527777777778)"
49,T.NO-4,T,,DD,29,03-Apr,YES,172.2004646,BUSHES,31,"31°1'34.37""",10.78552778,79.35911111,GOOD,GOOD,YES,"LT, 11KV ",,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3591111111111 10.785527777777778, 79.35908333333333 10.785277777777777)"
50,GANTRY KOILVENNI,GANTRY,2W,,20,4-GANTRY,YES,30.14962686,,46,,10.78527778,79.35908333,GOOD,NO EARTH WIRE,,,,,"SS,  NO EARTH WIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note : Section from Poondi S/S to lilo point no.01 is common for Poondi - Kovilveni and Poondi - Ayyampettai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
