,Tower No,Tower Type & Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,T.NO 28,T,27,27-28,YES,,249.00803199896987,3.06,119,"14°9'8.4""",10.431944444444444,78.8346111111111,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8346111111111 10.431944444444444, 78.83716666666666 10.431305555555555)"
30,T.NO 29,T,28,28-29,YES,,289.35963782117227,2.81,128,"48°10'49.0""",10.431305555555555,78.83716666666666,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83716666666666 10.431305555555555, 78.83802777777777 10.429638888888888)"
31,T.NO 30,S,24,29-30,NO,,207.06037766796427,3.68,123,,10.429638888888888,78.83802777777777,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83802777777777 10.429638888888888, 78.83891666666666 10.427916666666667)"
32,T.NO 31,S,24,30-31,NO,,213.76856644511605,3.61,122,,10.427916666666667,78.83891666666666,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83891666666666 10.427916666666667, 78.83999999999999 10.425916666666666)"
33,T.NO 32,S,24,31-32,NO,,250.94421690885807,4.21,117,,10.425916666666666,78.83999999999999,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83999999999999 10.425916666666666, 78.84088888888888 10.424222222222221)"
34,T.NO 33,T,29,32-33,YES,,211.09239683134018,4.68,117,"26°1'10.7""",10.424222222222221,78.84088888888888,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84088888888888 10.424222222222221, 78.84230555555555 10.423194444444444)"
35,T.NO 34,S,27,33-34,YES,,191.4001044931794,3.31,122,,10.423194444444444,78.84230555555555,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84230555555555 10.423194444444444, 78.8436111111111 10.422027777777776)"
36,T.NO 35,T,26,34-35,YES,,193.19679086361657,3.61,115,"23°53'50.4""",10.422027777777776,78.8436111111111,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8436111111111 10.422027777777776, 78.84577777777777 10.421305555555556)"
37,T.NO 36,S,24,35-36,NO,,251.40604606890423,1.96,118,,10.421305555555556,78.84577777777777,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84577777777777 10.421305555555556, 78.8478611111111 10.420694444444443)"
38,T.NO 37,S,24,36-37,NO,,238.2120903732638,1.39,123,,10.420694444444443,78.8478611111111,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8478611111111 10.420694444444443, 78.84972222222221 10.420055555555555)"
39,T.NO 38,S,24,37-38,NO,,215.3903433304288,,127,,10.420055555555555,78.84972222222221,GOOD,GOOD,NO,,,PLAIN LAND,OVER BUSHES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84972222222221 10.420055555555555, 78.8521111111111 10.419194444444443)"
40,T.NO 39,S,24,38-39,NO,,278.44209451877066,2.21,129,,10.419194444444443,78.8521111111111,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8521111111111 10.419194444444443, 78.85461111111111 10.418305555555555)"
41,T.NO 40,S,27,39-40,NO,,290.73871431235295,,117,,10.418305555555555,78.85461111111111,GOOD,GOOD,NO,,,PLAIN LAND,OVER BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85461111111111 10.418305555555555, 78.85708333333332 10.417416666666666)"
42,T.NO 41,S,27,40-41,YES,,287.92360097775935,4.68,113,,10.417416666666666,78.85708333333332,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85708333333332 10.417416666666666, 78.85905555555556 10.416666666666666)"
43,T.NO 42,T,28,41-42,YES,,232.12281232140884,1.39,118,"47°33'2.2""",10.416666666666666,78.85905555555556,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85905555555556 10.416666666666666, 78.86075 10.417499999999999)"
44,T.NO 43,S,24,42-43,NO,,207.06762180505189,2.28,124,,10.417499999999999,78.86075,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86075 10.417499999999999, 78.86241666666666 10.418333333333333)"
45,T.NO 44,S,24,43-44,YES,,204.37710243566914,3.12,119,,10.418333333333333,78.86241666666666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86241666666666 10.418333333333333, 78.86413888888889 10.419166666666666)"
46,T.NO 45,T,31,44-45,YES,,209.76653689280377,2.59,116,"36°42'48.6""",10.419166666666666,78.86413888888889,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86413888888889 10.419166666666666, 78.86544444444444 10.418916666666666)"
47,T.NO 46,T,31,45-46,YES,,146.696966567138,1.06,111,"38°22'27.1""",10.418916666666666,78.86544444444444,GOOD,GOOD,NO,11KV,TAAR ROAD,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86544444444444 10.418916666666666, 78.86722222222221 10.416888888888888)"
48,T.NO 47,T,24,46-47,NO,,296.4354904528134,3.41,,"13°34'18.0""",10.416888888888888,78.86722222222221,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86722222222221 10.416888888888888, 78.86855555555555 10.414361111111111)"
49,T.NO 48,S,27,47-48,NO,,316.6385952470103,2.91,120,,10.414361111111111,78.86855555555555,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86855555555555 10.414361111111111, 78.86963888888889 10.412444444444445)"
50,T.NO 49,T,27,48-49,YES,,243.89546941261537,2.03,124,"13°34'18.0""",10.412444444444445,78.86963888888889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86963888888889 10.412444444444445, 78.87208333333332 10.411333333333333)"
51,T.NO 50,T,28,49-50,NO,,293.96938616121236,1.86,121,"41°23'31.7""",10.411333333333333,78.87208333333332,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87208333333332 10.411333333333333, 78.87438888888889 10.412027777777778)"
52,T.NO 51,S,27,50-51,YES,,265.1263849563072,1.01,123,,10.412027777777778,78.87438888888889,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87438888888889 10.412027777777778, 78.87666666666667 10.41275)"
53,T.NO 52,T,31,51-52,YES,,261.5893728728291,1.66,134,"32°40'12.2""",10.41275,78.87666666666667,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87666666666667 10.41275, 78.87966666666667 10.411944444444444)"
54,T.NO 53,S,27,52-53,YES,,339.42598604113977,1.67,135,,10.411944444444444,78.87966666666667,GOOD,GOOD,NO,11KV,TAAR ROAD,INSIDE FENCH,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87966666666667 10.411944444444444, 78.88205555555555 10.411416666666668)"
55,T.NO 54,T,27,53-54,S,,268.0335799857921,1.86,127,"2°45'33.6""",10.411416666666668,78.88205555555555,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88205555555555 10.411416666666668, 78.88458333333334 10.410972222222222)"
56,T.NO 55,S,24,54-55,NO,,282.63934616397626,2.54,123,,10.410972222222222,78.88458333333334,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88458333333334 10.410972222222222, 78.88738888888889 10.410444444444444)"
57,T.NO 56,S,24,55-56,NO,,310.84562084739105,,129,,10.410444444444444,78.88738888888889,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88738888888889 10.410444444444444, 78.89022222222223 10.409972222222223)"
58,T.NO 57,S,27,56-57,NO,,314.66807909287525,2.17,126,,10.409972222222223,78.89022222222223,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89022222222223 10.409972222222223, 78.89172222222223 10.409611111111111)"
59,T.NO 58,S,27,57-58,YES,,168.0773631397161,1.61,134,,10.409611111111111,78.89172222222223,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89172222222223 10.409611111111111, 78.89361111111111 10.409277777777778)"
60,T.NO 59,T,24,58-59,NO,,211.62466774929618,,124,"3°53'29.1""",10.409277777777778,78.89361111111111,GOOD,GOOD,NO,,,,OVERBUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89361111111111 10.409277777777778, 78.89516666666667 10.408888888888889)"
61,T.NO 60,S,24,59-60,NO,,175.60182231400674,1.89,118,,10.408888888888889,78.89516666666667,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89516666666667 10.408888888888889, 78.89777777777779 10.40825)"
62,T.NO 61,S,24,60-61,YES,,294.92371895118913,1.07,122,,10.40825,78.89777777777779,GOOD,GOOD,NO,11KV,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89777777777779 10.40825, 78.90036111111111 10.407583333333333)"
63,T.NO 62,T,26,61-62,YES,,292.0616373302047,1.81,124,"20°51'40.2""",10.407583333333333,78.90036111111111,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90036111111111 10.407583333333333, 78.90188888888889 10.40775)"
64,T.NO 63,S,24,62-63,NO,,168.8579284487406,1.09,126,,10.40775,78.90188888888889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90188888888889 10.40775, 78.90333333333334 10.407777777777778)"
65,T.NO 64,T,26,63-64,NO,,158.01265772082945,2.01,119,"16°19'36.3""",10.407777777777778,78.90333333333334,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90333333333334 10.407777777777778, 78.9055 10.408444444444445)"
66,T.NO 65,S,24,64-65,NO,,248.94376875109768,1.13,116,,10.408444444444445,78.9055,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9055 10.408444444444445, 78.90766666666667 10.408888888888889)"
67,T.NO 66,T,26,65-66,YES,,241.61539686038222,1.36,121,"20°58'43.3""",10.408888888888889,78.90766666666667,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90766666666667 10.408888888888889, 78.90936111111111 10.408611111111112)"
68,T.NO 67,S,30,66-67,YES,,188.73261509341728,2.69,128,,10.408611111111112,78.90936111111111,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90936111111111 10.408611111111112, 78.91141666666667 10.408666666666667)"
69,T.NO 68,S,27,67-68,NO,,226.05530296810116,1.61,119,,10.408666666666667,78.91141666666667,GOOD,GOOD,NO,11KV,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91141666666667 10.408666666666667, 78.91394444444445 10.408472222222223)"
70,T.NO 69,T,24,68-69,YES,,276.87542325024083,1.67,119,"5°14'12.4""",10.408472222222223,78.91394444444445,GOOD,GOOD,NO,LT,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91394444444445 10.408472222222223, 78.91625 10.408527777777778)"
71,T.NO 70,T,28,69-70,NO,,253.0177859360879,1.32,119,"50°22'20.0""",10.408527777777778,78.91625,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91625 10.408527777777778, 78.9173888888889 10.407222222222222)"
72,T.NO 71,S,24,70-71,NO,,190.14205216100936,1.11,121,,10.407222222222222,78.9173888888889,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9173888888889 10.407222222222222, 78.91850000000001 10.406305555555555)"
73,T.NO 72,S,24,71-72,NO,,157.49285698088025,2.61,131,,10.406305555555555,78.91850000000001,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91850000000001 10.406305555555555, 78.92030555555556 10.404527777777778)"
74,T.NO 73,S,24,72-73,NO,,279.30807363912703,1.86,130,,10.404527777777778,78.92030555555556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92030555555556 10.404527777777778, 78.92208333333333 10.402694444444444)"
75,T.NO 74,S,24,73-74,NO,,282.24280327406046,1.91,125,,10.402694444444444,78.92208333333333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92208333333333 10.402694444444444, 78.92369444444445 10.401)"
76,T.NO 75,T,27,74-75,YES,,256.8443108188305,3.11,125,"34°36'4""",10.401,78.92369444444445,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92369444444445 10.401, 78.92580555555556 10.400555555555556)"
77,T.NO 76,S,30,75-76,NO,,236.56288804459587,1.17,119,,10.400555555555556,78.92580555555556,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92580555555556 10.400555555555556, 78.92791666666668 10.400111111111112)"
78,T.NO 77,T,24,76-77,NO,,236.56288804459587,2.59,125,"8°13'32""",10.400111111111112,78.92791666666668,GOOD,GOOD,NO,"LT,11KV 2 NOS",,CULTIVATION LAND,EUCALYPTUS TRESS BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92791666666668 10.400111111111112, 78.92952777777778 10.4)"
79,T.NO 78,S,24,77-78,NO,,176.47946056127893,1.69,121,,10.4,78.92952777777778,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92952777777778 10.4, 78.93141666666668 10.399833333333333)"
80,T.NO 79,T,24,78-79,YES,,207.96393918177256,2.81,126,"14°56'50""",10.399833333333333,78.93141666666668,GOOD,GOOD,NO,LT,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93141666666668 10.399833333333333, 78.93333333333334 10.399138888888888)"
81,T.NO 80,S,24,79-80,NO,,223.0807028857494,0.91,116,,10.399138888888888,78.93333333333334,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION LAND,EUCALYPTUS TREES BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93333333333334 10.399138888888888, 78.93569444444445 10.39811111111111)"
82,T.NO 81,S,30,80-81,YES,,283.38313287844073,0.86,105,,10.39811111111111,78.93569444444445,GOOD,GOOD,NO,,TAAR AND MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93569444444445 10.39811111111111, 78.938 10.397222222222222)"
83,T.NO 82,S,27,81-82,YES,,270.55868125048215,1.09,105,,10.397222222222222,78.938,GOOD,GOOD,NO,11KV,MUD ROAD,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.938 10.397222222222222, 78.94041666666666 10.396305555555555)"
84,T.NO 83,T,31,82-83,YES,,283.0194339616981,1.61,117,"46°40'47""",10.396305555555555,78.94041666666666,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94041666666666 10.396305555555555, 78.94136111111112 10.394055555555555)"
