S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,22,S,,SA,22,21-22,285.199057,2.37,25.708389,,10.39469444,79.28005556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.28005555555555 10.394694444444443, 79.27855555555556 10.392333333333333)"
24,23,T,,SC,22,22-23,308.1002343,2.71,26.788788,"25°0'23"" R",10.39233333,79.27855556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27855555555556 10.392333333333333, 79.27619444444444 10.39086111111111)"
25,24,S,,SA,22,23-24,303.7241936,3.65,26,,10.39086111,79.27619444,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27619444444444 10.39086111111111, 79.27383333333333 10.389388888888888)"
26,25,S,,SA,22,24-25,305.7682313,2.89,29,,10.38938889,79.27383333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27383333333333 10.389388888888888, 79.27163888888889 10.388)"
27,26,S,,SA,22,25-26,286.9613748,2.62,26.850786,,10.388,79.27163889,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.27163888888889 10.388, 79.26925 10.3865)"
28,27,S,,SA,22,26-27,311.0749954,2.56,26.225775,,10.3865,79.26925,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26925 10.3865, 79.26691666666666 10.385)"
29,28,S,,SA,22,27-28,303.5571386,3.18,24.187748,,10.385,79.26691667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26691666666666 10.385, 79.26483333333333 10.383666666666667)"
30,29,S,,SA,22,28-29,271.9620773,2.76,25.367971,,10.38366667,79.26483333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26483333333333 10.383666666666667, 79.26230555555556 10.382055555555556)"
31,30,T,2W,SC,22,29-30,327.7930905,3.72,24.754267,"0°17'40"" L",10.38205556,79.26230556,GOOD,Available,"LT,HT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.26230555555556 10.382055555555556, 79.25994444444444 10.380555555555556)"
32,31,S,,SA,22,30-31,307.476239,2.92,26.502308,,10.38055556,79.25994444,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25994444444444 10.380555555555556, 79.25805555555556 10.379333333333333)"
33,32,S,,SA,22,31-32,248.7376564,1.63,24.285046,,10.37933333,79.25805556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25805555555556 10.379333333333333, 79.25663888888889 10.378444444444446)"
34,33,S,,SA,22,32-33,183.2014813,2.56,25.445719,,10.37844444,79.25663889,GOOD,Available,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25663888888889 10.378444444444446, 79.25413888888889 10.376861111111111)"
35,34,S,,SA,22,33-34,324.2198717,2.63,25.513956,,10.37686111,79.25413889,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25413888888889 10.376861111111111, 79.25197222222222 10.3755)"
36,35,T,,SC,22,34-35,279.8084256,2.19,23.410828,"10°23'45"" L",10.3755,79.25197222,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25197222222222 10.3755, 79.25097222222222 10.374583333333334)"
37,36,S,,SA,22,35-36,151.0130481,3.26,25.236523,,10.37458333,79.25097222,GOOD,Available,LT,"ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25097222222222 10.374583333333334, 79.24877777777778 10.372777777777777)"
38,37,S,,SA,22,36-37,312.9348699,1.97,24.124985,,10.37277778,79.24877778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24877777777778 10.372777777777777, 79.24683333333333 10.371166666666667)"
39,38,T,,SC,22,37-38,276.8717762,2.72,26.423979,"20°23'35"" L",10.37116667,79.24683333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24683333333333 10.371166666666667, 79.24558333333333 10.369)"
40,39,S,,SA,22,38-39,276.1428974,3.19,26.153267,,10.369,79.24558333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24558333333333 10.369, 79.24433333333333 10.366861111111112)"
41,40,S,,SA,22,39-40,275.0163454,4.24,27.850166,,10.36686111,79.24433333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24433333333333 10.366861111111112, 79.24305555555556 10.364611111111111)"
42,41,S,,SA,22,40-41,284.5496392,3.79,26.786985,,10.36461111,79.24305556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24305555555556 10.364611111111111, 79.24183333333333 10.362527777777778)"
43,42,S,,SA,22,41-42,266.9567767,2.16,27.783895,,10.36252778,79.24183333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24183333333333 10.362527777777778, 79.24055555555556 10.36036111111111)"
44,43,T,2W,SC,22,42-43,275.7047121,2.36,30.829327,"37°20'24"" L",10.36036111,79.24055556,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24055555555556 10.36036111111111, 79.24091666666666 10.35763888888889)"
45,44,S,,SA,22,43-44,302.4024454,3.67,30.293282,,10.35763889,79.24091667,GOOD,Available,LT ,"ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24091666666666 10.35763888888889, 79.24133333333333 10.354972222222221)"
46,45,S,,SA,22,44-45,299.5135724,3.18,28.442089,,10.35497222,79.24133333,GOOD,Available,"2 LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24133333333333 10.354972222222221, 79.24180555555556 10.35225)"
47,46,S,,SA,22,45-46,306.8161759,2.62,28.054686,,10.35225,79.24180556,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24180555555556 10.35225, 79.24222222222222 10.349333333333334)"
48,47,S,,SA,22,46-47,325.2493601,3.18,29.005211,,10.34933333,79.24222222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24222222222222 10.349333333333334, 79.24261111111112 10.346694444444445)"
49,48,S,,SA,22,47-48,294.0078589,2.19,30.010479,,10.34669444,79.24261111,GOOD,Available,"LT,2HT",POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24261111111112 10.346694444444445, 79.24286111111111 10.345)"
50,49,T,,SC,22,48-49,190.3852521,3.21,29.335516,"21°39'56"" R",10.345,79.24286111,GOOD,Available,2HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24286111111111 10.345, 79.24252777777778 10.343527777777778)"
51,50,T,,SC,22,49-50,167.2255935,2.36,30.993881,"51°44'55"" R",10.34352778,79.24252778,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24252777777778 10.343527777777778, 79.24041666666666 10.342555555555556)"
52,51,S,,SA,22,50-51,255.4269153,3.12,30.462744,,10.34255556,79.24041667,GOOD,Available,"2 LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24041666666666 10.342555555555556, 79.23833333333333 10.34152777777778)"
53,52,S,,SA,22,51-52,254.1870247,3.63,30.434191,,10.34152778,79.23833333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23833333333333 10.34152777777778, 79.23594444444444 10.340416666666668)"
54,53,S,,SA,22,52-53,289.1123285,4.19,31.309481,,10.34041667,79.23594444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23594444444444 10.340416666666668, 79.23397222222222 10.33925)"
55,54,S,,SA,22,53-54,230,3.27,34.532978,,10.33925,79.23397222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23397222222222 10.33925, 79.23258333333334 10.33888888888889)"
56,55,T,,SC,22,54-55,178,2.62,33.935898,"33°11'27"" L",10.33888889,79.23258333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23258333333334 10.33888888888889, 79.23083333333334 10.336944444444445)"
57,56,S,,SA,22,55-56,288.2776674,3.19,32.98167,,10.33694444,79.23083333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.23083333333334 10.336944444444445, 79.22919444444445 10.334888888888889)"
58,57,T,2W,SC,22,56-57,289.6345294,4.07,31.905077,"13°14'43"" R",10.33488889,79.22919444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22919444444445 10.334888888888889, 79.227 10.33313888888889)"
59,58,S,,SA,22,57-58,308.6978291,3.16,33.845718,,10.33313889,79.227,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.227 10.33313888888889, 79.22483333333334 10.331416666666666)"
60,59,S,,SA,22,58-59,304.6648244,2.19,34.655575,,10.33141667,79.22483333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22483333333334 10.331416666666666, 79.2226111111111 10.329611111111111)"
61,60,T,,SC,22,59-60,314.8434227,3.91,32.441113,"5°31'56""",10.32961111,79.22261111,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2226111111111 10.329611111111111, 79.22102777777778 10.328027777777777)"
62,61,S,,SA,22,60-61,246.4317086,2.67,32.635296,,10.32802778,79.22102778,GOOD,Available,,"ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.22102777777778 10.328027777777777, 79.21958333333333 10.326527777777777)"
63,62,S,,SA,22,61-62,229.8353736,1.17,31.672672,,10.32652778,79.21958333,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21958333333333 10.326527777777777, 79.21808333333334 10.325083333333334)"
64,63,T,,SC,22,62-63,228.5988929,4.29,37.237247,"48°41'29"" R",10.32508333,79.21808333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21808333333334 10.325083333333334, 79.21544444444444 10.325277777777778)"
65,64,S,,SA,22,63-64,290.1470175,4.68,34.623901,,10.32527778,79.21544444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21544444444444 10.325277777777778, 79.21294444444445 10.325416666666666)"
66,65,S,,SA,22,64-65,275.5695386,2.1,32.584206,,10.32541667,79.21294444,GOOD,Available,66 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21294444444445 10.325416666666666, 79.21094444444445 10.325527777777777)"
67,66,S,,SA,22,65-66,218.2732369,3.33,37.572243,,10.32552778,79.21094444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.21094444444445 10.325527777777777, 79.20822222222222 10.325722222222222)"
68,67,S,,SA,22,66-67,299.3489436,1.01,35.139687,,10.32572222,79.20822222,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20822222222222 10.325722222222222, 79.20516666666667 10.325944444444444)"
69,68,T,,SC,22,67-68,334.8629227,2.26,33.509304,"21°57'40"" L",10.32594444,79.20516667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20516666666667 10.325944444444444, 79.20375 10.325472222222222)"
70,69,S,,SA,22,68-69,163.5871915,4.41,32.518471,,10.32547222,79.20375,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20375 10.325472222222222, 79.20172222222223 10.32488888888889)"
71,70,T,2W,SC,22,69-70,231.2974448,1.27,37.825798,"22°31'23"" L",10.32488889,79.20172222,GOOD,Available,,"ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.20172222222223 10.32488888888889, 79.19975000000001 10.323277777777777)"
72,71,S,,SA,22,70-71,280.5491453,2.76,32.949978,,10.32327778,79.19975,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19975000000001 10.323277777777777, 79.19794444444445 10.321861111111112)"
73,72,S,,SA,22,71-72,252.5907945,1.19,30.526125,,10.32186111,79.19794444,GOOD,Available,66 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19794444444445 10.321861111111112, 79.19588888888889 10.320138888888888)"
74,73,S,,SA,22,72-73,293.4603973,4.29,34.719639,,10.32013889,79.19588889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19588888888889 10.320138888888888, 79.19391666666667 10.318583333333333)"
75,74,T,,SC,22,73-74,275.2577107,3.12,20.356894,"33°18'52"" R",10.31858333,79.19391667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19391666666667 10.318583333333333, 79.19180555555556 10.318388888888888)"
76,75,T,,SC,22,74-75,234.2479001,2.63,20.68602,"37°32'44"" L",10.31838889,79.19180556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.19180555555556 10.318388888888888, 79.18969444444444 10.316472222222224)"
77,76,S,,SA,22,75-76,314.2154888,2.78,24.388496,,10.31647222,79.18969444,GOOD,Available,LT,"ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18969444444444 10.316472222222224, 79.188 10.314861111111112)"
78,77,S,,SA,22,76-77,258.3143928,3.73,26.248627,,10.31486111,79.188,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.188 10.314861111111112, 79.18636111111111 10.31338888888889)"
79,78,T,,SC,22,77-78,242.6075951,4.13,30.307703,"14°5'11"" R",10.31338889,79.18636111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18636111111111 10.31338888888889, 79.18402777777779 10.312138888888889)"
80,79,S,,SA,22,78-79,286.9392941,3.19,32.446033,,10.31213889,79.18402778,GOOD,Available,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18402777777779 10.312138888888889, 79.1816388888889 10.310944444444445)"
81,80,S,,SA,22,79-80,295.6070184,1.83,32.594849,,10.31094444,79.18163889,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1816388888889 10.310944444444445, 79.17955555555557 10.309805555555556)"
82,81,S,,SA,22,80-81,259.068405,2.79,31.967047,,10.30980556,79.17955556,GOOD,Available,,"ROAD ,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17955555555557 10.309805555555556, 79.17719444444445 10.308583333333335)"
83,82,S,,SA,22,81-82,294.7395191,2.16,33.574974,,10.30858333,79.17719444,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17719444444445 10.308583333333335, 79.17461111111112 10.307250000000002)"
84,83,S,,SA,22,82-83,317.9379488,3.27,34.37534,,10.30725,79.17461111,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17461111111112 10.307250000000002, 79.17241666666668 10.306083333333333)"
85,84,T,,SC,22,83-84,271.8354328,2.96,34.392776,"36°45'6"" L",10.30608333,79.17241667,GOOD,Available,2 HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17241666666668 10.306083333333333, 79.17200000000001 10.305138888888889)"
86,85,T,,DC,26,84-85,112.1975908,1.99,35.738922,"72°28'51"" L",10.30513889,79.172,GOOD,Available,66 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.17200000000001 10.305138888888889, 79.17227777777778 10.305083333333334)"
87,Gantry (Peravurani SS),Gantry,2W,H-POLE,12,85-Gantry,31.15528567,,36.774456,,10.30508333,79.17227778,GOOD,NO E/W,,,PLAIN,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
