S. No ,Tower No,CURCUIT,Tower Type & S/T,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
38,,,,,,,,,,,11.9225229,78.9010245,8872568021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9010245 11.9225229, 78.9024152 11.9243797)"
39,,,,,,,,,,,11.9243797,78.9024152,8872568020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9024152 11.9243797, 78.9037898 11.9262534)"
40,,,,,,,,,,,11.9262534,78.9037898,8872568019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9037898 11.9262534, 78.9044322 11.9285352)"
41,,,,,,,,,,,11.9285352,78.9044322,8872568018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9044322 11.9285352, 78.9050639 11.9306858)"
42,,,,,,,,,,,11.9306858,78.9050639,8872568017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9050639 11.9306858, 78.9056647 11.9328102)"
43,,,,,,,,,,,11.9328102,78.9056647,8872558016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9056647 11.9328102, 78.9068945 11.9345461)"
44,,,,,,,,,,,11.9345461,78.9068945,8872558015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9068945 11.9345461, 78.9081739 11.9364093)"
45,,,,,,,,,,,11.9364093,78.9081739,8872558014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9081739 11.9364093, 78.9094023 11.9381426)"
46,,,,,,,,,,,11.9381426,78.9094023,8872558013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9094023 11.9381426, 78.9107837 11.9400346)"
47,,,,,,,,,,,11.9400346,78.9107837,8872558012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9107837 11.9400346, 78.911768 11.9422626)"
48,,,,,,,,,,,11.9422626,78.911768,8872558011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.911768 11.9422626, 78.9136764 11.9439683)"
49,,,,,,,,,,,11.9439683,78.9136764,8872558010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9136764 11.9439683, 78.9138857 11.9449339)"
50,,,,,,,,,,,11.9449339,78.9138857,9249251098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9138857 11.9449339, 78.9129469 11.9467918)"
51,,,,,,,,,,,11.9467918,78.9129469,9249251924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9129469 11.9467918, 78.9131051 11.9489305)"
52,,,,,,,,,,,11.9489305,78.9131051,9249251923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9131051 11.9489305, 78.9132714 11.9512265)"
53,,,,,,,,,,,11.9512265,78.9132714,9249251922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9132714 11.9512265, 78.9136362 11.9533835)"
54,,,,,,,,,,,11.9533835,78.9136362,9249251921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9136362 11.9533835, 78.9140332 11.9554906)"
55,,,,,,,,,,,11.9554906,78.9140332,9249251920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9140332 11.9554906, 78.9143899 11.957561)"
56,,,,,,,,,,,11.957561,78.9143899,9249251919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9143899 11.957561, 78.9138481 11.9598045)"
57,,,,,,,,,,,11.9598045,78.9138481,9249251918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9138481 11.9598045, 78.9133063 11.9621215)"
58,,,,,,,,,,,11.9621215,78.9133063,9249251917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9133063 11.9621215, 78.9130086 11.9646693)"
59,,,,,,,,,,,11.9646693,78.9130086,9249249616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9130086 11.9646693, 78.9127725 11.9670072)"
60,,,,,,,,,,,11.9670072,78.9127725,9249249615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9127725 11.9670072, 78.9136094 11.9695104)"
61,,,,,,,,,,,11.9695104,78.9136094,9249249614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9136094 11.9695104, 78.915149 11.971418)"
62,,,,,,,,,,,11.971418,78.915149,9249249613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.915149 11.971418, 78.9164954 11.9731183)"
63,,,,,,,,,,,11.9731183,78.9164954,9249249612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9164954 11.9731183, 78.9178392 11.9748211)"
64,,,,,,,,,,,11.9748211,78.9178392,9249249611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9178392 11.9748211, 78.9193439 11.976726)"
65,,,,,,,,,,,11.976726,78.9193439,9249249610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9193439 11.976726, 78.9210445 11.9778464)"
66,,,,,,,,,,,11.9778464,78.9210445,9249249609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9210445 11.9778464, 78.9228711 11.979035)"
67,,,,,,,,,,,11.979035,78.9228711,9249249608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9228711 11.979035, 78.9248988 11.9794102)"
68,,,,,,,,,,,11.9794102,78.9248988,9249249607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9248988 11.9794102, 78.9269212 11.9802629)"
69,,,,,,,,,,,11.9802629,78.9269212,9249249606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9269212 11.9802629, 78.928957 11.9812495)"
70,,,,,,,,,,,11.9812495,78.928957,9249249605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.928957 11.9812495, 78.9311457 11.9821311)"
71,,,,,,,,,,,11.9821311,78.9311457,9249249604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9311457 11.9821311, 78.9333183 11.9825614)"
72,,,,,,,,,,,11.9825614,78.9333183,9249249603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9333183 11.9825614, 78.9354587 11.9833249)"
73,,,,,,,,,,,11.9833249,78.9354587,9249249602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9354587 11.9833249, 78.9376473 11.9841619)"
74,,,,,,,,,,,11.9841619,78.9376473,9249249601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9376473 11.9841619, 78.9391842 11.9862399)"
75,,,,,,,,,,,11.9862399,78.9391842,9249249600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9391842 11.9862399, 78.9408606 11.9880424)"
76,,,,,,,,,,,11.9880424,78.9408606,9249249599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9408606 11.9880424, 78.9425692 11.9899314)"
77,,,,,,,,,,,11.9899314,78.9425692,9249249598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9425692 11.9899314, 78.9438835 11.9919175)"
78,,,,,,,,,,,11.9919175,78.9438835,9249249597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9438835 11.9919175, 78.9461017 11.9932058)"
79,,,,,,,,,,,11.9932058,78.9461017,9249249596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9461017 11.9932058, 78.9484405 11.9935154)"
80,,,,,,,,,,,11.9935154,78.9484405,9249249595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9484405 11.9935154, 78.9502913 11.9941031)"
81,,,,,,,,,,,11.9941031,78.9502913,9249249594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9502913 11.9941031, 78.9522654 11.993985)"
82,,,,,,,,,,,11.993985,78.9522654,9249249593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9522654 11.993985, 78.953746 11.995386)"
83,,,,,,,,,,,11.995386,78.953746,9249249592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.953746 11.995386, 78.9545104 11.9971648)"
84,,,,,,,,,,,11.9971648,78.9545104,9249249591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9545104 11.9971648, 78.9553392 11.9989856)"
85,,,,,,,,,,,11.9989856,78.9553392,9249249590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9553392 11.9989856, 78.9566079 12.0010609)"
86,,,,,,,,,,,12.0010609,78.9566079,9249249589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9566079 12.0010609, 78.9587483 12.0023517)"
87,,,,,,,,,,,12.0023517,78.9587483,9249249588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9587483 12.0023517, 78.9606848 12.0035795)"
88,,,,,,,,,,,12.0035795,78.9606848,9249249587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9606848 12.0035795, 78.9622003 12.0052271)"
89,,,,,,,,,,,12.0052271,78.9622003,9249249586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9622003 12.0052271, 78.9636272 12.0067409)"
90,,,,,,,,,,,12.0067409,78.9636272,9249249585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9636272 12.0067409, 78.9657301 12.00805)"
91,,,,,,,,,,,12.00805,78.9657301,9249249584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9657301 12.00805, 78.9677846 12.0082416)"
92,,,,,,,,,,,12.0082416,78.9677846,9249249583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9677846 12.0082416, 78.970086 12.0085485)"
93,,,,,,,,,,,12.0085485,78.970086,9249249582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.970086 12.0085485, 78.9727119 12.0089237)"
94,,,,,,,,,,,12.0089237,78.9727119,9249249581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9727119 12.0089237, 78.9751473 12.0097553)"
95,,,,,,,,,,,12.0097553,78.9751473,9249249580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9751473 12.0097553, 78.9770785 12.0108834)"
96,,,,,,,,,,,12.0108834,78.9770785,9249249579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9770785 12.0108834, 78.9793074 12.0119118)"
97,,,,,,,,,,,12.0119118,78.9793074,9249249578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9793074 12.0119118, 78.9815685 12.0117649)"
98,,,,,,,,,,,12.0117649,78.9815685,9249249577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9815685 12.0117649, 78.9838645 12.0116259)"
99,,,,,,,,,,,12.0116259,78.9838645,9249249576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9838645 12.0116259, 78.9857447 12.0114921)"
100,,,,,,,,,,,12.0114921,78.9857447,9249249575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9857447 12.0114921, 78.9879414 12.0108231)"
101,,,,,,,,,,,12.0108231,78.9879414,9249245009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9879414 12.0108231, 78.9902455 12.0101672)"
102,,,,,,,,,,,12.0101672,78.9902455,9249245008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9902455 12.0101672, 78.9926916 12.0098367)"
103,,,,,,,,,,,12.0098367,78.9926916,9249245007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9926916 12.0098367, 78.9947838 12.0095691)"
104,,,,,,,,,,,12.0095691,78.9947838,9249245006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9947838 12.0095691, 78.9970797 12.009834)"
105,,,,,,,,,,,12.009834,78.9970797,9249245005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9970797 12.009834, 78.9986515 12.010949)"
106,,,,,,,,,,,12.010949,78.9986515,9249245004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9986515 12.010949, 79.000529 12.0123421)"
107,,,,,,,,,,,12.0123421,79.000529,9249245003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.000529 12.0123421, 79.0026399 12.0130268)"
108,,,,,,,,,,,12.0130268,79.0026399,9249245002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0026399 12.0130268, 79.004952 12.0138401)"
109,,,,,,,,,,,12.0138401,79.004952,9249245001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.004952 12.0138401, 79.0065721 12.0142467)"
110,,,,,,,,,,,12.0142467,79.0065721,9249245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0065721 12.0142467, 79.0087044 12.0147819)"
111,,,,,,,,,,,12.0147819,79.0087044,9249244999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0087044 12.0147819, 79.0108851 12.0151282)"
112,,,,,,,,,,,12.0151282,79.0108851,9249244998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0108851 12.0151282, 79.013291 12.0154981)"
113,,,,,,,,,,,12.0154981,79.013291,9249244997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.013291 12.0154981, 79.0149352 12.0171561)"
114,,,,,,,,,,,12.0171561,79.0149352,9249244996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0149352 12.0171561, 79.015587 12.0190555)"
115,,,,,,,,,,,12.0190555,79.015587,9249244995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.015587 12.0190555, 79.0152249 12.0210257)"
116,,,,,,,,,,,12.0210257,79.0152249,9249244994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0152249 12.0210257, 79.0162897 12.0224895)"
117,,,,,,,,,,,12.0224895,79.0162897,9249244993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0162897 12.0224895, 79.0181378 12.0237277)"
118,,,,,,,,,,,12.0237277,79.0181378,9249244992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0181378 12.0237277, 79.0200073 12.0249817)"
119,,,,,,,,,,,12.0249817,79.0200073,9249244991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0200073 12.0249817, 79.0218633 12.0262357)"
120,,,,,,,,,,,12.0262357,79.0218633,9249244990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0218633 12.0262357, 79.0232876 12.0282845)"
121,,,,,,,,,,,12.0282845,79.0232876,9249244989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0232876 12.0282845, 79.0247521 12.0301942)"
122,,,,,,,,,,,12.0301942,79.0247521,9249244988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0247521 12.0301942, 79.0261173 12.0319571)"
123,,,,,,,,,,,12.0319571,79.0261173,9249244987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0261173 12.0319571, 79.0274745 12.0341895)"
124,,,,,,,,,,,12.0341895,79.0274745,9249244986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0274745 12.0341895, 79.0292609 12.0351417)"
125,,,,,,,,,,,12.0351417,79.0292609,9249244985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0292609 12.0351417, 79.0307173 12.0367734)"
126,,,,,,,,,,,12.0367734,79.0307173,9249244984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0307173 12.0367734, 79.0307066 12.0386831)"
127,,,,,,,,,,,12.0386831,79.0307066,9249244983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0307066 12.0386831, 79.0315676 12.0407371)"
128,,,,,,,,,,,12.0407371,79.0315676,9249244982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0315676 12.0407371, 79.0323991 12.0427753)"
129,,,,,,,,,,,12.0427753,79.0323991,9249244981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0323991 12.0427753, 79.0330428 12.0443754)"
130,,,,,,,,,,,12.0443754,79.0330428,9249244980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0330428 12.0443754, 79.0344295 12.0458339)"
131,,,,,,,,,,,12.0458339,79.0344295,9249244979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0344295 12.0458339, 79.0354809 12.0477882)"
132,,,,,,,,,,,12.0477882,79.0354809,9249244978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0354809 12.0477882, 79.0368864 12.0496427)"
133,,,,,,,,,,,12.0496427,79.0368864,9249244977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0368864 12.0496427, 79.0378686 12.0507365)"
134,,,,,,,,,,,12.0507365,79.0378686,9249244976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
