Tower No,Tower Type,Tower Type(S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,DA,S,,26,10-Sep,,0.001840496,4.3,72.545876,,11.59781129,79.46587652,GOOD,GOOD,,"ROAD,RIVER",PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46587652396397 11.597811290419537, 79.46830352244453 11.597847289819349)"
11,DA,S,,26,11-Oct,,0.002986864,8.3,70.856621,,11.59784729,79.46830352,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46830352244453 11.597847289819349, 79.47034552159299 11.597793292842184)"
12,DA,S,,26,12-Nov,,0.002872574,7.12,68.68663,,11.59779329,79.47034552,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47034552159299 11.597793292842184, 79.47216952135983 11.597746292646574)"
13,DC,T,,26,13-Dec,,0.002772907,8.9,72.731232," 16d39'12""LT",11.59774629,79.47216952,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47216952135983 11.597746292646574, 79.47333952030203 11.598058294431551)"
14,DD,T,,28,13-14,,0.002843698,6.4,78.397614,94d11'47 LT,11.59805829,79.47333952,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47333952030203 11.598058294431551, 79.47272252075186 11.599792289189967)"
4,DC,T,2W,26,14-4,,0.002487074,5.32,72.876808," 17d50'36""RT",11.59979229,79.47272252,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47272252075186 11.599792289189967, 79.47265052072507 11.602778284966119)"
5,DA,S,,26,5-Apr,,0.002978237,7.28,70.921761,,11.60277828,79.47265052,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47265052072507 11.602778284966119, 79.4725555205072 11.60564928765046)"
6,DA,S,,26,6-May,,0.002814684,,73.788239,,11.60564929,79.47255552,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4725555205072 11.60564928765046, 79.4724845207186 11.608421285648461)"
7,DA,S,,26,7-Jun,,0.00274692,,76.908333,,11.60842129,79.47248452,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4724845207186 11.608421285648461, 79.47242152109617 11.611264285441294)"
8,DA,S,,26,8-Jul,,0.002611665,,77.24073,,11.61126429,79.47242152,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47242152109617 11.611264285441294, 79.4723485208573 11.613750288342239)"
9,DA,S,,26,9-Aug,,0.002680684,,79.884773,,11.61375029,79.47234852,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4723485208573 11.613750288342239, 79.47226252145279 11.616727283189395)"
10,DA,S,,26,10-Sep,,0.002734308,5.32,84.693504,,11.61672728,79.47226252,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47226252145279 11.616727283189395, 79.47220052133302 11.6195412837941)"
11,DA,S,,26,11-Oct,,0.001326536,7.42,81.210342,,11.61954128,79.47220052,GOOD,GOOD,,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47220052133302 11.6195412837941, 79.472129521009 11.622287286504486)"
12,DA,S,,26,12-Nov,,0.002662673,,86.71096,,11.62228729,79.47212952,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.472129521009 11.622287286504486, 79.47207052081647 11.62489828480738)"
13,DA,S,,26,13-Dec,,0.001221732,,86.674217,,11.62489828,79.47207052,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47207052081647 11.62489828480738, 79.47197552073632 11.627577285341035)"
14,DA,S,,26,13-14,,0.001729694,,85.575409,,11.62757729,79.47197552,GOOD,GOOD,"HT-1,LT-1",ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47197552073632 11.627577285341035, 79.47201652102521 11.63031128620193)"
15,DB,T,,24,14-15,,0.001922984,5.3,91.540405," 10d15'7""RT",11.63031129,79.47201652,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47201652102521 11.63031128620193, 79.47223752086019 11.631619283342648)"
121,DD,T,,28,15-121,,0.001833696,6.42,86.573021,"63d26'16""RT",11.63161928,79.47223752,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47223752086019 11.631619283342648, 79.47478551982402 11.632392284581206)"
120,DB,T,2W,24,121-120,,0.002016719,0.6,90.068977," 3d10'1""LT",11.63239228,79.47478552,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47478551982402 11.632392284581206, 79.47593351940866 11.632810286736115)"
119,DC,T,,26,120-119,,0.002114956,0.32,87.112762,"18d37'31""RT",11.63281029,79.47593352,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47593351940866 11.632810286736115, 79.47766251916332 11.632859285941743)"
118,DD,T,,28,119-118,,0.002379159,3.7,86.018799," 44d17'35""LT",11.63285929,79.47766252,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47766251916332 11.632859285941743, 79.47899551866148 11.634245280390925)"
117,DA,S,,26,118-117,,0.002045004,0.68,87.893562,,11.63424528,79.47899552,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47899551866148 11.634245280390925, 79.48027451741805 11.635559283683609)"
116,DA,S,,26,117-116,,0.002210953,1.35,82.50148,,11.63555928,79.48027452,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48027451741805 11.635559283683609, 79.48169051748344 11.63699528544364)"
115,DA,S,,26,116-115,,0.002192936,1.42,90.069504,,11.63699529,79.48169052,GOOD,GOOD,"LT-1,HT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48169051748344 11.63699528544364, 79.48318851697033 11.638488281225573)"
114,DD,T,,28,115-114,,0.002352478,0.5,85.554062," 32d22'40""RT",11.63848828,79.48318852,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48318851697033 11.638488281225573, 79.48550251594413 11.639041280612185)"
113,DA,S,,26,114-113,,0.002199752,4.62,87.06324,,11.63904128,79.48550252,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48550251594413 11.639041280612185, 79.48749851524263 11.639486283078037)"
112,DA,S,,26,113-112,,0.002372314,,89.17868,,11.63948628,79.48749852,GOOD,GOOD,LT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48749851524263 11.639486283078037, 79.48964351445328 11.640022280134215)"
111,DA,S,,26,112-111,,0.002396768,0.95,87.122353,,11.64002228,79.48964351,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48964351445328 11.640022280134215, 79.49177751284113 11.640527276250706)"
110,DA,S,,26,111-110,,0.002534811,5.13,88.257515,,11.64052728,79.49177751,GOOD,GOOD,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49177751284113 11.640527276250706, 79.49406551189449 11.641074279448986)"
109,DD,T,,28,110-109,,0.002230646,1.9,91.300156,"34d8'33""RT",11.64107428,79.49406551,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49406551189449 11.641074279448986, 79.49611851156705 11.640284278884407)"
108,DA,S,,26,109-108,,0.002310753,1.35,90.039757,,11.64028428,79.49611851,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49611851156705 11.640284278884407, 79.4983515103885 11.639483285063587)"
107,DA,S,,26,108-107,,0.002424211,1.8,83.149803,,11.63948329,79.49835151,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4983515103885 11.639483285063587, 79.50059550970393 11.638641284602183)"
106,DA,S,,26,107-106,,0.00239992,1.46,92.607368,,11.63864128,79.50059551,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50059550970393 11.638641284602183, 79.50297450824856 11.637766280723186)"
105,DA,S,,26,106-105,,0.002559873,4.6,84.679329,,11.63776628,79.50297451,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50297450824856 11.637766280723186, 79.50506950789384 11.637000278078542)"
104,DD,T,2W,28,105-104,,0.002600063,0.5,86.245529,"38d56'49""LT",11.63700028,79.50506951,GOOD,NO EARTH CABLE,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50506950789384 11.637000278078542, 79.50726750654857 11.637713285356453)"
103,DA,S,,26,104-103,,0.002477579,1.32,85.030952,,11.63771329,79.50726751,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50726750654857 11.637713285356453, 79.50956950591606 11.638473284919604)"
102,DA,S,,26,103-102,,0.002570005,1.7,79.725388,,11.63847328,79.50956951,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50956950591606 11.638473284919604, 79.51185950488457 11.639191283328405)"
101,DA,S,,26,102-101,,0.002574946,2.32,81.867348,,11.63919128,79.5118595,GOOD,NO EARTH CABLE,LT-1,CARTRACK,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51185950488457 11.639191283328405, 79.51429050381964 11.63999327612173)"
100,DA,S,,26,101-100,,0.00256816,2.1,84.751251,,11.63999328,79.5142905,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51429050381964 11.63999327612173, 79.5167615028554 11.640802281791554)"
99,DA,S,,26,100-99,,0.002532164,1.62,78.953499,,11.64080228,79.5167615,GOOD,NO EARTH CABLE,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5167615028554 11.640802281791554, 79.51910050228547 11.641619277322194)"
98,DA,S,,26,99-98,,0.002659165,3.12,78.054726,,11.64161928,79.5191005,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51910050228547 11.641619277322194, 79.52155150118605 11.642392277234956)"
97,DA,S,,26,98-97,,0.002592474,5.17,83.263176,,11.64239228,79.5215515,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52155150118605 11.642392277234956, 79.52398350071338 11.643238282714451)"
96,DA,S,,26,97-96,,0.002496224,4.17,83.100441,,11.64323828,79.5239835,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52398350071338 11.643238282714451, 79.52641349955158 11.644069278371719)"
95,DA,S,,26,96-95,,0.002565873,1.17,83.371353,,11.64406928,79.5264135,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52641349955158 11.644069278371719, 79.52880749863631 11.64489427598142)"
94,DA,S,,26,95-94,,0.002037226,,83.344986,,11.64489428,79.5288075,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52880749863631 11.64489427598142, 79.53132849716023 11.645740281304269)"
93,DA,S,,26,94-93,,0.002247372,2.17,82.230904,,11.64574028,79.5313285,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53132849716023 11.645740281304269, 79.53379249658462 11.64654627745181)"
92,DA,S,,26,93-92,,0.002440684,3.81,79.268013,,11.64654628,79.5337925,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53379249658462 11.64654627745181, 79.5361494952853 11.64736828187832)"
91,DA,S,,26,92-91,,0.002454825,2.93,82.110321,,11.64736828,79.5361495,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5361494952853 11.64736828187832, 79.53858249459063 11.648183277074084)"
90,DD,T,2W,28,91-90,,0.002272007,0.55,89.651787," 33d42'14""LT",11.64818328,79.53858249,GOOD,GOOD,LT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53858249459063 11.648183277074084, 79.53979649369714 11.649819276801802)"
89,DA,S,,26,90-89,,0.002200802,2.17,86.902809,,11.64981928,79.53979649,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53979649369714 11.649819276801802, 79.54119149321326 11.651581280417622)"
88,DA,S,,26,89-88,,0.00230439,1.03,86.425102,,11.65158128,79.54119149,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54119149321326 11.651581280417622, 79.54268549287457 11.653511281372987)"
87,DA,S,,26,88-87,,0.002507684,,89.29454,,11.65351128,79.54268549,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54268549287457 11.653511281372987, 79.54420249192778 11.655441275555193)"
86,DA,S,,26,87-86,,0.002120121,3.01,90.876396,,11.65544128,79.54420249,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54420249192778 11.655441275555193, 79.54557049162996 11.657255274990737)"
85,DA,S,,26,86-85,,0.002270022,1.71,89.121208,,11.65725527,79.54557049,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54557049162996 11.657255274990737, 79.54692449159015 11.658990271804026)"
84,DC,T,,26,85-84,,0.002622535,11.6,88.490997," 17d43'6""LT",11.65899027,79.54692449,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54692449159015 11.658990271804026, 79.54770549126309 11.661158278173893)"
83,DD,T,,28,84-83,,0.002450163,0.46,91.67392,"35d17'43""RT",11.66115828,79.54770549,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54770549126309 11.661158278173893, 79.5497654900519 11.662588272849007)"
82,DD,T,,28,83-82,,0.002583361,1.56,85.056007,"32d0'1""RT",11.66258827,79.54976549,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5497654900519 11.662588272849007, 79.55188248923632 11.662703276594419)"
81,DB,T,2W,24,82-81,,0.002681039,3.1,91.674866,"13d42'28""LT",11.66270328,79.55188249,GOOD,NO EARTH CABLE,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55188248923632 11.662703276594419, 79.55406448821708 11.663329278350274)"
80,DA,S,,26,81-80,,0.002629728,1.5,90.700615,,11.66332928,79.55406449,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55406448821708 11.663329278350274, 79.55657448783192 11.664089271284716)"
79,DA,S,,26,80-79,,0.002658358,2.5,89.079582,,11.66408927,79.55657449,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55657448783192 11.664089271284716, 79.55892548624995 11.664779274325332)"
78,DA,S,,26,79-78,,0.002528783,2.45,84.378922,,11.66477927,79.55892549,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55892548624995 11.664779274325332, 79.56139048579843 11.665552274580971)"
77,DA,S,,26,78-77,,0.002685282,5.15,81.932655,,11.66555227,79.56139049,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56139048579843 11.665552274580971, 79.56396448479694 11.66630227521351)"
76,DA,S,,26,77-76,,0.0023982,4.85,80.067497,,11.66630228,79.56396448,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56396448479694 11.66630227521351, 79.56648048361218 11.667067271371327)"
75,DA,S,,26,76-75,,0.002917089,6.5,81.339928,,11.66706727,79.56648048,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56648048361218 11.667067271371327, 79.56902848298184 11.667825273004976)"
74,DC,T,,26,75-74,,0.002747052,2.75,74.356392," 16d29'8""RT",11.66782527,79.56902848,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56902848298184 11.667825273004976, 79.57155648129005 11.667888271892444)"
73,DA,S,,26,74-73,,0.002522535,7.08,74.991631,,11.66788827,79.57155648,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57155648129005 11.667888271892444, 79.5742414803429 11.667849276565535)"
72,DA,S,,26,73-72,,0.002498456,6,80.51178,,11.66784928,79.57424148,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5742414803429 11.667849276565535, 79.57663947979769 11.667880276787455)"
71,DA,S,,26,72-71,,0.002688733,4.6,80.706123,,11.66788028,79.57663948,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57663947979769 11.667880276787455, 79.57955647837457 11.667857271258162)"
70,DA,S,,26,71-70,,0.002577415,4.5,77.944214,,11.66785727,79.57955648,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57955647837457 11.667857271258162, 79.58230347795256 11.66787427195873)"
69,DA,S,,26,70-69,,0.00268062,1.5,77.300674,,11.66787427,79.58230348,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58230347795256 11.66787427195873, 79.58482547667549 11.66792627553012)"
68,DD,T,2W,28,69-68,,0.002759653,3.5,77.646393,"33d2'47""LT",11.66792628,79.58482548,GOOD,GOOD,neyveli-karaikal 230kv ,,PLAIN,neyveli-karaikal 230kv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58482547667549 11.66792627553012, 79.58695847528588 11.669227274008335)"
67,DA,S,,26,68-67,,0.002697241,4.6,77.592682,,11.66922727,79.58695848,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58695847528588 11.669227274008335, 79.5892084749454 11.670699275389993)"
66,DA,S,,26,67-66,,0.002775921,1.9,74.887924,,11.67069928,79.58920847,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5892084749454 11.670699275389993, 79.59135547380187 11.6721252709518)"
65,DA,S,,26,66-65,,0.00262345,1.31,77.726494,,11.67212527,79.59135547,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59135547380187 11.6721252709518, 79.59361647333377 11.673565273108329)"
64,DA,S,,26,65-64,,0.002609315,2.35,75.179352,,11.67356527,79.59361647,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59361647333377 11.673565273108329, 79.59591847238427 11.675087273103136)"
63,DA,S,,26,64-63,,0.002646923,4.15,75.128334,,11.67508727,79.59591847,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59591847238427 11.675087273103136, 79.59818447148834 11.676550269218062)"
62,DA,S,,26,63-62,,0.002730246,5.3,76.068947,,11.67655027,79.59818447,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59818447148834 11.676550269218062, 79.60051247039166 11.67806227458499)"
61,DA,S,,26,62-61,,0.002548704,6.25,76.919266,,11.67806227,79.60051247,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60051247039166 11.67806227458499, 79.60269546955868 11.679517268086586)"
60,DA,S,,26,61-60,,0.001989449,4.65,75.956528,,11.67951727,79.60269547,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60269546955868 11.679517268086586, 79.60486946845118 11.680960269325613)"
59,DA,S,2W,26,60-59,,0.002619266,4.85,78.203247,,11.68096027,79.60486947,GOOD,GOOD,"HT-1,LT-1",,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60486946845118 11.680960269325613, 79.60708846830538 11.682403266851384)"
58,DA,S,,26,59-58,,0.002683712,4.15,77.957497,,11.68240327,79.60708847,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60708846830538 11.682403266851384, 79.60936446703467 11.683911269277797)"
57,DA,S,,26,58-57,,0.002703102,3.15,78.162209,,11.68391127,79.60936447,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60936446703467 11.683911269277797, 79.61149946631443 11.685303272400944)"
56,DA,S,,26,57-56,,0.002240997,5.1,78.717949,,11.68530327,79.61149947,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61149946631443 11.685303272400944, 79.61313546552219 11.68643526836703)"
