S.No,Tower No.,Tower Suspension / Tension,Tower Type,JOINT BOX,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-493,DA,S,,24,494-493,262.0686933,INFINITY,55,,79.482598,11.959438,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482598 11.959438, 79.482592 11.962159)"
12,T.NO-492,DA,S,,24,493-492,301.0016611,INFINITY,55,,79.482592,11.962159,GOOD,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482592 11.962159, 79.48254 11.964889)"
13,T.NO-491,DA,S,,24,492-491,302.0264889,17.12,54,,79.48254,11.964889,RUST,24F OPGW,"3-LT, 22KV",CEMENT ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48254 11.964889, 79.482636 11.967421)"
14,T.NO-490,DA,S,,24,491-490,280.2570249,18.21,53,,79.482636,11.967421,RUST,24F OPGW,"22KV, LT","CANAL, MUD ROAD",CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482636 11.967421, 79.482611 11.970386)"
15,T.NO-489,DA,S,,24,490-489,328.0015244,17.4,55,,79.482611,11.970386,RUST,24F OPGW,2-LT,"TAAR ROAD, RIVER",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482611 11.970386, 79.482641 11.973252)"
16,T.NO-488,DA,S,,24,489-488,317.0394297,14.49,54,,79.482641,11.973252,RUST,24F OPGW,11KV,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482641 11.973252, 79.482643 11.976099)"
17,T.NO-487,DA,S,,24,488-487,315.0063491,16.24,54,,79.482643,11.976099,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482643 11.976099, 79.482665 11.97883)"
18,T.NO-486,DA,S,,24,487-486,302.0264889,17.9,54,,79.482665,11.97883,RUST,24F OPGW,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482665 11.97883, 79.482695 11.981632)"
19,T.NO-485,DA,S,,24,486-485,310.04032,,55,,79.482695,11.981632,RUST,24F OPGW,,,CALTIVATION,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482695 11.981632, 79.482689 11.984308)"
20,T.NO-484,DA,S,,24,485-484,296.0016892,19.94,63,,79.482689,11.984308,RUST,24F OPGW,2-LT,2-TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482689 11.984308, 79.482666 11.98674)"
21,T.NO-483,DB,T,,26,484-483,269.0018587,14.26,66,"5°27'36""",79.482666,11.98674,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482666 11.98674, 79.482744 11.987626)"
22,T.NO-482C/1 LILO 110KV POOTHAMEDU,DB,T,3W,29,483-482C/1 LILO,98.41239759,2.6,63,"0°00'00""",79.482744,11.987626,GOOD,24F OPGW,"11KV, 22KV",TAAR ROAD,INSIDE SS,NEED 3WAY JOINT BOX FOR 110KV POOTHAMEDU,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482744 11.987626, 79.482812 11.988522)"
23,T.NO-482,DB,T,,29,482C/1 LILO-482,99.32270637,16.55,66,"2°26'41""",79.482812,11.988522,RUST,24F OPGW,11OKV DC LINE CROSSING BELOW,,INSIDE SS,EXISTING JOINT BOX AVILABLE.(NEED 3WAY JOINT BOX FOR VILUPURAM 230KV APPROACH CABLE ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.482812 11.988522, 79.483067 11.990639)"
24,T.NO-481,DB,T,,29,482-481,235.7901609,17.42,72,"5°1'5""",79.483067,11.990639,RUST,24F OPGW,22KV,STATE HIGHWAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.483067 11.990639, 79.483693 11.993598)"
25,T.NO-480,DA,S,,24,481-480,334.4084329,18.9,70,,79.483693,11.993598,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.483693 11.993598, 79.484285 11.996178)"
26,T.NO-479,DA,S,,24,480-479,292.5423046,20,71,,79.484285,11.996178,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.484285 11.996178, 79.484903 11.998966)"
27,T.NO-478,DA,S,,27,479-478,315.634282,16.29,70,,79.484903,11.998966,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.484903 11.998966, 79.485494 12.001663)"
28,T.NO-477,DA,S,,27,478-477,305.2212312,18.3,71,,79.485494,12.001663,RUST,24F OPGW,220KV D/C LINE CROSSING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.485494 12.001663, 79.486076 12.004369)"
29,T.NO-476,DA,S,,24,477-476,305.9836597,19.49,71,,79.486076,12.004369,RUST,24F OPGW,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.486076 12.004369, 79.486667 12.006931)"
30,T.NO-475,DA,S,,24,476-475,290.5942188,13.1,70,,79.486667,12.006931,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.486667 12.006931, 79.487089 12.008813)"
31,T.NO-474,DA,S,2W,24,475-474,213.2439917,20.6,71,,79.487089,12.008813,RUST,24F OPGW,2-22KV,TAAR ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.487089 12.008813, 79.487687 12.011737)"
32,T.NO-473,DA,S,,24,474-473,329.8757342,18.26,70,,79.487687,12.011737,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.487687 12.011737, 79.488305 12.014606)"
33,T.NO-472,DA,S,,24,473-472,324.422564,18.89,70,,79.488305,12.014606,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.488305 12.014606, 79.488942 12.017385)"
34,T.NO-471,DA,S,,24,472-471,315.1031577,17.1,71,,79.488942,12.017385,RUST,24F OPGW,22KV,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.488942 12.017385, 79.489541 12.020163)"
35,T.NO-470,DA,S,,24,471-470,314.2260333,INFINITY,73,,79.489541,12.020163,RUST,24F OPGW,LT,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.489541 12.020163, 79.49015 12.022942)"
36,T.NO-469,DA,S,,24,470-469,314.4407734,INFINITY,70,,79.49015,12.022942,RUST,24F OPGW,,MUD ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49015 12.022942, 79.490413 12.025303)"
37,T.NO-468,DA,S,,24,469-468,262.7184805,19.26,69,,79.490413,12.025303,GOOD,24F OPGW,,MUD ROAD,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.490413 12.025303, 79.491333 12.02821)"
38,T.NO-467,DA,S,,24,468-467,336.8159735,19.46,69,,79.491333,12.02821,GOOD,24F OPGW,,LT,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.491333 12.02821, 79.491859 12.031042)"
39,T.NO-466,DA,S,,24,467-466,318.5121662,18.9,69,,79.491859,12.031042,RUST,24F OPGW,11KV,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.491859 12.031042, 79.492568 12.034075)"
40,T.NO-465,,T,2W,26,466-465,344.1889016,17.18,69,"3°38'56""",79.492568,12.034075,RUST,24F OPGW,LT,TAAR ROAD,CALTIVATION,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.492568 12.034075, 79.493226 12.036248)"
41,T.NO-464,DA,S,,24,465-464,250.8565327,19.01,69,,79.493226,12.036248,RUST,24F OPGW,LT,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.493226 12.036248, 79.494009 12.039145)"
42,T.NO-463,DA,S,,24,464-463,331.6157415,18.99,69,,79.494009,12.039145,RUST,24F OPGW,2-LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.494009 12.039145, 79.494775 12.041879)"
43,T.NO-462,DA,S,,24,463-462,313.7339637,INFINITY,66,,79.494775,12.041879,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.494775 12.041879, 79.495549 12.044641)"
44,T.NO-461,DA,S,,24,462-461,316.8927263,19,58,,79.495549,12.044641,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.495549 12.044641, 79.496179 12.046977)"
45,T.NO-460,DA,S,,24,461-460,267.3275145,16.29,59,,79.496179,12.046977,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.496179 12.046977, 79.496926 12.049747)"
46,T.NO-459,DA,S,,24,460-459,317.0567772,17.2,59,,79.496926,12.049747,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.496926 12.049747, 79.49771 12.052527)"
47,T.NO-458,DA,S,,24,459-458,319.0893292,18.12,58,,79.49771,12.052527,RUST,24F OPGW,LT,NALA,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49771 12.052527, 79.498439 12.055107)"
48,T.NO-457,DA,S,2W,24,458-457,296.287023,16.92,58,,79.498439,12.055107,RUST,24F OPGW,LT,,CALTIVATION,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.498439 12.055107, 79.499196 12.057805)"
49,T.NO-456,DA,S,,24,457-456,309.6126612,19,58,,79.499196,12.057805,RUST,24F OPGW,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.499196 12.057805, 79.49988 12.06025)"
50,T.NO-455,DA,S,,24,456-455,280.4924241,17.1,59,,79.49988,12.06025,RUST,24F OPGW,LT,NALA,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.49988 12.06025, 79.500609 12.062921)"
51,T.NO-454,DA,S,,24,455-454,305.9182897,16.18,58,,79.500609,12.062921,RUST,24F OPGW,"11KV, LT",TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.500609 12.062921, 79.501402 12.065728)"
52,T.NO-453,DA,S,,24,454-453,322.2483514,19.21,59,,79.501402,12.065728,RUST,24F OPGW,LT,"TAAR ROAD, MUD ROAD",CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.501402 12.065728, 79.502068 12.068172)"
53,T.NO-452,DA,S,,24,453-452,279.9571396,17.27,60,,79.502068,12.068172,RUST,24F OPGW,11KV,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.502068 12.068172, 79.502789 12.070734)"
54,T.NO-451,DA,S,,24,452-451,294.0901222,20.4,60,,79.502789,12.070734,RUST,24F OPGW,LT,MUD ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.502789 12.070734, 79.50359 12.073559)"
55,T.NO-450,DA,S,,24,451-450,324.4456811,16.91,60,,79.50359,12.073559,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50359 12.073559, 79.504356 12.076339)"
56,T.NO-449,DA,S,,24,450-449,318.5498391,17.39,61,,79.504356,12.076339,RUST,24F OPGW,"11KV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.504356 12.076339, 79.505022 12.078765)"
57,T.NO-448,DB,T,2W,28,449-448,278.0287755,13.21,60,"11°8'48""",79.505022,12.078765,RUST,24F OPGW,,,PLAIN,"EXISTING JOINT BOX AVILABLE, BUSHES",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.505022 12.078765, 79.505175 12.080936)"
58,T.NO-447,DA,S,,24,448-447,240.6740534,16.94,58,,79.505175,12.080936,RUST,24F OPGW,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.505175 12.080936, 79.505399 12.083739)"
59,T.NO-446,DA,S,,24,447-446,311.0884119,14.68,62,,79.505399,12.083739,RUST,24F OPGW,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.505399 12.083739, 79.505604 12.086435)"
60,T.NO-445,DA,S,,24,446-445,298.9648809,19.26,64,,79.505604,12.086435,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.505604 12.086435, 79.505791 12.089166)"
61,T.NO-444,DA,S,,24,445-444,302.8002642,17.21,60,,79.505791,12.089166,RUST,24F OPGW,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.505791 12.089166, 79.506006 12.091852)"
62,T.NO-443,DA,S,,24,444-443,298.0503313,19.1,60,,79.506006,12.091852,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.506006 12.091852, 79.50621 12.094755)"
63,T.NO-442,DA,S,,24,443-442,321.8959459,13.88,61,,79.50621,12.094755,RUST,24F OPGW,,CANAL,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50621 12.094755, 79.506434 12.097523)"
64,T.NO-441,DA,S,,24,442-441,307.1025887,18.2,59,,79.506434,12.097523,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.506434 12.097523, 79.506638 12.100335)"
65,T.NO-440,DA,S,,24,441-440,311.9246704,20.92,58,,79.506638,12.100335,RUST,24F OPGW,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.506638 12.100335, 79.506843 12.103274)"
66,T.NO-439,DA,S,,24,440-439,325.884949,23.19,57,,79.506843,12.103274,RUST,24F OPGW,LT,CANAL,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.506843 12.103274, 79.507005 12.105436)"
67,T.NO-438,DB,T,2W,26,439-438,239.7540406,12.2,58,"13°43'3""",79.507005,12.105436,RUST,24F OPGW,LT,,PLAIN,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.507005 12.105436, 79.5079 12.108153)"
68,T.NO-437,DA,S,,24,438-437,315.9129627,16.73,58,,79.5079,12.108153,RUST,24F OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5079 12.108153, 79.508821 12.110951)"
69,T.NO-436,DA,S,,24,437-436,325.3997541,20.16,59,,79.508821,12.110951,RUST,24F OPGW,3-LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.508821 12.110951, 79.50977 12.113804)"
70,T.NO-435,DA,S,,24,436-435,332.0391543,16.92,58,,79.50977,12.113804,RUST,24F OPGW,"2-LT, 2-11KV","TAAR ROAD, CANAL",CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50977 12.113804, 79.510628 12.116421)"
71,T.NO-434,DA,S,,24,435-434,304.2137406,18.17,58,,79.510628,12.116421,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.510628 12.116421, 79.51155 12.119202)"
72,T.NO-433,DA,S,,24,434-433,323.5011592,16.94,57,,79.51155,12.119202,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51155 12.119202, 79.512454 12.121892)"
73,T.NO-432,DA,S,,24,433-432,313.3831521,15.25,57,,79.512454,12.121892,RUST,24F OPGW,,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.512454 12.121892, 79.513276 12.124427)"
74,T.NO-431,DA,S,,24,432-431,294.4163718,16.12,58,,79.513276,12.124427,RUST,24F OPGW,11KV,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.513276 12.124427, 79.514179 12.127135)"
75,T.NO-430,DA,S,2W,24,431-430,315.2792413,15.91,56,,79.514179,12.127135,RUST,24F OPGW,LT,,CALTIVATION,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.514179 12.127135, 79.515047 12.12978)"
76,T.NO-429,DA,S,,24,430-429,307.3759913,17.22,57,,79.515047,12.12978,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.515047 12.12978, 79.515932 12.132478)"
77,T.NO-428,DA,S,,24,429-428,313.7004941,16.32,57,,79.515932,12.132478,RUST,24F OPGW,"LT,11KV",MUD ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.515932 12.132478, 79.516772 12.135059)"
78,T.NO-427,DA,S,,27,428-427,299.7899264,16.25,57,,79.516772,12.135059,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.516772 12.135059, 79.517775 12.138084)"
79,T.NO-426,DA,S,,27,427-426,351.9616456,17.26,59,,79.517775,12.138084,RUST,24F OPGW,,RIVER,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.517775 12.138084, 79.518517 12.140285)"
80,T.NO-425,DA,S,,24,426-425,256.4624729,16.41,60,,79.518517,12.140285,RUST,24F OPGW,,,PLAIN,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.518517 12.140285, 79.519293 12.142685)"
81,T.NO-424,DA,S,,24,425-424,278.6054558,16.31,61,,79.519293,12.142685,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.519293 12.142685, 79.520134 12.14523)"
82,T.NO-423,DA,S,,24,424-423,295.9898647,12.17,61,,79.520134,12.14523,RUST,24F OPGW,,MUD ROAD,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.520134 12.14523, 79.520983 12.147766)"
83,T.NO-422,DA,S,,24,423-422,295.3574106,11.26,63,,79.520983,12.147766,RUST,24F OPGW,,TAAR ROAD,CALTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.520983 12.147766, 79.521815 12.150283)"
84,T.NO-421,DA,S,,24,422-421,292.8275943,11.29,59,,79.521815,12.150283,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.521815 12.150283, 79.522646 12.152792)"
85,T.NO-420,DC,T,2W,28,421-420,291.8783993,10.12,61,"25°27'7"" ",79.522646,12.152792,RUST,24F OPGW,LT,MUD ROAD,CALTIVATION,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.522646 12.152792, 79.524391 12.1546)"
86,T.NO-419,DA,S,,24,420-419,275.8296576,12.39,61,,79.524391,12.1546,RUST,24F OPGW,"2-LT, 11KV","MUD ROAD, TAAR ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.524391 12.1546, 79.526045 12.1563)"
87,T.NO-418,DA,S,,24,419-418,260.2498799,11.49,59,,79.526045,12.1563,RUST,24F OPGW,"LT, 11KV",,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.526045 12.1563, 79.527918 12.158208)"
88,T.NO-417,DA,S,,24,418-417,293.4706118,15.46,62,,79.527918,12.158208,RUST,24F OPGW,,TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.527918 12.158208, 79.52981 12.160144)"
89,T.NO-416,DA,S,,24,417-416,297.0151511,14.99,65,,79.52981,12.160144,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52981 12.160144, 79.531683 12.162061)"
90,T.NO-415,DA,S,,24,416-415,294.1870153,16.31,61,,79.531683,12.162061,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.531683 12.162061, 79.533565 12.163988)"
91,T.NO-414,DA,S,,24,415-414,295.6010825,16.71,59,,79.533565,12.163988,RUST,24F OPGW,11KV,MUD ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.533565 12.163988, 79.53542 12.165887)"
92,T.NO-413,DA,S,,24,414-413,291.3588852,12.53,59,,79.53542,12.165887,RUST,24F OPGW,,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53542 12.165887, 79.537348 12.16785)"
93,T.NO-412,DA,S,,24,413-412,301.9552947,17.39,62,,79.537348,12.16785,RUST,24F OPGW,2-LT,2-TAAR ROAD,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.537348 12.16785, 79.53924 12.169768)"
94,T.NO-411,DA,S,,24,412-411,295.5841674,17.45,61,,79.53924,12.169768,RUST,24F OPGW,"11KV, 3-LT","TAAR ROAD, NALA",CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53924 12.169768, 79.541085 12.171676)"
95,T.NO-410,DC,T,2W,28,411-410,291.3829096,16.99,61,"27°21'46""",79.541085,12.171676,RUST,24F OPGW,LT,,CALTIVATION,EXISTING JOINT BOX AVILABLE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.541085 12.171676, 79.544085 12.172695)"
96,T.NO-409,SPECIAL TOWER,T,,,410-409,345.325933,INFINITY,63,"21°45'35""",79.544085,12.172695,RUST,24F OPGW,LT,"MUD ROAD, RIVER",PLAIN,"SPECIAL TOWER, BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.544085 12.172695, 79.545969 12.174296)"
97,T.NO-408,DA,S,,24,409-408,270.9464892,18.3,62,,79.545969,12.174296,RUST,24F OPGW,LT,,CALTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.545969 12.174296, 79.548055 12.175935)"
