S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
45, 47/26,T,,DC,26, 47/25- 47/26,149.1099966,2.87,170.809158,"24°0'7"" R",11.38594444,78.71733333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71733333333333 11.385944444444444, 78.71519444444445 11.386944444444444)"
46, 47/27,T,,DC,26, 47/26- 47/27,260.0734224,4.15,169.273926,"12°45'24"" L",11.38694444,78.71519444,GOOD,Available,"LT,HT",Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71519444444445 11.386944444444444, 78.71313888888889 11.387416666666667)"
47, 47/28,T,,DC,26, 47/27- 47/28,230.9033623,1.75,170.272552,"40°35'4"" L",11.38741667,78.71313889,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71313888888889 11.387416666666667, 78.71136111111112 11.386527777777777)"
48, 47/29,T,,DC,26, 47/28- 47/29,217.0386554,2.67,173.043213,"45°14'43"" L",11.38652778,78.71136111,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71136111111112 11.386527777777777, 78.71072222222223 11.384472222222222)"
49, 47/30,S,,DA,26, 47/29- 47/30,236.8316422,1.96,172.776688,,11.38447222,78.71072222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71072222222223 11.384472222222222, 78.71008333333333 11.382305555555556)"
50, 47/31,S,,DA,26, 47/30- 47/31,250.8068959,1.35,171.291733,,11.38230556,78.71008333,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.71008333333333 11.382305555555556, 78.70933333333333 11.380166666666668)"
51, 47/32,T,,DC,26, 47/31- 47/32,250.4982439,2.53,174.367035,"0°57'45"" L",11.38016667,78.70933333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70933333333333 11.380166666666668, 78.70855555555556 11.37786111111111)"
52, 47/33,S,,DA,26, 47/32- 47/33,268.8884271,3.09,175.286057,,11.37786111,78.70855556,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70855555555556 11.37786111111111, 78.70780555555555 11.375805555555557)"
53, 47/34,T,,DC,26, 47/33- 47/34,241.674814,4.17,173.409317,"9°10'9"" R",11.37580556,78.70780556,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70780555555555 11.375805555555557, 78.70666666666666 11.373750000000001)"
54, 47/35,T,,DC,26, 47/34- 47/35,260.0876128,4.69,173.531723,"31°51'37"" R",11.37375,78.70666667,GOOD,Available,LT - 2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70666666666666 11.373750000000001, 78.70483333333334 11.372694444444445)"
55, 47/36,T,,DC,26, 47/35- 47/36,231.8904392,3.17,171.655258,"0°18'11"" L",11.37269444,78.70483333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70483333333334 11.372694444444445, 78.70294444444444 11.371666666666668)"
56, 47/37,T,,DC,26, 47/36- 47/37,234.8442646,2.5,173.055618,"43°7'54"" R",11.37166667,78.70294444,GOOD,Available,,A.Mettur Inside,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.70294444444444 11.371666666666668, 78.70275000000001 11.371694444444445)"
57,Gantry (A.Mettur SS),Gantry,2W,H-POLE,12, 47/37-Gantry,23.34368873,,172.849808,,11.37169444,78.70275,GOOD,NO E/W,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
