Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,SA,S,26,26-27,,315.3605,,164.27,,11.922110211899911,78.91897079403873,GOOD,NIL,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91897079403873 11.922110211899911, 78.91870579443388 11.92415021340612)"
28,SA,S,26,27-28,,227.5565,17.52,166.01,,11.92415021340612,78.91870579443388,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91870579443388 11.92415021340612, 78.91842722137528 11.926368755489687)"
29,SA,S,26,28-29,,247.3422,,167.11,,11.926368755489687,78.91842722137528,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91842722137528 11.926368755489687, 78.9181507951573 11.928534208853735)"
30,SC,T,26,29-30,,241.4883,8.42,171.06," 15d29'1""LT",11.928534208853735,78.9181507951573,GOOD,NIL,HT-1,CAR TRACK,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9181507951573 11.928534208853735, 78.91716379524908 11.930908209649921)"
31,SA,S,26,30-31,,283.8445,,165.81,,11.930908209649921,78.91716379524908,GOOD,NIL,"HT-1,LT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91716379524908 11.930908209649921, 78.91631576098638 11.93286977543986)"
32,SA,S,26,31-32,,236,,162,,11.93286977543986,78.91631576098638,GOOD,NIL,,POND,WATER LOGGED,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91631576098638 11.93286977543986, 78.91551573770664 11.934752906983626)"
33,SA,S,26,32-33,,226,,163.18,,11.934752906983626,78.91551573770664,GOOD,NIL,LT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91551573770664 11.934752906983626, 78.91455867139935 11.93701147407297)"
34,SA,S,26,33-34,,270.789,1.23,161.99,,11.93701147407297,78.91455867139935,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91455867139935 11.93701147407297, 78.9135303923135 11.939438041829952)"
35,SA,S,26,34-35,,290.9286,8.71,169.3,,11.939438041829952,78.9135303923135,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9135303923135 11.939438041829952, 78.9126744186495 11.941457953764731)"
36,SA,S,26,35-36,,242,3.56,170.87,,11.941457953764731,78.9126744186495,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9126744186495 11.941457953764731, 78.91175979856179 11.943616212784612)"
37,SC,T,26,36-37,,258.7647,9.63,172.51,"21d6'49""RT",11.943616212784612,78.91175979856179,GOOD,NIL,230KV D/C,,PLAIN,                                                           sankarapuram-tv.malai                                                               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91175979856179 11.943616212784612, 78.91168979871003 11.946186205202997)"
38,SD,T,28,37-38,,284.4678,,170.15," 35d2'16""LT",11.946186205202997,78.91168979871003,GOOD,NIL,LT-1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91168979871003 11.946186205202997, 78.91043379954134 11.947858212806807)"
39,SA,S,26,38-39,,230.1138,2.08,173.92,,11.947858212806807,78.91043379954134,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91043379954134 11.947858212806807, 78.90916880018004 11.949543204895507)"
40,SA,S,26,39-40,,230.1138,14.95,175.31,,11.949543204895507,78.90916880018004,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90916880018004 11.949543204895507, 78.90802680066999 11.95104720854565)"
41,SC,T,26,40-41,,207.7861,,174.81," 28d57'32""LT",11.95104720854565,78.90802680066999,GOOD,NIL,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90802680066999 11.95104720854565, 78.90591849080056 11.951991762538778)"
42,SA,S,26,41-42,,207.7861,8.43,174.29,,11.951991762538778,78.90591849080056,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90591849080056 11.951991762538778, 78.90389814728685 11.952896885551114)"
43,SA,S,26,42-43,,241.8262,5.87,175.86,,11.952896885551114,78.90389814728685,GOOD,NIL,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90389814728685 11.952896885551114, 78.90192937351615 11.953778880525295)"
44,SA,S,26,43-44,,235.652,,178.89,,11.953778880525295,78.90192937351615,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90192937351615 11.953778880525295, 78.89936680648387 11.9548702050783)"
45,SA,S,26,44-45,,304.1282,,179.94,,11.9548702050783,78.89936680648387,GOOD,NIL,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89936680648387 11.9548702050783, 78.89732754883339 11.955840380615925)"
46,SA,S,26,45-56,,246.6816,6.35,183.87,,11.955840380615925,78.89732754883339,GOOD,NIL,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89732754883339 11.955840380615925, 78.89521518361265 11.956786636265239)"
47,SA,S,26,46-47,,252.8339,13.29,178.04,,11.956786636265239,78.89521518361265,GOOD,NIL,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89521518361265 11.956786636265239, 78.89332080966227 11.95763521043234)"
48,SA,S,26,47-48,,226.7421,,180.61,,11.95763521043234,78.89332080966227,GOOD,NIL,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89332080966227 11.95763521043234, 78.89077940019712 11.958844623372483)"
49,SA,S,26,48-49,,307.5221,9.27,181.52,,11.958844623372483,78.89077940019712,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89077940019712 11.958844623372483, 78.88830481329889 11.96002220228259)"
50,SD,T,28,49-50,,299.434,,182.7," 39d34'19""RT",11.96002220228259,78.88830481329889,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88830481329889 11.96002220228259, 78.88735381352186 11.96206420316067)"
51,SD,T,28,50-51,,248.5697,,188.09," 51d5'53""LT",11.96206420316067,78.88735381352186,GOOD,NIL,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88735381352186 11.96206420316067, 78.88539281492535 11.962555203919539)"
52,SB,T,24,51-52,,220.4419,7.02,181.25," 8d34'19""LT",11.962555203919539,78.88539281492535,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88539281492535 11.962555203919539, 78.88319873628001 11.962645876702117)"
53,SA,S,26,52-53,,239.5141,,,"11d40'0""RT",11.962645876702117,78.88319873628001,,,LT-1,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88319873628001 11.962645876702117, 78.88145481760715 11.963076206504095)"
54,SD,T,28,53-54,,195.8683,11.95,194.26," 100d22'7""RT",11.963076206504095,78.88145481760715,GOOD,NIL,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88145481760715 11.963076206504095, 78.8815568173987 11.963297207791143)"
PUTHUPATTU GANTRY,T,T,20,54-GT,,26.8604,,196.36,,11.963297207791143,78.8815568173987,GOOD,NIL,,,PLAIN,S/C,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G8:G62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
