,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,T.NO.120,S,,DA,26,121-120,NO,,313.1213822,4.62,113,,78.74116667,10.29980556,GOOD,GOOD,,TAR ROAD CROSSING,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74116666666667 10.299805555555555, 78.74 10.297472222222222)"
33,T.NO.119,S,,DA,26,120-119,YES,,289.794755,3.76,112,,78.74,10.29747222,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74 10.297472222222222, 78.7388611111111 10.295222222222222)"
34,T.NO.118,S,,DA,26,119-118,NO,,278.1672159,3.72,111,,78.73886111,10.29522222,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7388611111111 10.295222222222222, 78.73786111111112 10.293027777777777)"
35,T.NO.117,S,,DA,26,118-117,YES,,267.0823843,4.72,111,,78.73786111,10.29302778,GOOD,GOOD,LT LIINE -2 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73786111111112 10.293027777777777, 78.73688888888888 10.290861111111111)"
36,T.NO.116,S,,DA,26,117-116,YES,,260.9463546,3.25,104,,78.73688889,10.29086111,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73688888888888 10.290861111111111, 78.73580555555556 10.28875)"
37,T.NO.115,S,,DA,26,116-115,NO,,261.2374399,3.92,111,,78.73580556,10.28875,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73580555555556 10.28875, 78.73475 10.286555555555555)"
38,T.NO.114,S,,DA,26,115-114,YES,,271.9356542,3.52,106,,78.73475,10.28655556,GOOD,GOOD,,,PLAIN LAND ,"TOWER COVERED WITH BUSHS,POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73475 10.286555555555555, 78.73366666666666 10.284277777777778)"
39,T.NO.113,S,,DA,26,114-113,NO,,276.8772291,4.92,104,,78.73366667,10.28427778,GOOD,GOOD,,,WATER LOGGED,"TOWER INSIDE THE TOWER,POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73366666666666 10.284277777777778, 78.73263888888889 10.282111111111112)"
40,T.NO.112,S,,DA,26,113-112,NO,,263.46347,3.27,102,,78.73263889,10.28211111,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73263888888889 10.282111111111112, 78.7316111111111 10.279916666666667)"
41,T.NO.111,S,,DA,26,112-111,NO,,268.7991815,2.92,104,,78.73161111,10.27991667,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7316111111111 10.279916666666667, 78.73052777777778 10.277694444444446)"
42,T.NO.110,S,,DA,26,111-110,YES,,271.9356542,3.86,107,,78.73052778,10.27769444,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73052777777778 10.277694444444446, 78.72947222222223 10.275472222222223)"
43,T.NO.109,S,,DA,26,110-109,NO,,274.1714792,2.25,107,,78.72947222,10.27547222,GOOD,GOOD,"LT LIINE -2 CROSSING,11KV LINE CROSSING",CEMENT ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72947222222223 10.275472222222223, 78.72836111111111 10.273194444444446)"
44,T.NO.108,T,,DB,24,109-108,NO,,279.0788419,3.27,106,"10°45'53.62""",78.72836111,10.27319444,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72836111111111 10.273194444444446, 78.72747222222222 10.271944444444445)"
45,T.NO.107,S,,DA,26,108-107,NO,,171.0116955,3.57,105,,78.72747222,10.27194444,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72747222222222 10.271944444444445, 78.72644444444444 10.270611111111112)"
46,T.NO.106,T,2W,DB,24,107-106,YES,,183.4039258,3.29,105,"15°30'32.55""",78.72644444,10.27061111,GOOD,GOOD,LT LIINE -1 CROSSING,TAR ROAD CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72644444444444 10.270611111111112, 78.72538888888889 10.267888888888889)"
47,T.NO.105,T,,DD,28,106-105,YES,,324.038578,3.67,108,"36°31'33.00""",78.72538889,10.26788889,GOOD,GOOD,"LT LIINE -3 CROSSING,11KV  -1 LINE CROSSING","TAR ROAD,MUD ROAD CROSSING",PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72538888888889 10.267888888888889, 78.7261388888889 10.265138888888888)"
48,T.NO.104,S,,DA,26,105-104,NO,,313.3831521,4.21,107,,78.72613889,10.26513889,GOOD,GOOD,,,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7261388888889 10.265138888888888, 78.72686111111112 10.262638888888889)"
49,T.NO.103,S,,DA,26,104-103,NO,,288.7351728,3.05,102,,78.72686111,10.26263889,GOOD,GOOD,,,WATER LOGGED,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72686111111112 10.262638888888889, 78.72752777777778 10.26)"
50,T.NO.102,S,,DA,26,103-102,NO,,301.7167546,3.35,101,,78.72752778,10.26,GOOD,GOOD,LT LIINE -1 CROSSING,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72752777777778 10.26, 78.72813888888889 10.257416666666666)"
51,T.NO.101,T,,DB,24,102-101,NO,,294.2685848,3.99,99,"4°48'42.32""",78.72813889,10.25741667,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72813888888889 10.257416666666666, 78.72844444444445 10.25538888888889)"
52,T.NO.100,S,,DA,26,101-100,YES,,224.1539649,2.22,100,,78.72844444,10.25538889,GOOD,GOOD,,TAR ROAD CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72844444444445 10.25538888888889, 78.72858333333333 10.25375)"
53,T.NO.99,S,,DA,26,100-99,YES,,184.6104006,4.23,98,,78.72858333,10.25375,GOOD,GOOD,,,WATER LOGGED,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72858333333333 10.25375, 78.72880555555555 10.251083333333334)"
54,T.NO.98,S,,DA,26,99-98,YES,,294.7490458,2.02,98,,78.72880556,10.25108333,GOOD,GOOD,LT LIINE -1 CROSSING,,WATER LOGGED,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72880555555555 10.251083333333334, 78.729 10.24847222222222)"
55,T.NO.97,S,,DA,26,98-97,NO,,288.6260556,2.21,97,,78.729,10.24847222,GOOD,GOOD,LT LIINE -1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.729 10.24847222222222, 78.72922222222222 10.24575)"
56,T.NO.96,S,,DA,26,97-96,NO,,302.9521414,2.54,98,,78.72922222,10.24575,GOOD,GOOD,11KV  LIINE -1 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72922222222222 10.24575, 78.72938888888889 10.243666666666666)"
57,T.NO.95,S,,DA,26,96-95,NO,,231.4238536,3.33,100,,78.72938889,10.24366667,GOOD,GOOD,,,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72938888888889 10.243666666666666, 78.72955555555556 10.241138888888887)"
58,T.NO.94,T,,DB+9,38,95-94,NO,,280.5779749,2.76,98,"9°51'41.35""",78.72955556,10.24113889,GOOD,GOOD,LT LIINE -1 CROSSING,BIG POND CROSSING,PLAIN LAND ,TOWER COVERED WITH BUSHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72955555555556 10.241138888888887, 78.72997222222223 10.238416666666666)"
59,T.NO.93,S,,DA,26,94-93,NO,,304.0559159,3.19,100,,78.72997222,10.23841667,GOOD,GOOD,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.72997222222223 10.238416666666666, 78.73041666666667 10.23575)"
60,T.NO.92,S,,DA,26,93-92,YES,,298.7206052,2.24,97,,78.73041667,10.23575,GOOD,GOOD,,33KV LINE -1CROSSING,PLAIN LAND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73041666666667 10.23575, 78.73127777777778 10.233027777777778)"
61,T.NO.91,T,,DD,28,92-91,YES,,316.6591227,3.02,100,"38°7'5.15""",78.73127778,10.23302778,GOOD,GOOD,,,PLAIN LAND ,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73127777777778 10.233027777777778, 78.73147222222222 10.232888888888889)"
62,GANTRY THIRUMAYAM 110KV SS,GANTRY,2W,T,20,91-GANTRY THIRUMAYAM,YES,,24.41311123,4.29,101,,78.73147222,10.23288889,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
