Tower No,Tower Type,Tower Type(S/T),Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,DC,T,26,85-84,,=SQRT((K71-K70)^2+(L71-L70)^2),11.6,88.490997," 17d43'6""LT",11.658990271804026,79.54692449159015,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54692449159015 11.658990271804026, 79.54770549126309 11.661158278173893)"
83,DD,T,28,84-83,,=SQRT((K72-K71)^2+(L72-L71)^2),0.46,91.67392,"35d17'43""RT",11.661158278173893,79.54770549126309,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54770549126309 11.661158278173893, 79.5497654900519 11.662588272849007)"
82,DD,T,28,83-82,,=SQRT((K73-K72)^2+(L73-L72)^2),1.56,85.056007,"32d0'1""RT",11.662588272849007,79.5497654900519,GOOD,NO EARTH CABLE,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5497654900519 11.662588272849007, 79.55188248923632 11.662703276594419)"
81,DB,T,24,82-81,,=SQRT((K74-K73)^2+(L74-L73)^2),3.1,91.674866,"13d42'28""LT",11.662703276594419,79.55188248923632,GOOD,NO EARTH CABLE,HT-1,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55188248923632 11.662703276594419, 79.55406448821708 11.663329278350274)"
80,DA,S,26,81-80,,=SQRT((K75-K74)^2+(L75-L74)^2),1.5,90.700615,,11.663329278350274,79.55406448821708,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55406448821708 11.663329278350274, 79.55657448783192 11.664089271284716)"
79,DA,S,26,80-79,,=SQRT((K76-K75)^2+(L76-L75)^2),2.5,89.079582,,11.664089271284716,79.55657448783192,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55657448783192 11.664089271284716, 79.55892548624995 11.664779274325332)"
78,DA,S,26,79-78,,=SQRT((K77-K76)^2+(L77-L76)^2),2.45,84.378922,,11.664779274325332,79.55892548624995,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55892548624995 11.664779274325332, 79.56139048579843 11.665552274580971)"
77,DA,S,26,78-77,,=SQRT((K78-K77)^2+(L78-L77)^2),5.15,81.932655,,11.665552274580971,79.56139048579843,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56139048579843 11.665552274580971, 79.56396448479694 11.66630227521351)"
76,DA,S,26,77-76,,=SQRT((K79-K78)^2+(L79-L78)^2),4.85,80.067497,,11.66630227521351,79.56396448479694,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56396448479694 11.66630227521351, 79.56648048361218 11.667067271371327)"
75,DA,S,26,76-75,,=SQRT((K80-K79)^2+(L80-L79)^2),6.5,81.339928,,11.667067271371327,79.56648048361218,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56648048361218 11.667067271371327, 79.56902848298184 11.667825273004976)"
74,DC,T,26,75-74,,=SQRT((K81-K80)^2+(L81-L80)^2),2.75,74.356392," 16d29'8""RT",11.667825273004976,79.56902848298184,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56902848298184 11.667825273004976, 79.57155648129005 11.667888271892444)"
73,DA,S,26,74-73,,=SQRT((K82-K81)^2+(L82-L81)^2),7.08,74.991631,,11.667888271892444,79.57155648129005,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57155648129005 11.667888271892444, 79.5742414803429 11.667849276565535)"
72,DA,S,26,73-72,,=SQRT((K83-K82)^2+(L83-L82)^2),6,80.51178,,11.667849276565535,79.5742414803429,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5742414803429 11.667849276565535, 79.57663947979769 11.667880276787455)"
71,DA,S,26,72-71,,=SQRT((K84-K83)^2+(L84-L83)^2),4.6,80.706123,,11.667880276787455,79.57663947979769,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57663947979769 11.667880276787455, 79.57955647837457 11.667857271258162)"
70,DA,S,26,71-70,,=SQRT((K85-K84)^2+(L85-L84)^2),4.5,77.944214,,11.667857271258162,79.57955647837457,GOOD,GOOD,,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57955647837457 11.667857271258162, 79.58230347795256 11.66787427195873)"
69,DA,S,26,70-69,,=SQRT((K86-K85)^2+(L86-L85)^2),1.5,77.300674,,11.66787427195873,79.58230347795256,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58230347795256 11.66787427195873, 79.58482547667549 11.66792627553012)"
