S.No,Tower No,Tower Type,Tower Type (T/S),Joint BoxLocation,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,JOINT BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,47,SA,S,,26,48-47,,0.002841208,3.55,32.27,,11.64132528,79.66177445,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66177444762751 11.641325276797351, 79.65975844817883 11.639831279830652)"
20,46,SA,S,,26,47-46,,0.002958998,5.8,34.46,,11.63983128,79.65975845,GOOD,GOOD,"LT2,HT4",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65975844817883 11.639831279830652, 79.65738244847566 11.638060284973319)"
21,45,SA,S,,26,46-45,,0.002556224,3.1,31.67,,11.63806028,79.65738245,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65738244847566 11.638060284973319, 79.6550944501694 11.63636227699505)"
22,44,SA,S,,26,45-44,,0.002696829,,32.27,,11.63636228,79.65509445,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6550944501694 11.63636227699505, 79.65286945070918 11.634699284823682)"
23,43,SA,S,,26,44-43,,0.002842351,4.95,31.72,,11.63469928,79.65286945,GOOD,GOOD,"LT2,HT1",CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65286945070918 11.634699284823682, 79.65060045100967 11.632989283331515)"
24,42,SA,S,,26,43-42,,0.002620907,3.85,31.11,,11.63298928,79.65060045,GOOD,GOOD,"HT1,LT1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65060045100967 11.632989283331515, 79.64823445266283 11.63121228598071)"
25,41,SC,T,2 way,26,42-41,,0.002909617,8.5,28.27," 17d53'34""RT",11.63121229,79.64823445,GOOD,GOOD,"HT2,LT1",ROAD,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64823445266283 11.63121228598071, 79.64581845292292 11.63037728394896)"
26,40,SA,S,,26,41-40,,0.002860634,4.2,31.64,,11.63037728,79.64581845,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64581845292292 11.63037728394896, 79.6432554546248 11.629538280299474)"
27,39,SA,S,,26,40-39,,0.002888191,6.45,32.55,,11.62953828,79.64325545,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6432554546248 11.629538280299474, 79.64056645546827 11.628617280845992)"
28,38,SA,S,,26,39-38,,0.002820638,3.68,34.46,,11.62861728,79.64056646,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.64056645546827 11.628617280845992, 79.63807745588724 11.627796286132186)"
29,37,SA,S,,26,38-37,,0.002875791,7.35,37.36,,11.62779629,79.63807746,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63807745588724 11.627796286132186, 79.635315457404 11.626881279479978)"
30,36,SA,S,2 way,26,37-36,,0.002835951,5.25,35.34,,11.62688128,79.63531546,GOOD,GOOD,"HT1,LT1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.635315457404 11.626881279479978, 79.63260645787135 11.625962286348578)"
31,35,SA,S,,26,36-35,,0.002404135,3.1,33.18,,11.62596229,79.63260646,GOOD,GOOD,"LT2,HT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.63260645787135 11.625962286348578, 79.62987345903905 11.625028282752215)"
32,34,SA,S,,26,35-34,,0.002617163,2.75,32.94,,11.62502828,79.62987346,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62987345903905 11.625028282752215, 79.62720846054529 11.624104280077567)"
33,33,SA,S,,26,34-33,,0.002806436,6.35,34.25,,11.62410428,79.62720846,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62720846054529 11.624104280077567, 79.62448346131855 11.623185284686674)"
34,32,SA,S,,26,33-32,,0.00323653,9.25,32.08,,11.62318528,79.62448346,GOOD,GOOD,HT1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62448346131855 11.623185284686674, 79.62179646275321 11.622278281928882)"
35,31,SB,T,2 way,24,32-31,,0.002645516,4.65,34.62," 5d59'15""LT",11.62227828,79.62179646,GOOD,GOOD,HT1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.62179646275321 11.622278281928882, 79.61961246322855 11.621273288060713)"
36,30,SA,S,,26,31-30,,0.002898486,5.3,33.22,,11.62127329,79.61961246,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61961246322855 11.621273288060713, 79.61723446420513 11.620180282784423)"
37,29,SA,S,,26,30-29,,0.002807779,7.15,36.74,,11.62018028,79.61723446,GOOD,GOOD,"LT1,HT1",CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61723446420513 11.620180282784423, 79.61468446496374 11.619008282015868)"
38,28,SA,S,,26,29-28,,0.002708092,5.6,34.87,,11.61900828,79.61468446,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61468446496374 11.619008282015868, 79.61174846567967 11.61764628431593)"
39,27,SA,S,,26,28-27,,0.002718367,8.2,35.58,,11.61764628,79.61174847,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.61174846567967 11.61764628431593, 79.60934846676315 11.616533287331201)"
40,26,SA,S,,26,27-26,,0.002607034,7.94,43.09,,11.61653329,79.60934847,GOOD,GOOD,"230KV,LT2",ROAD,PLAIN,"T.NO -187,T.NO-188                       NEYVELI TO KARAIKAL ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60934846676315 11.616533287331201, 79.60671646821218 11.615319283796534)"
41,25,SA,S,,26,26-25,,0.002921208,9.05,43.94,,11.61531928,79.60671647,GOOD,GOOD,"LT1,HT1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60671646821218 11.615319283796534, 79.6041714689229 11.61413328202959)"
42,24,SA,S,,26,25-24,,0.002800247,5.35,35.96,,11.61413328,79.60417147,GOOD,GOOD,LT2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6041714689229 11.61413328202959, 79.60170446948813 11.613016287326898)"
43,23,SA,S,,26,24-23,,0.002910244,4.35,42.82,,11.61301629,79.60170447,GOOD,GOOD,"LT2,HT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.60170446948813 11.613016287326898, 79.59923347125483 11.611883287566148)"
44,22,SA,S,,26,23-22,,0.002860937,,46.03,,11.61188329,79.59923347,GOOD,GOOD,"LT1,HT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59923347125483 11.611883287566148, 79.59686847201694 11.610786288445759)"
45,21,SA,S,,26,22-21,,0.002551725,8.45,50.62,,11.61078629,79.59686847,GOOD,GOOD,LT3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59686847201694 11.610786288445759, 79.59420647317837 11.609583283567913)"
46,20,SA,S,,26,21-20,,0.002898421,6.25,50.06,,11.60958328,79.59420647,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59420647317837 11.609583283567913, 79.59168547387115 11.608364290553716)"
47,19,SA,S,,26,20-19,,0.0026761,3.8,48.71,,11.60836429,79.59168547,GOOD,GOOD,HT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59168547387115 11.608364290553716, 79.5890664745076 11.607095290009198)"
48,18,SD,T,2 way,28,19-18,,0.002823037,8.23,52.35,"32d5'56""LT",11.60709529,79.58906647,GOOD,GOOD,LT1,ROAD,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5890664745076 11.607095290009198, 79.58752947564487 11.604682284932862)"
49,17,SA,S,,26,18-17,,0.002978579,9.85,41.81,,11.60468228,79.58752948,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58752947564487 11.604682284932862, 79.58613347611178 11.60254628720082)"
50,16,SA,S,,26,17-16,,0.002495523,8.65,51.69,,11.60254629,79.58613348,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58613347611178 11.60254628720082, 79.58454747658996 11.600120292475703)"
51,15,SA,S,,26,16-15,,0.001905562,6.5,48.3,,11.60012029,79.58454748,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58454747658996 11.600120292475703, 79.58310647720666 11.597865291441941)"
52,14,SB,T,,24,15-14,,0.002342917,8.65,49.19," 11d0'12""RT",11.59786529,79.58310648,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58310647720666 11.597865291441941, 79.58116347764353 11.595817294587803)"
53,13,SA,S,,26,14-13,,0.002554689,4.73,46.61,,11.59581729,79.58116348,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58116347764353 11.595817294587803, 79.57908447885065 11.593684293106048)"
54,12,SB,T,,24,13-12,,0.002836478,8.4,44.98," 6d46'37""RT",11.59368429,79.57908448,GOOD,GOOD,HT1,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57908447885065 11.593684293106048, 79.57715447911787 11.592102288535253)"
55,LILO 11/1,LILO,T,3 way,26,12/11/2001,,0.002497463,5.7,42.63," 17d33'40""RT",11.59210229,79.57715448,GOOD,GOOD,"LT1,HT1",,PLAIN,D/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57715447911787 11.592102288535253, 79.57536247979745 11.591454288919634)"
56,10,SA,S,,26,11/1/2010,,0.002446242,7.9,40.88,,11.59145429,79.57536248,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57536247979745 11.591454288919634, 79.57318748046823 11.590583290652711)"
57,9,SA,S,,26,9-Oct,,0.002449945,4.35,47.74,,11.59058329,79.57318748,GOOD,GOOD,LT1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57318748046823 11.590583290652711, 79.57082948215823 11.589600294926111)"
58,8,SA,S,,26,8-Sep,,0.002309618,5.9,42.95,,11.58960029,79.57082948,GOOD,GOOD,LT2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57082948215823 11.589600294926111, 79.56820748238401 11.58851829560439)"
59,7,SA,S,,26,7-Aug,,0.00247213,8.3,42.06,,11.5885183,79.56820748,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56820748238401 11.58851829560439, 79.56589448412582 11.587576297352753)"
60,6,SC,T,,26,6-Jul,,0.002961393,3.8,45.26," 18d33'32""RT",11.5875763,79.56589448,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56589448412582 11.587576297352753, 79.56345248447062 11.587432289057988)"
61,5,SA,S,,26,5-Jun,,0.000197893,6.75,42.94,,11.58743229,79.56345248,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56345248447062 11.587432289057988, 79.5610064852946 11.58729329443632)"
62,4,SA,S,,26,4-May,,80.39285766,7.05,46.13,,11.58729329,79.56100649,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5610064852946 11.58729329443632, 79.55870148654238 11.587147297142753)"
63,3,SA,S,,26,3-Apr,,0,5.65,43.66,,11.5871473,79.55870149,GOOD,GOOD,"HT1,LT1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55870148654238 11.587147297142753, 79.55623548758626 11.586973291925498)"
64,2,SC,T,,26,2-Mar,,0,8.65,43.49,"25d12'20""RT",11.58697329,79.55623549,GOOD,GOOD,"110KV,HT1",CAR TRACK,PLAIN,"T.NO-82,T.NO-83                    SETHIYATHOPPU TO VADAKUTHU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55623548758626 11.586973291925498, 79.55347648872781 11.588049289738864)"
65,1,SA,S,,26,1-Feb,,0,1.2,45.33,,11.58804929,79.55347649,GOOD,GOOD,"HT2,LT2",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55347648872781 11.588049289738864, 79.55329548816547 11.588129292190361)"
66,VADAKUTHU SS,GANTRY,T,2 Way,20,1-GANTRY,,0,,41.43,,11.58812929,79.55329549,GOOD,GOOD,,ROAD2,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
