S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,101,S,,SA,22,100-101,288.4537879,1.95,102.226257,,11.06944444,78.90577778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90577777777779 11.069444444444445, 78.90725 11.067194444444445)"
33,102,S,,SA,22,101-102,295.990776,2.16,103.932266,,11.06719444,78.90725,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90725 11.067194444444445, 78.90866666666668 11.065027777777779)"
34,103,S,,SA,22,102-103,287.6933649,3.1,104.661667,,11.06502778,78.90866667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90866666666668 11.065027777777779, 78.90994444444445 11.063055555555556)"
35,104,S,,SA,22,103-104,257.045249,2.19,103.179947,,11.06305556,78.90994444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90994444444445 11.063055555555556, 78.91141666666667 11.060805555555556)"
36,105,S,,SA,22,104-105,296.1090898,1.08,102.274811,,11.06080556,78.91141667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91141666666667 11.060805555555556, 78.91291666666667 11.0585)"
37,106,S,,SA,22,105-106,303.3509666,3.26,99.955231,,11.0585,78.91291667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91291666666667 11.0585, 78.91427777777778 11.056361111111112)"
38,107,S,,SA,22,106-107,279.8089111,5.01,105.783661,,11.05636111,78.91427778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91427777777778 11.056361111111112, 78.91586111111111 11.053944444444445)"
39,108,S,,SA,22,107-108,320.373695,1.39,107.744576,,11.05394444,78.91586111,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91586111111111 11.053944444444445, 78.91741666666667 11.051583333333333)"
40,109,S,,SA,22,108-109,310.1089027,1.46,107.504639,,11.05158333,78.91741667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91741666666667 11.051583333333333, 78.91891666666668 11.049277777777778)"
41,110,S,,SA,22,109-110,302.8724677,3.22,112.443329,,11.04927778,78.91891667,GOOD,Available,HT-2No,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91891666666668 11.049277777777778, 78.92033333333333 11.04711111111111)"
42,111,T,2W,SC,22,110-111,286.7667762,1.79,117.393173,"12°39'48"" R",11.04711111,78.92033333,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92033333333333 11.04711111111111, 78.9213888888889 11.044277777777777)"
43,112,S,,SA,22,111-112,332.9797604,2.1,113.345757,,11.04427778,78.92138889,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9213888888889 11.044277777777777, 78.92233333333334 11.041666666666666)"
44,113,S,,SA,22,112-113,306.5453549,3.32,109.476707,,11.04166667,78.92233333,GOOD,Available,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92233333333334 11.041666666666666, 78.92333333333333 11.03886111111111)"
45,114,S,,SA,22,113-114,331.091531,2.11,113.225189,,11.03886111,78.92333333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92333333333333 11.03886111111111, 78.92419444444445 11.036527777777778)"
