S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,S,,DA,26,10-Nov,273.4044935,3.7,68.170486,,10.50502778,79.07044444,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07044444444445 10.505027777777778, 79.07041666666666 10.507277777777778)"
12,12,T,,DB,26,11-Dec,250.9635975,1.31,69.216125,"9°41'31"" L",10.50727778,79.07041667,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07041666666666 10.507277777777778, 79.07008333333333 10.509)"
13,13,T,,DB,26,Dec-13,192.2381803,1.29,71.644981,"15°34'59"" L",10.509,79.07008333,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07008333333333 10.509, 79.06933333333333 10.510416666666666)"
14,14,S,,DA,26,13-14,178.0844389,5.03,73.438004,,10.51041667,79.06933333,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06933333333333 10.510416666666666, 79.06847222222221 10.512138888888888)"
15,15,S,,DA,26,14-15,210.817052,2.38,73.910423,,10.51213889,79.06847222,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06847222222221 10.512138888888888, 79.06769444444444 10.513583333333333)"
16,16,T,2W,DC,26,15-16,181.9268821,4.17,74.248032,"26°34'19"" R",10.51358333,79.06769444,2W,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06769444444444 10.513583333333333, 79.0676111111111 10.51575)"
17,17,S,,DA,26,16-17,240.6576827,1.26,74.800682,,10.51575,79.06761111,,,,,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0676111111111 10.51575, 79.06755555555556 10.518166666666668)"
18,18,S,,DA,26,17-18,267.4543898,3.09,76.796432,,10.51816667,79.06755556,,,,,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06755555555556 10.518166666666668, 79.0675 10.520083333333334)"
19,19,T,,DB,26,18-19,212.6204136,2.17,75.61071,"6°50'2"" L",10.52008333,79.0675,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0675 10.520083333333334, 79.06708333333333 10.522722222222223)"
20,20,T,,DB,26,19-20,293.677864,3.87,73.10524,"13°24'37"" L",10.52272222,79.06708333,,,,,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06708333333333 10.522722222222223, 79.06722222222221 10.524638888888889)"
21,21,T,,DC,26,20-21,212.5988962,2.07,72.074493,"59°22'1"" R",10.52463889,79.06722222,,,,,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06722222222221 10.524638888888889, 79.06544444444444 10.525861111111112)"
22,22,T,,DC,26,21-22,238.0590417,2.94,72.424423,"37°26'42"" R",10.52586111,79.06544444,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06544444444444 10.525861111111112, 79.06488888888889 10.52763888888889)"
23,23,S,,DA,26,22-23,205.4171041,3.16,69.350967,,10.52763889,79.06488889,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06488888888889 10.52763888888889, 79.06427777777778 10.529611111111112)"
24,24,S,,DA,26,23-24,226.2452627,4.01,71.019096,,10.52961111,79.06427778,,,,,GOOD,Available,230 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06427777777778 10.529611111111112, 79.06372222222222 10.531500000000001)"
25,25,T,,DC,26,24-25,218.5739947,3.64,70.999443,"16°25'27"" L",10.5315,79.06372222,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06372222222222 10.531500000000001, 79.0623611111111 10.533583333333333)"
26,26,S,,DA,26,25-26,273.1610261,3.7,71.087318,,10.53358333,79.06236111,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0623611111111 10.533583333333333, 79.06075 10.536083333333334)"
27,27,T,,DB,26,26-27,329.9567216,2.97,71.037354,"2°17'4"" R",10.53608333,79.06075,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06075 10.536083333333334, 79.05961111111111 10.538055555555555)"
28,28,T,,DC,26,27-28,250.8331034,3.14,71.613701,"17°10'56"" R",10.53805556,79.05961111,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05961111111111 10.538055555555555, 79.05908333333333 10.54036111111111)"
29,29,S,,DA,26,28-29,261.9552071,2.18,72.668991,,10.54036111,79.05908333,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05908333333333 10.54036111111111, 79.05869444444444 10.541722222222223)"
30,30,T,2W,DB,26,29-30,154.5551961,1.06,74.494194,"14°32'37"" L",10.54172222,79.05869444,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05869444444444 10.541722222222223, 79.05763888888889 10.543527777777777)"
31,31,T,,DC,26,30-31,233.4411874,3.19,73.713722,"19°11'50"" R",10.54352778,79.05763889,,,,,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05763888888889 10.543527777777777, 79.05711111111111 10.546194444444444)"
32,32,T,,DB,26,31-32,300.0518701,1.73,74.728989,"11°43'16"" L",10.54619444,79.05711111,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05711111111111 10.546194444444444, 79.05641666666666 10.547833333333333)"
33,33,T,,DC,26,32-33,195.200887,4.06,75.262611,"32°35'0""L",10.54783333,79.05641667,,,,,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05641666666666 10.547833333333333, 79.05677777777778 10.55013888888889)"
34,34,T,,DC,26,33-34,259.0539375,3.76,76.540237,"18°23'35"" R",10.55013889,79.05677778,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05677777777778 10.55013888888889, 79.05761111111111 10.55175)"
35,35,T,,DC,26,34-35,199.3552133,1.93,77.515358,"16°36'26""L",10.55175,79.05761111,,,,,GOOD,Available,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05761111111111 10.55175, 79.05813888888889 10.554611111111111)"
36,36,T,,DB,26,35-36,322.0610739,2.58,79.214088,"9°25'38""L",10.55461111,79.05813889,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05813888888889 10.554611111111111, 79.05816666666666 10.555833333333334)"
37,37,T,,DC,26,36-37,136.3224358,2.86,79.84494,"16°37'60"" R",10.55583333,79.05816667,,,,,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05816666666666 10.555833333333334, 79.05747222222222 10.5585)"
38,38,T,,DC,26,37-38,302.8400421,3.17,80.689079,"34°7'59"" L",10.5585,79.05747222,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05747222222222 10.5585, 79.05841666666666 10.561111111111112)"
39,39,T,,DC,26,38-39,302,3.42,79.874657,"20°22'43"" R",10.56111111,79.05841667,2W,,,,GOOD,Available,HT- 3NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05841666666666 10.561111111111112, 79.05852777777777 10.561222222222224)"
40,Gantry (Gandharvakottai SS),Gantry,2W,H-POLE,12,39-Gantry,28,,81.191551,,10.56122222,79.05852778,2W,,,,GOOD,NO E/W,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
