S. No ,Tower No,Supspension/Tenion,JOINT BOX,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
40,T.NO-8,S,,DA,26,07-Aug,NO,267.2901046,2.57,43,,79.25372222,10.77191667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25372222222222 10.771916666666668, 79.25197222222222 10.770138888888889)"
41,T.NO-9,S,,DA,26,08-Sep,NO,273.6731627,2.23,44,,79.25197222,10.77013889,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25197222222222 10.770138888888889, 79.25025 10.768333333333334)"
42,T.NO-10,S,,DA,26,09-Oct,NO,274.3902331,3.27,45,,79.25025,10.76833333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.25025 10.768333333333334, 79.24852777777778 10.766666666666667)"
43,T.NO-11,T,,DD,28,10-Nov,NO,262.3451924,2.15,40,"50°57'4.69""",79.24852778,10.76666667,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24852777777778 10.766666666666667, 79.247 10.766833333333334)"
44,T.NO-12,S,,DA,26,11-Dec,NO,170.0646936,2.72,46,,79.247,10.76683333,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.247 10.766833333333334, 79.24588888888889 10.767027777777779)"
45,T.NO-13,T,,DD,28,Dec-13,NO,122,2.59,46,"63°28'0.49""",79.24588889,10.76702778,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24588888888889 10.767027777777779, 79.2453888888889 10.76875)"
46,T.NO-14,S,,DA,26,13-14,YES,197.8004044,2.43,47,,79.24538889,10.76875,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.2453888888889 10.76875, 79.24491666666667 10.770277777777778)"
47,T.NO-15,T,,DD,28,14-15,YES,176.5276182,2.12,48,"80°27'38.47""",79.24491667,10.77027778,GOOD,GOOD,NO,11KV,"MUD ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.24491666666667 10.770277777777778, 79.24441666666667 10.770194444444446)"
48,GANTR - POONDI 110KV SS,GANTRY,2W,,20,15-GANTRY,YES,55.4436651,-,49,,79.24441667,10.77019444,GOOD,NO,,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
