,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,T.NO-22,S,,DA,26,21-22,YES,,294.9610144,,57,,79.01336111,10.18241667,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01336111111111 10.182416666666667, 79.01552777777778 10.181472222222222)"
23,T.NO-23,S,,DA,26,22-23,YES,,259.6247292,,50,,79.01552778,10.18147222,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01552777777778 10.181472222222222, 79.01783333333333 10.180472222222221)"
24,T.NO-24,S,,DA,26,23-24,YES,,274.3519637,,50,,79.01783333,10.18047222,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01783333333333 10.180472222222221, 79.01983333333334 10.179555555555554)"
25,T.NO-25,T,2W,DD+6,34,24-25,YES,,242.4953608,,50,"52°10'45.61""",79.01983333,10.17955556,GOOD,GOOD,NO,11 KV,"(NH) TAAR ROAD,NON ELECTRIC TRAIN ROAD",CULTIVATION ,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.01983333333334 10.179555555555554, 79.02002777777777 10.178777777777777)"
26,T.NO-26,T,,DD,28,25-26,NO,,89.26925563,,49,"33°57'27.95""",79.02002778,10.17877778,GOOD,GOOD,YES,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02002777777777 10.178777777777777, 79.02188888888888 10.177083333333332)"
27,T.NO-27,S,,DA,26,26-27,NO,,276.6315239,,49,,79.02188889,10.17708333,GOOD,GOOD,NO,11 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02188888888888 10.177083333333332, 79.02372222222222 10.175416666666665)"
28,T.NO-28,S,,DA,26,27-28,NO,,273.1226831,,50,,79.02372222,10.17541667,GOOD,GOOD,NO,,,PLAIN,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02372222222222 10.175416666666665, 79.02552777777778 10.173694444444443)"
29,T.NO-29,S,,DA,26,28-29,NO,,274.3902331,,50,,79.02552778,10.17369444,GOOD,GOOD,NO,,,PLAIN,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02552777777778 10.173694444444443, 79.02741666666667 10.172027777777776)"
30,T.NO-30,T,,DB,24,29-30,NO,,276.8772291,,51,"11°15'4.10""",79.02741667,10.17202778,GOOD,GOOD,NO,,,,ONE LEG CONCRETE BROKEN INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02741666666667 10.172027777777776, 79.02983333333333 10.170638888888888)"
31,T.NO-31,S,,DA,26,30-31,NO,,305.7858728,,49,,79.02983333,10.17063889,GOOD,GOOD,NO,"2NONS LT,11KV",TAAR ROAD,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.02983333333333 10.170638888888888, 79.03219444444444 10.169333333333332)"
32,T.NO-32,S,,DA,26,31-32,YES,,297.8086634,,47,,79.03219444,10.16933333,GOOD,GOOD,NO,11 KV,,PLAIN,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03219444444444 10.169333333333332, 79.03458333333333 10.167972222222222)"
33,T.NO-33,S,,DA,26,32-33,NO,,302.5392537,,47,,79.03458333,10.16797222,GOOD,GOOD,NO,LT,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03458333333333 10.167972222222222, 79.03694444444444 10.166666666666666)"
34,T.NO-34,S,,DA,26,33-34,NO,,295.0830392,,47,,79.03694444,10.16666667,GOOD,GOOD,NO,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03694444444444 10.166666666666666, 79.03922222222222 10.165333333333333)"
35,T.NO-35,T,,DC,26,34-35,NO,,288.8044321,,45,"29°53'7.38""",79.03922222,10.16533333,GOOD,GOOD,NO,,MUD ROAD,PLAIN,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.03922222222222 10.165333333333333, 79.04197222222221 10.165305555555555)"
36,T.NO-36,S,,DA,26,35-36,NO,,304.0411156,,44,,79.04197222,10.16530556,GOOD,GOOD,NO,,,PLAIN,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04197222222221 10.165305555555555, 79.04477777777778 10.165305555555555)"
37,T.NO-37,S,,DA,26,36-37,NO,,305.0147537,,44,,79.04477778,10.16530556,GOOD,GOOD,NO,LT,TAAR ROAD,,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04477777777778 10.165305555555555, 79.04755555555555 10.165277777777778)"
38,T.NO-38,S,,DA,26,37-38,NO,,307.0260575,,42,,79.04755556,10.16527778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.04755555555555 10.165277777777778, 79.05038888888889 10.16525)"
39,T.NO-39,T,2W,DD,28,38-39,NO,,308.058436,,48,"39°6'20.40""",79.05038889,10.16525,GOOD,GOOD,NO,"11 KV , LT",TAAR ROAD,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05038888888889 10.16525, 79.05197222222222 10.163916666666667)"
40,T.NO-40,S,,DA,26,39-40,YES,,229.1920592,,43,,79.05197222,10.16391667,GOOD,GOOD,NO,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05197222222222 10.163916666666667, 79.05388888888889 10.162611111111111)"
41,T.NO-41,S,,DA,26,40-41,NO,,254.9450921,,44,,79.05388889,10.16261111,GOOD,GOOD,NO,,2 NONS TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05388888888889 10.162611111111111, 79.05577777777778 10.161194444444444)"
42,T.NO-42,S,,DA,26,41-42,YES,,259.6150997,,40,,79.05577778,10.16119444,GOOD,GOOD,NO,,,PLAIN,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05577777777778 10.161194444444444, 79.05758333333333 10.15986111111111)"
43,T.NO-43,T,,DB,24,42-43,YES,,245.6013029,,42,"11°6'16.96""",79.05758333,10.15986111,GOOD,GOOD,NO,11 KV,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.05758333333333 10.15986111111111, 79.06 10.158722222222222)"
44,T.NO-44,S,,DA,26,43-44,NO,,292.4944444,,42,,79.06,10.15872222,GOOD,GOOD,NO,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06 10.158722222222222, 79.06208333333333 10.157583333333333)"
45,T.NO-45,S,,DA,26,44-45,YES,,260.9846739,,42,,79.06208333,10.15758333,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06208333333333 10.157583333333333, 79.06408333333333 10.156777777777778)"
46,T.NO-46,T,,DC,26,45-46,YES,,239.3846277,,42,"18°2'5.31""",79.06408333,10.15677778,GOOD,GOOD,NO,11 KV ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06408333333333 10.156777777777778, 79.06694444444445 10.156555555555556)"
47,T.NO-47,S,,DA,26,46-47,YES,,313.9968153,,42,,79.06694444,10.15655556,GOOD,GOOD,NO,,,,ONE LEG CONCRETE BROKEN INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06694444444445 10.156555555555556, 79.06991666666666 10.156277777777778)"
48,T.NO-48,S,,DA,26,47-48,YES,,326.5715848,,37,,79.06991667,10.15627778,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06991666666666 10.156277777777778, 79.07188888888888 10.15611111111111)"
49,T.NO-49,S,,DA,26,48-49,NO,,217.0184324,,56,,79.07188889,10.15611111,GOOD,GOOD,NO,LT,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07188888888888 10.15611111111111, 79.07386111111111 10.155944444444446)"
50,T.NO-50,S,,DA,26,49-50,NO,,216.8340379,,40,,79.07386111,10.15594444,GOOD,GOOD,NO,,,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07386111111111 10.155944444444446, 79.07588888888888 10.155777777777779)"
51,T.NO-51,T,2W,DD,28,50-51,YES,,221.9954954,,37,"32°11'31.53""",79.07588889,10.15577778,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,PLAIN,BUSHES,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07588888888888 10.155777777777779, 79.07797222222221 10.156833333333333)"
52,T.NO-52,S,,DA,26,51-52,YES,,257.5965838,,41,,79.07797222,10.15683333,GOOD,GOOD,NO,,,CULTIVATION ,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07797222222221 10.156833333333333, 79.08027777777778 10.157694444444445)"
53,T.NO-53,S,,DA,26,52-53,YES,,268.9609637,,43,,79.08027778,10.15769444,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08027777777778 10.157694444444445, 79.08213888888889 10.1585)"
54,T.NO-54,T,,DC,26,53-54,NO,,224.5395288,,41,"24°44'40.58""",79.08213889,10.1585,GOOD,GOOD,NO,LT ,,PLAIN,"BUSHES,POND CROSSING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08213888888889 10.1585, 79.08483333333332 10.158416666666668)"
55,T.NO-55,S,,DA,26,54-55,NO,,294.1700189,,40,,79.08483333,10.15841667,GOOD,GOOD,NO,,MUD ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08483333333332 10.158416666666668, 79.08747222222222 10.158194444444446)"
56,T.NO-56,S,,DA,26,55-56,NO,,290.1671932,,40,,79.08747222,10.15819444,GOOD,GOOD,NO,,,CULTIVATION ,POND CROSSING ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08747222222222 10.158194444444446, 79.09013888888889 10.158166666666666)"
57,T.NO-57,S,,DA,26,56-57,NO,,293.061427,,40,,79.09013889,10.15816667,GOOD,GOOD,NO,11 KV,TAAR ROAD,CULTIVATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09013888888889 10.158166666666666, 79.09280555555556 10.158194444444446)"
58,T.NO-58,S,,DA,26,57-58,YES,,290.0155168,,41,,79.09280556,10.15819444,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09280555555556 10.158194444444446, 79.09538888888889 10.157916666666667)"
59,T.NO-59,S,,DA,26,58-59,YES,,287.0209052,,37,,79.09538889,10.15791667,GOOD,GOOD,NO,,MUD ROAD,,INSIE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09538888888889 10.157916666666667, 79.09805555555555 10.157777777777778)"
60,T.NO-60,S,,DA,26,59-60,YES,,292.4380276,,36,,79.09805556,10.15777778,GOOD,GOOD,NO,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09805555555555 10.157777777777778, 79.10091666666666 10.157527777777778)"
61,T.NO-61,T,,DD,28,60-61,NO,,313.3448579,,40,"45°3'50.64""",79.10091667,10.15752778,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10091666666666 10.157527777777778, 79.1021111111111 10.15611111111111)"
62,T.NO-62,S,,DA,26,61-62,YES,,203.8357182,,38,,79.10211111,10.15611111,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1021111111111 10.15611111111111, 79.10330555555555 10.15461111111111)"
63,T.NO-63(DC),T,,DC,26,62-63,YES,,213.2158531,,37,"26°15'31.17""",79.10330556,10.15461111,GOOD,GOOD,NO,,,CULTIVATION ,DC LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10330555555555 10.15461111111111, 79.10372222222222 10.152555555555557)"
64,T.NO-64(DC),T,,DC,26,63-64,YES,,229.4558781,,35,"25°43'50.54""",79.10372222,10.15255556,GOOD,GOOD,YES,,,PLAIN,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.10372222222222 10.152555555555557, 79.10363888888888 10.15225)"
65,GANTRY NAGUDI,T,2W,T,20,64-GANTRY,,,36.138622,,38,,79.10363889,10.15225,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
