S. No ,Tower No,CURCUIT,Tower Type & S/T,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Earthing Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,14,,,,,,,,,,,12.1329769,79.0307604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0307604 12.1329769, 79.0300395 12.1307417)"
,13,,,,,,,,,,,12.1307417,79.0300395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0300395 12.1307417, 79.0292882 12.1283469)"
,12,,,,,,,,,,,12.1283469,79.0292882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0292882 12.1283469, 79.0277838 12.1256594)"
,11,,,,,,,,,,,12.1256594,79.0277838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0277838 12.1256594, 79.0262685 12.1229349)"
,10,,,,,,,,,,,12.1229349,79.0262685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0262685 12.1229349, 79.0237825 12.1231308)"
,9,,,,,,,,,,,12.1231308,79.0237825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0237825 12.1231308, 79.0211124 12.1233429)"
,8,,,,,,,,,,,12.1233429,79.0211124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0211124 12.1233429, 79.0192422 12.1234568)"
,7,,,,,,,,,,,12.1234568,79.0192422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0192422 12.1234568, 79.016782 12.1236409)"
,6,,,,,,,,,,,12.1236409,79.016782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.016782 12.1236409, 79.0142411 12.1238495)"
,5,,,,,,,,,,,12.1238495,79.0142411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0142411 12.1238495, 79.0119225 12.1239828)"
,4,,,,,,,,,,,12.1239828,79.0119225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0119225 12.1239828, 79.0095287 12.1241826)"
,3,,,,,,,,,,,12.1241826,79.0095287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0095287 12.1241826, 79.008078 12.1243054)"
,2,,,,,,,,,,,12.1243054,79.008078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.008078 12.1243054, 79.0079355 12.1228786)"
,1 LILO,,,2W,,,,,,,,12.1228786,79.0079355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0079355 12.1228786, 79.0076486 12.1200751)"
