S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
30,29,S,DC,28,28-29,227.23997015511057,31.99078,,,12.0025290269404,79.6467570215463,,,,,,,,,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6467570215463 12.0025290269404, 79.6487710252404 12.0020479895174)"
31,30,S,DC,28,29-30,227.16175331180682,30.7872349999999,,,12.0020479895174,79.6487710252404,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6487710252404 12.0020479895174, 79.6507319714874 12.0015879906713)"
32,31,T,DC,28,30-31,221.00071218152829,32.152096,11°41'54''LT,,12.0015879906713,79.6507319714874,,,,,13.5,4.1,2.9,19.6,,,,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6507319714874 12.0015879906713, 79.6529830154031 12.0015220250934)"
33,32,S,DC,28,31-32,246.71909184540522,31.5133569999999,,,12.0015220250934,79.6529830154031,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6529830154031 12.0015220250934, 79.6551879588514 12.0014569815248)"
34,33,S,DC,28,32-33,241.69836702462007,30.706356,,,12.0014569815248,79.6551879588514,,,,,,,,,,,,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6551879588514 12.0014569815248, 79.6578560024499 12.001394033432)"
35,34,S,DC,28,33-34,292.0995925809463,32.682999,,,12.001394033432,79.6578560024499,,,,,,,,,,,,GOOD,Available,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6578560024499 12.001394033432, 79.6602259855717 12.0013569854199)"
36,35,S,DC,28,34-35,259.59348395580764,31.2073989999999,,,12.0013569854199,79.6602259855717,,,,,,,,,,,,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6602259855717 12.0013569854199, 79.6622359659522 12.0013220328837)"
37,36,S,DC,28,35-36,220.39522478120924,31.2556629999999,,,12.0013220328837,79.6622359659522,,,,,,,,,,,,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6622359659522 12.0013220328837, 79.6642290148884 12.0012630242854)"
38,37,T,DC,28,36-37,218.6154562140094,31.9675939999999,1°55'45''RT,,12.0012630242854,79.6642290148884,,,,,16.35,7.6,4.9,41.8,,,,GOOD,NO E/W,,ROAD.CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6642290148884 12.0012630242854, 79.6662980038672 12.0011330209672)"
39,38,S,DC,28,37-38,227.24454759114607,30.9930039999999,,,12.0011330209672,79.6662980038672,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6662980038672 12.0011330209672, 79.6685059648007 12.0009989943355)"
40,39,T,DC,28,38-39,242.37488724909994,29.822844,5°48'40''RT,,12.0009989943355,79.6685059648007,,,,,12.45,3.15,2,17.4,,,,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6685059648007 12.0009989943355, 79.6704389993101 12.0006860140711)"
41,40,S,DC,28,39-40,214.81014001190124,28.1238649999999,,,12.0006860140711,79.6704389993101,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6704389993101 12.0006860140711, 79.6719950158149 12.0004469621926)"
42,41,T,DC,28,40-41,172.98077966060495,26.51886,16°55'49''LT,,12.0004469621926,79.6719950158149,,,,,112,23,9,164,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6719950158149 12.0004469621926, 79.6737169940024 12.0006870198994)"
43,42,S,DC,28,41-42,190.87169696273952,23.515518,,,12.0006870198994,79.6737169940024,,,,,,,,,,,,GOOD,Available,,RIVER,Water Logged,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6737169940024 12.0006870198994, 79.6761989593505 12.0010910276323)"
44,43,T,DC,28,42-43,275.4226470123173,25.685822,11°3'22''RT,,12.0010910276323,79.6761989593505,2W,,,,14.45,5.9,3.3,36.4,,,,GOOD,Available,,RIVER,Water Logged,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6761989593505 12.0010910276323, 79.6782930102199 12.0010310132056)"
45,44,T,DC,28,43-44,229.6106915851875,27.129227,4°7'12''LT,,12.0010310132056,79.6782930102199,,,,,15.9,6.7,4.8,31.5,,,,GOOD,Available,"LT,HT -2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6782930102199 12.0010310132056, 79.6805220097303 12.0011249743402)"
46,45,T,DC,28,44-45,244.4303744170882,26.4426209999999,5°22'7''LT,,12.0011249743402,79.6805220097303,,,,,14.2,4.6,3.6,17.6,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6805220097303 12.0011249743402, 79.6824159845709 12.001381041482)"
47,46,S,DC,28,45-46,209.6637860503605,25.663519,,,12.001381041482,79.6824159845709,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6824159845709 12.001381041482, 79.6844979654997 12.0016289781779)"
48,47,T,DC,28,46-47,229.85156754171422,26.2202799999999,24°13'29''LT,,12.0016289781779,79.6844979654997,,,,,12.15,2.2,1.9,4,,,,GOOD,Available,,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6844979654997 12.0016289781779, 79.6864529605954 12.0027909614145)"
49,48,S,DC,28,47-48,250.1607323181591,27.3756349999999,,,12.0027909614145,79.6864529605954,,,,,,,,,,,,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6864529605954 12.0027909614145, 79.6879409998655 12.0036650262773)"
50,49,T,DC,28,48-49,190.17621571708642,26.313763,12°23'19''LT,,12.0036650262773,79.6879409998655,,,,,18.45,11.45,4.9,79.8,,,,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6879409998655 12.0036650262773, 79.689403977245 12.0050180330872)"
51,50,T,DC,28,49-50,220.06470211763622,27.8333109999999,19°50'46''RT,,12.0050180330872,79.689403977245,,,,,14.05,5.25,3.1,31.1,,,,GOOD,Available,,"ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.689403977245 12.0050180330872, 79.6916083339601 12.0059555489569)"
52,51,S,DC,28,50-51,262.9614676919312,25,,,12.0059555489569,79.6916083339601,,,,,,,,,,,,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6916083339601 12.0059555489569, 79.6937039773911 12.0068270154297)"
