S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
35,35,S,,DA,26,34-35,271.7820844,3.18,41.023159,,11.27372222,79.46533333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46533333333333 11.273722222222222, 79.46836111111111 11.273083333333334)"
36,36,S,,DA,26,35-36,336.8549363,2.24,40.104717,,11.27308333,79.46836111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.46836111111111 11.273083333333334, 79.47105555555555 11.272472222222223)"
37,37,S,,DA,26,36-37,302.0858247,2.72,40.961952,,11.27247222,79.47105556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47105555555555 11.272472222222223, 79.47369444444445 11.271972222222223)"
38,38,S,,DA,26,37-38,295.4345977,1.84,40.224682,,11.27197222,79.47369444,GOOD,Available,400 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47369444444445 11.271972222222223, 79.47663888888889 11.271416666666667)"
39,39,T,,DC,26,38-39,326.8392348,2.1,35.693123,"8°28'57"" L",11.27141667,79.47663889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47663888888889 11.271416666666667, 79.47891666666666 11.271333333333335)"
40,40,T,,DC,26,39-40,248.108676,1.74,34.167118,"9°12'50"" L",11.27133333,79.47891667,GOOD,Available,400 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.47891666666666 11.271333333333335, 79.48138888888889 11.271638888888889)"
41,41,S,,DA,26,40-41,270.3619602,1.93,31.359087,,11.27163889,79.48138889,GOOD,NO E /W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48138888888889 11.271638888888889, 79.48358333333333 11.271833333333333)"
42,42,T,2W,DC,26,41-42,240.7943319,2.45,32.206497,"18°30'6"" R",11.27183333,79.48358333,GOOD,NO E /W,400 KV,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48358333333333 11.271833333333333, 79.48547222222223 11.27138888888889)"
43,43,T,,DC,26,42-43,212.2919459,3.12,31.963526,"90°34'25"" R",11.27138889,79.48547222,GOOD,NO E /W,"HT , 400 KV",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.48547222222223 11.27138888888889, 79.48541666666667 11.271166666666668)"
44,"Gantry 
(Pappakudi SS)",Gantry,2W,H-POLE,12,43-Gantry,24.74250131,,32.502972,,11.27116667,79.48541667,GOOD,NO E /W,,,AGRI,Rail Pole,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
