S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,T.NO 259,S,,DA,26,260-259,282.2152201,4.45,90,,79.42211111,11.59402778,GOOD,GOOD ,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.42211111111112 11.594027777777779, 79.41944444444445 11.594138888888889)"
15,T.NO 258,S,,DA,26,259-258,290.3389016,4.13,90,,79.41944444,11.59413889,GOOD,GOOD ,"2nos LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41944444444445 11.594138888888889, 79.41680555555556 11.59425)"
16,T.NO 257,S,,DA,26,258-257,289.340077,3.97,89,,79.41680556,11.59425,GOOD,GOOD ,230kv,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41680555555556 11.59425, 79.41422222222222 11.594361111111112)"
17,T.NO 256,S,,DA,26,257-256,285.4503472,3.88,91,,79.41422222,11.59436111,GOOD,GOOD ,,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41422222222222 11.594361111111112, 79.41166666666668 11.59438888888889)"
18,T.NO 255,S,,DA,26,256-255,278.0288794,5.21,86,,79.41166667,11.59438889,GOOD,GOOD ,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41166666666668 11.59438888888889, 79.409 11.594583333333334)"
19,T.NO 254,S,,DA,26,255-254,292.756748,4.83,87,,79.409,11.59458333,GOOD,GOOD ,400kv,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.409 11.594583333333334, 79.40633333333334 11.59463888888889)"
20,T.NO 253,S,,DA,26,254-253,292.139142,4.21,82,,79.40633333,11.59463889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40633333333334 11.59463888888889, 79.40363888888889 11.594750000000001)"
21,T.NO 252,S,,DA,26,253-252,296.2863017,3.76,88,,79.40363889,11.59475,GOOD,GOOD ,"LT,HT","MUD ROAD,TAAR ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40363888888889 11.594750000000001, 79.40111111111112 11.594861111111111)"
22,T.NO 251,S,,DA,26,252-251,276.4087871,3.17,89,,79.40111111,11.59486111,GOOD,GOOD ,"4nos LT,HT",TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40111111111112 11.594861111111111, 79.39847222222222 11.595)"
23,T.NO 250,S,,DA,26,251-250,289.5012998,4.51,92,,79.39847222,11.595,GOOD,GOOD ,"HT,LT",,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39847222222222 11.595, 79.39575 11.595083333333333)"
24,T.NO 249,S,,DA,26,250-249,296.2439669,4.77,93,,79.39575,11.59508333,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39575 11.595083333333333, 79.39305555555556 11.595194444444445)"
25,T.NO 248,T,2W,DB,24,249-248,296.3320166,4.63,89,"8°41'35""",79.39305556,11.59519444,GOOD,GOOD ,,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39305555555556 11.595194444444445, 79.39027777777778 11.594888888888889)"
26,T.NO 247,S,,DA,26,248-247,306.6795708,4.91,90,,79.39027778,11.59488889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39027777777778 11.594888888888889, 79.38761111111111 11.594611111111112)"
27,T.NO 246,S,,DA,26,247-246,293.6465445,3.74,93,,79.38761111,11.59461111,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38761111111111 11.594611111111112, 79.38483333333333 11.594277777777778)"
28,T.NO 245,S,,DA,26,246-245,306.0147537,6.19,94,,79.38483333,11.59427778,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38483333333333 11.594277777777778, 79.38216666666666 11.594000000000001)"
29,T.NO 244,S,,DA,26,245-244,292.446393,5.24,93,,79.38216667,11.594,GOOD,GOOD ,,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38216666666666 11.594000000000001, 79.3796111111111 11.593722222222222)"
30,T.NO 243,S,,DA,26,244-243,281.6082679,4.86,92,,79.37961111,11.59372222,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3796111111111 11.593722222222222, 79.37683333333332 11.593444444444446)"
31,T.NO 242,S,,DA,26,243-242,305.2005917,5.12,87,,79.37683333,11.59344444,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37683333333332 11.593444444444446, 79.37416666666665 11.59313888888889)"
32,T.NO 241,S,,DA,26,242-241,293.9795215,4.96,93,,79.37416667,11.59313889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37416666666665 11.59313888888889, 79.37163888888888 11.59288888888889)"
33,T.NO 240,S,,DA,26,241-240,279.1258708,5.26,91,,79.37163889,11.59288889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37163888888888 11.59288888888889, 79.36902777777777 11.592555555555556)"
34,T.NO 239,S,,DA,26,240-239,288.1410803,4.13,94,,79.36902778,11.59255556,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36902777777777 11.592555555555556, 79.36625 11.59225)"
35,T.NO 238,S,,DA,26,239-238,305.5816803,3.33,86,,79.36625,11.59225,GOOD,GOOD ,230kv,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36625 11.59225, 79.36375 11.592)"
36,T.NO 237,S,,DA,26,238-237,275.5359721,6.37,78,,79.36375,11.592,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36375 11.592, 79.36133333333333 11.591722222222224)"
37,T.NO 236,S,,DA,26,237-236,263.3928353,5.41,73,,79.36133333,11.59172222,GOOD,GOOD ,HT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36133333333333 11.591722222222224, 79.35880555555555 11.5915)"
38,T.NO 235,S,,DA,26,236-235,280.1218372,7.15,80,,79.35880556,11.5915,GOOD,GOOD ,HT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35880555555555 11.5915, 79.35655555555554 11.591222222222223)"
39,T.NO 234,S,,DA,26,235-234,246.7173173,6.18,75,,79.35655556,11.59122222,GOOD,GOOD ,,POND,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35655555555554 11.591222222222223, 79.35383333333333 11.590944444444444)"
40,T.NO 233,S,,DA,26,234-233,301.2165885,4.48,70,,79.35383333,11.59094444,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35383333333333 11.590944444444444, 79.35097222222221 11.590666666666667)"
41,T.NO 232,S,,DA,26,233-232,312.5461443,5.47,73,,79.35097222,11.59066667,GOOD,GOOD ,LT,DRAIN,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35097222222221 11.590666666666667, 79.34825 11.590277777777779)"
42,T.NO 231 VIRUHACHALAM LILO,T,3W,DD,28,232-231,300.549662,4.33,66,"76°56'44""",79.34825,11.59027778,GOOD,GOOD ,LT,TAAR ROAD,CULTIVATION LAND,VIRUDHACHALAM LILO NEED JUNCTION BOX.ANOTHER FEEDER GOING TO DEVIYAKURICHI SS,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34825 11.590277777777779, 79.34819444444445 11.589638888888889)"
43,T.NO 1,T,,SB,24,231-1,74.55270219,2.67,68,"3°18'44""",79.34819444,11.58963889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34819444444445 11.589638888888889, 79.34802777777777 11.58688888888889)"
44,T.NO 2,S,,SA,26,2-Jan,305.6571844,9.21,69,,79.34802778,11.58688889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34802777777777 11.58688888888889, 79.34783333333333 11.584333333333333)"
45,T.NO 3,S,,SA,26,3-Feb,282.7108447,7.13,69,,79.34783333,11.58433333,GOOD,GOOD ,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34783333333333 11.584333333333333, 79.34769444444444 11.581805555555555)"
46,T.NO 4,S,,SA,26,4-Mar,280.6462051,9.1,68,,79.34769444,11.58180556,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34769444444444 11.581805555555555, 79.3475 11.579027777777778)"
47,T.NO 5,S,,SA,26,5-Apr,309.715079,8.96,67,,79.3475,11.57902778,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3475 11.579027777777778, 79.34738888888889 11.576555555555556)"
48,T.NO 6,S,,SA,26,6-May,275.4667557,7.53,69,,79.34738889,11.57655556,GOOD,GOOD ,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34738888888889 11.576555555555556, 79.34722222222221 11.573916666666667)"
49,T.NO 7,S,,SA,26,7-Jun,291.6888371,8.16,65,,79.34722222,11.57391667,GOOD,GOOD ,"LT,HT",TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34722222222221 11.573916666666667, 79.34705555555556 11.571388888888889)"
50,T.NO 8,S,,SA,26,8-Jul,283.5119467,6.91,61,,79.34705556,11.57138889,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34705555555556 11.571388888888889, 79.34691666666666 11.56875)"
51,T.NO 9,S,,SA,26,9-Aug,293.4944444,6.35,63,,79.34691667,11.56875,GOOD,GOOD ,,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34691666666666 11.56875, 79.34677777777777 11.566111111111113)"
52,T.NO 10,T,2W,SB,26,10-Sep,293.6174978,7.14,62,"0°4'49""",79.34677778,11.56611111,GOOD,GOOD ,LT,DRAIN,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34677777777777 11.566111111111113, 79.34658333333333 11.563444444444444)"
53,T.NO 11,S,,SA,26,11-Oct,296.8952517,9.54,67,,79.34658333,11.56344444,GOOD,GOOD ,LT,"MUD ROAD,TAAR ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34658333333333 11.563444444444444, 79.34641666666666 11.56075)"
54,T.NO 12,S,,SA,26,12-Nov,297.5467923,7.41,72,,79.34641667,11.56075,GOOD,GOOD ,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34641666666666 11.56075, 79.34627777777777 11.558111111111112)"
55,T.NO 13,S,,SA,26,13-Dec,292.6196153,6.95,72,,79.34627778,11.55811111,GOOD,GOOD ,LT,TAAR ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34627777777777 11.558111111111112, 79.34613888888889 11.555555555555557)"
56,T.NO 14,S,,SA,26,13-14,284.5101409,6.31,75,,79.34613889,11.55555556,GOOD,GOOD ,HT,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34613888888889 11.555555555555557, 79.34594444444444 11.552750000000001)"
57,T.NO 15,S,,SA,26,14-15,313.7746793,5.81,78,,79.34594444,11.55275,GOOD,GOOD ,,DRAIN,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34594444444444 11.552750000000001, 79.34577777777777 11.55038888888889)"
58,T.NO 16,S,,SA,26,15-16,261.7680962,5.1,81,,79.34577778,11.55038889,GOOD,GOOD ,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34577777777777 11.55038888888889, 79.34569444444443 11.548527777777778)"
59,T.NO 17,T,,SB,24,16-17,208.2414051,4.35,80,"2°14'51""",79.34569444,11.54852778,GOOD,GOOD ,,RAILWAY TRACK,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34569444444443 11.548527777777778, 79.34561111111111 11.54775)"
60,T.NO 18,T,,SD,28,17-18,86.47514259,4.2,81,"45°18'52""",79.34561111,11.54775,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34561111111111 11.54775, 79.34736111111111 11.545666666666667)"
61,T.NO 19,S,,SA,26,18-19,298.0589167,6.33,84,,79.34736111,11.54566667,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34736111111111 11.545666666666667, 79.34899999999999 11.543694444444444)"
62,T.NO 20,S,,SA,26,19-20,284.6212263,5.53,82,,79.349,11.54369444,GOOD,GOOD ,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34899999999999 11.543694444444444, 79.35058333333333 11.541833333333333)"
63,T.NO 21,T,2W,SD,28,20-21,270.267525,4.64,83,"50°1'8""",79.35058333,11.54183333,GOOD,GOOD ,,,FOREST,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.35058333333333 11.541833333333333, 79.3501111111111 11.539333333333333)"
64,T.NO 22,S,,SA,26,21-22,282.0427014,6.2,82,,79.35011111,11.53933333,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3501111111111 11.539333333333333, 79.34963888888889 11.536805555555555)"
65,T.NO 23,S,,SA,26,22-23,285.9719284,5.91,82,,79.34963889,11.53680556,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34963888888889 11.536805555555555, 79.34916666666666 11.534277777777778)"
66,T.NO 24,S,,SA,26,23-24,285.1777613,5.87,80,,79.34916667,11.53427778,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34916666666666 11.534277777777778, 79.34872222222222 11.531861111111112)"
67,T.NO 25,T,,SC,26,24-25,271.4755072,4.33,79,"15°0'42""",79.34872222,11.53186111,GOOD,GOOD ,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34872222222222 11.531861111111112, 79.34763888888888 11.529611111111112)"
68,T.NO 26,S,,SA,26,25-26,277.4073082,6.97,76,,79.34763889,11.52961111,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34763888888888 11.529611111111112, 79.34655555555555 11.52738888888889)"
69,T.NO 27,S,,SA,26,26-27,274.7078735,7.14,75,,79.34655556,11.52738889,GOOD,GOOD ,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34655555555555 11.52738888888889, 79.34547222222221 11.52513888888889)"
70,T.NO 28,S,,SA,26,27-28,276.5068057,5.51,72,,79.34547222,11.52513889,GOOD,GOOD ,LT,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34547222222221 11.52513888888889, 79.34436111111111 11.522805555555557)"
71,T.NO 29,S,,SA,26,28-29,284.5842027,4.48,71,,79.34436111,11.52280556,GOOD,GOOD ,"HT,LT","MUD ROAD,TAAR ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34436111111111 11.522805555555557, 79.34341666666666 11.520805555555556)"
72,T.NO 30,S,,SA,26,29-30,244.3433788,5.07,68,,79.34341667,11.52080556,GOOD,GOOD ,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34341666666666 11.520805555555556, 79.34258333333332 11.51913888888889)"
73,T.NO 31,T,,SC,26,30-31,208.5090359,5.68,66,"27°52'27""",79.34258333,11.51913889,GOOD,GOOD ,"4nos HT,5nos LT",2nos TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34258333333332 11.51913888888889, 79.34269444444443 11.516444444444444)"
74,T.NO 32,T,,SD,28,31-32,299.202951,4.33,64,"30°32'49""",79.34269444,11.51644444,GOOD,GOOD ,3nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34269444444443 11.516444444444444, 79.34291666666667 11.516083333333333)"
75,T.NO 33DP,T,,SB,24,32-33DP,47.32493929,-,64,"2°9'49""",79.34291667,11.51608333,GOOD,GOOD ,2nos LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34291666666667 11.516083333333333, 79.34308333333333 11.515888888888888)"
76,T.NO 34DP,T,,SB,24,33DP-34DP,29.01785145,-,65,"0°7'46""",79.34308333,11.51588889,GOOD,GOOD ,230kv,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34308333333333 11.515888888888888, 79.34333333333333 11.515527777777777)"
77,T.NO 35,T,,SD,28,34DP-35,48.4341649,5.07,64,"58°30'4""",79.34333333,11.51552778,GOOD,GOOD ,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34333333333333 11.515527777777777, 79.34224999999999 11.513055555555555)"
78,T.NO 36,T,3W,SC,26,35-36,298.2944668,5.49,63,"18°11'40""",79.34225,11.51305556,GOOD,GOOD ,"2nos LT,HT",2nos MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34224999999999 11.513055555555555, 79.34027777777777 11.510861111111112)"
79,T.NO 37,T,,SB,24,36-37,325.2992445,6.72,60,"13°11'18""",79.34027778,11.51086111,GOOD,GOOD ,"5nos LT,3nos HT","3nos TAAR ROAD,MUD ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.34027777777777 11.510861111111112, 79.33908333333333 11.510055555555555)"
80,T.NO 38,T,,SD,28,37-38,156.9006094,9.71,56,"67°16'57""",79.33908333,11.51005556,GOOD,GOOD ,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.33908333333333 11.510055555555555, 79.33880555555555 11.51025)"
81,GT-VIRUDHACHALAM,T,2W,GT,15,38-GT,40.11521443,,57,,79.33880556,11.51025,GOOD,MISSNG,,,PLAIN,110KV VIRUDHACHALAM SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
