Tower No,Tower Type,Tower Type (S/T),Jont Box Location,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
87,SC,T,,26,86-87,,0.002862509,2.94,23.87," 19d54'54""RT",11.92398521,79.65216245,GOOD,GOOD,LT-1,CAR TRACK,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65216245146927 11.923985210935127, 79.6530104512361 11.925224215755259)"
88,SD,T,,28,87-88,,0.002872181,3.28,21.67,"45d33'46""RT",11.92522422,79.65301045,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6530104512361 11.925224215755259, 79.65578048457236 11.925727702538863)"
89,SA,S,,26,88-89,,0.002847291,4.5,23.99,,11.9257277,79.65578048,GOOD,GOOD,,"POND, ROAD",PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65578048457236 11.925727702538863, 79.65825678185797 11.926177767529309)"
90,SA,S,,26,89-90,,0.002581737,7.7,27.18,,11.92617777,79.65825678,GOOD,GOOD,,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65825678185797 11.926177767529309, 79.66115344806649 11.926704210917983)"
91,SA,S,,26,90-91,,0.002696839,6.14,24.05,,11.92670421,79.66115345,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66115344806649 11.926704210917983, 79.66397885439129 11.927163599713678)"
92,SA,S,,26,91-92,,0.002903678,9.36,22.17,,11.9271636,79.66397885,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66397885439129 11.927163599713678, 79.66681476222848 11.927618625851242)"
93,SA,S,,26,92-93,,0.002697612,4.54,20.58,,11.92761863,79.66681476,GOOD,GOOD,,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66681476222848 11.927618625851242, 79.66962419187311 11.92808141023211)"
94,SA,S,,26,93-94,,0.002554176,,20.19,,11.92808141,79.66962419,GOOD,GOOD,LT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66962419187311 11.92808141023211, 79.67217247810018 11.928495659200799)"
95,SA,S,,26,94-95,,0.002792447,10.54,22.03,,11.92849566,79.67217248,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67217247810018 11.928495659200799, 79.67483437783268 11.928928358565834)"
96,SA,S,,26,95-96,,0.002807574,,17.6,,11.92892836,79.67483438,GOOD,GOOD,110KV,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67483437783268 11.928928358565834, 79.67770044221004 11.929394215785516)"
97,SA,S,,26,96-97,,0.002398299,5.45,18.71,,11.92939422,79.67770044,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67770044221004 11.929394215785516, 79.68035644087003 11.929866211429829)"
98,SD,T,2 way,28,97-98,,0.002757645,4.02,19.62," 47d2'15""RT",11.92986621,79.68035644,GOOD,GOOD,LT-1,POND,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68035644087003 11.929866211429829, 79.68241266358407 11.92835103319052)"
99,SA,S,,26,98-99,,0.001334584,4.65,15.27,,11.92835103,79.68241266,GOOD,GOOD,LT-1,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68241266358407 11.92835103319052, 79.6846606828519 11.926694478868411)"
100,SA,S,,26,99-100,,0.002092852,3.65,15.56,,11.92669448,79.68466068,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6846606828519 11.926694478868411, 79.68692086222174 11.925028928154303)"
101,SA,S,,26,100-101,,0.00203411,2.08,17.68,,11.92502893,79.68692086,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68692086222174 11.925028928154303, 79.68884343758864 11.923595211585358)"
102,SA,S,,26,101-102,,0.001302034,2.87,14.79,,11.92359521,79.68884344,GOOD,GOOD,"LT-2,HT-1",R0AD,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68884343758864 11.923595211585358, 79.69107143731786 11.921970212138547)"
103,SD,T,3 Way,28,102-103,,0.000305434,5.12,20.15,"48d1'28""RT",11.92197021,79.69107144,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69107143731786 11.921970212138547, 79.69119343654779 11.920641215977819)"
104,SB,T,,24,103-104,,80.57792758,,18.65," 5d17'28""LT",11.92064122,79.69119344,GOOD,GOOD,"110KV,HT-1",RAILWAY,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69119343654779 11.920641215977819, 79.69158443657865 11.918585213236055)"
105,SA,S,,26,104-105,,0,9.12,18.87,,11.91858521,79.69158444,GOOD,GOOD,,,PLAIN,s/c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69158443657865 11.918585213236055, 79.69194443658186 11.916583213311503)"
106,SC,T,,26,105-106,,0,3.16,19.82,"22d56'26""RT",11.91658321,79.69194444,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69194443658186 11.916583213311503, 79.69219343635186 11.91530521024212)"
107,SC,T,,26,106-107,,0,,25.88,,11.91530521,79.69219344,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69219343635186 11.91530521024212, 79.6921264367154 11.915007215370096)"
GANTRY KANDAMANGALAM,GANTRY,T,2 Way,20,107-GAN,,34,,26.99,,11.91500722,79.69212644,GOOD,GOOD,,,PLAIN,KANDAMANGALAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
