S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Ground Elevation,Deviation Angle,,Latitude,Longitude,,,,,Footing Resistance of Tower ,,,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,line_geom
28,27,S,,SC on SC,26,26 - 27,210.1618586,31,,,11.95616688,79.64844866,,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6484486572444 11.9561668764799, 79.6512348856776 11.9555295165628)"
29,28,S,2W,SC on SC,26,27 - 28,312.7682418,34,,,11.95552952,79.65123489,,,,,,,,,,,,GOOD,Available,"3-LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6512348856776 11.9555295165628, 79.6539789531379 11.9548329804092)"
30,29,T,,SC on SC,26,28 - 29,309.8664397,32,9°8'16''RT,,11.95483298,79.65397895,2W,,,,14.55,6.45,3.1,42.9,,,,GOOD,Available,LT,ROAD,AGRI,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6539789531379 11.9548329804092, 79.6566717233508 11.9545924197882)"
31,30,S,,SC on SC,26,29 - 30,295.713746,32,,,11.95459242,79.65667172,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6566717233508 11.9545924197882, 79.6594271901994 11.9543020706623)"
32,31,T,,SC on SC,26,30 - 31,303.0506892,31,16°40'16''LT,,11.95430207,79.65942719,,,,,18.2,8.5,7.1,23.8,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6594271901994 11.9543020706623, 79.6622549928724 11.953119970858)"
33,32,S,,SC on SC,26,31 - 32,335.8211243,32,,,11.95311997,79.66225499,,,,,,,,,,,,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6622549928724 11.953119970858, 79.6646857447922 11.9520858116447)"
34,33,T,,SC on SC,26,32 - 33,289.6303142,31,20°20'35''LT,,11.95208581,79.66468574,,,,,17.75,7.95,6.8,18.6,,,,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6646857447922 11.9520858116447, 79.6666464395821 11.9502323213964)"
35,34,S,,SC on SC,26,33 - 34,297.2650879,31,,,11.95023232,79.66664644,,,,,,,,,,,,GOOD,Available,"LT,HT",RIVER,"WATER 
LOGGED",,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6666464395821 11.9502323213964, 79.6684051305055 11.9486157875508)"
36,35,T,,SC on SC,26,34 - 35,263.2705459,31,23°34'26''LT,,11.94861579,79.66840513,,,,,16.35,7.7,5.1,34.1,,,,GOOD,Available,110kV,RIVER,WATER LOGGED,UP LINE,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6684051305055 11.9486157875508, 79.6695714723318 11.9459760747849)"
37,36,S,,SC on SC,26,35 - 36,319.6540896,31,,,11.94597607,79.66957147,,,,,,,,,,,,GOOD,Available,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6695714723318 11.9459760747849, 79.6707037836313 11.9433071929961)"
38,37,S,,SC on SC,26,36 - 37,321.1685355,32,,,11.94330719,79.67070378,,,,,,,,,,,,GOOD,Available,"2-LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6707037836313 11.9433071929961, 79.6720877196639 11.9401185493916)"
39,38,S,,SC on SC,26,37 - 38,384.7914198,32,,,11.94011855,79.67208772,,,,,,,,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6720877196639 11.9401185493916, 79.6732424944639 11.9374459795653)"
40,39,S,,SC on SC,26,38 - 39,322.4954804,32,,,11.93744598,79.67324249,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6732424944639 11.9374459795653, 79.6745054796338 11.9345641136169)"
41,40,T,,SC on SC,26,39 - 40,348.4159758,33,28°46'33''RT,,11.93456411,79.67450548,,,,,18.2,8.95,6.8,38,,,,GOOD,Available,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6745054796338 11.9345641136169, 79.6765530109405 11.9329896569252)"
42,41,S,2W,SC on SC,26,40 - 41,284.1935622,33,,,11.93298966,79.67655301,,,,,,,,,,,,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6765530109405 11.9329896569252, 79.6783181559294 11.9316236581653)"
43,42,T,,SC on SC,26,41 - 42,245.7642219,32,2°44'41''RT,,11.93162366,79.67831816,2W,,,,16.3,7,5.2,30.6,,,,GOOD,Available,2-LT,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6783181559294 11.9316236581653, 79.6811280213296 11.9296568445861)"
44,43,S,,SC on SC,26,42 - 43,376.7255454,31,,,11.92965684,79.68112802,,,,,,,,,,,,GOOD,Available,2-LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6811280213296 11.9296568445861, 79.682913115248 11.928385393694)"
45,44,S,,SC on SC,26,43 - 44,241.2028692,31,,,11.92838539,79.68291312,,,,,,,,,,,,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.682913115248 11.928385393694, 79.6849096845835 11.9269647449254)"
46,45,S,,SC on SC,26,44 - 45,269.5376141,31,,,11.92696474,79.68490968,,,,,,,,,,,,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6849096845835 11.9269647449254, 79.6873010415583 11.9252103287726)"
47,46,S,,SC on SC,26,45 - 46,326.0465777,32,,,11.92521033,79.68730104,,,,,,,,,,,,GOOD,Available,"HT,3-LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6873010415583 11.9252103287726, 79.6893605589866 11.9237986486405)"
48,47,T,,SC on SC,26,46 - 47,274.557867,31,12°35'20''LT,,11.92379865,79.68936056,,,,,21.75,11.95,10.3,25.4,,,,GOOD,Available,"HT,LT",,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6893605589866 11.9237986486405, 79.6910780947655 11.9219557195901)"
49,48,T,3W,DC on DC,34,47 - 48,277.9172752,25,37°3'39''LT,,11.92195572,79.69107809,,,,,21.75,11.8,10.5,12.6,,,,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6910780947655 11.9219557195901, 79.6912159770727 11.9206265173852)"
50,49,T,,DC on DC,34,48 - 49,149.0317626,20,13°19'8''RT,,11.92062652,79.69121598,,,,,21.5,11.65,10.1,21.6,,,,GOOD,24F OPGW Available,"110kV,LT",RAILWAY,AGRI,DOWN LINE,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6912159770727 11.9206265173852, 79.6920057199895 11.9183639064431)"
51,50,S,,SC on SC,26,49 - 50,265.8768611,22,,,11.91836391,79.69200572,,,,,,,,,,,,GOOD,Avaiable,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6920057199895 11.9183639064431, 79.6927196905016 11.9164303690195)"
52,51,T,,SC on SC,26,50 - 51,228.8092017,22,28°4'17''LT,,11.91643037,79.69271969,,,,,22.15,12.25,10.8,18.4,,,,GOOD,Avaiable,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6927196905016 11.9164303690195, 79.6924926247447 11.9147736858576)"
53,52,T,,SC on DC,26,51 - 52,186.1491812,22,87°54'31''RT,,11.91477369,79.69249262,,,,,22.75,13.05,11.1,33.1,,,,GOOD,Avaiable,,,AGRI,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6924926247447 11.9147736858576, 79.692189451307 11.9148265756666)"
54,"Gantry ( Kandamankalam SS )",T,2W,H-POLE,,52 - Gantry ,34.78595643,21,,,11.91482658,79.69218945,2W,,,,,,,,,,,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
