Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
20,,,,,,,,,,,11.68779949,79.73882119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7388211921943 11.687799485446044, 79.73926347113957 11.685342123971958)"
21,,,,,,,,,,,11.68534212,79.73926347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73926347113957 11.685342123971958, 79.74017646385444 11.684279228527059)"
22,,,,,,,,,,,11.68427923,79.74017646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74017646385444 11.684279228527059, 79.73995852800948 11.68175567441604)"
23,,,,,,,,,,,11.68175567,79.73995853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73995852800948 11.68175567441604, 79.73974850053277 11.679512443464482)"
24,,,2W,,,,,,,,11.67951244,79.7397485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73974850053277 11.679512443464482, 79.73922748526803 11.677068932640868)"
25,,,,,,,,,,,11.67706893,79.73922749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73922748526803 11.677068932640868, 79.73866073409964 11.674598095830142)"
26,,,,,,,,,,,11.6745981,79.73866073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73866073409964 11.674598095830142, 79.7381212645136 11.67218162773577)"
27,,,,,,,,,,,11.67218163,79.73812126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7381212645136 11.67218162773577, 79.7376918364229 11.669774684184064)"
28,,,2W,,,,,,,,11.66977468,79.73769184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7376918364229 11.669774684184064, 79.73672805663539 11.667880761313958)"
29,,,,,,,,,,,11.66788076,79.73672806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73672805663539 11.667880761313958, 79.73589254437476 11.66602356668554)"
30,,,,,,,,,,,11.66602357,79.73589254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73589254437476 11.66602356668554, 79.73513075163969 11.664094362375545)"
31,,,,,,,,,,,11.66409436,79.73513075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73513075163969 11.664094362375545, 79.73450664017466 11.662147679760173)"
32,,,,,,,,,,,11.66214768,79.73450664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73450664017466 11.662147679760173, 79.73401046091219 11.660310058405164)"
33,,,,,,,,,,,11.66031006,79.73401046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73401046091219 11.660310058405164, 79.73352362343375 11.658436311511998)"
34,,,,,,,,,,,11.65843631,79.73352362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73352362343375 11.658436311511998, 79.73417524369974 11.65633249575621)"
35,,,,,,,,,,,11.6563325,79.73417524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73417524369974 11.65633249575621, 79.7361601380734 11.6555365237363)"
36,,,,,,,,,,,11.65553652,79.73616014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7361601380734 11.6555365237363, 79.73712500285971 11.65515197342877)"
37,,,,,,,,,,,11.65515197,79.737125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73712500285971 11.65515197342877, 79.73874738437821 11.655412255211827)"
38,,,,,,,,,,,11.65541226,79.73874738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73874738437821 11.655412255211827, 79.74000315613581 11.655607631496023)"
39,,,,,,,,,,,11.65560763,79.74000316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.74000315613581 11.655607631496023, 79.74049859197251 11.65558267635241)"
Semm-GTRY,,,2W,,,,,,,,11.65558268,79.74049859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
