S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
13,T.NO 12,S,2W,DA,26,12-Nov,275.8550344,4.58,24,,11.40678697,79.5456662,GOOD,GOOD,HT-1,CANAL-1 ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54566620414526 11.406786973848254, 79.5469050297163 11.404650376464774)"
14,T.NO 13,T,,DC,26,13-Dec,272.2590678,3.95,23,"29°40'16""",11.40465038,79.54690503,GOOD,GOOD,,CANAL-1,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5469050297163 11.404650376464774, 79.54912922988002 11.403359460792215)"
15,T.NO 14,S,,DA,26,13-14,281.6025568,4.48,25,,11.40335946,79.54912923,GOOD,GOOD,LT-1,CANAL-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54912922988002 11.403359460792215, 79.55114205441812 11.40218501713743)"
16,T.NO 15,T,,DB,24,14-15,255.1901252,4.25,28,"7°54'46""",11.40218502,79.55114205,GOOD,GOOD,HT-1 LT-2,CANAL-1 ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55114205441812 11.40218501713743, 79.55303363316625 11.401425850394281)"
17,T.NO 16,S,,DA,26,15-16,222.8474815,2.95,28,,11.40142585,79.55303363,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55303363316625 11.401425850394281, 79.55490719599457 11.400603293945764)"
18,T.NO 17,S,,DA,26,16-17,223.7856117,4.05,28,,11.40060329,79.5549072,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55490719599457 11.400603293945764, 79.55677112943141 11.399871087942325)"
19,T.NO 18,T,,DD,28,17-18,218.9360637,5.75,29,"54°19'29""",11.39987109,79.55677113,GOOD,GOOD,HT-1 LT-2,ROAD-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55677112943141 11.399871087942325, 79.55745401921779 11.397107864071897)"
20,T.NO 19,S,,DA,26,18-19,314.5870309,5.3,24,,11.39710786,79.55745402,GOOD,GOOD,HT-1 LT-1,ROAD-2 CANAL-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55745401921779 11.397107864071897, 79.55812722811513 11.39444404130265)"
21,T.NO 20,S,,DA,26,19-20,303.6593486,3.65,25,,11.39444404,79.55812723,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55812722811513 11.39444404130265, 79.55878214063374 11.391771084254335)"
22,T.NO 21,S,2W,DA,26,20-21,304.1644292,6.05,24,,11.39177108,79.55878214,GOOD,GOOD,LT-1,CANAL-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55878214063374 11.391771084254335, 79.55927141862875 11.389232929014398)"
23,T.NO 22,T,,DB,24,21-22,285.7708873,4.38,18,"10°40'33""",11.38923293,79.55927142,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55927141862875 11.389232929014398, 79.55928466037598 11.386602028502734)"
24,T.NO 23,S,,DA,26,22-23,291,4.2,19,,11.38660203,79.55928466,GOOD,GOOD,LT-1,ROAD-1 CANAL-1,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55928466037598 11.386602028502734, 79.5592886903874 11.383980123522342)"
25,T.NO 24,S,,DA,26,23-24,290.0017241,3.15,22,,11.38398012,79.55928869,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5592886903874 11.383980123522342, 79.55931086122608 11.381394471421132)"
26,T.NO 25,S,,DA,26,24-25,286.0017482,5.85,20,,11.38139447,79.55931086,GOOD,GOOD,"LT-3, 400KV CROSSING ABOVE",,PLAIN,PH PARANGIPETTAI - PAPPAKUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55931086122608 11.381394471421132, 79.55932422965044 11.37873644676204)"
27,T.NO 26,S,,DA,26,25-26,294,4.78,21,,11.37873645,79.55932423,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55932422965044 11.37873644676204, 79.55932820474072 11.376123581272095)"
28,T.NO 27,S,,DA,26,26-27,289.0017301,3.17,19,,11.37612358,79.5593282,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55932820474072 11.376123581272095, 79.559451336695 11.373502257311948)"
29,T.NO 28,S,,DA,26,27-28,290.2481697,4.21,19,,11.37350226,79.55945134,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.559451336695 11.373502257311948, 79.55956516456146 11.370908010473684)"
30,T.NO 29,S,,DA,26,28-29,287.210724,5.17,18,,11.37090801,79.55956516,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55956516456146 11.370908010473684, 79.55967009741948 11.36825947263737)"
31,T.NO 30,S,,DA,26,29-30,293.1705988,4.21,19,,11.36825947,79.5596701,GOOD,GOOD,LT-1,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55967009741948 11.36825947263737, 79.55977488909302 11.365638056800192)"
32,T.NO 31,S,,DA,26,30-31,290.1723626,4.38,19,,11.36563806,79.55977489,GOOD,GOOD,LT-1,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55977488909302 11.365638056800192, 79.5598608973823 11.363106959805457)"
33,T.NO 32,S,,DA,26,31-32,280.1142624,3.17,20,,11.36310696,79.5598609,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5598608973823 11.363106959805457, 79.56018176263102 11.361246053850243)"
34,T.NO 33,S,2W,DA,26,32-33,208.7869728,3.91,19,,11.36124605,79.56018176,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56018176263102 11.361246053850243, 79.56053038095244 11.359331035549205)"
35,T.NO 34,T,,DB,24,33-34,215.2045539,4.61,18,"1°1'56""",11.35933104,79.56053038,GOOD,GOOD,,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56053038095244 11.359331035549205, 79.5606993768434 11.35669184780737)"
36,T.NO 35,S,,DA,26,34-35,292.4944444,3.17,18,,11.35669185,79.56069938,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5606993768434 11.35669184780737, 79.56086841191834 11.354043618211401)"
37,T.NO 36,S,,DA,26,35-36,293.4927597,4.37,19,,11.35404362,79.56086841,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56086841191834 11.354043618211401, 79.56101875452732 11.351467625673374)"
38,T.NO 37,S,,DA,26,36-37,285.3944639,6.11,21,,11.35146763,79.56101875,GOOD,GOOD,LT-2,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56101875452732 11.351467625673374, 79.56117834399916 11.3488735951288)"
39,T.NO 38,S,,DA,26,37-38,287.445647,5.17,20,,11.3488736,79.56117834,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56117834399916 11.3488735951288, 79.5613196946252 11.34626139250463)"
40,T.NO 39,T,,DB,24,38-39,289.3389016,4.21,17,"3°58'24""",11.34626139,79.56131969,GOOD,GOOD,HT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5613196946252 11.34626139250463, 79.56164436436372 11.343632000282243)"
41,T.NO 40,S,,DA,26,39-40,292.9795215,3.91,21,,11.343632,79.56164436,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56164436436372 11.343632000282243, 79.56199623870911 11.341056986027754)"
42,T.NO 41,S,,DA,26,40-41,287.3917187,2.21,23,,11.34105699,79.56199624,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56199623870911 11.341056986027754, 79.56234837514359 11.33842772452498)"
43,T.NO 42,T,,DC,26,41-42,293.3428029,3.28,19,"25°30'42""",11.33842772,79.56234838,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56234837514359 11.33842772452498, 79.56373339975687 11.336273627187406)"
44,T.NO  43,S,,DA,26,42-43,282.1719334,2.18,20,,11.33627363,79.5637334,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56373339975687 11.336273627187406, 79.56513658994616 11.33414673238933)"
45,T.NO 44,S,,DA,26,43-44,280.713377,3.17,21,,11.33414673,79.56513659,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56513658994616 11.33414673238933, 79.56653046174529 11.332046906521507)"
46,T.NO  45,S,,DA,26,44-45,277.6508599,4.17,20,,11.33204691,79.56653046,GOOD,GOOD,LT-1,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56653046174529 11.332046906521507, 79.56749956177782 11.330614059710378)"
47,T.NO  46K.M KOIL LILO ,T,3W,DC,26,45-46,190.5413341,,19,,11.33061406,79.56749956,GOOD,GOOD,,,COLTIVACTION LAND,K.M KOIL LILO NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,11796M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
