S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,T.NO 64,T,,DC,26,65-64,200.8482014,3.85,32,"25°52'3""",11.55816001,79.56732646,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56732646290877 11.558160005220726, 79.56604697397911 11.55554081805285)"
27,T.NO 63,S,,DA,26,64-63,321.5618137,2.3,37,,11.55554082,79.56604697,GOOD,GOOD,"LT,HT",ROAD CROSS,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56604697397911 11.55554081805285, 79.56493037670027 11.553347362474362)"
28,T.NO 62,S,,DA,26,63-62,271.4645465,2.73,35,,11.55334736,79.56493038,GOOD,GOOD,2 NOS HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56493037670027 11.553347362474362, 79.56390584738986 11.55108203171076)"
29,T.NO 61,S,,DA,26,62-61,274.3519637,4.32,27,,11.55108203,79.56390585,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56390584738986 11.55108203171076, 79.56256325130617 11.548263620103198)"
30,T.NO 60,T,2W,DC,26,61-60,344.419802,3.48,30,"24°23'42""",11.54826362,79.56256325,GOOD,GOOD,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56256325130617 11.548263620103198, 79.56110254816478 11.54703584119776)"
31,T.NO 59,S,,DA,26,60-59,209.3442142,1.98,31,,11.54703584,79.56110255,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56110254816478 11.54703584119776, 79.55948687527916 11.545635507648962)"
32,T.NO 58,T,,DC,26,59-58,234.6167087,5.31,31,"26°58'27""",11.54563551,79.55948688,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55948687527916 11.545635507648962, 79.55876256014245 11.543841788750544)"
33,T.NO 57,S,,DA,26,58-57,213.5509307,2.78,33,,11.54384179,79.55876256,GOOD,GOOD,2 NOS LT,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55876256014245 11.543841788750544, 79.5580201477676 11.542002773885367)"
34,T.NO 56,T,,DB,24,57-56,218.9360637,3.24,32,"12°45'11""",11.54200277,79.55802015,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5580201477676 11.542002773885367, 79.55661852516725 11.539988702525477)"
35,T.NO 55,S,,DA,26,56-55,270.1851217,1.98,31,,11.5399887,79.55661853,GOOD,GOOD,"2 NOS HT, 2 NOS LT ",ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55661852516725 11.539988702525477, 79.55506199188761 11.537793035420291)"
36,T.NO 54,S,,DA,26,55-54,296.3190848,2.06,32,,11.53779304,79.55506199,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55506199188761 11.537793035420291, 79.55376963671705 11.535933195317218)"
37,T.NO 53,T,,DC,26,54-53,249.3772243,1.36,28,"22°45'19""",11.5359332,79.55376964,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55376963671705 11.535933195317218, 79.55164955453465 11.534584563051276)"
38,T.NO 52,S,,DA,26,53-52,275.187209,2.4,28,,11.53458456,79.55164955,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55164955453465 11.534584563051276, 79.54952967937123 11.533199754557927)"
39,T.NO 51,S,,DA,26,52-51,277.3589732,4.7,26,,11.53319975,79.54952968,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54952967937123 11.533199754557927, 79.54719021960764 11.531732466121666)"
40,T.NO 50,S,,DA,26,51-50,302.4185841,3.23,26,,11.53173247,79.54719022,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54719021960764 11.531732466121666, 79.5449514899417 11.530292788829312)"
41,T.NO 49,S,,DA,26,50-49,291.5287293,4.21,27,,11.53029279,79.54495149,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5449514899417 11.530292788829312, 79.54261203412537 11.528834509764222)"
42,T.NO 48,T,,DB,24,49-48,301.8873962,2.71,28,"11°11'4""",11.52883451,79.54261203,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54261203412537 11.528834509764222, 79.54066312038721 11.528092412040692)"
43,T.NO 47,S,,DA,26,48-47,227.8815482,3.8,32,,11.52809241,79.54066312,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54066312038721 11.528092412040692, 79.53876917666328 11.527359619697593)"
44,T.NO 46,S,,DA,26,47-46,221.9211572,2.7,35,,11.52735962,79.53876918,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53876917666328 11.527359619697593, 79.53677440169189 11.526626308578988)"
45,T.NO 45,T,2W,DD,28,46-45,232.2154172,5.2,36,"75°27'43""",11.52662631,79.5367744,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53677440169189 11.526626308578988, 79.53699620086299 11.52451184123142)"
46,T.NO 44,S,,DA,26,45-44,235.1276249,4.41,33,,11.52451184,79.5369962,GOOD,GOOD,2 NOS LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53699620086299 11.52451184123142, 79.53715452472952 11.522261439349858)"
47,T.NO 43,S,,DA,26,44-43,249.5135267,2.31,33,,11.52226144,79.53715452,GOOD,GOOD,2 NOS LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53715452472952 11.522261439349858, 79.53744184013063 11.519885111988309)"
48,T.NO 42,S,,DA,26,43-42,264.7054967,3.71,28,,11.51988511,79.53744184,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53744184013063 11.519885111988309, 79.53774083848666 11.517020630103538)"
49,T.NO 41,S,,DA,26,42-41,318.5121662,1.85,21,,11.51702063,79.53774084,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53774083848666 11.517020630103538, 79.53795480135351 11.514643931605223)"
50,T.NO 40,T,,DC,26,41-40,263.918548,4.3,23,"21°21'51""",11.51464393,79.5379548,GOOD,GOOD,LT,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53795480135351 11.514643931605223, 79.5373511175286 11.512606680701827)"
51,T.NO 39,T,,DB,24,40-39,234.763711,3.27,25,"2°9'42""",11.51260668,79.53735112,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5373511175286 11.512606680701827, 79.53662330880067 11.509755118550789)"
52,T.NO 38,S,,DA,26,39-38,325.247598,2.72,19,,11.50975512,79.53662331,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53662330880067 11.509755118550789, 79.53571198747228 11.506938796762563)"
53,T.NO 37,S,,DA,26,38-37,326.9892965,1.87,18,,11.5069388,79.53571199,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53571198747228 11.506938796762563, 79.53509153923416 11.504603107960211)"
54,T.NO 36,S,,DA,26,37-36,267.0674072,2.21,18,,11.50460311,79.53509154,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53509153923416 11.504603107960211, 79.53421719121577 11.501732724470912)"
55,T.NO 35,S,,DA,26,36-35,331.5086726,3.21,19,,11.50173272,79.53421719,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53421719121577 11.501732724470912, 79.53339748276667 11.498934942618229)"
56,T.NO 34,S,,DA,26,35-34,322.1210952,2.71,16,,11.49893494,79.53339748,GOOD,GOOD,HT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53339748276667 11.498934942618229, 79.53255950115569 11.496128026884039)"
57,T.NO 33,T,2W,DB,24,34-33,323.6495018,3.21,17,"10°4'20""",11.49612803,79.5325595,GOOD,GOOD,2 NOS LT,POND,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53255950115569 11.496128026884039, 79.53231411932124 11.493947920693023)"
58,T.NO 32,S,,DA,26,33-32,242.6211038,2.17,16,,11.49394792,79.53231412,GOOD,GOOD,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53231411932124 11.493947920693023, 79.53161767761561 11.490364194639572)"
59,T.NO 31,S,,DA,26,32-31,403.6087214,3.9,21,,11.49036419,79.53161768,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53161767761561 11.490364194639572, 79.53118439916418 11.487297128208692)"
60,T.NO 30,S,,DA,26,31-30,342.5229919,2.95,20,,11.48729713,79.5311844,GOOD,GOOD,,CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53118439916418 11.487297128208692, 79.5308127610416 11.484718583762579)"
61,T.NO 29,S,,DA,26,30-29,288.0781144,4.05,23,,11.48471858,79.53081276,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5308127610416 11.484718583762579, 79.53036971783683 11.48176900031824)"
62,T.NO 28,S,,DA,26,29-28,329.8120677,5.15,24,,11.481769,79.53036972,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53036971783683 11.48176900031824, 79.52999836901706 11.479136211363564)"
63,T.NO 27,S,,DA,26,28-27,294.0153057,3.95,26,,11.47913621,79.52999837,GOOD,GOOD,"HT,LT",CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52999836901706 11.479136211363564, 79.52960916050667 11.476412922768393)"
64,T.NO 26,S,,DA,26,27-26,304.1989481,3.15,28,,11.47641292,79.52960916,GOOD,GOOD,HT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52960916050667 11.476412922768393, 79.52919330163148 11.47352676257829)"
65,T.NO 25,T,2W,DB,24,26-25,322.4437936,4.65,25,"0°18'20""",11.47352676,79.5291933,GOOD,GOOD,LT,,CULTIVACTION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52919330163148 11.47352676257829, 79.52882219910342 11.47084876975247)"
66,T.NO 24,S,,DA,26,25-24,298.9648809,3.85,25,,11.47084877,79.5288222,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52882219910342 11.47084876975247, 79.52839755832676 11.467890237418553)"
67,T.NO 23,S,,DA,26,24-23,330.5041603,5.05,27,,11.46789024,79.52839756,GOOD,GOOD,LT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52839755832676 11.467890237418553, 79.52799878040473 11.465248268764476)"
68,T.NO 22,S,,DA,26,23-22,295.4471188,4.72,25,,11.46524827,79.52799878,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52799878040473 11.465248268764476, 79.52764559968175 11.462651734527855)"
69,T.NO 21,S,,DA,26,22-21,289.7740499,3.8,28,,11.46265173,79.5276456,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52764559968175 11.462651734527855, 79.52720264224503 11.459693109536873)"
70,T.NO 20,S,,DA,26,21-20,330.8005441,4.15,26,,11.45969311,79.52720264,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52720264224503 11.459693109536873, 79.52654860992318 11.45678766644924)"
71,T.NO 19,T,,DB,24,20-19,329.1959903,3.25,29,"2°39'11""",11.45678767,79.52654861,GOOD,GOOD,,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52654860992318 11.45678766644924, 79.52580195284462 11.454071616084825)"
72,T.NO 18,S,,DA,26,19-18,311.2699793,5.25,30,,11.45407162,79.52580195,GOOD,GOOD,LT,"MUDROAD, CANAL",CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52580195284462 11.454071616084825, 79.52515457605729 11.451654417149333)"
73,T.NO 17,S,,DA,26,18-17,276.5375201,4.78,29,,11.45165442,79.52515458,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52515457605729 11.451654417149333, 79.52450678610363 11.449318584207473)"
74,T.NO 16,T,,DB,24,17-16,267.8581714,3.35,25,"2°50'32""",11.44931858,79.52450679,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52450678610363 11.449318584207473, 79.52371264798718 11.446927766680705)"
75,T.NO 15 M.T KUPPAM LILO,T,3W,DB,24,16-15,278.2804341,3.15,24,"8°20'44""",11.44692777,79.52371265,GOOD,GOOD,,,CULTIVACTION LAND,M.T KUPPAM LILO NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52371264798718 11.446927766680705, 79.52326757954843 11.444385013633584)"
76,T.NO 14,T,,DB,24,15-14,285.4137348,4.18,24,"4°43'54""",11.44438501,79.52326758,GOOD,MISSING,,,CULTIVACTION LAND,ONE FEEDER GOING TO SUGAR MILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52326757954843 11.444385013633584, 79.5225755384612 11.441750604528218)"
77,T.NO 13,S,,DA,26,14-13,301.0149498,5.35,24,,11.4417506,79.52257554,GOOD,GOOD,2 NOS LT , CANAL,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5225755384612 11.441750604528218, 79.5219554171294 11.439387786420815)"
78,T.NO 12,S,,DA,26,13-Dec,269.9666646,4.38,23,,11.43938779,79.52195542,GOOD,GOOD,HT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5219554171294 11.439387786420815, 79.52134432756158 11.43705213631765)"
79,T.NO 11,T,,DC,26,12-Nov,266.8107944,3.62,24,"29°15'11""",11.43705214,79.52134433,GOOD,GOOD,2 NOS LT,MUD ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52134432756158 11.43705213631765, 79.52206396717108 11.434361565501122)"
80,T.NO 10,S,,DA,26,11-Oct,307.7872642,4.2,22,,11.43436157,79.52206397,GOOD,GOOD,2 NOS LT,ROAD,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52206396717108 11.434361565501122, 79.52290272693442 11.43167159144293)"
81,T.NO 9,T,,DB,24,10-Sep,311.2940732,6.05,23,"0°30'12""",11.43167159,79.52290273,GOOD,GOOD,"HT,LT",,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52290272693442 11.43167159144293, 79.52376989674123 11.42880093651523)"
82,T.NO 8,S,,DA,26,09-Aug,331.3200869,1.89,22,,11.42880094,79.5237699,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52376989674123 11.42880093651523, 79.5241403509633 11.428052402496379)"
83,T.NO 7,T,,DC,26,08-Jul,92.13576938,2.01,18,"29°8'6""",11.4280524,79.52414035,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5241403509633 11.428052402496379, 79.52587861031645 11.42685870220879)"
84,T.NO 6,S,,DA,26,07-Jun,231.1060363,3.96,19,,11.4268587,79.52587861,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52587861031645 11.42685870220879, 79.52791066981547 11.425557973699691)"
85,T.NO 5,S,,DA,26,06-May,264.3217736,3.73,15,,11.42555797,79.52791067,GOOD,GOOD,,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52791066981547 11.425557973699691, 79.53009026988788 11.424077148839757)"
86,T.NO 4,S,,DA,26,05-Apr,288.7801932,4.76,22,,11.42407715,79.53009027,GOOD,GOOD,2 NOS LT,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53009026988788 11.424077148839757, 79.53227673388602 11.423039348187224)"
87,T.NO 3,T,,DB,24,04-Mar,264.7640459,3.31,16,"0°2'20""",11.42303935,79.53227673,GOOD,GOOD,LT,"LAND, CANAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53227673388602 11.423039348187224, 79.5338384917516 11.422296759235408)"
88,T.NO 2,T,,DC,26,03-Feb,189.1798086,2.81,24,"29°34'19""",11.42229676,79.53383849,GOOD,GOOD,HT,RIVER,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5338384917516 11.422296759235408, 79.53620209150107 11.422453225306437)"
89,T.NO 1,T,,DC,26,02-Jan,258.4956479,3.71,22,"18°12'20""",11.42245323,79.53620209,GOOD,GOOD,"HT,LT",ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53620209150107 11.422453225306437, 79.53679854779698 11.422302505307272)"
