S. No ,Tower No,Supspension/Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,T.NO 50,S,,DA,26,51-50,315.5724956,3.13,155,,11.58008955,78.84851492,GOOD,GOOD,HT-1 LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.848514916309 11.580089552586287, 78.84580971359817 11.58024114192286)"
24,T.NO 49,S,,DA,26,50-49,295.6112312,4.87,156,,11.58024114,78.84580971,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84580971359817 11.58024114192286, 78.84365431654123 11.580414878911858)"
25,T.NO 48,S,,DA,26,49-48,235.9364321,6.03,150,,11.58041488,78.84365432,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84365431654123 11.580414878911858, 78.84029862943858 11.580525416145864)"
26,T.NO 47,T,2W,DB,24,48-47,366.3072481,5.95,157,"5°30'34""",11.58052542,78.84029863,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84029862943858 11.580525416145864, 78.83768293528072 11.580957764430192)"
27,T.NO 46,S,,DA,26,47-46,289.3527259,4.78,152,,11.58095776,78.83768294,GOOD,GOOD,400kv LT-1 ,MUD ROAD,FOREST,PUGALUR - KALIVANTHAPATTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83768293528072 11.580957764430192, 78.83477442224465 11.581324632578621)"
28,T.NO 45,S,,DA,26,46-45,319.9031103,3.15,153,,11.58132463,78.83477442,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83477442224465 11.581324632578621, 78.83213171168299 11.581693461979746)"
29,T.NO 44,S,,DA,26,45-44,291.1923763,4.2,155,,11.58169346,78.83213171,GOOD,GOOD,,MUD ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83213171168299 11.581693461979746, 78.82914007500386 11.582140986683854)"
30,T.NO 43,S,,DA,26,44-43,330.1211899,3.75,153,,11.58214099,78.82914008,GOOD,GOOD,LT-1,CANAL,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82914007500386 11.582140986683854, 78.826671017634 11.582574329965075)"
31,T.NO 42,S,,DA,26,43-42,273.6073829,4.3,157,,11.58257433,78.82667102,GOOD,GOOD,400kv,,FOREST,CONSTRUCTED LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.826671017634 11.582574329965075, 78.82360618755517 11.583003169034223)"
32,T.NO 41,S,,DA,26,42-41,337.721779,5.14,160,,11.58300317,78.82360619,GOOD,GOOD,LT-1,MUD ROAD,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82360618755517 11.583003169034223, 78.82037637199842 11.583430730800359)"
33,T.NO 40,S,,DA,26,41-40,355.5334021,5.82,160,,11.58343073,78.82037637,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82037637199842 11.583430730800359, 78.81790751365924 11.583836883545827)"
34,T.NO 39,S,,DA,26,40-39,273.0750813,4.68,160,,11.58383688,78.81790751,GOOD,MISSING,760kv,,FOREST,KALLIYUR - PUGALURPETTAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81790751365924 11.583836883545827, 78.81540255102632 11.584170440703025)"
35,T.NO 38,S,,DA,26,39-38,275.7716447,5.24,161,,11.58417044,78.81540255,GOOD,GOOD,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81540255102632 11.584170440703025, 78.81293382727527 11.58455847442115)"
36,T.NO 37,T,2W,DC,26,38-37,272.7379695,4.68,170,,11.58455847,78.81293383,GOOD,GOOD,,MUD ROAD,CULTIVACTION LAND,NEYVELI LINES JURISDICTION END ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,10775M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
