,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
42,T.NO.41,S,,29,40-41,NO,257.2333571,2.25,90,,78.79877778,10.19813889,,,GOOD,GOOD,NO,LT CROSSING,,CULTIVATION LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79877777777777 10.19813888888889, 78.80091666666667 10.199083333333334)"
43,T.NO.42,S,,26,41-42,NO,254.7508587,2.22,93,,78.80091667,10.19908333,,,GOOD,GOOD,NO,LT-2 NOS CROSSING,POND CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80091666666667 10.199083333333334, 78.80311111111111 10.200055555555554)"
44,T.NO.43,T,,26,42-43,NO,264.319882,3.34,90,"22°4'6.32""",78.80311111,10.20005556,,,GOOD,GOOD,NO,,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80311111111111 10.200055555555554, 78.8055 10.200111111111111)"
45,T.NO.44,S,,29,43-44,NO,260.0480725,2.59,83,,78.8055,10.20011111,,,GOOD,GOOD,NO,LT-2 NOS CROSSING,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8055 10.200111111111111, 78.80772222222222 10.200194444444444)"
46,T.NO.45,S,,29,44-45,YES,243.1008021,3.29,83,,78.80772222,10.20019444,,,GOOD,GOOD,NO,,MUD ROAD,CANNEL CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80772222222222 10.200194444444444, 78.80966666666666 10.200222222222221)"
47,T.NO.46,T,2W,26,45-46,YES,216.0092591,2.5,82,"18°57'55.62""",78.80966667,10.20022222,Yes,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80966666666666 10.200222222222221, 78.81202777777777 10.199444444444445)"
48,T.NO.47,S,,26,46-47,NO,271.9558788,2.77,85,,78.81202778,10.19944444,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81202777777777 10.199444444444445, 78.81441666666666 10.198666666666666)"
49,T.NO.48,S,,26,47-48,NO,273.5415873,3.27,84,,78.81441667,10.19866667,,,GOOD,GOOD,NO,LT-2 NOS CROSSING,MUD ROAD,"CULTIVATION LAND,INSIDE FENCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81441666666666 10.198666666666666, 78.81666666666666 10.197944444444445)"
50,T.NO.49,S,,26,48-49,NO,260.2556436,2.25,79,,78.81666667,10.19794444,,,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81666666666666 10.197944444444445, 78.81891666666667 10.197166666666666)"
51,T.NO.50,S,,26,49-50,NO,260.3247971,3.15,80,,78.81891667,10.19716667,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81891666666667 10.197166666666666, 78.82111111111111 10.196416666666666)"
52,T.NO.51,S,,26,50-51,NO,256.16401,3.15,76,,78.82111111,10.19641667,,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82111111111111 10.196416666666666, 78.82283333333334 10.195444444444444)"
53,T.NO.52,S,,26,51-52,NO,217.3131381,3.52,79,,78.82283333,10.19544444,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82283333333334 10.195444444444444, 78.82444444444444 10.194527777777777)"
54,T.NO.53,S,,26,52-53,NO,201.6928358,2.55,81,,78.82444444,10.19452778,,,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82444444444444 10.194527777777777, 78.82688888888889 10.193666666666667)"
55,T.NO.54,S,,26,53-54,NO,286.639146,2.52,80,,78.82688889,10.19366667,,,GOOD,GOOD,NO,,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82688888888889 10.193666666666667, 78.82941666666666 10.192694444444445)"
56,T.NO.55,S,,26,54-55,NO,295.8141308,1.95,75,,78.82941667,10.19269444,,,GOOD,GOOD,NO,11KV,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82941666666666 10.192694444444445, 78.83172222222221 10.19186111111111)"
57,T.NO.56,S,,26,55-56,NO,269.5514793,2.27,79,,78.83172222,10.19186111,,,GOOD,GOOD,NO,LT CROSSING,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83172222222221 10.19186111111111, 78.83408333333333 10.189277777777779)"
58,T.NO.57,S,,26,56-57,NO,385.3310265,2.25,77,,78.83408333,10.18927778,,,GOOD,GOOD,NO,,,WATER LOGGED,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83408333333333 10.189277777777779, 78.83641666666666 10.190111111111111)"
59,T.NO.58,S,,26,57-58,NO,271.6928413,2.1,76,,78.83641667,10.19011111,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83641666666666 10.190111111111111, 78.83836111111111 10.189361111111111)"
60,T.NO.59,T,2W,29,58-59,NO,228.035085,2.54,74,"17°17'55.51""",78.83836111,10.18936111,Yes,,GOOD,GOOD,NO,,TAAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83836111111111 10.189361111111111, 78.83980555555556 10.189277777777779)"
61,T.NO.60,S,,26,59-60,YES,159.4521872,3.05,75,,78.83980556,10.18927778,,,GOOD,GOOD,NO,LT CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83980555555556 10.189277777777779, 78.84233333333333 10.189055555555555)"
62,T.NO.61,S,,26,60-61,NO,278.1258708,2.23,71,,78.84233333,10.18905556,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84233333333333 10.189055555555555, 78.8446111111111 10.18886111111111)"
63,T.NO.62,S,,26,61-62,NO,251.149358,2.25,75,,78.84461111,10.18886111,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8446111111111 10.18886111111111, 78.84730555555555 10.188638888888889)"
64,T.NO.63,T,,24,62-63,NO,295.3303235,3.02,70,"0°00'00.00""",78.84730556,10.18863889,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84730555555555 10.188638888888889, 78.85002777777777 10.18838888888889)"
65,T.NO.64,S,,26,63-64,NO,302.2995203,2.97,73,,78.85002778,10.18838889,,,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85002777777777 10.18838888888889, 78.85283333333332 10.18811111111111)"
66,T.NO.65,T,,24,64-65,NO,308.8769982,3.54,73,"0°00'00.00""",78.85283333,10.18811111,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85283333333332 10.18811111111111, 78.85544444444444 10.187861111111111)"
67,T.NO.66,S,,26,65-66,NO,285.4767942,3.02,71,,78.85544444,10.18786111,,,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85544444444444 10.187861111111111, 78.85822222222221 10.187222222222223)"
68,T.NO.67,T,,24,66-67,NO,312.1810372,2.54,64,"4°14'5.39""",78.85822222,10.18722222,,,GOOD,GOOD,NO,LT CROSSING,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85822222222221 10.187222222222223, 78.86083333333333 10.186833333333334)"
69,T.NO.68,S,,26,67-68,NO,290.5064543,2.22,72,,78.86083333,10.18683333,,,GOOD,GOOD,NO,LT CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86083333333333 10.186833333333334, 78.863 10.18661111111111)"
