S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,TN - 70,S,,SC on SC,23,TN - 73 : TN - 74,233.4677343,4.1,24,,11.17483252,79.54453343,,,,,GOOD,AVAILABLE,"230KV DC UP XING, LT",ROAD,AGRI,,PC+3,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.544533425942 11.1748325172811, 79.5463592559099 11.1760203167796)"
27,TN - 71,S,,SC on SC,23,TN - 74 : TN - 75,240.7931628,5.3,25,,11.17602032,79.54635926,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5463592559099 11.1760203167796, 79.5482738502323 11.1772925220429)"
28,TN - 72,S,,SC on SC,23,TN - 75 : TN - 76,254.035733,3.6,26,,11.17729252,79.54827385,,,,,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5482738502323 11.1772925220429, 79.5502433460205 11.1785895377397)"
29,TN - 73,S,,SC on SC,23,TN - 76 : TN - 77,260.5434678,4.5,23,,11.17858954,79.55024335,,,,,GOOD,AVAILABLE,,,AGRI,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5502433460205 11.1785895377397, 79.5520889572799 11.1798023991286)"
30,TN - 74,T,,SC on SC,24,TN - 77 : TN - 78,244.1221409,2.9,24,13°46'38''LT,11.1798024,79.55208896,,,,,GOOD,AVAILABLE,,,AGRI,,KCR,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5520889572799 11.1798023991286, 79.5543196331709 11.1805938184261)"
31,TN - 75,S,,SC on SC,23,TN - 78 : TN - 79,260.8630751,1.6,26,,11.18059382,79.55431963,,,,,GOOD,AVAILABLE,,,AGRI,,PA,PA,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5543196331709 11.1805938184261, 79.5564899593591 11.1813200265169)"
32,TN - 76,S,,SC on SC,23,TN - 79 : TN - 80,252.2621962,3.54,23,,11.18132003,79.55648996,,,,,GOOD,AVAILABLE,,,AGRI,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5564899593591 11.1813200265169, 79.5588844176381 11.1821670178323)"
33,TN - 77,S,,SC on SC,23,TN - 80 : TN - 81,279.7729526,6.23,22,,11.18216702,79.55888442,,,,,GOOD,AVAILABLE,LT,"CANAL, ROAD",AGRI,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5588844176381 11.1821670178323, 79.5613311789929 11.1829915456473)"
34,TN - 78,S,,SC on SC,23,TN - 81 : TN - 82,284.3435552,4.6,23,,11.18299155,79.56133118,,,,,GOOD,AVAILABLE,,,AGRI,,PB,"Bund, Tank, Kurumbapatty",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5613311789929 11.1829915456473, 79.5637338515371 11.1837926041334)"
35,TN - 79,S,,SC on SC,23,TN - 82 : TN - 83,278.9487569,3.2,23,,11.1837926,79.56373385,,,,,GOOD,AVAILABLE,,,AGRI,,PA+3M,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5637338515371 11.1837926041334, 79.5661135576665 11.1846011225134)"
36,TN - 80,S,,SC on SC,23,TN - 83 : TN - 84,276.840011,2.4,25,,11.18460112,79.56611356,,,,,GOOD,AVAILABLE,,,AGRI,,PA,BT – Panjappatti – Lallapettai Channel,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5661135576665 11.1846011225134, 79.5685153920203 11.1854178551584)"
37,TN - 81,S,,SC on SC,23,TN - 84 : TN - 85,279.4197615,2.85,24,,11.18541786,79.56851539,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5685153920203 11.1854178551584, 79.5708538591861 11.1862075980752)"
38,TN - 82,S,,SC on SC,23,TN - 85 : TN - 86,271.9043093,3.03,22,,11.1862076,79.57085386,,,,,GOOD,AVAILABLE,,,AGRI,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5708538591861 11.1862075980752, 79.5729899033904 11.1869376618415)"
39,TN - 83,S,,SC on SC,23,TN - 86 : TN - 87,248.8524561,2.85,23,,11.18693766,79.5729899,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5729899033904 11.1869376618415, 79.5752244349569 11.187686920166)"
40,TN - 84,S,,SC on SC,23,TN - 87 : TN - 88,259.7143715,3.03,21,,11.18768692,79.57522443,,,,,GOOD,AVAILABLE,,,AGRI,,PA+3,"LT-Line, Carttrack",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5752244349569 11.187686920166, 79.5773594733327 11.18840851821)"
41,TN - 85,T,2W,SC on SC,24,TN - 88 : TN - 89,248.4422565,2.36,20,10°4'43''RT,11.18840852,79.57735947,,,,,GOOD,AVAILABLE,,,AGRI,,PA+3,"Carttrack, Metal unit",,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5773594733327 11.18840851821, 79.5795411150902 11.1896055378019)"
42,TN - 86,S,,SC on SC,23,TN - 89 : TN - 90,274.5641953,4.1,22,,11.18960554,79.57954112,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5795411150902 11.1896055378019, 79.5814525242894 11.1906268727034)"
43,TN - 87,S,,SC on SC,23,TN - 90 : TN - 91,239.3436657,5.3,23,,11.19062687,79.58145252,,,,,GOOD,AVAILABLE,LT,,AGRI,,GCR,PUDUPATTI ,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5814525242894 11.1906268727034, 79.5834133028984 11.191688189283)"
44,TN - 88,S,,SC on SC,23,TN - 91 : TN - 92,246.1927237,3.6,24,,11.19168819,79.5834133,,,,,GOOD,AVAILABLE,,,AGRI,,PB,"1  No HT, LT –Line, Carttrack",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5834133028984 11.191688189283, 79.5854720659554 11.1927931755781)"
45,TN - 89,S,,SC on SC,23,TN - 92 : TN - 93,257.8982272,4.5,25,,11.19279318,79.58547207,,,,,GOOD,AVAILABLE,LT,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5854720659554 11.1927931755781, 79.587514149025 11.1938879359513)"
46,TN - 90,S,,SC on SC,23,TN - 93 : TN - 94,255.7567647,2.9,26,,11.19388794,79.58751415,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.587514149025 11.1938879359513, 79.5891395676881 11.1947368551045)"
47,TN - 91,T,,SC on SC,24,TN - 94 : TN - 95,202.8059383,4.3,23,27°49'47''RT,11.19473686,79.58913957,,,,,GOOD,AVAILABLE,,,AGRI,,PA,PUDUPPATTI – II,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5891395676881 11.1947368551045, 79.5905352383852 11.1967604979872)"
48,TN - 92,S,,SC on SC,23,TN - 95 : TN - 96,272.7884012,4.1,24,,11.1967605,79.59053524,,,,,GOOD,AVAILABLE,,,AGRI,,PA,LT-Line,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5905352383852 11.1967604979872, 79.5917800348252 11.1985500343143)"
49,TN - 93,S,,SC on SC,23,TN - 96 : TN - 97,242.1139326,5.3,26,,11.19855003,79.59178003,,,,,GOOD,AVAILABLE,LT -2,ROAD,AGRI,,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5917800348252 11.1985500343143, 79.5929746236652 11.2003138381987)"
50,TN - 94,S,,SC on SC,23,TN - 97 : TN - 98,236.6813523,3.6,23,,11.20031384,79.59297462,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5929746236652 11.2003138381987, 79.5943260379135 11.2022944819182)"
51,TN - 95,T,2W,SC on SC,24,TN - 98 : TN - 99,266.1385216,4.5,22,17°10'51''RT,11.20229448,79.59432604,,,,,GOOD,AVAILABLE,,,AGRI,,PA+6,"BT-Panjappatti – Lakshmanpatti, LT line ",,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5943260379135 11.2022944819182, 79.5948577858507 11.2040202319622)"
52,TN - 96,T,,SC on SC,24,TN - 99 : TN - 100,201.5121588,2.9,23,10°32'44''LT,11.20402023,79.59485779,,,,,GOOD,AVAILABLE,,,AGRI,,PA+6,"Channel, LT Line, BT Lakshmanpatti - Palaiyajayakondam",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5948577858507 11.2040202319622, 79.595598410815 11.2054326664656)"
53,TN - 97,S,,SC on SC,23,TN - 100 : TN - 101,177.9146261,1.6,23,,11.20543267,79.59559841,,,,,GOOD,AVAILABLE,,ROAD,AGRI,,PA,BT-Panjappatti – Palaiyajayakondam,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.595598410815 11.2054326664656, 79.5964227709919 11.2070076260715)"
54,TN - 98,T,,SC on SC,24,TN - 101 : TN - 102,198.0818187,9.8,25,48°15'54''LT,11.20700763,79.59642277,,,,,GOOD,AVAILABLE,LT,,AGRI,,PB+3M,Channel,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5964227709919 11.2070076260715, 79.5979923661798 11.2074020784348)"
55,TN - 99,S,,SC on SC,23,TN - 102 : TN - 103,178.8629532,8.96,24,,11.20740208,79.59799237,,,,,GOOD,AVAILABLE,,,AGRI,,PA,"HT Line, BT Alagapuri – Palaiyajankondam",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5979923661798 11.2074020784348, 79.6000398136675 11.2079084292054)"
56,TN - 100,S,,SC on SC,23,TN - 103 : TN - 104,232.4853607,4.6,22,,11.20790843,79.60003981,,,,,GOOD,AVAILABLE,LT -2,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6000398136675 11.2079084292054, 79.601716697216 11.2083333916962)"
57,TN - 101,T,,SC on SC,24,TN - 104 : TN - 105,191.0486023,3.2,23,120°40'5''RT,11.20833339,79.6017167,,,,,GOOD,AVAILABLE,,ROAD,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.601716697216 11.2083333916962, 79.6028780099004 11.207167552784)"
58,TN - 102,S,,SC on SC,23,TN - 105 : GANTRY ,182.8555058,2.4,21,,11.20716755,79.60287801,,,,,GOOD,AVAILABLE,,,AGRI,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6028780099004 11.207167552784, 79.6043724194169 11.205711364746)"
59,TN - 103,T,,SC on SC,24,GANTRY  : ,231.2823504,2.85,20,27°9'36''LT,11.20571136,79.60437242,,,,,GOOD,AVAILABLE,LT,,AGRI,,PB+3M,BT Udaiyakulattuppatti – Palaiyajayankondam,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6043724194169 11.205711364746, 79.6049115434288 11.2041077390313)"
60,TN - 104,S,,SC on SC,23, : ,188.8821585,3.03,22,,11.20410774,79.60491154,,,,,GOOD,AVAILABLE,,,AGRI,,PA,"HT, LT-Line",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6049115434288 11.2041077390313, 79.6055665891617 11.2021498940885)"
61,TN - 105,T,,SC on SC,24, : ,230.0533688,2.36,23,6°12'18''RT,11.20214989,79.60556659,,,,,GOOD,AVAILABLE,,,PLAIN,,PA,"Carttrack, 2 No LT – Line",,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6055665891617 11.2021498940885, 79.6056649927049 11.2019359879195)"
62,GANTRY ,GANTRY,2W,GANTRY,15, : ,27.98477769,3.6,24,,11.20193599,79.60566499,,,,,GOOD,NO E/W,,,PLAIN,110KV MANALMEDU SS,PA,2 No Fish Tank,,G,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
