S. No ,Tower No,Supspension/ Tension,JOINT BOX,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO 38,S,,DA,26,39-38,337.8233959,,42,,79.41380556,11.52386111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41380555555556 11.523861111111112, 79.41369444444445 11.522361111111111)"
12,T.NO 37,T,,DD,28,38-37,169.5823241,5.97,41,"51°51'36""",79.41369444,11.52236111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41369444444445 11.522361111111111, 79.41097222222223 11.520583333333335)"
13,T.NO 36,S,,DA,26,37-36,355.4587423,,43,,79.41097222,11.52058333,GOOD,GOOD,LT-1,MAIN ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.41097222222223 11.520583333333335, 79.40902777777778 11.519277777777779)"
14,T.NO 35,S,,DA,26,36-35,257.55019,,42,,79.40902778,11.51927778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40902777777778 11.519277777777779, 79.40755555555556 11.518333333333334)"
15,T.NO 34,T,2W,DC,26,35-34,192.6689855,5.72,35,"24°26'2""",79.40755556,11.51833333,GOOD,GOOD,LT-1,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40755555555556 11.518333333333334, 79.40533333333335 11.518)"
16,T.NO 33,S,,DA,26,34-33,246.6521932,6.13,43,,79.40533333,11.518,GOOD,GOOD,230KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40533333333335 11.518, 79.40330555555556 11.517666666666667)"
17,T.NO 32,T,,DB,24,33-32,226.7299271,,42,"5°50'0""",79.40330556,11.51766667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40330555555556 11.517666666666667, 79.40144444444445 11.517555555555557)"
18,T.NO 31,S,,DA,26,32-31,205.2963534,3.9,47,,79.40144444,11.51755556,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.40144444444445 11.517555555555557, 79.39902777777779 11.517361111111112)"
19,T.NO 30,S,,DA,26,31-30,263.6880279,4.25,46,,79.39902778,11.51736111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39902777777779 11.517361111111112, 79.39675000000001 11.51725)"
20,T.NO 29,S,,DA,26,30-29,249.2901528,6.42,47,,79.39675,11.51725,GOOD,GOOD,LT-1,MAIN ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39675000000001 11.51725, 79.39466666666668 11.517111111111111)"
21,T.NO 28,T,,DD,28,29-28,229.3703133,5.32,39,"51°16'37""",79.39466667,11.51711111,GOOD,GOOD,HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39466666666668 11.517111111111111, 79.39377777777779 11.51586111111111)"
22,T.NO 27,T,,DD,28,28-27,171.6516921,5.98,43,"45°36'23""",79.39377778,11.51586111,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39377777777779 11.51586111111111, 79.39166666666668 11.515527777777777)"
23,T.NO 26,S,,DA,26,27-26,232.8124242,7.52,43,,79.39166667,11.51552778,GOOD,GOOD,HT-3,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.39166666666668 11.515527777777777, 79.38969444444444 11.515222222222222)"
24,T.NO 25,S,,DA,26,26-25,219.2131985,,48,,79.38969444,11.51522222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38969444444444 11.515222222222222, 79.38755555555556 11.514861111111111)"
25,T.NO 24,T,,DB,24,25-24,236.0914716,5.14,46,"13°13'52""",79.38755556,11.51486111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38755555555556 11.514861111111111, 79.38586111111111 11.514166666666666)"
26,T.NO 23,T,,DC,26,24-23,204.5386941,6.35,48,"21°6'4""",79.38586111,11.51416667,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38586111111111 11.514166666666666, 79.38547222222223 11.514138888888889)"
27,T.NO 22DP,T,,DP,15,23-22,41.01249805,,48,,79.38547222,11.51413889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38547222222223 11.514138888888889, 79.3848888888889 11.514138888888889)"
28,T.NO 21DP,T,,DP,15,22-21,65.00781202,,49,,79.38488889,11.51413889,GOOD,GOOD,400KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3848888888889 11.514138888888889, 79.38444444444445 11.513777777777777)"
29,T.NO 20,T,,DB,24,21-20,64.78087488,5.82,49,"8°37'32""",79.38444444,11.51377778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38444444444445 11.513777777777777, 79.38322222222222 11.512305555555555)"
30,T.NO 19,T,,DB,24,20-19,211.7534104,,50,"6°39'33""",79.38322222,11.51230556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38322222222222 11.512305555555555, 79.38291666666666 11.512027777777778)"
31,T.NO 18DP,T,,DP,15,19-18,44.8634244,,48,,79.38291667,11.51202778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38291666666666 11.512027777777778, 79.38233333333332 11.512277777777777)"
32,T.NO 17DP,T,,DP,15,18-17,71.38465742,,52,,79.38233333,11.51227778,GOOD,GOOD,230kv,,PLAIN,NEYVELI-KADALANGUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38233333333332 11.512277777777777, 79.38188888888888 11.512583333333334)"
33,T.NO 16,T,2W,DD,28,17-16,59.24946352,,51,"36°0'57""",79.38188889,11.51258333,GOOD,GOOD,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.38188888888888 11.512583333333334, 79.3805 11.512527777777779)"
34,T.NO 15,T,,DD,28,16-15,153.0526225,6.73,45,"58°38'37""",79.3805,11.51252778,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3805 11.512527777777779, 79.37925 11.510388888888889)"
35,T.NO 14,S,,DA,26,15-14,274.2489707,,52,,79.37925,11.51038889,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37925 11.510388888888889, 79.37802777777777 11.508472222222222)"
36,T.NO 13,S,,DA,26,14-13,249.8091638,3.95,49,,79.37802778,11.50847222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37802777777777 11.508472222222222, 79.37688888888889 11.506638888888888)"
37,T.NO 12,T,,DD,28,13-12,239.3988255,,52,"38°37'48""",79.37688889,11.50663889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37688888888889 11.506638888888888, 79.37511111111111 11.506)"
38,T.NO 11,S,,DA,26,11-Dec,208.1834936,5.02,51,,79.37511111,11.506,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37511111111111 11.506, 79.37377777777778 11.505472222222222)"
39,T.NO 10,T,,DB,24,10-Nov,157.3713529,,47,"3°35'29""",79.37377778,11.50547222,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.37377777777778 11.505472222222222, 79.3711111111111 11.50425)"
40,T.NO 9,S,,DA,26,9-Oct,323.1878334,,44,,79.37111111,11.50425,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3711111111111 11.50425, 79.36913888888888 11.503194444444444)"
41,T.NO 8,S,,DA,26,8-Sep,243.94238,,44,,79.36913889,11.50319444,GOOD,GOOD,"LT-1,HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36913888888888 11.503194444444444, 79.3671111111111 11.50225)"
42,T.NO 7,T,,DB,24,7-Aug,246.1530134,,43,"8°15'39""",79.36711111,11.50225,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.3671111111111 11.50225, 79.36488888888888 11.500805555555555)"
43,T.NO 6,T,,DD,28,6-Jul,291.945012,,44,"38°33'24""",79.36488889,11.50080556,GOOD,GOOD,"LT-1,HT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36488888888888 11.500805555555555, 79.36458333333333 11.500833333333333)"
44,T.NO 5DP,T,,DP,15,5-Jun,34.13608305,,41,,79.36458333,11.50083333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36458333333333 11.500833333333333, 79.36397222222222 11.501)"
45,T.NO 4DP,T,,DP,15,4-May,70.64194139,,42,,79.36397222,11.501,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36397222222222 11.501, 79.36377777777777 11.501055555555556)"
46,T.NO 3,T,,DC,26,3-Apr,24.08679276,6.31,41,"25°20'3""",79.36377778,11.50105556,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36377777777777 11.501055555555556, 79.36261111111111 11.50088888888889)"
47,T.NO 2,S,,DA,26,2-Mar,128.1416533,,40,,79.36261111,11.50088889,GOOD,GOOD,,MAIN ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.36261111111111 11.50088888888889, 79.36099999999999 11.50075)"
48,T.NO 1 LILO,T,3W,DC,26,1-Feb,177.7257763,4.89,40,,79.361,11.50075,GOOD,GOOD,"HT-1,LT-1",,PLAIN,UMANGALAM LILO.NEED JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
