Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57,SA,S,,26,56-57,,0.00201016,6.75,8.292915,,11.5478103,79.71297943,GOOD,GOOD,"HT-1,LT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71297942851851 11.547810299353278, 79.71470542710064 11.5466803028973)"
58,SA,S,,26,57-58,,0.001971602,8.9,8.572922,,11.5466803,79.71470543,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71470542710064 11.5466803028973, 79.71621442721231 11.54574330382089)"
59,SB,T,,24,58-59,,0.002542428,9.3,14.646713," 14d44'31""RT",11.5457433,79.71621443,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71621442721231 11.54574330382089, 79.71771042630307 11.544147306264517)"
60,SA,S,,26,59-60,,0.002284465,7.95,11.468377,,11.54414731,79.71771043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71771042630307 11.544147306264517, 79.7190974262519 11.542635302774633)"
61,SA,S,,26,60-61,,0.002184405,8.15,12.14339,,11.5426353,79.71909743,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7190974262519 11.542635302774633, 79.72046742525013 11.541164301049681)"
62,SD,T,2W,28,61-62,,0.002261451,6.1,10.255651," 44d6'43""RT",11.5411643,79.72046743,GOOD,GOOD,HT-1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72046742525013 11.541164301049681, 79.72041842518271 11.539193307980927)"
63,SA,S,,26,62-63,,0.002207593,5.2,10.526585,,11.53919331,79.72041843,GOOD,GOOD,LT-1,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72041842518271 11.539193307980927, 79.72033342564384 11.536652300806766)"
64,SA,S,,26,63-64,,0.001795293,4.5,11.343599,,11.5366523,79.72033343,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72033342564384 11.536652300806766, 79.72025142539312 11.534369308388737)"
65,SA,S,,26,64-65,,0.001850366,8.1,10.001578,,11.53436931,79.72025143,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72025142539312 11.534369308388737, 79.7202094250401 11.532185307493116)"
66,SA,S,,26,65-66,,0.002037755,7.7,9.842319,,11.53218531,79.72020943,GOOD,GOOD,HT-1,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7202094250401 11.532185307493116, 79.72016442567536 11.529924303962506)"
67,SA,S,,26,66-67,,0.001929487,7.15,11.409719,,11.5299243,79.72016443,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72016442567536 11.529924303962506, 79.72008042569978 11.527718309297368)"
68,SB,T,2W,24,67-68,,0.002183415,6.9,11.563184,"9d57'3""RT",11.52771831,79.72008043,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72008042569978 11.527718309297368, 79.719716425347 11.525960304157449)"
69,SA,S,,26,68-69,,0.001795649,6.65,12.706661,,11.5259603,79.71971643,GOOD,GOOD,,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.719716425347 11.525960304157449, 79.71934642555185 11.524147308540543)"
70,SA,S,,26,69-70,,0.001969506,7.35,13.833212,,11.52414731,79.71934643,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71934642555185 11.524147308540543, 79.71892642595537 11.522153305773607)"
71,SA,S,,26,70-71,,0.002013765,7.05,13.99571,,11.52215331,79.71892643,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71892642595537 11.522153305773607, 79.7185284263253 11.520265312917678)"
72,SA,S,,26,71-72,,0.002733514,7.5,14.118524,,11.52026531,79.71852843,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7185284263253 11.520265312917678, 79.71808542587212 11.518127311308513)"
73,SA,S,,26,72-73,,0.002310453,8,15.280839,,11.51812731,79.71808543,GOOD,GOOD,HT-1,ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71808542587212 11.518127311308513, 79.7177294265068 11.516367306004318)"
74,SA,S,,26,73-74,,0.00222632,8.43,15.215525,,11.51636731,79.71772943,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7177294265068 11.516367306004318, 79.71732242663668 11.5144403125462)"
75,SB,T,2W,24,74-75,,0.002638213,8.15,14.56444,"5d0'47""LT",11.51444031,79.71732243,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71732242663668 11.5144403125462, 79.71708742635515 11.512440306702842)"
76,SA,S,,26,75-76,,0.002352384,2.3,18.06554,,11.51244031,79.71708743,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71708742635515 11.512440306702842, 79.71677842642855 11.50972431420595)"
77,SA,S,,26,76-77,,0.001958895,4.15,18.796196,,11.50972431,79.71677843,GOOD,GOOD,HT-2,CARTRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71677842642855 11.50972431420595, 79.71652042679804 11.507428311455836)"
78,SA,S,,26,77-78,,0.001123953,6.37,18.653652,,11.50742831,79.71652043,GOOD,GOOD,"HT-1,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71652042679804 11.507428311455836, 79.71623542684688 11.505220308936142)"
79,SA,S,,26,78-79,,0.000710571,5.3,18.869812,,11.50522031,79.71623543,GOOD,GOOD,"HT-2,LT-1",ROAD-1,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71623542684688 11.505220308936142, 79.71590942731721 11.502602315162775)"
80,SA,S,,26,79-80,,0.000923716,6.1,19.07472,,11.50260232,79.71590943,GOOD,GOOD,400KV PAPPAKUDI - PARANKIPETAI,,PLAIN,400KV  PAPPAKUDI - PARANKIPETAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71590942731721 11.502602315162775, 79.7156684274225 11.500262309124013)"
81,SD,T,,28,80-81,,0.001809154,6.65,20.136984," 55d19'55""LT",11.50026231,79.71566843,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7156684274225 11.500262309124013, 79.71715042631473 11.498981314501888)"
82,SC,T,,26,81-82,,0.002537285,7.05,18.148035," 22d1'43""LT",11.49898131,79.71715043,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71715042631473 11.498981314501888, 79.71821242631864 11.498613311526567)"
