S.No,Tower No.,Tower Type,Tension / Suspension,Joint Box Location ,Tower Height (m),Span Between,Span Length (m),Deviation Angle,GPS Latitude,GPS Longitude,Tower Condition,Crossing Objects / Remarks,Land Condition
54,T.NO-54,HCR,S,2W,24,53-54,321,"04� 57' 57""",-,-,"GOOD, NO E/W",LT,-
55,T.NO-55,GCR,S,,24,54-55,321,-,-,-,"GOOD, NO E/W",-,-
56,T.NO-56,GCR,S,,24,55-56,305,-,-,-,"GOOD, NO E/W",-,-
57,T.NO-57,KCR+3M,T,,24,56-57,643,"34� 31' 35""",281029,1306912,"GOOD, NO E/W",TAAR ROAD,-
58,T.NO-58,GCR,S,,24,57-58,321,-,-,-,"GOOD, NO E/W",-,-
59,T.NO-59,GCR,S,,24,58-59,295,-,-,-,"GOOD, NO E/W",-,-
60,T.NO-60,HCR,S,,24,59-60,561,"13� 16' 55""",281794,1306705,"GOOD, NO E/W",TAAR ROAD,-
61,T.NO-61,GCR+3M,S,,24,60-61,325,-,-,-,"GOOD, NO E/W",-,-
62,T.NO-62,GCR,S,,24,61-62,401,-,-,-,"GOOD, NO E/W",-,-
63,T.NO-63,HCR,S,,24,62-63,325,"05� 10' 35""",282812,1306371,"GOOD, NO E/W",-,CULTIVATION
64,T.NO-64,GCR,S,,24,63-64,291,-,-,-,"GOOD, NO E/W",-,CULTIVATION
65,T.NO-65,GCR,S,,24,64-65,315,-,-,-,"GOOD, NO E/W",-,-
66,T.NO-66,HCR 3M,S,2W,26,65-66,231,"04� 05' 11""",283080,1306038,"GOOD, NO E/W",LT,-
67,T.NO-67,KCR 3M,T,,24,66-67,561,"33� 20' 52""",283299,1305950,"GOOD, NO E/W",-,PLAIN
68,T.NO-68,GCR,S,,24,67-68,215,-,-,-,"GOOD, NO E/W",-,-
69,T.NO-69,GCR,S,,24,68-69,325,-,-,-,"GOOD, NO E/W",-,-
70,T.NO-70,HCR+3M,S,,24,69-70,601,"17� 53' 08""",283716,1305524,"GOOD, NO E/W",LT,-
71,T.NO-71,GCR,S,,24,70-71,321,-,-,-,"GOOD, NO E/W",-,-
72,T.NO-72,KCR+3M,T,,24,71-72,861,"31� 45' 22""",284224,1305257,"GOOD, NO E/W",TAAR ROAD,-
73,T.NO-73,GCR,S,,24,72-73,431,-,-,-,"GOOD, NO E/W",-,-
74,T.NO-74,GCR,S,,24,73-74,321,-,-,-,"GOOD, NO E/W",-,-
75,T.NO-75,GCR,S,,24,74-75,321,-,-,-,"GOOD, NO E/W",-,-
76,T.NO-76,HCR,S,,24,75-76,821,"05� 50' 31""",284341,1304467,"GOOD, NO E/W","MUD ROAD, 11KV",-
77,T.NO-77,HCR+3M,S,2W,27,76-77,421,"09� 37' 59""",284987,3W,1304270,"GOOD, NO E/W",-,CULTIVATION
78,T.NO-78,GCR,S,,24,77-78,561,-,-,-,"GOOD, NO E/W",-,-
79,T.NO-79,KCR+3M,T,,24,78-79,761,"34� 10' 44""",285411,1303889,"GOOD, NO E/W",-,WATER LOGGED
80,T.NO-80,GCR,S,,24,79-80,321,-,-,-,"GOOD, NO E/W",-,-
81,T.NO-81,GCR,S,,24,80-81,305,-,-,-,"GOOD, NO E/W",-,-
82,T.NO-82,HCR+3M,T,,24,81-82,412,"03� 10' 52""",286098,1303593,"GOOD, NO E/W","TAAR ROAD, BUSHES",-
83,T.NO-83,GCR,S,,24,82-83,291,-,-,-,"GOOD, NO E/W",-,-
84,T.NO-84,HCR+3M,T,,28,83-84,421,"16� 11' 31""",286474,1303413,"GOOD, NO E/W","MUD ROAD, LT",-
85,T.NO-85,GCR,S,,24,84-85,321,-,-,-,"GOOD, NO E/W",-,-
86,T.NO-86,GCR,S,,24,85-86,321,-,-,-,"GOOD, NO E/W",-,-
87,T.NO-87,GCR,S,,24,86-87,305,-,-,-,"GOOD, NO E/W",-,-
88,T.NO-88,KCR,T,2W,24,87-88,711,"33� 45' 22""",287369,1303265,"GOOD, NO E/W","LT, CULTIVATION",-
89,T.NO-89,GCR,S,,24,88-89,325,-,-,-,"GOOD, NO E/W",-,-
90,T.NO-90,GCR+3M,S,,25,89-90,451,"05� 31' 01""",288040,1302929,"GOOD, NO E/W","11KV, MUD ROAD",-
91,T.NO-91,GCR,S,,24,90-91,305,-,-,-,"GOOD, NO E/W",-,-
92,T.NO-92,GCR,S,,24,91-92,311,-,-,-,"GOOD, NO E/W",-,-
93,T.NO-93,GCR,S,,24,92-93,321,-,-,-,"GOOD, NO E/W",-,-
94,T.NO-94,GCR,S,,24,93-94,301,-,-,-,"GOOD, NO E/W",-,-
95,T.NO-95,KCR+3M,T,,24,94-95,605,"33� 36' 07""",288895,1302599,"GOOD, NO E/W","LT, MUD ROAD, RIVER",-
96,T.NO-96,GCR,S,,24,95-96,321,-,-,-,"GOOD, NO E/W",-,-
97,T.NO-97,GCR,S,,24,96-97,325,-,-,-,"GOOD, NO E/W",-,-
98,T.NO-98,KCR+3M,T,,24,97-98,761,"31� 15' 25""",289577,1302286,"GOOD, NO E/W","2-LT, TAAR ROAD",-
99,T.NO-99,KCR+3M,T,,24,98-99,201,"33� 26' 28""",289742,1302131,"GOOD, NO E/W",MUD ROAD,-
100,T.NO-100,GCR,S,,24,99-100,451,-,-,-,"GOOD, NO E/W",-,-
101,T.NO-101,GCR,S,,24,100-101,321,-,-,-,"GOOD, NO E/W",-,-
102,T.NO-102,HCR,S,2W,24,101-102,421,"09� 17' 08""",290119,-,"GOOD, NO E/W","RIVER, CULTIVATION",-
103,T.NO-103,GCR,S,,24,102-103,295,-,-,-,"GOOD, NO E/W",-,-
104,T.NO-104,GCR,S,,24,103-104,321,-,-,-,"GOOD, NO E/W",-,-
105,T.NO-105,GCR,S,,24,104-105,321,-,-,-,"GOOD, NO E/W",-,-
106,T.NO-106,KCR,T,,24,105-106,451,"34� 27' 28""",290471,1301479,"GOOD, NO E/W","2-LT, 2-11KV, TAAR ROAD",-
107,T.NO-107,GCR,S,,24,106-107,311,-,-,-,"GOOD, NO E/W",-,-
108,T.NO-108,GCR,S,,24,107-108,425,-,-,1300550,"GOOD, NO E/W","LT, TAAR ROAD",-
109,T.NO-109,GCR,S,,24,108-109,291,-,-,-,"GOOD, NO E/W",-,-
110,T.NO-110,KCR,T,,24,109-110,1150,"90� 00' 00""",290559,1299378,"GOOD, NO E/W",110KV DC LINE CROSSING BELOW,PLAIN
