S.NO,Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,13A,SA,S,2W,26,13-13A,,0.00234712,,25.146645,,11.70033985,79.73301074,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73301073600186 11.700339852831389, 79.73323181475956 11.698851309247758)"
17,14,SA,S,,26,13A-14,,0.002493064,6.2,24.040817,,11.69885131,79.73323181,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73323181475956 11.698851309247758, 79.7335924205127 11.696423269382562)"
18,15,SD,T,,28,14-15,,0.003128785,1.05,27.382301," 30d36'57""LT",11.69642327,79.73359242,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7335924205127 11.696423269382562, 79.73508942064986 11.69459426320558)"
19,16,SA,S,,26,15-16,,0.001861619,10.83,28.792557,,11.69459426,79.73508942,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73508942064986 11.69459426320558, 79.73635241951058 11.693057270852359)"
20,17,SC,T,2W,26,16-17,,0.002034203,1.67,24.448769," 24d27'36""RT",11.69305727,79.73635242,GOOD,GOOD,,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73635241951058 11.693057270852359, 79.73696041962303 11.69079026621406)"
21,18,SA,S,,26,17-18,,0.002742662,4.9,29.08213,,11.69079027,79.73696042,GOOD,GOOD,"LT-2,HT-1",ROad,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73696041962303 11.69079026621406, 79.73757941899092 11.688375269955953)"
22,19,SD,T,,28,18-19,,0.002974022,,26.753593," 47d53'52""RT",11.68837527,79.73757942,GOOD,GOOD,"LT-2,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73757941899092 11.688375269955953, 79.7358464203869 11.685770272657255)"
23,20,SA,S,,26,19-20,,0.001411645,,26.225922,,11.68577027,79.73584642,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7358464203869 11.685770272657255, 79.73480342029087 11.68422826902947)"
24,21,SD,T,,28,20-21,,0.001443402,1.33,21.25843,"39d53'32""RT",11.68422827,79.73480342,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73480342029087 11.68422826902947, 79.7328526407111 11.68365169098717)"
25,22,SA,S,,26,21-22,,0.002629923,2.15,19.048996,,11.68365169,79.73285264,GOOD,GOOD,HT-1,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7328526407111 11.68365169098717, 79.73022246340227 11.682874284949293)"
26,23,SA,S,,26,22-23,,0.002406713,4.5,24.765228,,11.68287428,79.73022246,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.73022246340227 11.682874284949293, 79.72737042339116 11.682031270960731)"
27,24,SB,T,,24,23-24,,0.002350321,2.8,17.742622," 13d53'18""LT",11.68203127,79.72737042,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72737042339116 11.682031270960731, 79.72615442390835 11.681314273207928)"
28,25A,SA,S,,26,24-25A,,0.00227182,5.65,20.24659,,11.68131427,79.72615442,GOOD,GOOD,,Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72615442390835 11.681314273207928, 79.72490342429461 11.680594267360403)"
29,25,SB,T,,24,25A-25,,0.00248519,2.38,27.475388," 4d49'22""LT",11.68059427,79.72490342,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72490342429461 11.680594267360403, 79.72274951401118 11.679085238893302)"
30,26,SA,S,,26,25-26,,0.0022911,4.7,23.520142,,11.67908524,79.72274951,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72274951401118 11.679085238893302, 79.72077842522327 11.677704270175608)"
31,27,SC,T,,26,26-27,,0.002304369,3.15,23.897537," 23d38'59""LT",11.67770427,79.72077843,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.72077842522327 11.677704270175608, 79.71955702004578 11.675696241420106)"
32,28,SA,S,,26,27-28,,0.002434305,11.9,28.207626,,11.67569624,79.71955702,GOOD,GOOD,,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71955702004578 11.675696241420106, 79.71837642663218 11.673755271065284)"
33,29,SB,T,,24,28-29,,0.001206825,3.6,18.425453,"7d26'26""RT",11.67375527,79.71837643,GOOD,GOOD,HT-1,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71837642663218 11.673755271065284, 79.71682442677206 11.671814275117864)"
34,30,SA,S,,26,29-30,,0.002232892,12.58,16.164093,,11.67181428,79.71682443,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71682442677206 11.671814275117864, 79.71538442726123 11.670032270886404)"
35,31,SC,T,2W,26,30-31,,0.001703685,4.72,25.179451,"25d25'18""LT",11.67003227,79.71538443,GOOD,GOOD,LT-1,,PLAIN,S/C,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71538442726123 11.670032270886404, 79.71486042727038 11.667788269870705)"
36,32,SB,T,,24,31-32,,0.002268322,7.13,30.281822,"7d43'56""RT",11.66778827,79.71486043,GOOD,GOOD,HT-2,Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71486042727038 11.667788269870705, 79.71398642782292 11.665516274401197)"
37,33,SA,S,,26,32-33,,0.001883924,5.8,33.356358,,11.66551627,79.71398643,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71398642782292 11.665516274401197, 79.71355742862383 11.664388272919556)"
38,34,SD,T,,28,33-34,,0.001271863,9.4,32.022652," 45d56'47""RT",11.66438827,79.71355743,GOOD,GOOD,LT-1,Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71355742862383 11.664388272919556, 79.71150296825178 11.663513629381297)"
39,35,SA,S,,26,34-35,,0.002076871,3.6,33.336739,,11.66351363,79.71150297,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71150296825178 11.663513629381297, 79.70993542932986 11.662846272783888)"
40,36,SC,T,,26,35-36,,0.001824741,8.45,33.385048," 19d13'38""LT",11.66284627,79.70993543,GOOD,GOOD,,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70993542932986 11.662846272783888, 79.70825443004959 11.661323273780981)"
41,37,SB,T,,24,36-37,,0.002203198,10.15,37.205814,"11d33'20""LT",11.66132327,79.70825443,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70825443004959 11.661323273780981, 79.70714143081418 11.659803272938175)"
42,38,SA,S,,26,37-38,,0.001667711,7.54,36.138401,,11.65980327,79.70714143,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70714143081418 11.659803272938175, 79.70638843113154 11.658778272488826)"
43,39,SC,T,,26,38-39,,0.002478728,,31.677765," 17d21'54""RT",11.65877827,79.70638843,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70638843113154 11.658778272488826, 79.70471643112315 11.657546278883556)"
44,40,SD,T,,28,39-40,,0.00153089,8.46,32.281448,"31d31'17""RT",11.65754628,79.70471643,GOOD,GOOD,,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70471643112315 11.657546278883556, 79.70289915238575 11.657381427653306)"
45,41,SA,S,,26,40-41,,0.001644423,5.97,34.192303,,11.65738143,79.70289915,GOOD,GOOD,LT-2,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70289915238575 11.657381427653306, 79.70070496415319 11.657182376830903)"
46,42,SC,T,,26,41-42,,0.002250636,,37.132179,"28d19'2""LT",11.65718238,79.70070496,GOOD,GOOD,,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.70070496415319 11.657182376830903, 79.69930943316453 11.656269275193205)"
47,43,SC,T,,26,42-43,,0.001176909,6.97,39.738941," 21d20'39""RT",11.65626928,79.69930943,GOOD,GOOD,"LT-2,HT-1",Road,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69930943316453 11.656269275193205, 79.69688543421294 11.65575127805315)"
48,44,SD,T,,28,43-44,,0.001172081,,38.077461,"51d5'27""LT",11.65575128,79.69688543,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69688543421294 11.65575127805315, 79.69619020990228 11.654387354705102)"
49,45,SA,S,,26,44-45,,0.00155419,6.89,37.00774,,11.65438735,79.69619021,GOOD,GOOD,,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69619020990228 11.654387354705102, 79.69544343512321 11.652922275965395)"
50,46,SC,T,,26,45-46,,0.000155423,10.17,35.789364," 29d24'47""LT",11.65292228,79.69544344,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69544343512321 11.652922275965395, 79.6955524349493 11.650674281248122)"
51,47,SC,T,,26,46-47,,80.54338701,1.02,35.251644," 26d2'59""LT",11.65067428,79.69555243,GOOD,GOOD,LT-1,Car track,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6955524349493 11.650674281248122, 79.6961254349563 11.649646279935176)"
52,48,SC,T,,26,47-48,,0,,38.025345," 15d33'58""RT",11.64964628,79.69612543,GOOD,GOOD,LT-1,Raiway,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6961254349563 11.649646279935176, 79.69639714663104 11.648506127722303)"
53,49,SA,S,,26,48-49,,0,10.2,31.478096,,11.64850613,79.69639715,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69639714663104 11.648506127722303, 79.69675743390229 11.646994275179576)"
54,50,SC,T,,26,49-50,,0,1.05,37.418732," 22d13'45""LT",11.64699428,79.69675743,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69675743390229 11.646994275179576, 79.69684843431098 11.646868278659277)"
55,GANTRY KULLANCHAVADI,GANTRY,T,2W,20,50-GANTRY,,0,,35.322075,,11.64686828,79.69684843,GOOD,GOOD,,,PLAIN,Kullachavadi ss,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
