S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
33, 14/31,S,,DA,26, 14/30- 14/31,191.178739,2.17,98.676407,,10.70880556,78.60930556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60930555555555 10.708805555555555, 78.60875 10.707083333333333)"
34, 14/32,T,,DB,25, 14/31- 14/32,199.4067498,2.81,98.867027,"20°58'48""R",10.70708333,78.60875,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60875 10.707083333333333, 78.60886111111111 10.705638888888888)"
35, 14/33,T,,DB,25, 14/32- 14/33,161.7194637,1.87,99.555267,"10°45'36""R",10.70563889,78.60886111,GOOD,Available,,Manikandam Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60886111111111 10.705638888888888, 78.6095 10.703194444444444)"
36, 14/34,S,,DA,26, 14/33- 14/34,281.1035668,1.14,99.330727,,10.70319444,78.6095,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6095 10.703194444444444, 78.61019444444445 10.70061111111111)"
37, 14/35,S,,DA,26, 14/34- 14/35,293.0509903,2.34,100.263306,,10.70061111,78.61019444,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61019444444445 10.70061111111111, 78.6108611111111 10.69811111111111)"
38, 14/36,T,,DC,26, 14/35- 14/36,286.8446688,1.97,102.024269,"32°10'12""L",10.69811111,78.61086111,GOOD,Available,"HT,LT - 3NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6108611111111 10.69811111111111, 78.61008333333332 10.695694444444445)"
39, 14/37,S,,DA,26, 14/36- 14/37,280.0167241,2.16,104.836609,,10.69569444,78.61008333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61008333333332 10.695694444444445, 78.60955555555554 10.694138888888888)"
40, 14/38,T,2W,DC,26, 14/37- 14/38,184.0456157,2.99,103.054131,"89°37'12""R",10.69413889,78.60955556,GOOD,Available,"LT,HT",,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60955555555554 10.694138888888888, 78.61022222222222 10.693916666666667)"
41,Gantry (Alundhur SS),Gantry,2W,H-POLE,12, 14/38- Gantry,77.92537986,,105.155266,,10.69391667,78.61022222,GOOD,NO E/W,33 KV,,PLAIN,Lamp PosT,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
