Tower No,Tower Type,Tower Type (S/T),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,DA,S,26,20-19,211.216,7.5,90.662544,,11.070449418427959,79.06716670955389,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06716670955389 11.070449418427959, 79.06947370876836 11.07078541940897)"
18,DD,T,28,19-18,254.829,8.8,88.734093,"41°24'30""RT",11.07078541940897,79.06947370876836,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.06947370876836 11.07078541940897, 79.07089570750978 11.069855417337005)"
17,DC,T,26,18-17,186.367,7.75,82.688675,"25°15'3""LT",11.069855417337005,79.07089570750978,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07089570750978 11.069855417337005, 79.07230470740751 11.069653412940005)"
16,DB,T,24,17-16,155.583,7.05,83.544777,"0°48'40""LT",11.069653412940005,79.07230470740751,GOOD,GOOD,HT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07230470740751 11.069653412940005, 79.0743877058926 11.069387417842027)"
15,DA,S,26,16-15,229.519,7.45,77.263412,,11.069387417842027,79.0743877058926,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0743877058926 11.069387417842027, 79.07617370518238 11.069140414614672)"
14,DA,S,26,15-14,197.074,6.9,75.453606,,11.069140414614672,79.07617370518238,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.07617370518238 11.069140414614672, 79.0780817038954 11.068907419171374)"
13,DB,T,24,14-13,210.089,6.7,75.989784,"3°30'55""RT",11.068907419171374,79.0780817038954,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0780817038954 11.068907419171374, 79.08007270241954 11.068526415199637)"
12,DC,T,26,13-12,221.617,8,75.565544,"19°3'24""RT",11.068526415199637,79.08007270241954,GOOD,GOOD,"LT-1,HT-1",ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08007270241954 11.068526415199637, 79.08183170149219 11.067522412908225)"
11,DB,T,24,12-11,222.004,8.15,71.530098,"2°57'28""LT",11.067522412908225,79.08183170149219,GOOD,GOOD,"LT-2,HT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08183170149219 11.067522412908225, 79.08396570023591 11.066445416955345)"
10,DD,T,28,11-10,261.875,7.9,71.661415,"34°52'40""LT",11.066445416955345,79.08396570023591,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08396570023591 11.066445416955345, 79.08574369958887 11.06668641309711)"
9,DB,T,24,10-9,196.117,6.68,69.664528,"4°28'39""LT",11.06668641309711,79.08574369958887,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08574369958887 11.06668641309711, 79.08817869841276 11.067210419728339)"
8,DC,T,26,9-8,272.333,6.95,71.087608,"11°9'53""RT",11.067210419728339,79.08817869841276,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08817869841276 11.067210419728339, 79.08848769794083 11.067216415885074)"
DP1,DA,S,26,8-DP1,33.773,6.52,71.853378,,11.067216415885074,79.08848769794083,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08848769794083 11.067216415885074, 79.08884569801016 11.067122412930518)"
DP2,DA,S,26,DP1-DP2,40.48,,72.106758,,11.067122412930518,79.08884569801016,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08884569801016 11.067122412930518, 79.08902569774193 11.067016418251209)"
7,DB,T,24,DP2-7,22.9,7.25,72.188049,"11°7'53""LT",11.067016418251209,79.08902569774193,GOOD,GOOD,400KV,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.08902569774193 11.067016418251209, 79.09129569654412 11.06623441852361)"
6,DA,S,26,7-6,262.714,5.1,72.850555,,11.06623441852361,79.09129569654412,GOOD,GOOD,"HT-1,LT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09129569654412 11.06623441852361, 79.09356669566708 11.065413419562363)"
5,DA,S,26,6-5,264.269,7.9,63.170967,,11.065413419562363,79.09356669566708,GOOD,GOOD,LT-1,ROAD-1,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09356669566708 11.065413419562363, 79.09536669470414 11.064777414028335)"
4,DB,T,24,5-4,208.908,7.65,62.225433,"3°46'47""RT",11.064777414028335,79.09536669470414,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.09536669470414 11.064777414028335, 79.0972826940539 11.06395641423806)"
3,DC,T,26,4-3,228.229,1.45,64.270988,"23°8'41""LT",11.06395641423806,79.0972826940539,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.0972826940539 11.06395641423806, 79.09765969315225 11.063954422128718)"
POIYUR GANTRY,GANTRY,T,20,3-Gantry,41.198,,68.687881,,11.063954422128718,79.09765969315225,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F7:F62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
