Tower No,Tower Type,Tower Type,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower DChedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
75,DA,S,26,76-75,,339.4383,3.36,142.88,,11.689163880280223,78.87290070747633,good,good,LT-2,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87290070747633 11.689163880280223, 78.87075589896311 11.68807761377885)"
74,DA,S,26,75-74,,262.9746,10.93,148.22,,11.68807761377885,78.87075589896311,good,good,LT-4,"ROAD,POND",PLAIN,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87075589896311 11.68807761377885, 78.86823782621079 11.686802273926931)"
73,DD,T,28,74-73,,308.7463,11.85,148.59,"41d6'11""LT",11.686802273926931,78.86823782621079,good,good,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86823782621079 11.686802273926931, 78.86726782702152 11.684409274878353)"
72,DA,S,26,73-72,,285.1335,8.55,144.91,,11.684409274878353,78.86726782702152,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86726782702152 11.684409274878353, 78.86628295037544 11.681960374062808)"
71,DA,S,26,72-71,,291.4668,4.13,147.07,,11.681960374062808,78.86628295037544,good,good,LT-1,ROAD,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86628295037544 11.681960374062808, 78.8652507421376 11.679403708946003)"
70,DA,S,26,71-70,,304.4645,9.46,148.48,,11.679403708946003,78.8652507421376,good,good,,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8652507421376 11.679403708946003, 78.86425282890544 11.676906273198904)"
69,DA,S,26,70-69,,296.9991,10.16,143.76,,11.676906273198904,78.86425282890544,good,good,"HT-1,LT-1",CAR TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86425282890544 11.676906273198904, 78.8632368293471 11.674397271928454)"
68,DA,S,26,69-68,,298.9163,9.2,145.29,,11.674397271928454,78.8632368293471,good,good,LT-1,ROAD,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8632368293471 11.674397271928454, 78.86222783052777 11.6719002697996)"
67,DA,S,26,68-67,,297.4007,,147.27,,11.6719002697996,78.86222783052777,good,good,"LT-1,HT-1",CAR TRACK,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86222783052777 11.6719002697996, 78.8611738308799 11.669305278577763)"
66,DC,T,26,67-66,,309.2902,10.54,150.59," 18d34'57""RT",11.669305278577763,78.8611738308799,good,good,LT-1,ROAD,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8611738308799 11.669305278577763, 78.85917525315816 11.666984523131793)"
65,DA,S,26,66-65,,336,12.64,150.69,,11.666984523131793,78.85917525315816,good,good,LT-3,"ROAD,DRAINAGE",,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85917525315816 11.666984523131793, 78.85726903462555 11.66476377625058)"
64,DA,S,26,65-64,,321,9.72,,,11.66476377625058,78.85726903462555,good,good,HT-1,,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85726903462555 11.66476377625058, 78.85541960746363 11.662634665048445)"
63,DB,T,24,64-63,,310,,143.81,"14d28'1""RT",11.662634665048445,78.85541960746363,good,good,LT-2,,,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85541960746363 11.662634665048445, 78.85395283514323 11.661569274813187)"
62,DA,S,26,63-62,,199,5.31,145.07,,11.661569274813187,78.85395283514323,good,good,,3,,D/C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85395283514323 11.661569274813187, 78.85250983643536 11.660569272766821)"
