S. No ,Tower No,Tower Type & Supspension/Tenion,JOINT BOX,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Availability of Road,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,T.NO.29,T,,DB,24,28-29,YES,,293.2456308,1.97,123,"4°49'8.23""",78.62519444,10.60088889,GOOD,GOOD,LT LINE CROSSING,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62519444444443 10.600888888888889, 78.62744444444444 10.600916666666667)"
30,T.NO.30,S,,DA,26,29-30,NO,,247.008097,3.49,122,,78.62744444,10.60091667,GOOD,GOOD,"LT LINE -1 ,11KV -1 CROSSING","MUD ROAD,CANAL CROSSING",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62744444444444 10.600916666666667, 78.63 10.600944444444444)"
31,T.NO.31,T,,DC,26,30-31,NO,,279.0017921,3.47,123,"21°5'18.67""",78.63,10.60094444,GOOD,GOOD,,,PLAIN LAND,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63 10.600944444444444, 78.63227777777777 10.600111111111111)"
32,T.NO.32,T,,DB,24,32-32,NO,,266.5070356,5.76,113,"12°44'30.21""",78.63227778,10.60011111,GOOD,GOOD,11KV -2 CROSSING,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63227777777777 10.600111111111111, 78.6341388888889 10.59888888888889)"
33,T.NO.33,S,,DA,26,32-33,YES,,243.790894,2.69,115,,78.63413889,10.59888889,GOOD,GOOD,,TAR ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6341388888889 10.59888888888889, 78.63591666666667 10.597722222222222)"
34,T.NO.34,T,2W,DB,24,33-34,YES,,234.0875904,1.79,114,"2°15'2.79""",78.63591667,10.59772222,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63591666666667 10.597722222222222, 78.63780555555556 10.596583333333333)"
35,T.NO.35,S,,DA,26,34-35,YES,,241.1514047,1.07,115,,78.63780556,10.59658333,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63780555555556 10.596583333333333, 78.63972222222223 10.595444444444444)"
36,T.NO.36,T,,DB+6,30,35-36,NO,,245.9349507,1.72,114,"5°9'26.88""",78.63972222,10.59544444,GOOD,GOOD,LT LINE CROSSING,CANAL CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63972222222223 10.595444444444444, 78.64208333333335 10.594333333333333)"
37,T.NO.37,T,,DC,26,36-37,NO,,285.3278816,1.31,112,"20°9'51.03""",78.64208333,10.59433333,GOOD,GOOD,,MUD ROAD CROSSING,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64208333333335 10.594333333333333, 78.64458333333334 10.594083333333334)"
38,T.NO.38,S,,DA,26,37-38,YES,,275.5303976,1.72,113,,78.64458333,10.59408333,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64458333333334 10.594083333333334, 78.647 10.593555555555556)"
