,Tower No, Supspension/Tenion,TOWER TYPE,CURCUIT,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,46/25,S,DA,DC,26,46/26-46/25,NO,277.77,1.8,25,,79.5243611111111,10.843388888888889,GOOD,GOOD,NO,,"MUD ROAD,CANAL",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5243611111111 10.843388888888889, 79.52508333333333 10.841000000000001)"
12,46/24,S,DA,DC,26,46/25-46/24,NO,277.77,1.19,24,,79.52508333333333,10.841000000000001,GOOD,GOOD,NO,,CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52508333333333 10.841000000000001, 79.52586111111111 10.838555555555557)"
13,46/23,T,DC,DC,26,46/24-46/23,NO,282.177,1.28,23,"23°52'14.73""",79.52586111111111,10.838555555555557,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52586111111111 10.838555555555557, 79.52555555555556 10.835972222222223)"
14,46/22,T,DD,DC,28,46/23-46/22,NO,288.134,2.01,23,"36°51'56.30""",79.52555555555556,10.835972222222223,GOOD,GOOD,NO,,MUD ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52555555555556 10.835972222222223, 79.52377777777778 10.834138888888889)"
15,46/21,T,DD,DC,34,46/22-46/21,YES,280.071,2.51,20,"39°52'24.25""",79.52377777777778,10.834138888888889,GOOD,GOOD,NO,,"MUD ROAD,TAAR ROAD (SH), RIVER CROSSING",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52377777777778 10.834138888888889, 79.52363888888888 10.831916666666666)"
16,46/20,S,DA,DC,26,46/21-46/20,NO,245.589,2.25,20,,79.52363888888888,10.831916666666666,GOOD,GOOD,NO,LT,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52363888888888 10.831916666666666, 79.52352777777777 10.82986111111111)"
17,46/19,S,DA,DC,26,46/20-46/19,NO,226.318,1.91,20,,79.52352777777777,10.82986111111111,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52352777777777 10.82986111111111, 79.5235 10.82775)"
18,46/18,T,DC,DC,26,46/19-46/18,YES,235.034,-,22,"21°16'25.93""",79.5235,10.82775,GOOD,GOOD,NO,2nos LT,MUD ROAD,CULTIVATIONLAND,INSIDE FENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5235 10.82775, 79.52252777777778 10.82536111111111)"
19,46/17,S,DA,DC,26,46/18-46/17,NO,285.237,1.8,16,,79.52252777777778,10.82536111111111,GOOD,GOOD,NO,LT,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52252777777778 10.82536111111111, 79.52161111111111 10.822972222222221)"
20,46/16,S,DA,DC,26,46/17-46/16,NO,283.019,1.67,19,,79.52161111111111,10.822972222222221,GOOD,GOOD,NO,LT,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52161111111111 10.822972222222221, 79.52063888888888 10.820638888888888)"
21,46/15,S,DA,DC,26,46/16-46/15,DIFICULT,277.462,-,19,,79.52063888888888,10.820638888888888,GOOD,GOOD,NO,,"MUD ROAD ,CANAL",PLAIN LAND,"POND CROSSING,BUSHES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52063888888888 10.820638888888888, 79.52 10.819055555555556)"
22,46/14,T,DC,DC,32,46/15-46/14,YES,189.615,-,20,"28°22'38.77""",79.52,10.819055555555556,GOOD,GOOD,NO,,RIVER CROSSING,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52 10.819055555555556, 79.52022222222222 10.816888888888888)"
23,46/13,S,DA,DC,26,46/14-46/13,NO,240.202,2.3,19,,79.52022222222222,10.816888888888888,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52022222222222 10.816888888888888, 79.52038888888889 10.814388888888889)"
24,46/12,S,DA,DC,26,46/13-46/12,NO,279.517,-,19,,79.52038888888889,10.814388888888889,GOOD,GOOD,NO,2nos LT,,CULTIVATIONLAND,STILL NOT CROPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52038888888889 10.814388888888889, 79.52074999999999 10.81188888888889)"
25,46/11,S,DA,DC,26,46/12-46/11,YES,276.622,1.91,19,,79.52074999999999,10.81188888888889,GOOD,GOOD,NO,,MUD ROAD,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52074999999999 10.81188888888889, 79.52097222222223 10.80938888888889)"
26,46/10,S,DA,DC,26,46/11-46/10,NO,278.126,1.7,17,,79.52097222222223,10.80938888888889,GOOD,GOOD,NO,,CANAL,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52097222222223 10.80938888888889, 79.52130555555556 10.806666666666667)"
27,46/9,T,DC,DC,26,46/10-46/9,NO,304.021,-,18,"24°34'27.22""",79.52130555555556,10.806666666666667,GOOD,GOOD,NO,230 KV LINE CROSSING ABOVE OUR LINE,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52130555555556 10.806666666666667, 79.52152777777778 10.806333333333335)"
28,46/8,TB,TB,DC,20,46/9-46/8,NO,44.418,-,20,,79.52152777777778,10.806333333333335,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52152777777778 10.806333333333335, 79.52166666666666 10.806111111111111)"
29,46/7,TB,TB,DC,20,46/8-46/7,NO,27.459,1.96,20,,79.52166666666666,10.806111111111111,GOOD,GOOD,NO,110 KV LINE CROSSING ABOVE OUR LINE,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52166666666666 10.806111111111111, 79.52188888888888 10.805777777777779)"
30,46/6,T,DB,DC,24,46/7-46/6,NO,45.486,1.01,19,"6°30'49.80""",79.52188888888888,10.805777777777779,GOOD,GOOD,NO,,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52188888888888 10.805777777777779, 79.52366666666667 10.803694444444446)"
31,46/5,T,DD,DC,34,46/6-46/5,YES,299.606,1.91,20,"34°21'57.97""",79.52366666666667,10.803694444444446,GOOD,GOOD,NO,"33 KV,11KV,LT",,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52366666666667 10.803694444444446, 79.52391666666666 10.801166666666667)"
32,46/4,T,DC,DC,32,46/5-46/4,YES,282.294,2.51,17,"28°12'5.86""",79.52391666666666,10.801166666666667,GOOD,GOOD,NO,LT,"TAAR ROAD(SH) ,RIVER CROSSING",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52391666666666 10.801166666666667, 79.525 10.79961111111111)"
33,46/3,S,DA,DC,26,46/4-46/3,YES,209.122,2.17,16,,79.525,10.79961111111111,GOOD,GOOD,NO,11 KV ,,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.525 10.79961111111111, 79.52638888888889 10.797527777777777)"
34,46/2,T,DC,DC,26,46/3-46/2,YES,275.138,1.89,17,"28°13'10.56""",79.52638888888889,10.797527777777777,GOOD,GOOD,NO,"110 KV LINE CROSSING ABOVE OUR LINE,11 KV",,CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52638888888889 10.797527777777777, 79.52661111111111 10.794972222222222)"
35,46/1 LILO,T,LILO,DC+LILO,26,46/2-46/1 LILO,YES,283.106,4.1,20,,79.52661111111111,10.794972222222222,GOOD,GOOD,NO,2nos LT,"TAAR ROAD , CANAL",CULTIVATIONLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=SUM(I8:I41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
