Tower No,Tower Type,Tower Type (S/T),JOINT BOX,Tower Height (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,SA,S,,26,15-16,,195,6.1,47.27,,11.955053,79.50310536,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50310536224333 11.9550529974204, 79.50477922426353 11.954129304520698)"
17,SA,S,,26,16-17,,209,2.52,50.36,,11.9541293,79.50477922,GOOD,GOOD,LT-2,R0AD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50477922426353 11.954129304520698, 79.50698969596112 11.9529160151629)"
18,SA,S,,26,17-18,,276,,44.18,,11.95291602,79.5069897,GOOD,GOOD,"LT-2,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50698969596112 11.9529160151629, 79.50883850701163 11.951909202236717)"
19,SA,S,,26,18-19,,230,,44.3,,11.9519092,79.50883851,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.50883850701163 11.951909202236717, 79.51049250600383 11.9510122076772)"
20,SA,S,,26,19-20,,206,3.2,47.61,,11.95101221,79.51049251,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51049250600383 11.9510122076772, 79.51208350541287 11.950141203756875)"
21,SB,T,2W,24,20-21,,198,5.87,47.2," 3d26'43""LT",11.9501412,79.51208351,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51208350541287 11.950141203756875, 79.51413443172953 11.949177435244716)"
22,SA,S,,26,21-22,,248,,46.67,,11.94917744,79.51413443,GOOD,GOOD,"LT-2,HT-1",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51413443172953 11.949177435244716, 79.51622250366361 11.94818720886825)"
23,SA,S,,26,22-23,,252,1.8,45.43,,11.94818721,79.5162225,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.51622250366361 11.94818720886825, 79.5181425026889 11.947287210407465)"
24,SA,S,,26,23-24,,232,4.16,46.19,,11.94728721,79.5181425,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5181425026889 11.947287210407465, 79.52028250193923 11.946288203447015)"
25,SA,S,,26,24-25,,258,5.6,46.57,,11.9462882,79.5202825,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52028250193923 11.946288203447015, 79.52212150175129 11.94541820614709)"
26,SA,S,,26,25-26,,222,6.72,45.97,,11.94541821,79.5221215,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52212150175129 11.94541820614709, 79.52333550081164 11.944860205690086)"
27,SA,S,,26,26-27,,146,6.8,44.27,,11.94486021,79.5233355,GOOD,GOOD,"LT-1,HT-3",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52333550081164 11.944860205690086, 79.52539850024327 11.943885205773373)"
28,SA,S,,26,27-28,,249,9.17,45.23,,11.94388521,79.5253985,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52539850024327 11.943885205773373, 79.52724849979087 11.943029205662942)"
29,SA,S,,26,28-29,,223,7.24,47.55,,11.94302921,79.5272485,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52724849979087 11.943029205662942, 79.52921149839358 11.942098212130137)"
30,SA,S,,26,29-30,,237,6.58,45.71,,11.94209821,79.5292115,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52921149839358 11.942098212130137, 79.5311358888742 11.941204357743704)"
31,SA,S,,26,30-31,,232,,45.17,,11.94120436,79.53113589,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5311358888742 11.941204357743704, 79.53313250482051 11.940261620818594)"
32,SA,S,,26,31-32,,241,,43.11,,11.94026162,79.5331325,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53313250482051 11.940261620818594, 79.53517649654857 11.939302208763864)"
33,SA,S,,26,32-33,,247,5.68,45.91,,11.93930221,79.5351765,GOOD,GOOD,"LT-1,HT-1",CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53517649654857 11.939302208763864, 79.53708706230996 11.93841305753113)"
34,SA,S,,26,33-34,,230,4.38,39.91,,11.93841306,79.53708706,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53708706230996 11.93841305753113, 79.53904849439871 11.937500212648184)"
35,SB,T,2W,24,34-35,,236,7.52,40.42,"7d23'58""LT",11.93750021,79.53904849,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53904849439871 11.937500212648184, 79.54165965233294 11.936669842034776)"
36,SA,S,,26,35-36,,299,6.12,41.56,,11.93666984,79.54165965,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54165965233294 11.936669842034776, 79.54414949279447 11.935869206997005)"
37,SA,S,,26,36-37,,285,,40.98,,11.93586921,79.54414949,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54414949279447 11.935869206997005, 79.54608849252615 11.935260207086461)"
38,SA,S,,26,37-38,,222,12.87,38.29,,11.93526021,79.54608849,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54608849252615 11.935260207086461, 79.54779649169369 11.93472121443315)"
39,SA,S,,26,38-39,,195,7.39,40.52,,11.93472121,79.54779649,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54779649169369 11.93472121443315, 79.54931280816768 11.934235897144298)"
40,SA,S,,26,39-40,,174,5.25,38.62,,11.9342359,79.54931281,GOOD,GOOD,LT-1,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.54931280816768 11.934235897144298, 79.55131148974966 11.933600210346892)"
41,SA,S,,26,40-41,,229,1.15,39.84,,11.93360021,79.55131149,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55131148974966 11.933600210346892, 79.55339848962079 11.932947211735897)"
42,SA,S,,26,41-42,,239,1.62,41.63,,11.93294721,79.55339849,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55339848962079 11.932947211735897, 79.55514747146569 11.932396755378221)"
43,SA,S,,26,42-43,,200,,38.02,,11.93239676,79.55514747,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55514747146569 11.932396755378221, 79.55666848770218 11.931909208205868)"
44,SA,S,,26,43-44,,174,1.28,38.92,,11.93190921,79.55666849,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55666848770218 11.931909208205868, 79.55925167122983 11.93109632972054)"
45,SA,S,,26,44-45,,295,,42.92,,11.93109633,79.55925167,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.55925167122983 11.93109632972054, 79.5619954856693 11.930224208426603)"
46,SA,S,,26,45-46,,314,5.15,38.58,,11.93022421,79.56199549,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5619954856693 11.930224208426603, 79.56402158453419 11.9295920354375)"
47,SA,S,,26,46-47,,231,3.92,38.35,,11.92959204,79.56402158,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56402158453419 11.9295920354375, 79.56560762942223 11.929091819863217)"
48,SA,S,,26,47-48,,181,,37,,11.92909182,79.56560763,GOOD,GOOD,LT-1,POND,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56560762942223 11.929091819863217, 79.56846448321564 11.928184209048666)"
49,SA,S,,26,48-49,,327,,37.41,,11.92818421,79.56846448,GOOD,GOOD,HT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.56846448321564 11.928184209048666, 79.57111048238234 11.927356214320309)"
50,SC,T,2W,26,49-50,,302,1.95,36.58," 23d43'50""LT",11.92735621,79.57111048,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57111048238234 11.927356214320309, 79.57326709267053 11.927578287761984)"
51,SA,S,,26,50-51,,236,,37.58,,11.92757829,79.57326709,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57326709267053 11.927578287761984, 79.57529744932164 11.927787345342395)"
52,SA,S,,26,51-52,,222,,36.21,,11.92778735,79.57529745,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57529744932164 11.927787345342395, 79.57739261972276 11.928003061080807)"
53,SA,S,,26,52-53,,229,,35.08,,11.92800306,79.57739262,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57739261972276 11.928003061080807, 79.58035353074602 11.928307885173)"
54,SA,S,,26,53-54,,324,3.1,33.37,,11.92830789,79.58035353,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58035353074602 11.928307885173, 79.58310647808644 11.928585209924423)"
55,SA,S,,26,54-55,,301,,28.62,,11.92858521,79.58310648,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58310647808644 11.928585209924423, 79.58575043929908 11.928863413557467)"
56,SA,S,,26,55-56,,290,1.82,28.64,,11.92886341,79.58575044,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58575043929908 11.928863413557467, 79.58893547571513 11.929191214127085)"
57,SA,S,,26,56-57,,349,1.17,28.13,,11.92919121,79.58893548,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58893547571513 11.929191214127085, 79.59164447409773 11.929396215963417)"
58/1 v lilo,DB,T,3W,24,57-58/1,,296,3.84,30,"113d25'40""RT",11.92939622,79.59164447,GOOD,GOOD,LT-1,,PLAIN,DC ( LILO TO Kandamangalam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59164447409773 11.929396215963417, 79.59076547484351 11.926887211254614)"
2 D/C,DB,T,,24,58/1-2,,294,,31.52,"13d6'30""LT",11.92688721,79.59076547,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59076547484351 11.926887211254614, 79.59052747480403 11.92463421696769)"
3 D/C,DA,S,,26,3-Feb,,251,2.76,30.23,,11.92463422,79.59052747,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59052747480403 11.92463421696769, 79.59026547497584 11.922143217822969)"
4 D/C,DB,T,,24,4-Mar,,277,5.86,34," 4d54'5""RT",11.92214322,79.59026547,GOOD,GOOD,LT-1,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.59026547497584 11.922143217822969, 79.58978947483494 11.919692210952407)"
5 D/C,DD,T,,28,5-Apr,,276,,33.87,"42d42'9""RT",11.91969221,79.58978947,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58978947483494 11.919692210952407, 79.5881564717081 11.918503534470203)"
6 D/C,DA,S,,26,6-May,,221,3.56,34.64,,11.91850353,79.58815647,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.5881564717081 11.918503534470203, 79.58625747671793 11.917121216917481)"
7 D/C,DC,T,,26,7-Jun,,257,4.97,32.1,"24d2'54""RT",11.91712122,79.58625748,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.58625747671793 11.917121216917481, 79.58606847687909 11.917080217136675)"
VALAVANUR GANTRY,T,T,2W,20,7-GANTRY,,21,,37.32,,11.91708022,79.58606848,GOOD,GOOD,,,PLAIN,VALAVANUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
