Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
126,SA,26,127-126,291.695374522804,5.1,108.640854,,10.976227434588118,78.57723304666985,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57723304666985 10.976227434588118, 78.57982504453234 10.97615043486243)"
125,SA,26,126-125,283.556062620869,3.87,113.954597,,10.97615043486243,78.57982504453234,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57982504453234 10.97615043486243, 78.58236204231497 10.97609643462255)"
124,SA,26,125-124,277.477796354867,2.5,112.716965,,10.97609643462255,78.58236204231497,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58236204231497 10.97609643462255, 78.5849150398395 10.976023436737158)"
123,SB,24,124-123,279.279375699262,3.85,113.7705,"2°50'56""LT",10.976023436737158,78.5849150398395,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5849150398395 10.976023436737158, 78.5873740376418 10.976082436815425)"
123/1LILO,DD,28,123-1,268.962719611525,2.5,116.82782,"64°46'56""LT",10.976082436815425,78.5873740376418,GOOD,GOOD,"HT-1,LT-1",,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5873740376418 10.976082436815425, 78.58840603639848 10.97839143607686)"
2,DB,24,1-2,279.334467311427,3.1,114.284744,"3°30'47""LT",10.97839143607686,78.58840603639848,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58840603639848 10.97839143607686, 78.58926503637058 10.980627440443895)"
3,DA,26,2-3,264.675295881722,1.93,116.38205,,10.980627440443895,78.58926503637058,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58926503637058 10.980627440443895, 78.59005503519447 10.982824438545286)"
4,DA,26,3-4,258.020830563391,4.35,112.119896,,10.982824438545286,78.59005503519447,GOOD,GOOD,,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59005503519447 10.982824438545286, 78.59092303441439 10.985129435919244)"
5,DA,26,4-5,272.167816411889,1.6,113.567673,,10.985129435919244,78.59092303441439,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59092303441439 10.985129435919244, 78.5918020341089 10.987455440016152)"
6,DC,26,5-6,274.765834416763,3.75,108.689606,"16°25'58""RT",10.987455440016152,78.5918020341089,GOOD,GOOD,,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5918020341089 10.987455440016152, 78.59355903265262 10.989780434055156)"
7,DB,24,6-7,321.105159665434,2.35,114.565628,"4°28'15""LT",10.989780434055156,78.59355903265262,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59355903265262 10.989780434055156, 78.5950780310256 10.992181435469481)"
8,DA,26,7-8,313.345517898715,1.65,118.882256,,10.992181435469481,78.5950780310256,GOOD,GOOD,LT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5950780310256 10.992181435469481, 78.59635002995613 10.994146435264344)"
9,DC,26,8-9,258.128998238306,2.3,120.750641,"11°17'40""RT",10.994146435264344,78.59635002995613,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59635002995613 10.994146435264344, 78.59795802812876 10.995816433087734)"
10,DD,28,9-10,255.080917798819,10.6,123.537689,"52°9'29""RT",10.995816433087734,78.59795802812876,GOOD,GOOD,,ROAD,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59795802812876 10.995816433087734, 78.5981900283999 10.995793434469856)"
GT vengai mandalam,GANTRY,20,10-GT,25.493936635214,,128.078537,,10.995793434469856,78.5981900283999,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=SUM(E8:E58),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
