,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
83,T.NO-83,S,DA,26,82-83,YES,,243.09051812030842,3.62,16,,79.18813888888889,10.002083333333333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18813888888889 10.002083333333333, 79.18794444444445 9.999749999999999)"
84,T.NO-84,S,DA,26,83-84,NO,,257.9399154842073,2.29,17,,79.18794444444445,9.999749999999999,GOOD,GOOD,NO,,,,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18794444444445 9.999749999999999, 79.18777777777778 9.997583333333333)"
85,T.NO-85,T,DB,24,84-85,NO,,239.67686580060246,-,17,"5°50'4.41""",79.18777777777778,9.997583333333333,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18777777777778 9.997583333333333, 79.18786111111112 9.995555555555555)"
86,T.NO-86,S,DA,26,85-86,NO,,225.07998578283232,-,15,,79.18786111111112,9.995555555555555,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18786111111112 9.995555555555555, 79.18794444444445 9.993388888888887)"
87,T.NO-87,S,DA,26,86-87,NO,,240.10206163213175,-,15,,79.18794444444445,9.993388888888887,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18794444444445 9.993388888888887, 79.18797222222223 9.991722222222222)"
88,T.NO-88,S,DA,26,87-88,NO,,184.06792224611002,-,14,,79.18797222222223,9.991722222222222,GOOD,GOOD,NO,,,WATER LOGGED AREA,POND CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18797222222223 9.991722222222222, 79.18797222222223 9.989888888888888)"
89,T.NO-89,T,DC,26,88-89,NO,,202.03960007879644,-,,"21°15'26.06""",79.18797222222223,9.989888888888888,GOOD,GOOD,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18797222222223 9.989888888888888, 79.18702777777779 9.987638888888888)"
90,T.NO-90,T,DD,28,89-90,YES,,270.38676003088614,-,,"58°32'59.45""",79.18702777777779,9.987638888888888,GOOD,GOOD,NO,,,,NO EARTHWIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.18702777777779 9.987638888888888, 79.18719444444444 9.987388888888889)"
91,GANTRY KODIKULAM,GANTRY,T,20,90-GANTRY,YES,,32.202484376209235,,,,79.18719444444444,9.987388888888889,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=SUM(I7:I98),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
