,Tower No, Supspension/Tenion,JOINT BOX,Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,T.NO 120,S,,SA,SC,26,119-120,DIFFICULT,269.2582404,2.72,12,,79.66566667,11.02202778,GOOD,GOOD,NO,LT,"CANNEL-2NOS, MUD ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66566666666667 11.022027777777778, 79.66638888888889 11.023888888888889)"
32,T.NO 121,S,,SA,SC,26,120-121,NO,221.9211572,0.89,14,,79.66638889,11.02388889,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66638888888889 11.023888888888889, 79.66722222222222 11.026027777777779)"
33,T.NO 122,S,,SA,SC,26,121-122,,253.6631625,2.14,19,,79.66722222,11.02602778,GOOD,GOOD,NO,,CANNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66722222222222 11.026027777777779, 79.66775 11.02738888888889)"
34,T.NO-123/1 LILO PERAMBUR,T,3W,LILO,LILO,31,122-123/1 LILO,NO,161.1862277,1.39,14,"67°48'1""",79.66775,11.02738889,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION LAND,"NEED JUCTION BOX. 2 EARTH WIRE, OUR EARTH WIRE CONTINUE TO OUR T.NO-2 (LILO). ANOTHER E/W CONNECT TO MYILADUTHURAI 110KV T.NO-123",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66775 11.02738888888889, 79.66991666666667 11.027416666666667)"
35,T.NO-123/2,T,,DB,DC,24,123/1-LILO123/2,NO,236.019067,1.49,15,"7°20'21""",79.66991667,11.02741667,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.66991666666667 11.027416666666667, 79.67269444444445 11.02713888888889)"
36,T.NO-123/3,S,,SA,DC,26,123/2-123/3,NO,304.0213808,0.89,14,,79.67269444,11.02713889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67269444444445 11.02713888888889, 79.67508333333333 11.026861111111112)"
37,T.NO-123/4,S,,SA,DC,26,123/3-123/4,NO,264.8206941,1.91,17,,79.67508333,11.02686111,GOOD,GOOD,NO,,NALA,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.67508333333333 11.026861111111112, 79.6776388888889 11.026583333333335)"
38,T.NO-123/5,S,,SA,DC,26,123/4-123/5,NO,279.8356661,0.8,15,,79.67763889,11.02658333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6776388888889 11.026583333333335, 79.68025 11.026277777777779)"
39,T.NO-123/6,T,,DB,DC,24,123/5-123/6,YES,287.8975512,1.17,16,"3°2'33""",79.68025,11.02627778,GOOD,GOOD,NO,"LT CUM 11KV, 2nos LT, ",TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68025 11.026277777777779, 79.68291666666667 11.02613888888889)"
40,T.NO-123/7,S,,SA,DC,26,123/6-123/7,YES,291.5561695,0.93,17,,79.68291667,11.02613889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68291666666667 11.02613888888889, 79.68533333333333 11.026000000000002)"
41,T.NO-123/8,T,,DB,DC,24,123/7-123/8,NO,263.548857,1.51,18,"2°20'6""",79.68533333,11.026,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68533333333333 11.026000000000002, 79.68758333333334 11.025777777777778)"
42,T.NO-123/9,S,,SA,DC,26,123/8-123/9,NO,247.370168,1.23,20,,79.68758333,11.02577778,GOOD,GOOD,NO,11KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68758333333334 11.025777777777778, 79.68972222222223 11.02563888888889)"
43,T.NO-123/10,T,,DB,DC,26,123/9-123/10,NO,233.6193485,1.19,16,"14°22'8""",79.68972222,11.02563889,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.68972222222223 11.02563888888889, 79.69225 11.026083333333334)"
44,T.NO-123/11,T,,DB,DC,24,123/10-123/11,NO,282.4606167,0.9,17,"0°00'0""",79.69225,11.02608333,GOOD,GOOD,NO,33KV,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69225 11.026083333333334, 79.69477777777779 11.026527777777778)"
45,T.NO-123/12,T,,DB,DC,24,123/11-123/12,NO,278.8207309,1.17,16,"0°00'0""",79.69477778,11.02652778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69477777777779 11.026527777777778, 79.69722222222222 11.026916666666667)"
46,T.NO-123/13,T,,DB,DC,24,123/12-123/13,YES,271.5879231,INSIDE SS,17,"13°33'36""",79.69722222,11.02691667,GOOD,GOOD,YES,,"CANAL, TAAR ROAD",INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.69722222222222 11.026916666666667, 79.69747222222223 11.026916666666667)"
47,GANTRY PERAMBUR,T,2W,GANTRY,GANTRY,20,123/13-GANTRY,SS,27.07397274,SS,19,,79.69747222,11.02691667,GOOD,NO EARTH WIRE,,,,SS,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
