S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
26,26,S,,DA,26,29-30,295.1537724,1.08,163.266602,,10.856,78.22008333,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.22008333333333 10.856, 78.21941666666667 10.853388888888889)"
27,27,T,,DB,26,30-31,298.3933125,2.91,158.230606,"3°38'58"" L",10.85338889,78.21941667,GOOD,Available,"LT,HT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21941666666667 10.853388888888889, 78.21891666666667 10.850777777777777)"
28,28,S,,DA,26,31-32,292.7795704,3.36,157.664658,,10.85077778,78.21891667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21891666666667 10.850777777777777, 78.21841666666667 10.848166666666668)"
29,29,S,,DA,26,32-33,295.0185418,0.12,159.230988,,10.84816667,78.21841667,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21841666666667 10.848166666666668, 78.2178888888889 10.845416666666667)"
30,30,S,,DA,26,33-34,309.3384838,1.75,159.553223,,10.84541667,78.21788889,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2178888888889 10.845416666666667, 78.21738888888889 10.842861111111112)"
31,31,T,2W,DC+3,29,34-35,289.7968755,2.03,161.872223,"11°36'37"" R",10.84286111,78.21738889,GOOD,Available,LT -2NO,,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21738888888889 10.842861111111112, 78.21647222222222 10.840666666666667)"
32,32,S,,DA,26,35-36,261.9834734,4.16,161.49855,,10.84066667,78.21647222,GOOD,Available,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21647222222222 10.840666666666667, 78.2155 10.838611111111112)"
33,33,T,,DB,26,36-37,249.1344497,1.09,163.185654,"16°25'5"" R",10.83861111,78.2155,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2155 10.838611111111112, 78.21386111111111 10.836777777777778)"
34,34,T,,DC,26,37-38,272.3538604,0.07,162.65683,"17°35'59"" L",10.83677778,78.21386111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21386111111111 10.836777777777778, 78.21272222222223 10.83425)"
35,35,S,,DA+3,29,38-39,306.2645936,2.55,164.50032,,10.83425,78.21272222,GOOD,Available,LT-3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21272222222223 10.83425, 78.21194444444444 10.832472222222222)"
36,36,S,,DA,26,39-40,215.8960746,1.64,165.571259,,10.83247222,78.21194444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21194444444444 10.832472222222222, 78.21111111111111 10.830694444444445)"
37,37,S,,DA,26,40-41,216.7017401,1.31,165.836487,,10.83069444,78.21111111,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21111111111111 10.830694444444445, 78.21011111111112 10.828472222222222)"
38,38,T,2W,DB,26,41-42,269.0860116,3.85,166.755127,"0°13'46"" R",10.82847222,78.21011111,GOOD,Available,,ROAD,AGRI,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.21011111111112 10.828472222222222, 78.20908333333334 10.826222222222222)"
39,39,S,,DA,26,42-43,275,4.08,168.746994,,10.82622222,78.20908333,GOOD,Available,"HT,LT-2NO",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20908333333334 10.826222222222222, 78.208 10.823888888888888)"
40,40,S,,DA,26,43-44,284.186658,1.16,174.15094,,10.82388889,78.208,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.208 10.823888888888888, 78.20705555555556 10.82175)"
41,41,S,,DA,26,44-45,260.1320326,2.07,175.823471,,10.82175,78.20705556,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20705555555556 10.82175, 78.206 10.819444444444445)"
42,42,S,,DA,26,45-46,280,2.74,175.503448,,10.81944444,78.206,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.206 10.819444444444445, 78.20494444444445 10.817166666666667)"
43,43,T,,DC,26,46-47,276.4547795,3.09,178.316132,"13°31'22"" L",10.81716667,78.20494444,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20494444444445 10.817166666666667, 78.20441666666667 10.814527777777778)"
44,44,S,,DA,26,47-48,300.0287935,2.81,179.180252,,10.81452778,78.20441667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20441666666667 10.814527777777778, 78.20402777777778 10.811861111111112)"
45,45,S,,DA+3,29,48-Gantry (Kaniyalampatty SS),299,2.34,173.635376,,10.81186111,78.20402778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20402777777778 10.811861111111112, 78.20358333333334 10.809222222222223)"
46,46,T,,DC,26,Gantry (Kaniyalampatty SS)-,300,3.02,174.55687,"3°43'17"" L",10.80922222,78.20358333,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20358333333334 10.809222222222223, 78.20330555555556 10.806694444444446)"
47,47,T,,DB,26,-,283.1794422,2.71,170.882446,"6°32'54"" R",10.80669444,78.20330556,GOOD,Available,LT-2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20330555555556 10.806694444444446, 78.20288888888889 10.804777777777778)"
48,48,T,2W,DC,26,-,219,3.02,173.358429,"73°19'11"" R",10.80477778,78.20288889,GOOD,Available,,,PLAIN,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.20288888888889 10.804777777777778, 78.20275000000001 10.804777777777778)"
49,Gantry (Kaniyalampatty SS),Gantry,,H-POLE,12,48 - Gantry,20,,173.135406,,10.80477778,78.20275,GOOD,NO E/W,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
